,index,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenueShareHour,RevenuePerDay,RevenueShareDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,256,Night,8,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2288.5,396.3,2684.8,2684.8,3477.4,1.1,0.43467500000000003,3477.4,0.0,1.0,274.62,1651.3816,324.966,2201.536,0.6259095601749388,1.8774836664625294,0.12312861227480527,0.12313077231402914,90.60114952911945,271.76798251189564,69.75157317669102,69.99807003782468,1.3539341656087802,3.3429493109389163,3.3547630446591286,-0.011813733720212216,0.00833413126139008,203.33232474414757,1810.5476752558525,40.01331455580079,356.28668544419924,243.34563929994835,2166.8343607000515,17334.674885600412,597.99226841155,298.996134205775,2879.40773158845,2.4410472846822615,7.322186299203865,0.8317058446238759,789.3287628310524,789.3287628310524,6314.630102648419,6314.630102648419,1626.6585979531806,320.1065164464063,2221.3851143995867,21478.4
1,257,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.375,0.375,3.479,0.715,7981.6,645.8,8627.4,8627.4,9919.0,1.1,1.6531666666666667,9919.0,0.0,1.0,957.792,5759.522559999999,529.5559999999999,7074.467999999999,5.149999961992692,15.449999705436243,0.32208483112546327,0.3212432280961221,61.616312757729084,184.8489361131247,16.488787804899843,35.69762061801966,1.3939862894352297,6.555058739177705,14.191461662843649,-7.636402923665944,7.594023163990554,1855.0548511008958,5168.753148899104,170.11627889767,475.68372110232997,2025.171129998566,5644.436870001435,5644.436870001435,3323.195687793906,1661.597843896953,6595.804312206094,20.0849998517715,60.25499885120134,6.015209624053602,47509.13259893925,32868.40577123716,47509.13259893925,32868.40577123716,1855.0548511008958,170.11627889767,2982.963129998566,8627.4
2,258,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.391304347826087,0.391304347826087,3.479,0.715,8151.7,668.2,8819.9,8819.9,10156.3,1.1,1.8136249999999998,10156.3,0.0,1.0,978.204,5882.26672,547.924,7232.317999999999,5.149999790977042,15.449999553925831,0.3166281973347852,0.3166281944993081,30.87299403228601,92.61898318187718,10.202833345632042,34.559476749700515,3.3007626380332256,6.770935847633393,22.934805663583465,-16.163869815950072,13.714363964508424,1862.4915077959995,5311.004492204001,173.4881868428389,494.71181315716115,2035.9796946388383,5805.716305361162,11611.432610722324,3361.160068324516,1680.580034162258,6795.139931675484,20.084999184810464,60.25499826031074,6.027674695133019,47861.67081219878,33008.59859575503,95723.34162439757,66017.19719151006,3724.983015591999,346.9763736856778,5050.163389277676,17639.8
3,259,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.479,0.715,7421.5,1092.8,8514.3,8514.3,10699.9,1.1,1.3374875,10699.9,0.0,1.0,890.5799999999999,5355.3544,896.0959999999999,6981.725999999999,3.3032186876487177,9.88485159752302,0.22311591128627703,0.2232317006281387,61.19206569489313,183.11669481697473,25.900657760354296,56.206829752128,1.8813645438154332,4.163195131836104,9.034519592710108,-4.871324460874004,3.9841637148970763,1194.8647772169734,5336.055222783027,200.03703400607256,892.7629659939274,1394.901811223046,6228.818188776954,6228.818188776954,2685.5558792351912,1342.7779396175956,8014.344120764808,12.88255288183,38.55092123033978,4.247063132910171,23104.520620252584,23104.520620252584,23104.520620252584,23104.520620252584,1194.8647772169734,200.03703400607256,2285.481811223046,8514.3
4,260,MD,5,OP,MD,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,9502.9,869.0,10371.9,10371.9,12109.9,1.1,1.5137375,12109.9,0.0,1.0,1140.348,6857.29264,712.5799999999999,8504.957999999999,3.4802842869831783,10.390752993638797,0.186812205468302,0.18703147591374605,65.1305046293774,194.45393828489267,25.256525113464928,52.546614353760994,1.6711344219396198,4.453188904324748,9.26493248571429,-4.811743581389542,4.145452740000002,1281.0259616199548,7081.526038380045,133.27488910661714,735.7251108933829,1414.300850726572,7817.251149273428,39086.25574636714,2821.1986289398064,1410.5993144699032,9288.701371060193,13.573108719234394,40.52393667519131,4.131483747183696,22788.327815779132,22788.327815779132,113941.63907889566,113941.63907889566,6405.129808099774,666.3744455330857,8211.85225363286,51859.5
5,261,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.632,0.592,13331.2,813.4,14144.6,14144.6,15771.400000000001,1.1,1.6428541666666667,15771.400000000001,0.0,1.0,1599.744,9619.79392,666.9879999999999,11598.572,1.7755730854893712,5.307604918417138,0.08530271329414722,0.08538045451619354,92.76116899071754,277.284917639738,43.93418874650687,59.36225165151157,1.0346596145713913,3.9418989928769244,5.326148192928791,-1.3842492000518667,1.388303735050154,820.5945227065406,10910.86147729346,56.94773859684689,756.4522614031531,877.5422613033875,11667.313738696614,11667.313738696614,2591.181738497081,1295.5908692485405,13180.21826150292,6.924735033408547,20.69965918182684,2.0047828163558523,6861.198419739643,6861.198419739643,6861.198419739643,6861.198419739643,820.5945227065406,56.94773859684689,2477.2862613033876,14144.6
6,262,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,10498.2,662.9,11161.1,11161.1,12486.900000000001,1.1,1.5608625000000003,12486.900000000001,0.0,1.0,1259.784,7575.501120000001,543.578,9152.101999999999,4.043795395682242,12.07569818168311,0.1747846787675864,0.1748702827301474,71.19064238695647,212.591544998281,25.256525113464928,51.11295945641795,2.465696410556378,4.578095310632968,9.26493248571429,-4.6868371750813225,4.145452740000002,1324.0815297626912,7914.334470237311,95.05563854588806,567.8443614541119,1419.1371683085792,8482.178831691423,25446.536495074266,2869.0324454003553,1434.5162227001777,9617.867554599647,15.770802043160742,47.09522290856413,4.581782607286158,25358.49418092735,25358.49418092735,76075.48254278206,76075.48254278206,3972.2445892880733,285.16691563766415,5517.195504925738,33483.3
7,263,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,6802.3,511.5,7313.8,7313.8,8336.8,1.1,1.0420999999999998,8336.8,0.0,1.0,816.276,4908.53968,419.42999999999995,5997.316,3.3120703946336065,9.894353315467638,0.11752500899237689,0.11768815016112082,94.08171988547589,281.05615707383936,41.245558381209015,69.42372886148054,3.068043262399613,3.3706054664233673,5.673338152856905,-2.302732686433538,1.6313367069998332,576.8761700314387,5409.147829968561,49.3619408220789,462.1380591779211,626.2381108535176,5871.285889146482,17613.857667439446,1541.2379924976754,770.6189962488377,6795.562007502324,12.917074539071065,38.58797793032379,3.8309054102310367,9356.329971150257,9356.329971150257,28068.989913450772,28068.989913450772,1730.6285100943162,148.0858224662367,2694.990332560553,21941.4
8,264,Night,8,OP,NT,1,SB,1SB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.635,0.708,2940.5,519.5,3460.0,3460.0,4499.0,1.1,0.4686458333333333,4499.0,0.0,1.0,352.86,2121.8648,425.98999999999995,2837.2,0.6873117592584794,2.061525088193258,0.10600943305620597,0.10601441940480916,96.59553813206016,289.72896590858636,69.57289417474767,69.99454836721029,1.3806180311931797,3.3431175064145404,3.3633788384921486,-0.020261332077608163,0.014365186944504203,224.93768446991984,2362.70231553008,45.161082522254645,474.3389174777453,270.0987669921745,2837.041233007825,22696.3298640626,713.2809320366838,356.6404660183419,3785.719067963316,2.6805158611080695,8.039947843953707,0.9170831212025489,966.0417790379591,966.0417790379591,7728.334232303673,7728.334232303673,1799.5014757593588,361.28866017803716,2513.650135937396,27680.0
9,265,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2571428571428571,0.2571428571428571,3.479,0.715,12872.8,1041.6,13914.4,13914.4,15997.599999999999,1.1,1.538230769230769,15997.599999999999,0.0,1.0,1544.7359999999999,9289.012479999998,854.1119999999999,11409.807999999999,2.5749998764587705,7.724955990049883,0.16560227483261322,0.16560227440394185,-163.73624782760854,-491.2059685935402,51.20607513673832,31.648914775880904,-1.162994028342933,7.393618443382691,4.56977027384226,2.8238481695404305,0.858839191689582,1538.2815976365337,9789.782402363464,141.44288979569956,900.1571102043004,1679.7244874322332,10689.939512567764,10689.939512567764,3507.346267023632,1753.673133511816,12490.253732976365,10.042499518189205,30.127328361194543,3.0086571104143744,19709.488588335502,19709.488588335502,19709.488588335502,19709.488588335502,1538.2815976365337,141.44288979569956,3224.460487432233,13914.4
