,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,NB,1,2166.8343607000515,5644.436870001435,5805.716305361162,6228.818188776954,7817.251149273428,11667.313738696614,8482.178831691423,5871.285889146482,243.34563929994835,2025.171129998566,2035.9796946388383,1394.901811223046,1414.300850726572,877.5422613033875,1419.1371683085792,626.2381108535176,789.3287628310524,47509.13259893925,47861.67081219878,23104.520620252584,22788.327815779132,6861.198419739643,25358.49418092735,9356.329971150257,0.6259095601749388,5.149999961992692,5.149999790977042,3.3032186876487177,3.4802842869831783,1.7755730854893712,4.043795395682242,3.3120703946336065,1.8774836664625294,15.449999705436243,15.449999553925831,9.88485159752302,10.390752993638797,5.307604918417138,12.07569818168311,9.894353315467638,0.12312861227480527,0.32208483112546327,0.3166281973347852,0.22311591128627703,0.186812205468302,0.08530271329414722,0.1747846787675864,0.11752500899237689,6314.630102648419,47509.13259893925,95723.34162439757,23104.520620252584,113941.63907889566,6861.198419739643,76075.48254278206,28068.989913450772
2050,NB,2,2127.330541991219,7194.880490060542,6381.198226220479,6982.77524652179,7186.812185933683,7653.919759366174,5817.218343716549,3793.3345672035684,217.88945800878088,2155.9915099394584,2219.9697737795213,1092.1607534782104,662.179814066316,748.2922406338257,1811.1136562834508,374.44943279643206,502.4561522705311,40115.61970368825,41391.93623131155,18984.454989033253,6258.815827360395,6783.855453072497,32681.286088321438,1208.8283142247099,0.5597062685231221,5.1499997563110025,5.149999840582965,4.3797094151627025,2.564571108465917,2.595146674747199,5.149995877003527,0.9018067302367931,1.6789217342290559,15.449998876051016,15.449999201673355,13.146869980142291,7.666056199110352,7.762559022907411,15.449941799691981,2.703518800229121,0.10098628635410453,0.25061502684579906,0.28054452900521776,0.14718350696732324,0.09168945918134301,0.09679901681873332,0.25806451540508185,0.09765452826462175,4019.649218164249,40115.61970368825,82783.8724626231,18984.454989033253,31294.079136801975,6783.855453072497,98043.8582649643,3626.4849426741293
2050,NB,3,2345.153692025027,9031.236001774441,7609.234373836047,7846.562949993528,7527.813750357877,8185.938382437504,7360.956278398142,4182.786952246289,265.7783079749731,1377.6999982255586,1964.4576261639527,1141.2530500064727,1209.2582496421223,1167.069617562496,1130.8117216018584,457.18504775371014,912.3687255256839,22411.50309603724,43668.38269404098,13570.766315056711,12764.027916039071,9772.358405816893,11640.449230706568,2503.3834374187227,0.698148784071718,3.7770627185806744,5.14999963439665,2.508670803575872,2.3995455040136298,2.008160438168177,2.462436437513038,1.2816934250804544,2.094090756264548,11.249937201445508,15.44999638882444,7.5057481549594955,7.174573765822744,6.010006000494302,7.368205885409527,3.8404835457210167,0.11567481472774999,0.1503791085355899,0.23334157409533277,0.14427649609267146,0.15726524944929962,0.1417923170595815,0.1513210628816515,0.11196474965790429,7298.949804205471,22411.50309603724,87336.76538808196,13570.766315056711,63820.139580195355,9772.358405816893,34921.34769211971,7510.150312256168
2050,NB,4,2414.9521785013617,8773.606356529932,8766.47183477258,7300.475248794325,7799.191865685039,8368.464224322453,7805.992333843082,4306.699683995929,273.63582149863856,1945.533643470067,1093.6361652274215,1955.876751205675,1198.2561343149619,1263.0877756775458,1184.547666156918,470.4283160040709,865.8444492616386,19267.70760182186,12931.880206393715,21306.93682587214,11397.950871045668,11248.613168336036,13392.248360734022,2437.8394226743007,0.7215132522279231,2.574982178437902,3.0708946452476265,2.5749857791085846,2.424365810563094,2.3947339516904833,2.901766834254968,1.3599803498595107,2.1641876412568735,7.7248148516508515,9.164680232360828,7.72489022914504,7.25025898352217,7.1657023617668365,8.683520604583553,4.075092888468496,0.11565472935601159,0.2062510318953084,0.12602201334182095,0.2401148119937839,0.15132534588198424,0.14902009027207438,0.14971652056013307,0.11189988920936984,6926.755594093109,19267.70760182186,25863.76041278743,21306.93682587214,56989.754355228346,11248.613168336036,40176.74508220206,7313.518268022903
2050,NB,5,2433.3041438785663,7894.922667670659,5628.144884876157,4839.738929150381,5690.765154733937,5041.307607881542,4903.743742525829,4461.562879699774,271.87585612143386,1303.825332329342,2006.635115123843,1689.5370708496189,751.2708452660613,1065.804392118457,1063.6842574741727,480.6291203002255,504.3368160353241,8531.69676927423,24110.17638563467,22286.301232487047,9218.919562060702,12366.585921021317,12400.64036143926,1575.183958968475,0.7013961494652308,2.810111808206069,5.1499992201033615,5.149999963670061,5.149995381564306,5.149998230567962,5.149999835644521,1.4200195278979029,2.104003545486969,8.412369579263327,15.449980854779907,15.449999921305537,15.449961013874693,15.449989594804508,15.449997161603006,4.257195653254697,0.12562704390126603,0.17716653342040087,0.3285351987177158,0.3234918500225042,0.14583751008195722,0.21818225605024197,0.22284467491855584,0.12156076367597649,4034.6945282825927,8531.69676927423,48220.35277126934,22286.301232487047,46094.597810303516,12366.585921021317,37201.92108431778,4725.551876905425
2050,NB,6,1712.7586111477012,5879.461669198952,4904.71497595397,4127.433331180865,4074.5620411275627,3837.3441934984317,3748.6487197664524,3126.1010951333333,183.18938885229895,569.386330801048,448.39302404603075,450.28666881913483,442.5379588724374,444.66780650156835,435.0392802335482,338.8189048666669,157.4848537566699,1524.10955915153,1020.8948164640292,968.3997961480677,737.7166318798255,547.6884197199702,782.3259357621016,400.86583904864045,0.5000717315719471,1.7680252475525182,1.5015051336155585,1.2916837693341057,1.0757239845002031,0.8408377256062358,1.2218893045320784,0.7885917189775705,1.500806529659639,5.300002262004298,4.502270126568739,3.874178819128991,3.2263262901089953,2.5220457382975874,3.6647991556356385,2.3654830320527664,0.12079618587838674,0.11036297082682851,0.10470296107414763,0.12295523368054088,0.1224610344331925,0.12980594218215497,0.1299799062266478,0.12223237697275238,1259.8788300533593,1524.10955915153,2041.7896329280584,968.3997961480677,3688.5831593991275,547.6884197199702,2346.9778072863046,1202.5975171459213
2050,NB,7,2092.4094481709385,9156.932029686659,7422.764039227883,6282.639079524906,6719.365914258552,6397.726009071997,5565.185991135619,4507.849278059234,209.77055182906153,952.3759703133422,819.4799607721163,460.55692047509325,674.2540857414479,997.113990928002,1179.8140088643813,439.506721940766,85.27248837745432,1191.9274978365634,2950.343996811276,407.3087689756795,1577.2277902254627,3471.2666240339004,4120.69969771545,343.54908749245647,0.5173038082092041,1.791016580166364,5.14999989658244,1.1508284844817924,3.2752022737105455,5.149987450196713,5.149997633360225,1.1288206374426348,1.5519987887891724,5.370169861955262,15.44999842121184,3.4518467176672787,9.819282812480324,15.449685348306085,15.449900706731734,3.3859722124363754,0.11390085756336484,0.11775785477816474,0.12430287266139321,0.08537319136272603,0.1139902239265256,0.16856210242276362,0.21865684919544984,0.11104584916713277,682.1799070196346,1191.9274978365634,5900.687993622552,407.3087689756795,7886.138951127314,3471.2666240339004,12362.099093146351,1030.6472624773694
2050,NB,8,2166.7493684036285,9439.230654206027,7246.6224841981475,6199.587086716661,6718.442445756144,6489.532078112458,5934.322594403273,4665.637760205562,241.9866315963714,1119.6613457939739,1362.229515801852,853.4049132833388,1006.3255542438569,1230.6759218875413,1107.7334055967278,501.03023979443805,1642.047302337533,27572.1009669752,52730.59399848136,17947.633869611316,44234.445995036316,60054.36474733386,54233.157348796725,7769.9538420236595,0.613895284090651,2.5136453921110724,3.9499991697418024,1.947372269074645,4.413085187361079,5.149998765141123,5.149999950810576,1.5957280630790125,1.8411200971586623,7.460719898716553,11.71077850441146,5.814870375469484,8.833452773509928,15.449983024970994,15.449999179575661,4.771262778911178,0.12557591220267367,0.1325090272999248,0.1977434905624945,0.15116234376829313,0.14694457479107656,0.1994401894808732,0.19680088228070633,0.1212067961694318,13136.378418700264,27572.1009669752,105461.18799696272,17947.633869611316,221172.22997518157,60054.36474733386,162699.47204639018,23309.861526070978
