Year,Direction,Segment,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
2050,NB,1,5514.8213070210395,48187.376852753,120211.64163481886,21109.94425384576,129810.35077938787,11626.385023808527,98538.68767720638,26215.431004819908
2050,NB,2,3620.707285642551,48053.84292433399,100661.15505285606,18244.845806739228,31299.418515553552,6995.668940874397,21588.155442213505,3673.6154692529503
2050,NB,3,6403.6016587186905,27144.026467710853,135682.76164759288,15503.847563482537,73756.74360394927,12486.909750306306,46884.52521443216,7152.3345575842795
2050,NB,4,6077.541806608112,5563.716561920765,35120.41068980959,9046.153297476627,66769.2910150965,14261.977390352216,52751.31995235743,6956.559133498466
2050,NB,5,3546.6698713133233,9905.219729181787,50164.06776290547,13900.06662891803,36226.98803919499,8764.333912747396,27512.792114325588,4485.708847966142
2050,NB,6,1033.6387349509514,1497.697959595591,2623.170781841556,869.673357447863,3445.011688506154,535.4127369332634,2892.5103407943952,1153.0038261645725
2050,NB,7,608.4172963571643,1573.6576774525229,5317.514438793538,443.2117318606198,7482.544828185232,2676.0675048885646,9157.00620925917,1033.5644360965514
2050,NB,8,11518.113603273936,35151.190487158114,108848.47711169499,17617.242885798063,190021.48567771778,43801.61205793489,125075.93915535236,22036.713504297957
2050,SB,1,7240.152200273053,17797.727690208725,43071.360453510584,17237.61239345168,138694.08882756153,29787.17470005424,99335.29077381133,13028.828838680369
2050,SB,2,4213.001486683335,3947.1187203103013,20138.631488380597,8061.4540447382215,95191.47092411791,22895.237855692314,61739.34426124757,17212.81909283249
2050,SB,3,6202.860787630293,5510.09227553462,21688.21536609541,8081.684959463301,74580.71736169598,16199.73719385627,149764.80126757442,34203.33788850914
2050,SB,4,5149.684783798721,4262.762279523978,17285.858376332515,8767.339972613223,110027.26333775048,57329.28666356154,79928.25364967182,26496.929167747672
2050,SB,5,3365.339193876095,12779.593512381967,17111.22845106838,7421.968920829597,39151.20125359114,5466.978147106394,19225.323090705864,4150.894919524029
2050,SB,6,1300.5856194571084,514.489776195348,2469.6696317808687,808.9361484988733,5178.05216856143,1082.27082182401,4269.755316363638,2093.0012645888255
2050,SB,7,453.57395648689163,677.3749540853958,3991.317888635294,2534.2958426976634,7575.280725130725,2519.595716510365,11557.101164631315,1144.401865412588
2050,SB,8,9240.824570777007,15608.43826458889,75866.89145594923,37384.69789249057,207637.94681098257,58047.30385251606,424004.5039855386,27165.14795525241
