,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies,CaptureRateHeavies
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,NB,1,2386.782521,6514.62757,6220.262723,6796.551055,8349.571093,12460.33751,9059.5101,6456.271105,298.0174793,2112.77243,2599.637277,1717.748945,2022.328907,1684.26249,2101.5899,857.528895,896.3090271,48765.31261,60105.82082,21672.09067,27251.85845,12816.94383,32846.22923,9809.619927,0.595429606,5.149999975,5.149999999,2.574999992,2.961945575,1.750755305,3.584442716,2.57499944,1.785994896,15.44999944,15.44999998,7.724999957,8.845242402,5.235540644,10.70621336,7.724996097,0.135367334,0.298733612,0.359519443,0.246088689,0.237765594,0.145209125,0.229627048,0.143044863,7170.472217,48765.31261,120211.6416,21672.09067,136259.2922,12816.94383,98538.68768,29428.85978
2050,NB,2,2338.275666,7875.304683,6931.540375,7907.632925,7994.118014,8526.398963,7733.030471,4202.881562,274.1243337,2645.195317,2744.059625,1113.167075,823.6819861,948.6010369,867.7695285,489.2184378,597.7144467,48419.92321,50330.57753,19557.3711,7159.620855,7942.191503,7196.051814,1565.98415,0.542983784,5.149999679,5.149998886,4.528344905,2.400471465,2.427688451,2.398819179,0.907791038,1.628739159,15.4499984,15.44998862,13.43198569,7.173835099,7.260860443,7.177033309,2.721265534,0.114056389,0.273370425,0.308329984,0.133866651,0.101522366,0.108817788,0.10966372,0.11332898,4781.715573,48419.92321,100661.1551,19557.3711,35798.10428,7942.191503,21588.15544,4697.952451
2050,NB,3,2582.860339,9612.126652,8352.80608,8406.444992,8080.308439,8760.14522,7949.20285,4654.090086,325.539661,2098.773348,2416.79392,1634.155008,1735.191561,1787.05478,1625.09715,569.6099136,1035.2996,28467.1144,52842.83577,16674.87374,15874.33118,13578.46457,15628.17507,2969.042246,0.663589859,3.199233358,5.149999981,2.203497547,2.116693534,1.845797621,2.330787627,1.238639335,1.990343001,9.535713183,15.44999973,6.592423173,6.32941184,5.52465899,6.974013628,3.711106671,0.127193047,0.20363111,0.255257215,0.184932634,0.200874929,0.19253677,0.192878718,0.123909807,8282.396801,28467.1144,105685.6715,16674.87374,79371.65589,13578.46457,46884.52521,8907.126738
2050,NB,4,2659.84937,10828.9227,9453.006354,8942.442811,8365.360317,8925.687009,8391.088705,4793.952263,335.05063,1230.977303,1638.793646,1398.157189,1742.639683,1935.612991,1714.311295,584.1477365,981.7964008,6443.600471,17560.20534,10019.87578,14366.35099,15288.35403,17583.77332,2871.757987,0.685535082,1.383496568,2.827718422,1.734863607,2.138505748,2.151324708,2.677854285,1.309800032,2.056209693,4.137531892,8.440139517,5.193681883,6.396057135,6.438346536,8.013445657,3.924421612,0.127128678,0.115982076,0.167878385,0.153636851,0.195900141,0.202511826,0.192773107,0.123424088,7854.371206,6443.600471,35120.41069,10019.87578,71831.75496,15288.35403,52751.31995,8615.27396
2050,NB,5,2681.667837,8459.496333,6467.558493,5116.353209,5973.760734,5306.905644,5133.353547,4970.63618,332.9321634,1890.303667,2121.641507,2178.246791,1262.339266,1580.194356,1594.046453,593.5638202,572.8875276,10524.54806,25082.03388,14037.13925,7611.713488,9052.308399,9170.930705,1838.420193,0.667321362,2.429114056,5.149999988,2.574996965,2.574999995,2.574999984,2.574999997,1.362336012,2.001760363,7.272464914,15.44999985,7.724992723,7.724999851,7.724999755,7.724999961,4.084364882,0.13804966,0.228295188,0.308808668,0.373281046,0.218088388,0.286817226,0.296199345,0.133344164,4583.100221,10524.54806,50164.06776,14037.13925,38058.56744,9052.308399,27512.79211,5515.260578
2050,NB,6,1899.060445,6549.643107,5433.177559,4572.207417,4527.601187,4264.50161,4161.714358,3471.715693,213.7395548,706.156893,589.1224411,542.0925827,546.2988131,564.3983902,554.7856421,429.2843068,179.1326812,1771.406386,1311.585391,1066.369815,857.8263213,677.1350158,964.1701136,493.9743466,0.50000828,1.683380424,1.491898219,1.209298915,1.031526843,0.829614092,1.196650349,0.778598706,1.500153693,5.04605151,4.473151191,3.626928934,3.093705812,2.488409897,3.589188787,2.335598203,0.12646037,0.121651314,0.122277965,0.132493171,0.134584874,0.146098759,0.147033343,0.13755753,1433.06145,1771.406386,2623.170782,1066.369815,4289.131607,677.1350158,2892.510341,1481.92304
2050,NB,7,2302.809337,9862.851562,7772.857,6907.858735,7387.88617,6720.899462,5833.933433,5004.053781,264.6906627,1511.448438,1500.343,625.7412649,917.9138301,1618.400538,1770.866567,565.946219,102.3117487,1743.795978,2658.757219,546.6344695,1658.463576,2781.451874,3052.335403,432.0597047,0.504215697,1.677428168,2.574999927,1.163542216,2.574977368,2.574999899,2.574968325,1.119189586,1.512863273,5.029831883,7.724997693,3.489914024,7.724931292,7.724998095,7.724432039,3.357095025,0.128872674,0.166102324,0.202250416,0.10382402,0.138154708,0.24259172,0.291079464,0.127008054,818.49399,1743.795978,5317.514439,546.6344695,8292.31788,2781.451874,9157.006209,1296.179114
2050,NB,8,2388.262383,10105.42179,7495.136221,7002.796147,7118.683981,6836.365314,6213.989771,5201.707559,297.0376174,1772.078214,2188.363779,874.1038527,1556.916019,1868.334686,1724.310229,613.9924408,1875.329494,37837.9218,54424.23856,19984.36966,39481.60885,45040.03699,41691.97972,8935.993445,0.585661451,2.214445196,2.574999884,2.168372718,2.574999994,2.574999778,2.574999991,1.520654041,1.756339098,6.579088346,7.724998845,6.471904264,7.724999941,7.724990379,7.724999943,4.545499602,0.138268415,0.186459505,0.282577073,0.138675515,0.224442721,0.268364955,0.271585377,0.13195864,15002.63596,37837.9218,108848.4771,19984.36966,197408.0442,45040.03699,125075.9392,26807.98033
