,index,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenueShareHour,RevenuePerDay,RevenueShareDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,256,Night,8,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2288.5,396.3,2684.8,2684.8,3477.4,1.1,0.43467500000000003,3477.4,0.0,1.0,0.0,1876.57,324.966,2201.536,0.7309949391305771,2.192529851309215,0.13542097966735023,0.13542801834693308,82.68025966958793,247.98931939963427,69.76777171714699,69.99989337589483,1.741834630527534,3.342862234709921,3.353984142544849,-0.011121907834927836,0.005563499843853056,254.1269478143594,2034.3730521856405,44.00950141012945,352.29049858987054,298.13644922448884,2386.663550775511,19093.308406204087,386.1554520447478,193.0777260223739,3091.244547955252,2.850880262609251,8.550866420105939,0.9467398537352549,1100.8048674945692,1100.8048674945692,8806.438939956553,8806.438939956553,2033.0155825148752,352.0760112810356,2385.0915937959107,21478.4
1,257,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.375,0.375,3.479,0.715,7981.6,645.8,8627.4,8627.4,9919.0,1.1,1.6531666666666667,9919.0,0.0,1.0,0.0,6544.912,529.5559999999999,7074.467999999999,5.14999999459386,15.44999994931192,0.30215042888587257,0.30101252840109,47.11610811009413,141.34832401492778,14.881302195812177,63.59230486255858,3.5051274217018538,3.6796904988070787,15.724430357032272,-12.044739858225194,6.190786607087565,1977.5479678202942,6004.052032179707,159.40299048996758,486.3970095100324,2136.9509583102617,6490.449041689739,6490.449041689739,2455.756939290197,1227.8784696450984,7463.243060709804,20.084999978916052,60.25499980231648,5.918314676053297,49323.87805243774,49323.87805243774,49323.87805243774,49323.87805243774,1977.5479678202942,159.40299048996758,2136.9509583102617,8627.4
2,258,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.391304347826087,0.391304347826087,3.479,0.715,8151.7,668.2,8819.9,8819.9,10156.3,1.1,1.8136249999999998,10156.3,0.0,1.0,0.0,6684.393999999999,547.924,7232.317999999999,5.1499996294887564,15.449994073305364,0.3629461785176592,0.36201157692677,41.764186784149864,125.29252130365465,13.261276611512491,51.87840244950715,4.240570151808069,4.5105475294415704,17.645360009824238,-13.134812480382667,7.151251433483549,2426.07525800637,5725.62474199363,198.3548312760235,469.84516872397654,2624.4300892823935,6195.469910717607,12390.939821435213,3021.13975183444,1510.56987591722,7135.160248165559,20.08499855500615,60.25497688589092,5.9284747995421,60679.58382513569,60679.58382513569,121359.16765027138,121359.16765027138,4852.15051601274,396.709662552047,5248.860178564787,17639.8
3,259,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.479,0.715,7421.5,1092.8,8514.3,8514.3,10699.9,1.1,1.3374875,10699.9,0.0,1.0,0.0,6085.629999999999,896.0959999999999,6981.725999999999,2.574999988695174,7.724999949552814,0.25196347965327426,0.2515596029131736,52.37732862755673,157.13198554638316,28.820022229783316,66.44721664798092,2.7924074531704397,3.5215922021183768,8.11935529175889,-4.597763089640512,2.3882490744508735,1533.3565106823553,5888.143489317645,225.42155393208316,867.3784460679168,1758.7780646144383,6755.521935385562,6755.521935385562,2209.621172478605,1104.8105862393024,8490.278827521395,10.042499955911179,30.127499803255972,3.23507246587904,22190.120512662164,22190.120512662164,22190.120512662164,22190.120512662164,1533.3565106823553,225.42155393208316,1758.7780646144383,8514.3
4,260,MD,5,OP,MD,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,9502.9,869.0,10371.9,10371.9,12109.9,1.1,1.5137375,12109.9,0.0,1.0,0.0,7792.377999999999,712.5799999999999,8504.957999999999,3.2001843292409387,9.552765736149848,0.23082952033879567,0.23105159251686172,55.10871830300347,164.50323537861132,25.256525113464928,65.62225630075281,2.8900922137956635,3.5658633700060016,9.26493248571429,-5.699069115708289,2.9610376714285733,1798.7108760385836,7704.189123961416,164.6427437956653,704.3572562043347,1963.353619834249,8408.546380165752,42042.73190082876,2292.6391074255794,1146.3195537127897,9817.26089257442,12.48071888403966,37.2557863709844,3.732898570044441,28583.099687886297,28583.099687886297,142915.49843943148,142915.49843943148,8993.554380192918,823.2137189783265,9816.768099171244,51859.5
5,261,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.632,0.592,13331.2,813.4,14144.6,14144.6,15771.400000000001,1.1,1.6428541666666667,15771.400000000001,0.0,1.0,0.0,10931.584,666.9879999999999,11598.572,1.9961685430772742,5.966273354161785,0.13957181126135276,0.13965492566432422,72.02100972638767,215.26089706230755,43.93418874650687,68.90462127234636,2.591011873644805,3.395998638104578,5.326148192928791,-1.930149554824213,0.9916455250358244,1525.7409788356238,11805.459021164377,93.14815955899627,720.2518404410037,1618.88913839462,12525.710861605381,12525.710861605381,1805.1854575126126,902.5927287563063,13966.214542487389,7.785057318001369,23.26846608123096,2.2246016998872338,14045.39576388644,14045.39576388644,14045.39576388644,14045.39576388644,1525.7409788356238,93.14815955899627,1618.88913839462,14144.6
6,262,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,10498.2,662.9,11161.1,11161.1,12486.900000000001,1.1,1.5608625000000003,12486.900000000001,0.0,1.0,0.0,8608.524,543.578,9152.101999999999,3.9955782370772845,11.927457253133113,0.22118800952265763,0.22124204725140625,59.903202117517296,178.820896548161,25.256525113464928,65.91270560736581,4.590925036829893,3.550150124225067,9.26493248571429,-5.714782361489223,2.9610376714285733,1904.1022884880267,8594.097711511975,120.2623095608249,542.6376904391751,2024.3645980488516,9136.73540195115,27410.20620585345,2264.8892171705015,1132.4446085852508,10222.0107828295,15.582755124601409,46.51708328721914,4.466790829190051,35265.411563856294,35265.411563856294,105796.23469156888,105796.23469156888,5712.30686546408,360.7869286824747,6073.0937941465545,33483.3
7,263,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,6802.3,511.5,7313.8,7313.8,8336.8,1.1,1.0420999999999998,8336.8,0.0,1.0,0.0,5577.8859999999995,419.42999999999995,5997.316,2.5749999944870368,7.724999724721114,0.15723610572545324,0.15643150171633002,77.49623682201927,232.48870267911562,44.874051382246265,69.95071500091682,3.803682415317214,3.3452124112946247,5.214594911583547,-1.8693825002889226,0.9358688843632019,877.0450728205254,5925.254927179475,65.61206476488029,445.8879352351197,942.6571375854057,6371.142862414595,19113.428587243783,1073.8812671151663,536.9406335575832,7262.918732884835,10.042499978499443,30.127498926412343,2.933457064790204,10784.452535706796,10784.452535706796,32353.357607120386,32353.357607120386,2631.135218461576,196.83619429464085,2827.971412756217,21941.4
8,264,Night,8,OP,NT,1,SB,1SB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.635,0.708,2940.5,519.5,3460.0,3460.0,4499.0,1.1,0.4686458333333333,4499.0,0.0,1.0,0.0,2411.21,425.98999999999995,2837.2,0.8240829418594549,2.471469779433159,0.1210674337651818,0.12107929292740166,86.80859535586963,260.3437216319222,69.60621489984776,69.99974466346248,1.859822938899222,3.3428693365240254,3.3617687779272107,-0.018899441403185335,0.00945581753503399,291.919006968944,2648.580993031056,51.578567994143825,467.92143200585616,343.49757496308786,3116.5024250369124,24932.0194002953,446.6547109513755,223.32735547568774,4052.3452890486246,3.213923473251874,9.638732139789319,1.071449619844252,1435.3573498353294,1435.3573498353294,11482.858798682635,11482.858798682635,2335.352055751552,412.6285439531506,2747.980599704703,27680.0
9,265,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2571428571428571,0.2571428571428571,3.479,0.715,12872.8,1041.6,13914.4,13914.4,15997.599999999999,1.1,1.538230769230769,15997.599999999999,0.0,1.0,0.0,10555.695999999998,854.1119999999999,11409.807999999999,1.7883741188117506,5.337005299099865,0.11165809198069479,0.11185959653855553,77.91371809544454,232.51618437882993,51.20607513673832,69.68320027904198,2.7402320401895888,3.358054725715262,4.56977027384226,-1.2117155481269979,0.6134565654925587,1178.6288748882519,11694.171125111747,95.54062371873871,946.0593762812612,1274.1694986069906,12640.230501393007,12640.230501393007,1465.250746044468,732.625373022234,14532.34925395553,6.974659063365827,20.814320666489476,2.0544599391701492,10209.147743342251,10209.147743342251,10209.147743342251,10209.147743342251,1178.6288748882519,95.54062371873871,1274.1694986069906,13914.4
