,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours,SegDir,RevenuePerDay
0,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8000,1,6,70,3600,1,5,0.5,0,1263.9,43.8,6.4,326.9,42.5,1.287065509,3.6,1.8,0.387931034,0.387931034,3.402,0.708,1263.9,43.8,6.4,326.9,42.5,1683.5,2522.7,1.1,0.3153375,2522.7,0,1,0,1011.12,35.04,5.12,261.52,34,1346.8,1.142348798,3.427046393,3.427046393,3.427046393,3.427046393,0.0640382,0.064012703,0.064012712,0.06403262,88.1942573,264.5827719,264.5827719,264.5827719,54.95993421,69.99999678,0.297826672,0.600000028,0.764193055,-0.164193027,0.000389684,64.75030494,1199.149695,2.243005122,41.55699488,0.327745083,6.072254917,16.74581074,310.1541893,84.06686589,1599.433134,9596.598805,122.6999878,2400.000012,0.799644158,2.398932475,2.398932475,2.398932475,1.66731782,98.11632848,51.7772031,5.380817829,0.786238324,40.17206922,588.6979709,310.6632186,32.28490698,4.717429942,241.0324153,388.5018296,13.45803073,1.966470499,100.4748645,504.4011953,10101,1NB,588.6979709
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,6018.3,90.1,59.2,375.8,25.7,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,6018.3,90.1,59.2,375.8,25.7,6569.1,7670.7,1.1,0.9588375,7670.7,0,1,0,4814.64,72.08,47.36,300.64,20.56,5255.28,1.799999648,5.399998943,5.399998943,5.399998943,5.399998943,0.161998877,0.161880075,0.161878158,0.161897794,52.01592428,156.0477728,156.0477728,156.0477728,41.01463117,69.89337076,0.6300093,0.600915359,1.024024813,-0.423109453,0.182271914,779.9662751,5238.333725,11.66831578,78.43168422,7.666549579,51.53345042,48.6729528,327.1270472,847.9740932,5721.125907,5721.125907,983.9897295,6686.71027,1.259999753,3.77999926,3.77999926,3.77999926,2.088720847,1239.826817,982.7573143,44.10622503,28.97955174,183.9837256,1239.826817,982.7573143,44.10622503,28.97955174,183.9837256,779.9662751,11.66831578,7.666549579,48.6729528,847.9740932,6569.1,1NB,1239.826817
2,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,7548.6,216.2,113.3,368.1,16.7,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,7926.03,227.01,118.965,386.505,17.535,8676.045,9691.5,1.1,1.2114375,9691.5,0,1,0,6340.824,181.608,95.172,309.204,14.028,6940.836,3.599997867,10.7999936,10.7999936,10.7999936,10.7999936,0.188909391,0.188672264,0.188661652,0.188687929,48.29175008,144.8752502,144.8752502,144.8752502,25.84835338,69.04411982,1.041909775,0.60830669,1.624861722,-1.016555032,0.602857751,1197.841197,6728.188803,34.26439253,192.7456075,17.95530676,101.0096932,58.34306234,328.1619377,1308.403959,7367.641041,7367.641041,1529.529482,8646.545518,2.519998507,7.559995521,7.559995521,7.559995521,4.208411963,3854.412012,3018.558029,259.038654,135.7420387,441.07329,3854.412012,3018.558029,259.038654,135.7420387,441.07329,1197.841197,34.26439253,17.95530676,58.34306234,1308.403959,8676.045,1NB,3854.412012
3,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,5212.6,200.8,50.2,405.4,9,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,5212.6,200.8,50.2,405.4,9,5878,7208.8,1.1,0.9011,7208.8,0,1,0,4170.08,160.64,40.16,324.32,7.2,4702.4,1.773125485,5.319376456,5.319376456,5.319376456,5.319376456,0.141697427,0.14159409,0.141583961,0.14160785,55.33304142,165.9991242,165.9991242,165.9991242,43.62041204,69.95866162,0.642044048,0.600354538,0.962851978,-0.362497439,0.13945093,590.8896062,4621.710394,22.74567469,178.0543253,5.686011874,44.51398813,45.92625783,359.4737422,665.2475506,5212.752449,15638.25735,813.9634394,6394.836561,1.24118784,3.723563519,3.723563519,3.723563519,2.169507151,1010.281523,733.4049939,84.69496449,21.17222638,171.0093382,3030.844569,2200.214982,254.0848935,63.51667914,513.0280147,1772.668819,68.23702407,17.05803562,137.7787735,1995.742652,17634,1NB,3030.844569
4,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4718.4,186.6,52.8,540.6,15.4,1.287065509,3.6,1.8,0.387931034,0.387931034,3.249,0.708,4718.4,186.6,52.8,540.6,15.4,5513.8,7104.6,1.1,0.888075,7104.6,0,1,0,3774.72,149.28,42.24,432.48,12.32,4411.04,1.686202629,5.058607888,5.058607888,5.058607888,5.058607888,0.143676143,0.143587948,0.143579435,0.143610473,54.73963207,164.2188962,164.2188962,164.2188962,44.46163458,69.95936771,0.628719811,0.600348479,0.944634636,-0.344286157,0.126698791,542.3372099,4176.06279,21.43480893,165.1651911,6.064795331,46.73520467,62.1086575,478.4913425,631.9454717,4881.854528,19527.41811,811.1619952,6293.438005,1.180341841,3.541025522,3.541025522,3.541025522,2.164401124,957.4484424,640.1433006,75.90120546,21.47559505,219.9283413,3829.79377,2560.573202,303.6048218,85.9023802,879.7133653,2169.34884,85.7392357,24.25918132,248.43463,2527.781887,22055.2,1NB,3829.79377
5,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4932,154.4,41.2,419.6,10.3,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,4932,154.4,41.2,419.6,10.3,5557.5,6808.5,1.1,0.8510625,6808.5,0,1,0,3945.6,123.52,32.96,335.68,8.24,4446,1.438292142,4.314876425,4.314876425,4.314876425,4.314876425,0.15847599,0.158406152,0.158400845,0.15841859,54.14293434,162.428803,162.428803,162.428803,47.0428368,69.94584157,0.565605086,0.600464575,0.892803301,-0.292338727,0.090416856,625.2828645,4306.717135,19.56632787,134.8336721,5.220891865,35.97910814,53.17795225,366.4220478,703.2480365,4854.251963,9708.503927,859.1783805,5949.32162,1.006804499,3.020413497,3.020413497,3.020413497,1.757202934,865.024659,629.5376012,59.09840079,15.76925226,160.6194047,1730.049318,1259.075202,118.1968016,31.53850451,321.2388094,1250.565729,39.13265574,10.44178373,106.3559045,1406.496073,11115,1NB,1730.049318
6,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4744.1,95.2,28.3,379.7,10.3,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,4981.305,99.96,29.715,398.685,10.815,5520.48,6284.6,1.1,0.785575,6284.6,0,1,0,3985.044,79.968,23.772,318.948,8.652,4416.384,1.706624676,5.119874027,5.119874027,5.119874027,5.119874027,0.152419838,0.152334169,0.15233032,0.152350574,54.96442847,164.8932854,164.8932854,164.8932854,49.82943495,69.96194728,0.810455258,0.600326344,0.842875301,-0.242548958,0.055467256,607.3997611,4373.905239,12.18185879,87.77814121,3.621196362,26.09380364,48.59191089,350.0930891,671.7947272,4848.685273,9697.370546,800.5846592,5798.245341,1.194637273,3.583911819,3.583911819,3.583911819,2.033802111,956.4082741,725.6223943,43.65870771,12.97804844,174.1491237,1912.816548,1451.244789,87.31741541,25.95609688,348.2982475,1214.799522,24.36371759,7.242392724,97.18382177,1343.589454,11040.96,1NB,1912.816548
7,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,4329.7,83.7,12.9,372,29.6,1.287065509,3.6,1.8,0.387931034,0.387931034,3.399,0.592,4329.7,83.7,12.9,372,29.6,4827.9,5824.3,1.1,0.7280375,5824.3,0,1,0,3463.76,66.96,10.32,297.6,23.68,3862.32,1.048825768,3.146477305,3.146477305,3.146477305,3.146477305,0.169411205,0.169363619,0.169361139,0.169373713,52.73942374,158.2182712,158.2182712,158.2182712,51.73803541,69.96716974,0.464761548,0.600281534,0.811781887,-0.211500352,0.033701866,586.7997543,3742.900246,11.34058795,72.35941205,1.747806952,11.15219305,50.40561704,321.594383,650.2937663,4177.606234,20888.03117,777.2817902,5047.01821,0.734178038,2.202534113,2.202534113,2.202534113,1.253638299,570.6632195,430.8154922,24.97803183,3.849604436,111.020091,2853.316097,2154.077461,124.8901591,19.24802218,555.1004552,2933.998772,56.70293976,8.739034761,252.0280852,3251.468831,24139.5,1NB,2853.316097
8,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,8000,1,6,70,3600,1,5,0.5,0,1680.9,41.2,16.7,329.5,38.6,1.287065509,3.6,1.8,0.387931034,0.387931034,3.402,0.708,1680.9,41.2,16.7,329.5,38.6,2106.9,2958.9,1.1,0.3698625,2958.9,0,1,0,1344.72,32.96,13.36,263.6,30.88,1685.52,0.606199163,1.81859749,1.81859749,1.81859749,1.81859749,0.188569678,0.188556609,0.188555992,0.18856387,56.11078082,168.3323425,168.3323425,168.3323425,54.94503068,69.99831999,0.220768267,0.6000144,0.764400338,-0.164385937,0.000534782,253.5734175,1427.326583,6.214825837,34.98517416,2.519108051,14.18089195,49.70543605,279.7945639,312.0127874,1794.887213,10769.32328,428.8915273,2530.008473,0.424339414,1.273018243,1.273018243,1.273018243,0.833278941,181.9955795,107.6011954,7.911586666,3.206870505,63.27592686,1091.973477,645.6071726,47.46951999,19.24122303,379.6555611,1521.440505,37.28895502,15.11464831,298.2326163,1872.076724,12641.4,1SB,1091.973477
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,8000,1,6,70,3600,1,5,0.5,0,3134,127.4,54.1,429.9,41.2,1.287065509,3.6,1.8,0.387931034,0.387931034,3.246,0.715,3134,127.4,54.1,429.9,41.2,3786.6,5091.8,1.1,0.636475,5091.8,0,1,0,2507.2,101.92,43.28,343.92,32.96,3029.28,0.901620909,2.704862726,2.704862726,2.704862726,2.704862726,0.163397656,0.163364745,0.163362114,0.163375601,51.79170446,155.3751134,155.3751134,155.3751134,53.43331986,69.98663245,0.419902089,0.600114601,0.786026399,-0.185911798,0.015673025,409.6706042,2724.329396,16.65013478,110.7498652,7.070312281,47.02968772,56.18813668,373.7118633,489.5791879,3297.020812,3297.020812,649.3963554,4442.403645,0.631134636,1.893403908,1.893403908,1.893403908,1.195944081,409.8565325,258.5573077,31.52543027,13.38695691,106.3868376,409.8565325,258.5573077,31.52543027,13.38695691,106.3868376,409.6706042,16.65013478,7.070312281,56.18813668,489.5791879,3786.6,1SB,409.8565325
