,Unnamed: 0,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours,SegDir,RevenuePerDay
0,0,Night,8,OP,NT,1,NB,1NB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.402,0.708,1542.3,257.8,1800.1,1800.1,2315.7,1.1,0.2894625,2315.7,0,1,154.23,1138.2174,211.396,1476.082,1.799397511,5.395276193,0.000399319,0.000222622,107243.5812,321556.9308,69.95891629,69.99999956,0,3.342857164,3.344820252,-0.001963088,0.001374176,154.6845123,1233.385488,0.047061295,257.7529387,154.7315736,1491.138426,11929.10741,154.8256962,2006.644304,7.017650291,21.04157715,1.80049119,1086.512057,8692.096455,1237.476099,0.376490358,1237.852589,14400.8,1NB,8692.096455
1,1,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.375,0.375,3.246,0.715,5346.918489,417.693837,5764.612326,5799.2,6639.6,1.1,1.1066,6600,39.6,0.994035785,537.9,3943.395161,342.5089463,4726.982107,1.799999201,5.399993206,0.191178668,0.190816826,52.19573256,156.5870702,42.04706845,69.51771259,3.104400969,3.366048612,5.565191787,-2.199143174,1.555634251,1291.793036,3517.225453,65.35646994,352.337367,1357.149506,3869.56282,3869.56282,1487.862446,4574.237554,7.019996884,21.0599735,1.973364699,10444.78861,10444.78861,1291.793036,65.35646994,1357.149506,5764.612326,1NB,10444.78861
2,2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.391304348,0.391304348,3.246,0.715,4978.019417,393.9935275,5372.012945,5928.4,6798,1.1,1.213928571,6160,638,0.906148867,549.36,3631.500722,323.0746926,4405.050615,1.799999972,5.399999439,0.2880613,0.287784194,44.40010182,133.2002937,39.89631306,67.97642044,3.875018874,3.442370141,5.865203625,-2.422833484,1.765642538,1595.45482,2833.204598,92.97578989,301.0177376,1688.430609,3134.222336,6268.444671,1874.382189,3736.257811,7.019999891,21.05999781,1.998238971,13158.16259,26316.32518,3190.909639,185.9515798,3376.861219,10744.02589,1NB,26316.32518
3,3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.246,0.715,5001.5,711,5712.5,5712.5,7134.5,1.1,0.8918125,7134.5,0,1,500.15,3691.107,583.02,4684.25,1.38594376,4.153902564,0.120927021,0.12096584,62.04784398,185.9676458,55.16835412,69.90037526,2.919734555,3.347621513,4.241562101,-0.893940588,0.629093471,946.5045734,3554.845427,70.52550432,640.4744957,1017.030078,4195.319922,4195.319922,1158.081086,5476.268914,5.405180663,16.20022,1.577886648,6258.556903,6258.556903,946.5045734,70.52550432,1017.030078,5712.5,1NB,6258.556903
4,4,MD,5,OP,MD,1,NB,1NB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.249,0.708,6404.2,565.4,6969.6,6969.6,8100.4,1.1,1.01255,8100.4,0,1,640.42,4726.2996,463.628,5715.072,1.799999709,5.39998799,0.134683694,0.134223215,59.89286168,179.6782145,45.62359695,69.58283637,2.961399029,3.362898269,5.128924847,-1.766026578,1.250247393,1276.97549,4486.80451,62.22964077,503.1703592,1339.205131,4989.974869,24949.87435,1463.664412,5996.315588,7.019998866,21.05995316,1.967282504,10274.91981,51374.59906,6384.87745,311.1482039,6696.025654,34848,1NB,51374.59906
5,5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.272727273,0.272727273,3.399,0.592,8974.172043,528.6093191,9502.781362,9513.4,10571.8,1.1,1.101229167,10560,11.8,0.998883823,898.42,6622.116675,433.4596417,7792.280717,2.722140631,8.13968938,0.116794785,0.116871916,64.66630604,193.3638691,35.43454437,68.473386,2.903786868,3.417386136,6.603725381,-3.186339245,2.282607767,1671.848696,6403.903346,50.65925904,477.9500601,1722.507955,6881.853406,6881.853406,1823.826473,7837.753527,10.61634846,31.74478858,2.881471684,19357.0958,19357.0958,1671.848696,50.65925904,1722.507955,9502.781362,1NB,19357.0958
6,6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.399,0.592,7075,431.3,7506.3,7506.3,8368.9,1.1,1.0461125,8368.9,0,1,707.5,5221.35,353.666,6155.166,1.799997895,5.399959945,0.179214717,0.178820921,57.3278095,171.9823539,46.50588281,68.34204118,3.45532664,3.423953923,5.031621504,-1.60766758,1.182135052,1643.242761,4724.257239,63.24287995,368.05712,1706.485641,5092.314359,15276.94308,1832.971401,5828.428599,7.019991789,21.05984378,1.93341359,12867.43586,38602.30758,4929.728282,189.7286399,5119.456922,22518.9,1NB,38602.30758
7,7,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.310344828,0.310344828,3.402,0.708,4584.2,332.8,4917,4917,5582.6,1.1,0.697825,5582.6,0,1,458.42,3383.1396,272.896,4031.94,0.911261027,2.731655825,0.1217564,0.121783642,72.31654241,216.7808107,65.9487267,69.96468656,2.158925287,3.344544391,3.548211038,-0.203666647,0.143747726,870.3388968,3255.441103,33.23426873,299.5657313,903.5731656,3555.006834,10665.0205,970.041703,4154.138297,3.553918006,10.65345772,0.978216856,3447.172954,10341.51886,2611.016691,99.70280619,2710.719497,14751,1NB,10341.51886
8,8,Night,8,OP,NT,1,SB,1SB,3.9,70,9600,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.272727273,0.272727273,3.402,0.708,1981.7,338,2319.7,2319.7,2995.7,1.1,0.312052083,2995.7,0,1,198.17,1462.4946,277.16,1902.154,0.757260966,1.592072802,0.030630311,0.085273614,36750.59462,77264.8067,69.94953329,69.99996621,0,3.342858756,3.345268925,-0.002410168,0.001688247,242.9666646,1540.563335,23.63443496,314.365565,266.6010996,1854.9289,14839.4312,313.8699695,2483.66003,2.953317768,6.209083929,0.83126781,864.3059579,6914.447663,1943.733317,189.0754797,2132.808797,18557.6,1SB,6914.447663
9,9,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.257142857,0.257142857,3.246,0.715,8675.3,677.7,9353,9353,10708.4,1.1,1.029653846,10708.4,0,1,867.53,6402.3714,555.714,7669.46,2.274389811,6.795387802,0.103259735,0.103406692,67.12614921,200.5585029,41.15921353,69.01022694,2.805087942,3.390801775,5.685239826,-2.294438051,1.639667878,1528.637176,6279.132824,57.46454645,620.2354536,1586.101722,6899.368278,6899.368278,1701.030815,8139.839185,8.870120262,26.50201243,2.438185799,15082.12171,15082.12171,1528.637176,57.46454645,1586.101722,9353,1SB,15082.12171
