,Unnamed: 0,index,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,0,256,Night,8,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2288.5,396.3,2684.8,2684.8,3477.4,1.1,0.434675,3477.4,0.0,1.0,274.62,1651.3816,324.966,2201.536,0.6259095601749388,1.8774836664625292,0.1231286122748052,0.1231307723140291,90.60114952911944,271.76798251189564,69.75157317669102,69.99807003782468,1.3539341656087802,3.3429493109389163,3.354763044659129,-0.0118137337202122,0.00833413126139,203.33232474414746,1810.5476752558525,40.01331455580078,356.28668544419924,243.34563929994823,2166.8343607000515,17334.674885600412,597.9922684115498,2879.40773158845,2.4410472846822615,7.322186299203864,0.831705844623876,789.328762831052,6314.630102648416,1626.6585979531797,320.10651644640626,2221.3851143995857,21478.4
1,1,257,AM-Early,1,OP,AM,1,NB,1NB,3.9,70,6000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.375,0.375,3.479,0.715,7981.6,645.8,8627.4,8627.4,9919.0,1.1,1.653166666666667,9919.0,0.0,1.0,957.792,5759.522559999999,529.5559999999999,7074.467999999999,5.149999961992692,15.449999705436245,0.3220848311254632,0.3212432280961221,61.61631275772909,184.8489361131247,16.488787804899843,35.69762061801966,1.3939862894352295,6.555058739177705,14.191461662843649,-7.636402923665944,7.594023163990554,1855.0548511008953,5168.753148899104,170.11627889767,475.68372110232997,2025.1711299985654,5644.436870001435,5644.436870001435,3323.195687793905,6595.804312206094,20.0849998517715,60.25499885120135,6.015209624053603,47509.13259893924,47509.13259893924,1855.0548511008953,170.11627889767,2982.9631299985654,8627.4
2,2,258,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,70,5600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.391304347826087,0.391304347826087,3.479,0.715,8151.7,668.2,8819.9,8819.9,10156.3,1.1,1.813625,10156.3,0.0,1.0,978.204,5882.26672,547.924,7232.317999999999,5.149999790977042,15.449999553925831,0.3166281973347852,0.3166281944993081,30.87299403228601,92.61898318187718,10.202833345632042,34.559476749700515,3.3007626380332256,6.770935847633393,22.934805663583465,-16.163869815950072,13.714363964508424,1862.4915077959995,5311.004492204001,173.4881868428389,494.71181315716115,2035.9796946388383,5805.716305361162,11611.432610722324,3361.160068324516,6795.139931675484,20.084999184810464,60.25499826031074,6.027674695133019,47861.67081219878,95723.34162439757,3724.983015591999,346.9763736856778,5050.163389277676,17639.8
3,3,259,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.479,0.715,7421.5,1092.8,8514.3,8514.3,10699.9,1.1,1.3374875,10699.9,0.0,1.0,890.5799999999999,5355.3544,896.0959999999999,6981.725999999999,3.3032186876487177,9.88485159752302,0.223115911286277,0.2232317006281387,61.19206569489313,183.11669481697476,25.900657760354296,56.206829752128,1.8813645438154327,4.163195131836104,9.034519592710108,-4.871324460874004,3.984163714897076,1194.8647772169732,5336.055222783027,200.03703400607256,892.7629659939274,1394.9018112230458,6228.818188776954,6228.818188776954,2685.555879235191,8014.344120764808,12.88255288183,38.55092123033978,4.247063132910171,23104.52062025258,23104.52062025258,1194.8647772169732,200.03703400607256,2285.481811223046,8514.3
4,4,260,MD,5,OP,MD,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,9502.9,869.0,10371.9,10371.9,12109.9,1.1,1.5137375,12109.9,0.0,1.0,1140.348,6857.29264,712.5799999999999,8504.957999999999,3.4802842869831783,10.390752993638795,0.186812205468302,0.187031475913746,65.1305046293774,194.45393828489267,25.256525113464928,52.546614353760994,1.6711344219396198,4.453188904324748,9.26493248571429,-4.811743581389542,4.145452740000002,1281.0259616199548,7081.526038380045,133.2748891066171,735.7251108933829,1414.300850726572,7817.251149273428,39086.25574636714,2821.198628939806,9288.701371060193,13.573108719234394,40.5239366751913,4.131483747183695,22788.32781577913,113941.63907889565,6405.129808099774,666.3744455330856,8211.85225363286,51859.5
5,5,261,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.632,0.592,13331.2,813.4,14144.6,14144.6,15771.4,1.1,1.6428541666666667,15771.4,0.0,1.0,1599.744,9619.79392,666.9879999999999,11598.572,1.7755544307151334,5.307590587066017,0.0853038423074644,0.0853795530655038,92.7609808648398,277.2865198432344,43.93418874650687,59.362040632970434,1.0346413484732626,3.941913005430501,5.326148192928791,-1.38423518749829,1.388303735050154,820.6053835819848,10910.850616418016,56.94713734005424,756.4528626599457,877.5525209220391,11667.303479077962,11667.303479077962,2591.1907956021473,13180.209204397854,6.92466227978902,20.699603289557466,2.0047593424330272,6861.198297697038,6861.198297697038,820.6053835819848,56.94713734005424,2477.2965209220392,14144.6
6,6,262,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,10498.2,662.9,11161.1,11161.1,12486.9,1.1,1.5608625000000005,12486.9,0.0,1.0,1259.784,7575.501120000001,543.578,9152.102,4.043795395682242,12.07569818168311,0.1747846787675864,0.1748702827301474,71.19064238695647,212.591544998281,25.256525113464928,51.11295945641795,2.465696410556378,4.578095310632968,9.26493248571429,-4.6868371750813225,4.145452740000002,1324.0815297626912,7914.334470237311,95.05563854588806,567.8443614541119,1419.1371683085792,8482.178831691423,25446.536495074266,2869.0324454003553,9617.867554599647,15.770802043160742,47.09522290856413,4.581782607286158,25358.49418092735,76075.48254278206,3972.2445892880733,285.16691563766415,5517.195504925738,33483.3
7,7,263,PM-Late,3,OP,NT,1,NB,1NB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,6802.3,511.5,7313.8,7313.8,8336.8,1.1,1.0420999999999998,8336.8,0.0,1.0,816.276,4908.53968,419.43,5997.316,3.3120703946336065,9.894353315467638,0.1175250089923768,0.1176881501611208,94.08171988547588,281.05615707383936,41.245558381209015,69.42372886148054,3.068043262399613,3.370605466423368,5.673338152856905,-2.302732686433538,1.6313367069998332,576.8761700314384,5409.147829968562,49.3619408220789,462.1380591779211,626.2381108535172,5871.285889146483,17613.85766743945,1541.237992497675,6795.562007502325,12.917074539071065,38.58797793032379,3.8309054102310376,9356.329971150253,28068.989913450758,1730.628510094315,148.0858224662367,2694.990332560552,21941.4
8,8,264,Night,8,OP,NT,1,SB,1SB,3.9,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.635,0.708,2940.5,519.5,3460.0,3460.0,4499.0,1.1,0.4686458333333333,4499.0,0.0,1.0,352.86,2121.8648,425.99,2837.2,0.6873117592584794,2.061525088193258,0.1060094330562059,0.1060144194048091,96.59553813206016,289.7289659085864,69.57289417474767,69.99454836721029,1.3806180311931795,3.3431175064145404,3.3633788384921486,-0.0202613320776081,0.0143651869445042,224.9376844699197,2362.7023155300803,45.16108252225463,474.3389174777454,270.0987669921743,2837.0412330078257,22696.329864062605,713.2809320366837,3785.719067963317,2.6805158611080695,8.039947843953707,0.9170831212025491,966.0417790379586,7728.334232303669,1799.5014757593576,361.28866017803705,2513.6501359373947,27680.0
9,9,265,AM-Early,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2571428571428571,0.2571428571428571,3.479,0.715,12872.8,1041.6,13914.4,13914.4,15997.6,1.1,1.538230769230769,15997.6,0.0,1.0,1544.736,9289.012479999998,854.1119999999999,11409.808,2.5749998764587705,7.724955990049883,0.1656022748326132,0.1656022744039418,-163.73624782760854,-491.2059685935402,51.20607513673832,31.648914775880904,-1.162994028342933,7.393618443382691,4.56977027384226,2.8238481695404305,0.858839191689582,1538.2815976365334,9789.782402363466,141.4428897956995,900.1571102043004,1679.724487432233,10689.939512567766,10689.939512567766,3507.346267023632,12490.253732976367,10.042499518189205,30.127328361194543,3.0086571104143744,19709.4885883355,19709.4885883355,1538.2815976365334,141.4428897956995,3224.460487432233,13914.4
