,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,NB,1,2166.8343607000515,5644.436870001435,5805.716305361162,6228.818188776954,7817.251149273428,11667.303479077962,8482.178831691423,5871.285889146483,243.34563929994823,2025.1711299985654,2035.9796946388383,1394.9018112230458,1414.300850726572,877.5525209220391,1419.1371683085792,626.2381108535172,789.328762831052,47509.13259893924,47861.67081219878,23104.52062025258,22788.32781577913,6861.198297697038,25358.49418092735,9356.329971150253,0.6259095601749388,5.149999961992692,5.149999790977042,3.3032186876487177,3.4802842869831783,1.7755544307151334,4.043795395682242,3.3120703946336065,1.8774836664625292,15.449999705436245,15.449999553925831,9.88485159752302,10.390752993638795,5.307590587066017,12.07569818168311,9.894353315467638,0.1231286122748052,0.3220848311254632,0.3166281973347852,0.223115911286277,0.186812205468302,0.0853038423074644,0.1747846787675864,0.1175250089923768
2050,NB,2,2127.3305419912194,7194.880490060542,6381.198226220479,6982.77524652179,7186.814474297848,7653.919759366174,5817.2183437165495,3793.3345672035684,217.88945800878082,2155.991509939458,2219.969773779521,1092.1607534782102,662.1775257021507,748.2922406338255,1811.1136562834504,374.44943279643184,502.456152270531,40115.61970368824,41391.93623131154,18984.45498903325,6258.815895229346,6783.855453072495,32681.28608832143,1208.8283142247094,0.5597062685231221,5.1499997563110025,5.149999840582965,4.379709415162703,2.5645824535183657,2.595146674747199,5.149995877003527,0.9018067302367933,1.678921734229056,15.449998876051016,15.449999201673355,13.146869980142291,7.66615037194814,7.762559022907411,15.44994179969198,2.703518800229121,0.1009862863541045,0.250615026845799,0.2805445290052177,0.1471835069673232,0.091689313899657,0.0967990168187333,0.2580645154050818,0.0976545282646217
2050,NB,3,2345.153692025027,9031.236001774441,7609.234373836049,7846.562949993529,7527.813750357877,8185.938382437504,7360.956278398142,4182.786952246289,265.7783079749729,1377.6999982255586,1964.457626163952,1141.2530500064722,1209.258249642122,1167.069617562496,1130.8117216018582,457.1850477537099,912.3687255256833,22411.50309603723,43668.38269404096,13570.766315056702,12764.027916039071,9772.358405816893,11640.449230706568,2503.3834374187218,0.698148784071718,3.7770627185806736,5.14999963439665,2.508670803575872,2.3995455040136298,2.008160438168177,2.462436437513038,1.2816934250804544,2.094090756264548,11.249937201445508,15.44999638882444,7.505748154959495,7.174573765822744,6.010006000494302,7.368205885409527,3.8404835457210167,0.1156748147277499,0.1503791085355899,0.2333415740953327,0.1442764960926714,0.1572652494492996,0.1417923170595815,0.1513210628816515,0.1119647496579042
2050,NB,4,2414.9521785013617,8773.606356529932,8766.47183477258,7300.475248794325,7799.191865685039,8368.464224322453,7805.9923338430835,4306.69968399593,273.6358214986384,1945.533643470067,1093.636165227421,1955.8767512056747,1198.2561343149616,1263.087775677545,1184.5476661569176,470.42831600407067,865.844449261638,19267.707601821858,12931.880206393707,21306.936825872137,11397.950871045665,11248.61316833603,13392.248360734015,2437.8394226743003,0.7215132522279231,2.574982178437902,3.0708946452476265,2.5749857791085846,2.424365810563094,2.3947339516904838,2.901766834254968,1.3599803498595109,2.164187641256873,7.7248148516508515,9.164680232360828,7.72489022914504,7.25025898352217,7.1657023617668365,8.683520604583553,4.075092888468496,0.1156547293560115,0.2062510318953084,0.1260220133418209,0.2401148119937839,0.1513253458819842,0.1490200902720743,0.149716520560133,0.1118998892093698
2050,NB,5,2433.3041438785663,7894.922667670659,5628.144884876157,4839.738929150381,5690.765154733938,5041.307607881542,4903.743742525829,4461.562879699774,271.8758561214338,1303.8253323293418,2006.635115123843,1689.5370708496189,751.2708452660612,1065.804392118457,1063.6842574741725,480.6291203002252,504.3368160353239,8531.696769274227,24110.17638563467,22286.301232487047,9218.9195620607,12366.585921021313,12400.64036143926,1575.1839589684744,0.7013961494652308,2.810111808206069,5.1499992201033615,5.149999963670061,5.149995381564306,5.149998230567962,5.149999835644521,1.4200195278979029,2.104003545486969,8.412369579263327,15.449980854779907,15.449999921305537,15.449961013874692,15.449989594804508,15.449997161603006,4.257195653254697,0.125627043901266,0.1771665334204008,0.3285351987177158,0.3234918500225042,0.1458375100819572,0.2181822560502419,0.2228446749185558,0.1215607636759764
2050,NB,6,1712.7586111477008,5879.461669198952,4904.71497595397,4127.433331180866,4074.5620411275627,3837.3441934984317,3748.6487197664524,3126.1010951333333,183.1893888522989,569.3863308010478,448.39302404603063,450.28666881913455,442.53795887243734,444.6678065015682,435.0392802335482,338.8189048666666,157.48485375666985,1524.1095591515295,1020.894816464029,968.3997961480671,737.7166318798254,547.6884197199698,782.3259357621016,400.8658390486401,0.5000717315719471,1.7680252475525182,1.5015051336155585,1.2916837693341057,1.0757239845002031,0.8408377256062358,1.2218893045320784,0.7885917189775705,1.500806529659639,5.300002262004298,4.502270126568739,3.874178819128991,3.2263262901089957,2.5220457382975874,3.6647991556356394,2.3654830320527664,0.1207961858783867,0.1103629708268285,0.1047029610741476,0.1229552336805408,0.1224610344331925,0.1298059421821549,0.1299799062266478,0.1222323769727523
2050,NB,7,2092.4094481709385,9156.932029686659,7422.764039227883,6282.639079524906,6719.365914258552,6397.726009071997,5565.18599113562,4507.849278059234,209.77055182906147,952.3759703133419,819.4799607721163,460.5569204750931,674.2540857414479,997.1139909280017,1179.814008864381,439.50672194076566,85.2724883774543,1191.9274978365631,2950.343996811276,407.3087689756794,1577.2277902254625,3471.2666240338995,4120.69969771545,343.54908749245624,0.5173038082092041,1.791016580166364,5.14999989658244,1.1508284844817924,3.275202273710545,5.149987450196713,5.149997633360225,1.1288206374426348,1.5519987887891724,5.370169861955262,15.44999842121184,3.4518467176672787,9.819282812480324,15.449685348306083,15.449900706731734,3.385972212436376,0.1139008575633648,0.1177578547781647,0.1243028726613932,0.085373191362726,0.1139902239265256,0.1685621024227636,0.2186568491954498,0.1110458491671327
2050,NB,8,2166.749368403628,9439.230654206027,7246.6224841981475,6199.587086716661,6718.442445756144,6489.532078112458,5934.322594403273,4665.637760205562,241.9866315963713,1119.6613457939739,1362.229515801852,853.4049132833386,1006.3255542438567,1230.6759218875413,1107.7334055967276,501.030239794438,1642.0473023375323,27572.100966975195,52730.593998481345,17947.633869611313,44234.44599503631,60054.36474733385,54233.15734879672,7769.953842023659,0.613895284090651,2.5136453921110724,3.9499991697418015,1.947372269074645,4.413085187361079,5.149998765141123,5.149999950810576,1.5957280630790125,1.8411200971586623,7.460719898716553,11.71077850441146,5.814870375469484,8.833452773509928,15.449983024970994,15.44999917957566,4.771262778911178,0.1255759122026736,0.1325090272999248,0.1977434905624945,0.1511623437682931,0.1469445747910765,0.1994401894808732,0.1968008822807063,0.1212067961694318
