,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1490.134666,4163.602908,4180.898488,4195.32996,5070.020399,6892.368642,5375.714135,3555.007152,155.7353339,1097.697092,1130.11927,1017.02004,1259.159601,1722.611358,1423.085865,903.5728479,3285.62703,13156.63686,23383.79131,6258.612779,10937.15776,19364.5016,15959.69616,3447.175289,5.39982744,2.842494846,4.900318717,1.385972311,2.047915261,2.723029071,2.703670285,0.911262316,16.19873674,8.503259698,14.62903447,4.154031121,6.129409238,8.142356557,8.091350892,2.731681045,0.001198504,0.129745454,0.133336806,0.12092507,0.11921158,0.116665619,0.128352267,0.12175648
2032,NB,2,1674.222793,5226.814832,4208.792227,5162.653275,5060.14556,5373.439707,4887.517331,2654.243718,174.7372067,1567.115748,1690.66096,1210.246725,1146.61444,1279.550293,1152.372669,643.8662821,2931.162362,28386.85277,31014.29754,7971.361044,3856.548884,4099.723777,4471.535942,1161.807992,5.399883455,5.399999385,5.399999944,1.873477464,1.002196438,0.97883059,1.184486555,0.543804313,16.19875701,16.19999397,16.19999966,5.611967332,3.003230719,2.93386722,3.550008621,1.631402737,0.001197844,0.129779304,0.183523812,0.102046256,0.091039572,0.095663451,0.09416662,0.100417303
2032,NB,3,1684.540371,5826.461295,5005.014438,5744.895402,5560.835842,5909.26689,5373.634266,2922.809898,374.0196292,1720.905851,1757.885819,1348.434598,1348.204158,1496.49311,1349.755734,749.0601025,798.8210559,37163.38914,38304.57915,16961.73545,11277.21749,10640.94122,9594.806131,2073.065611,0.500211831,5.399999923,5.399999551,2.997986128,2.078386868,1.814679863,1.812376086,0.696618816,1.50109267,16.19999882,16.1999981,8.966591683,6.218010479,5.433463673,5.427590703,2.088808953,0.100251924,0.132437006,0.165499869,0.10689736,0.106989167,0.111083066,0.109764659,0.114948433
2032,NB,4,1727.982807,6910.343425,6275.497464,5943.560766,5726.513578,6063.287954,5673.029575,3009.406802,391.8571926,1570.386575,1525.192536,1361.809234,1388.346422,1563.062046,1437.740425,771.0131976,747.9860827,11230.68669,20711.10261,12259.17797,11540.56422,12973.61448,13743.3,1978.156665,0.500004856,2.023632464,3.822342957,2.411087396,2.315786923,2.373096721,2.665736478,0.724065606,1.500009038,6.050022291,11.4018604,7.216825252,6.927796388,7.102891531,7.980524298,2.171153142,0.103837484,0.094190394,0.106089451,0.102712032,0.106986158,0.114359961,0.114500548,0.114895132
2032,NB,5,1834.899796,6188.706474,4121.837368,3695.947025,4283.145717,3977.622938,3863.426997,3299.919097,422.7402038,1512.433526,1509.828776,1167.061218,1107.114283,1139.067062,1135.663003,838.4909032,488.4950149,11454.40694,17804.86855,14505.06133,4952.042795,6642.687637,7429.705937,1439.740049,0.500009734,3.519864386,5.399999774,5.399998907,2.043898368,2.738393621,3.060260263,0.800076088,1.500021945,10.53126008,16.19998861,16.19999437,6.126014618,8.208766041,9.172234847,2.399516041,0.116816807,0.117616199,0.190191162,0.165407076,0.13071267,0.147864497,0.153914907,0.124685392
2032,NB,6,1433.538213,4363.318323,3637.938421,3070.97425,3019.179687,2831.31745,2766.516354,2312.415975,148.8517874,1035.621677,843.481579,752.6057497,760.4603132,756.20255,738.3336462,589.0340249,1045.473112,1277.087863,1101.360241,801.4217698,681.2750374,543.2922717,799.4078403,420.9430047,5.399782833,0.883163783,0.935793879,0.719233774,0.630837192,0.520557311,0.782471923,0.512205654,16.19567125,2.648716936,2.806641465,2.157473482,1.892317038,1.561552878,2.34706945,1.536577947,0.000375064,0.111910719,0.107527212,0.125989546,0.125475354,0.13307327,0.133272834,0.125190327
2032,NB,7,1739.93739,6902.27362,5564.885269,4700.943364,4993.646617,4869.664455,4399.936432,3339.562038,181.8826102,1561.18638,1335.344731,931.4166363,1193.073383,1325.865545,1250.833568,803.2079622,588.9380271,1946.778869,1973.743549,418.566484,1031.754484,1855.547736,2505.74424,352.4243064,5.395165126,1.941123029,2.291265459,0.672513577,1.325287524,2.195194093,3.130607801,0.68363396,16.14860993,5.820408721,6.870630759,2.017518659,3.975034869,6.583779119,9.388574667,2.050970039,0.000211785,0.102711755,0.114084634,0.086661083,0.114921801,0.137093291,0.146528623,0.113778071
2032,NB,8,1487.056676,5835.630208,4723.551186,3934.951022,4237.902635,4155.403401,3763.583279,2826.374166,158.4233238,1407.639792,1181.918814,887.2389783,1057.307365,1146.306599,1071.986721,719.0258341,7210.065838,29224.97985,22115.04173,6701.370012,11540.7645,13354.41409,15643.94211,4203.252012,5.399826399,2.299057337,2.066274398,0.795469888,1.190814562,1.304156572,1.628430906,0.648217095,16.19824037,6.847881437,6.167690319,2.383808717,3.564198371,3.905221691,4.875281612,1.942871794,0.00253631,0.115102819,0.122410209,0.110040238,0.123527404,0.139909177,0.146995657,0.12499257
