,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%), AADT ,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2025,226473946.8,,225542882.1,,420545.774,,375559.167,,44986.607,,0,,510518.988,,375559.167,,134959.82,,0,,72544716.98,,68795705.46,,1091914.706,,318885.93,,2338210.889,,"18,735.81",,1.33,,1.07,,4.281,,4.281,,7.491,,0.127,,181797.189,
1,2026,253662163.8,0.12,252681334.6,0.12,442515.414,0.052,401617.63,0.069,0,-1,0,,522514.869,0.023,401617.63,0.069,0,-1,0,,76525768.87,0.055,72526022.55,0.054,1154426.43,0.057,337202.986,0.057,2506057.376,0.072,"19,766.50",0.055,1.412,0.062,1.136,0.062,4.542,0.061,4.542,0.061,7.949,0.061,0.13,0.024,187012.734,0.029
2,2027,284114328.6,0.12,283085222.1,0.12,465632.765,0.052,429484.18,0.069,0,,0,,534792.623,0.023,429484.18,0.069,0,,0,,80725289.79,0.055,76458609.03,0.054,1220516.926,0.057,356572.188,0.057,2685952.581,0.072,"20,853.89",0.055,1.499,0.062,1.205,0.061,4.82,0.061,4.82,0.061,8.435,0.061,0.133,0.023,192377.907,0.029
3,2028,318222278.4,0.12,317147458.1,0.12,489957.784,0.052,459284.271,0.069,0,,0,,547358.873,0.023,459284.271,0.069,0,,0,,85155268.71,0.055,80604432.58,0.054,1290391.08,0.057,377053.972,0.057,2878761.411,0.072,"22,001.09",0.055,1.591,0.061,1.279,0.061,5.114,0.061,5.114,0.061,8.95,0.061,0.137,0.03,197896.999,0.029
4,2029,356424890.5,0.12,355308233.4,0.12,515553.561,0.052,491152.065,0.069,0,,0,,560220.396,0.023,491152.065,0.069,0,,0,,89828352.53,0.055,84975055.58,0.054,1364265.505,0.057,398712.245,0.057,3085410.859,0.072,"23,211.41",0.055,1.69,0.062,1.357,0.061,5.427,0.061,5.427,0.061,9.497,0.061,0.14,0.022,203574.429,0.029
5,2030,399213729.5,0.12,398060704.8,0.12,542486.482,0.052,525231.03,0.069,0,,0,,573384.133,0.023,525231.03,0.069,0,,0,,94757882.17,0.055,89582667.34,0.054,1442369.213,0.057,421614.587,0.057,3306894.463,0.072,"24,488.31",0.055,1.794,0.062,1.44,0.061,5.758,0.061,5.758,0.061,10.077,0.061,0.144,0.029,209414.736,0.029
6,2031,447139372.4,0.12,445957368.4,0.12,570826.399,0.052,561674.591,0.069,0,,0,,586857.183,0.023,561674.591,0.069,0,,0,,99957930.66,0.055,94440118.15,0.054,1524944.33,0.057,445832.457,0.057,3544277.079,0.072,"25,835.45",0.055,1.904,0.061,1.528,0.061,6.11,0.061,6.11,0.061,10.693,0.061,0.147,0.021,215422.596,0.029
7,2032,500818492.8,0.12,499617199.2,0.12,600646.816,0.052,600646.816,0.069,0,,0,,600646.816,0.023,600646.816,0.069,0,,0,,105443343.3,0.055,99560955.04,0.054,1612246.843,0.057,471441.42,0.057,3798700.006,0.072,"27,256.71",0.055,2.022,0.062,1.621,0.061,6.483,0.061,6.483,0.061,11.346,0.061,0.151,0.027,221602.813,0.029
8,2033,545156674.6,0.089,536469902.3,0.074,1049453.094,0.747,1049453.094,0.747,0,,0,,1049453.094,0.747,1049453.094,0.747,0,,0,,108974558.2,0.033,102825915.3,0.033,1671094.908,0.037,489632.467,0.039,3984507.25,0.049,"28,255.20",0.037,2.123,0.05,1.702,0.05,6.808,0.05,6.808,0.05,11.913,0.05,0.154,0.02,225038.282,0.016
9,2034,593420179.5,0.089,576040929.9,0.074,1833609.648,0.747,1833609.647,0.747,0,,0,,1833609.649,0.747,1833609.647,0.747,0,,0,,112624030.7,0.033,106197945.3,0.033,1732090.966,0.037,508525.434,0.039,4179402.954,0.049,"29,290.28",0.037,2.229,0.05,1.787,0.05,7.148,0.05,7.148,0.05,12.509,0.05,0.158,0.026,228527.009,0.016
10,2035,645956521.8,0.089,618530790.9,0.074,3203691.866,0.747,3203691.865,0.747,0,,0,,3203691.869,0.747,3203691.865,0.747,0,,0,,116395721.2,0.033,109680556.3,0.033,1795313.42,0.037,528147.405,0.039,4383831.664,0.049,"30,363.28",0.037,2.341,0.05,1.876,0.05,7.506,0.05,7.506,0.05,13.135,0.05,0.161,0.019,232069.822,0.016
11,2036,703143982.2,0.089,664154783.9,0.074,5597506.309,0.747,5597506.305,0.747,0,,0,,5597506.317,0.747,5597506.305,0.747,0,,0,,120293722.6,0.033,113277374.5,0.033,1860843.534,0.037,548526.511,0.039,4598259.674,0.049,"31,475.58",0.037,2.458,0.05,1.97,0.05,7.881,0.05,7.881,0.05,13.792,0.05,0.164,0.019,235667.558,0.016
12,2037,765394330.7,0.089,713144088.3,0.074,9779990.77,0.747,9779990.762,0.747,0,,0,,9779990.787,0.747,9779990.762,0.747,0,,0,,124322265.1,0.033,116992145.3,0.033,1928765.541,0.037,569691.964,0.039,4823176.081,0.049,"32,628.63",0.037,2.581,0.05,2.069,0.05,8.275,0.05,8.275,0.05,14.481,0.05,0.168,0.024,239321.07,0.016
13,2038,833155792.1,0.089,765746935.7,0.074,17087648.35,0.747,17087648.34,0.747,0,,0,,17087648.39,0.747,17087648.34,0.747,0,,0,,128485720.2,0.033,120828736.7,0.033,1999166.746,0.037,591674.109,0.039,5059093.909,0.049,"33,823.92",0.037,2.71,0.05,2.172,0.05,8.689,0.05,8.689,0.05,15.205,0.05,0.171,0.018,243031.221,0.016
14,2039,906916273.2,0.089,822229868.1,0.074,29855623.91,0.747,29855623.87,0.747,0,,0,,29855623.98,0.747,29855623.87,0.747,0,,0,,132788606.3,0.033,124791143.7,0.033,2072137.64,0.037,614504.457,0.039,5306551.275,0.049,"35,062.99",0.037,2.846,0.05,2.281,0.05,9.123,0.05,9.123,0.05,15.966,0.05,0.175,0.023,246798.89,0.016
15,2040,987206875.9,0.089,882879087.6,0.074,52163894.08,0.747,52163894.01,0.747,0.071,inf,0,,52163894.23,0.747,52163894.01,0.747,0.213,inf,0,,137235592.6,0.033,128883492.2,0.033,2147772.02,0.037,638215.737,0.039,5566112.616,0.049,"36,347.46",0.037,2.988,0.05,2.395,0.05,9.58,0.05,9.58,0.05,16.764,0.05,0.178,0.017,250624.968,0.016
16,2041,1054479953,0.068,941916175.2,0.067,56255023.53,0.078,56255023.45,0.078,0.077,0.085,0,,56255023.68,0.078,56255023.45,0.078,0.231,0.085,0,,141361775.7,0.03,132685813.9,0.03,2225568.14,0.036,661505.157,0.036,5786010.357,0.04,"37,514.70",0.032,3.093,0.035,2.476,0.034,9.905,0.034,9.905,0.034,17.333,0.034,0.182,0.022,253659.152,0.012
17,2042,1126337345,0.068,1004901004,0.067,60667013.61,0.078,60667013.53,0.078,0.084,0.091,0,,60667013.78,0.078,60667013.53,0.078,0.251,0.087,0,,145612018.4,0.03,136600311.8,0.03,2306182.173,0.036,685644.442,0.036,6014595.492,0.04,"38,719.43",0.032,3.201,0.035,2.56,0.034,10.24,0.034,10.24,0.034,17.921,0.034,0.186,0.022,256730.068,0.012
18,2043,1203091449,0.068,1072097554,0.067,65425028.9,0.078,65425028.81,0.078,0.091,0.083,0,,65425029.09,0.078,65425028.81,0.078,0.272,0.084,0,,149990050.7,0.03,140630295.1,0.03,2389716.19,0.036,710664.605,0.036,6252211.231,0.04,"39,962.85",0.032,3.312,0.035,2.647,0.034,10.588,0.034,10.588,0.034,18.529,0.034,0.189,0.016,259838.162,0.012
19,2044,1285075951,0.068,1143787458,0.067,70556207.61,0.078,70556207.51,0.078,0.098,0.077,0,,70556207.8,0.078,70556207.51,0.078,0.295,0.085,0,,154499714.8,0.03,144779171.1,0.03,2476275.957,0.036,736597.79,0.036,6499214.34,0.04,"41,246.20",0.032,3.428,0.035,2.737,0.034,10.947,0.034,10.947,0.034,19.157,0.034,0.193,0.021,262983.885,0.012
20,2045,1372647275,0.068,1220271182,0.067,76089816.31,0.078,76089816.21,0.078,0.107,0.092,0,,76089816.53,0.078,76089816.21,0.078,0.32,0.085,0,,159144968.3,0.03,149050447.3,0.03,2565971.073,0.036,763477.315,0.036,6755975.683,0.04,"42,570.76",0.032,3.548,0.035,2.83,0.034,11.318,0.034,11.318,0.034,19.807,0.034,0.197,0.021,266167.691,0.012
21,2046,1466186135,0.068,1301869282,0.067,82057416.96,0.078,82057416.85,0.078,0.116,0.084,0,,82057417.19,0.078,82057416.85,0.078,0.347,0.084,0,,163929888,0.03,153447734.6,0.03,2658915.106,0.036,791337.713,0.036,7022880.773,0.04,"43,937.86",0.032,3.672,0.035,2.926,0.034,11.702,0.034,11.702,0.034,20.479,0.034,0.201,0.02,269390.042,0.012
22,2047,1566099189,0.068,1388923752,0.067,88493046.83,0.078,88493046.71,0.078,0.125,0.078,0,,88493047.08,0.078,88493046.71,0.078,0.376,0.084,0,,168858673,0.03,157974750.8,0.03,2755225.737,0.036,820214.777,0.036,7300330.354,0.04,"45,348.86",0.032,3.8,0.035,3.025,0.034,12.099,0.034,12.099,0.034,21.173,0.034,0.205,0.02,272651.403,0.012
23,2048,1672820803,0.068,1481799452,0.067,95433412.69,0.078,95433412.56,0.078,0.136,0.088,0,,95433412.96,0.078,95433412.56,0.078,0.408,0.085,0,,173935649,0.03,162635323.1,0.03,2855024.909,0.036,850145.607,0.036,7588741.003,0.04,"46,805.17",0.032,3.932,0.035,3.127,0.034,12.509,0.034,12.509,0.034,21.891,0.034,0.209,0.02,275952.249,0.012
24,2049,1786814947,0.068,1580885641,0.067,102918100.2,0.078,102918100,0.078,0.147,0.081,0,,102918100.5,0.078,102918100,0.078,0.442,0.083,0,,179165271.6,0.03,167433391.5,0.03,2958438.986,0.036,881168.657,0.036,7888545.752,0.04,"48,308.25",0.032,4.07,0.035,3.233,0.034,12.934,0.034,12.934,0.034,22.634,0.034,0.213,0.019,279293.056,0.012
25,2050,1908577207,0.068,1686597608,0.067,110989799.5,0.078,110989799.4,0.078,0.16,0.088,0,,110989799.8,0.078,110989799.4,0.078,0.479,0.084,0,,184552130.1,0.03,172373012.7,0.03,3065598.904,0.036,913323.782,0.036,8200194.745,0.04,"49,859.60",0.032,4.212,0.035,3.343,0.034,13.372,0.034,13.372,0.034,23.401,0.034,0.217,0.019,282674.309,0.012
