,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,216846051.292,,216846051.292,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,82354536.706,,77945257.516,,1290322.791,,377690.418,,2741265.981,,20783.825,,1.148,,0.914,,3.657,,3.657,,6.401,,0.141,,183079.804,
1,2026.0,241991436.994,0.116,241961095.437,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,87773443.345,0.066,83014833.112,0.065,1381251.747,0.07,404895.009,0.072,2969770.584,0.083,22347.612,0.075,1.191,0.037,0.949,0.038,3.797,0.038,3.797,0.038,6.645,0.038,0.147,0.043,188316.189,0.029
2,2026.9999999999995,270052672.067,0.116,269984956.407,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93548912.6,0.066,88414134.949,0.065,1478588.46,0.07,434059.114,0.072,3217322.719,0.083,24029.058,0.075,1.237,0.039,0.986,0.039,3.942,0.038,3.942,0.038,6.899,0.038,0.154,0.048,193702.344,0.029
3,2027.999999999999,301367877.294,0.116,301254532.487,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,99704406.199,0.066,94164608.488,0.065,1582784.484,0.07,465323.874,0.072,3485510.139,0.083,25837.018,0.075,1.283,0.037,1.023,0.038,4.093,0.038,4.093,0.038,7.163,0.038,0.161,0.045,199242.552,0.029
4,2029.0,336314381.819,0.116,336145741.422,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,106264929.641,0.066,100289094.01,0.065,1694323.195,0.07,498840.598,0.072,3776052.946,0.083,27781.009,0.075,1.332,0.038,1.062,0.038,4.249,0.038,4.249,0.038,7.436,0.038,0.168,0.043,204941.218,0.029
5,2030.0,375313269.729,0.116,375078039.633,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,113257133.783,0.066,106811917.332,0.065,1813722.031,0.07,534771.492,0.072,4090814.623,0.083,29871.268,0.075,1.382,0.038,1.103,0.039,4.412,0.038,4.412,0.038,7.721,0.038,0.175,0.042,210802.877,0.029
6,2031.0000000000007,418834453.86,0.116,418519464.861,0.116,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,120709423.1,0.066,113758986.426,0.065,1941534.894,0.07,573290.445,0.072,4431813.993,0.083,32118.798,0.075,1.435,0.038,1.145,0.038,4.58,0.038,4.58,0.038,8.016,0.038,0.183,0.046,216832.188,0.029
7,2032.0000000000005,467402337.964,0.116,466992262.834,0.116,205037.565,inf,205037.565,inf,0.0,,0.0,,205037.565,inf,205037.565,inf,0.0,,0.0,,128652071.074,0.066,121157894.323,0.065,2078354.721,0.07,614583.872,0.072,4801238.158,0.083,34535.435,0.075,1.489,0.038,1.189,0.038,4.755,0.038,4.755,0.038,8.322,0.038,0.192,0.049,223033.947,0.029
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,0.0,,0.0,-1.0,0.0,-1.0,0.0,,0.0,,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
23,2048.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,34535.435,0.0,1.489,0.0,1.189,0.0,4.755,0.0,4.755,0.0,8.322,0.0,0.192,0.0,223033.947,0.0
