,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),Dev Revenues 2x,Var Dev Revenues 2x (%),Dev Revenues 3x,Var Dev Revenues 3x (%),Dev Revenues 4x,Var Dev Revenues 4x (%),TDOT Revenues,Var TDOT Revenues (%),TDOT Revenues 2x,Var TDOT Revenues 2x (%),TDOT Revenues 3x,Var TDOT Revenues 3x (%),TDOT Revenues 4x,Var TDOT Revenues 4x (%),Total Transactions,Var Total Transactions (%),Transactions Lights,Var Transactions Lights (%),Transactions Medium A,Var Transactions Medium A (%),Transactions Medium B,Var Transactions Medium B (%),Transactions Heavy A,Var Transactions Heavy A (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll Lights,Var Toll Lights (%),Toll Medium A,Var Toll Medium A (%),Toll Meadium B,Var Toll Meadium B (%),Toll Heavy A,Var Toll Heavy A (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2025,217818696.5,,217818696.5,,0,,0,,0,,0,,0,,0,,0,,0,,83020177.88,,78634171.21,,1283424.729,,375765.321,,2726816.618,,21151.034,,1.133,,0.906,,3.623,,3.623,,6.34,,0.143,,181797.189,
1,2026,242652076.6,0.114,242620584,0.114,0,,0,,0,,0,,0,,0,,0,,0,,88359495.71,0.064,83624000.89,0.063,1374400.438,0.071,403019.263,0.073,2954739.666,0.084,22672.436,0.072,1.178,0.04,0.941,0.039,3.765,0.039,3.765,0.039,6.588,0.039,0.149,0.042,187012.734,0.029
2,2027,270316695.6,0.114,270246534.1,0.114,0,,0,,0,,0,,0,,0,,0,,0,,94042203.73,0.064,88930466.46,0.063,1471824.97,0.071,432249.91,0.073,3201713.837,0.084,24303.274,0.072,1.224,0.039,0.978,0.039,3.911,0.039,3.911,0.039,6.845,0.039,0.155,0.04,192377.907,0.029
3,2028,301135341.3,0.114,301018108.1,0.114,0,,0,,0,,0,,0,,0,,0,,0,,100090386.6,0.064,94573660.44,0.063,1576155.452,0.071,463600.631,0.073,3469331.531,0.084,26051.419,0.072,1.272,0.039,1.016,0.039,4.064,0.039,4.064,0.039,7.112,0.039,0.162,0.045,197896.999,0.029
4,2029,335467602.5,0.114,335293481.9,0.114,0,,0,,0,,0,,0,,0,,0,,0,,106527549.2,0.064,100574950.4,0.063,1687881.412,0.071,497225.193,0.073,3759318.256,0.084,27925.309,0.072,1.322,0.039,1.056,0.039,4.223,0.039,4.223,0.039,7.39,0.039,0.169,0.043,203574.429,0.029
5,2030,373714064.5,0.114,373471615.1,0.114,0,,0,,0,,0,,0,,0,,0,,0,,113378708.2,0.064,106957059.6,0.063,1807527.079,0.071,533288.516,0.073,4073543.741,0.084,29933.988,0.072,1.374,0.039,1.097,0.039,4.388,0.039,4.388,0.039,7.678,0.039,0.176,0.041,209414.736,0.029
6,2031,416320982.7,0.114,415996894.8,0.114,0,,0,,0,,0,,0,,0,,0,,0,,120670489.3,0.064,113744153.6,0.063,1935653.843,0.071,571967.482,0.073,4414034.004,0.084,32087.152,0.072,1.428,0.039,1.14,0.039,4.559,0.039,4.559,0.039,7.978,0.039,0.183,0.04,215422.596,0.029
7,2032,463785490.4,0.114,463364307.9,0.114,210591.287,inf,210591.287,inf,0,,0,,210591.287,inf,210591.287,inf,0,,0,,128431230.2,0.064,120961931.2,0.063,2072862.888,0.071,613451.801,0.073,4782984.406,0.084,34395.195,0.072,1.484,0.039,1.184,0.039,4.737,0.039,4.737,0.039,8.289,0.039,0.191,0.044,221602.813,0.029
8,2033,505485692.7,0.09,497632907,0.074,419048.089,0.99,419048.089,0.99,0,,0,,419048.089,0.99,419048.089,0.99,0,,0,,131518854.6,0.024,123795082.2,0.023,2120150.615,0.023,627927.785,0.024,4971538.874,0.039,35295.828,0.026,1.576,0.062,1.258,0.062,5.032,0.062,5.032,0.062,8.807,0.062,0.193,0.01,225038.282,0.016
9,2034,550935272.5,0.09,534435876.7,0.074,833848.841,0.99,833848.841,0.99,0,,0,,833848.841,0.99,833848.841,0.99,0,,0,,134680708.8,0.024,126694590.9,0.023,2168517.107,0.023,642745.367,0.024,5167526.523,0.039,36220.045,0.026,1.674,0.062,1.337,0.063,5.346,0.062,5.346,0.062,9.356,0.062,0.195,0.01,228527.009,0.016
10,2035,600471346.3,0.09,573960649.1,0.074,1659246.058,0.99,1659246.058,0.99,0,,0,,1659246.059,0.99,1659246.058,0.99,0,,0,,137918577.3,0.024,129662011.4,0.023,2217986.971,0.023,657912.608,0.024,5371240.383,0.039,37168.462,0.026,1.778,0.062,1.42,0.062,5.68,0.062,5.68,0.062,9.94,0.062,0.197,0.01,232069.822,0.016
11,2036,654461341.9,0.09,616408518,0.074,3301674.532,0.99,3301674.531,0.99,0,,0,,3301674.535,0.99,3301674.531,0.99,0,,0,,141234287.7,0.024,132698934.4,0.023,2268585.379,0.023,673437.76,0.024,5582985.036,0.039,38141.713,0.026,1.888,0.062,1.509,0.063,6.035,0.062,6.035,0.062,10.561,0.062,0.199,0.01,235667.558,0.016
12,2037,713305723.4,0.09,661995664.1,0.074,6569884.354,0.99,6569884.351,0.99,0,,0,,6569884.36,0.99,6569884.351,0.99,0,,0,,144629711.3,0.024,135806987.7,0.023,2320338.078,0.023,689329.268,0.024,5803077.072,0.039,39140.449,0.026,2.005,0.062,1.603,0.062,6.411,0.062,6.411,0.062,11.22,0.062,0.201,0.01,239321.07,0.016
13,2038,777440961.7,0.09,710954256,0.074,13073178.47,0.99,13073178.47,0.99,0,,0,,13073178.49,0.99,13073178.47,0.99,0,,0,,148106764.5,0.024,138987837.3,0.023,2373271.398,0.023,705595.777,0.024,6031845.56,0.039,40165.336,0.026,2.13,0.062,1.703,0.062,6.811,0.062,6.811,0.062,11.92,0.062,0.203,0.01,243031.221,0.016
14,2039,847342772,0.09,763533632.5,0.074,26013851.41,0.99,26013851.4,0.99,0,,0,,26013851.45,0.99,26013851.4,0.99,0,,0,,151667409.8,0.024,142243188.3,0.023,2427412.273,0.023,722246.136,0.024,6269632.543,0.039,41217.06,0.026,2.262,0.062,1.809,0.062,7.236,0.062,7.236,0.062,12.664,0.062,0.205,0.01,246798.89,0.016
15,2040,923529642.2,0.09,820001572.6,0.074,51764034.8,0.99,51764034.76,0.99,0.04,inf,0,,51764034.88,0.99,51764034.76,0.99,0.119,inf,0,,155313656.8,0.024,145574785.6,0.023,2482788.251,0.023,739289.404,0.024,6516793.548,0.039,42296.324,0.026,2.402,0.062,1.922,0.062,7.688,0.062,7.688,0.062,13.454,0.062,0.208,0.015,250624.968,0.016
16,2041,989884319.2,0.072,877722547.5,0.07,56050424.64,0.083,56050424.59,0.083,0.048,0.2,0,,56050424.74,0.083,56050424.59,0.083,0.144,0.21,0,,158555728.4,0.021,148539378,0.02,2544868.883,0.025,757786.937,0.025,6710944.127,0.03,43204.688,0.021,2.521,0.05,2.015,0.048,8.059,0.048,8.059,0.048,14.104,0.048,0.209,0.005,253659.152,0.012
17,2042,1061006513,0.072,939506576.8,0.07,60691754.7,0.083,60691754.63,0.083,0.058,0.208,0,,60691754.83,0.083,60691754.63,0.083,0.173,0.201,0,,161865476.1,0.021,151564343.6,0.02,2608501.804,0.025,776747.291,0.025,6910878.907,0.03,44132.561,0.021,2.645,0.049,2.112,0.048,8.449,0.048,8.449,0.048,14.785,0.048,0.211,0.01,256730.068,0.012
