Period,10NB,10SB,11NB,11SB,12NB,12SB,13NB,13SB,14NB,14SB,15NB,15SB,16NB,16SB,17NB,17SB,18NB,18SB,1NB,1SB,2NB,2SB,3NB,3SB,4NB,4SB,5NB,5SB,6NB,6SB,7NB,7SB,8NB,8SB,9NB,9SB
AM-Early,1.723903327641212,1.312556709099056,0.9234031356992877,0.9151602440918548,1.2060145799608595,0.4566046260122661,1.1442760360867368,1.6952125504718785,0.9560942332269806,1.6321691942409506,0.7364301292301332,1.0001767649808013,0.9205376615376665,1.2351478219261125,0.9578102905943985,0.8129763934251298,1.958200458397047,1.2502659258726505,1.53509777003775,2.3117489613312294,3.1898144459622646,2.119540846872522,0.9530725644891821,2.7129702712942145,1.5772410544953304,0.9124809678984164,1.3092785188797647,0.9998703789908321,1.1835106819614183,0.9993763101099844,0.9999940973282272,0.9999855490250312,1.0171071720774716,1.1257128130523186,1.0207300644005406,1.0000984330479106
AM-Peak-1,1.0004589550916836,1.0000606917539554,1.0,0.6345137734487187,1.5273318685210684,0.3524225585146463,0.9999999999999998,2.856863777746908,0.8404197321077996,2.935687970942133,1.000032432668707,1.0008756404289127,1.0,0.9999999999999999,1.0,1.0001400790133903,1.1736565642151817,1.7902226413418012,1.0,1.6973131856025747,1.0,1.5649731723687108,0.7717521451042302,1.0,1.0,1.0003302547306807,1.000166643601775,1.000495783567141,0.9999999999999998,1.0003138324132421,0.9305071600878919,1.0,0.8840330939358705,1.0000000000000002,1.000048324448331,1.0004221896881142
AM-Peak-2,1.0008621917357468,1.0,0.917141050326265,0.9111426746148696,1.4929647152560748,0.49251675641940873,1.0,3.07448957728704,1.0,2.7600667361478597,0.9999999999999998,1.0000040213274866,1.2091267543924031,1.0004025880956522,1.0,1.3310330983619194,1.1450662803452423,0.7462763967984876,0.9424005637403117,1.000262933855641,0.9012949801439157,1.5376649156696593,0.8136037349536288,0.9735092099294554,1.0001187277485388,1.000499656178213,1.0000000000000002,1.0001349253241525,1.0004359670746739,1.0000000000000004,0.9510601356383392,1.0000621872324937,0.873506353675534,1.0004298481603024,1.0002946047616836,0.9999999999999998
AM-Peak-3,1.0002016868852237,1.0004723825032922,1.0000000000000004,0.668764529999325,1.3054377994264565,0.8385246643792656,1.280860642540078,3.154313712253498,3.3926441935136396,2.7293756465721617,1.4734667606948433,1.565749778357833,1.841833450868554,1.957187222947291,1.1509864525265447,1.0627854640808754,1.0675946813092871,0.9605179572090019,1.0000000000000002,1.0010210921013523,0.9430749544327097,1.714643425430819,0.808818737983244,0.9999999999999999,0.9999999999999999,1.000499656178213,1.00011320596583,1.0000000000000002,1.0000000000000002,1.0002566623716336,0.9999999999999999,1.0004214694984297,1.0,1.0,1.0000559093499906,1.0
AM-Shoulder,1.0006285069942487,0.9999999999999999,1.00815891200051,0.7281445147694573,1.2601436372025807,0.9244057120286338,3.839540891886617,3.3589155739833134,3.2204330797833327,2.7962992724525035,1.0000000000000002,1.5005830976384706,1.0000462622675597,1.8757288720480882,1.0,1.0004682928244297,1.0380796662002876,1.0,1.0,1.0001504269660015,1.0,1.993502739030747,0.8558008411641642,0.9999999999999999,1.000076530952551,0.9999999999999999,1.000107827891847,1.0,1.0000000000000002,1.0,1.0001633369653136,1.0002901929515904,1.0000435028245798,1.0007640213464652,1.0006801996896755,1.0007800699858702
MD,1.0784600770334745,1.4554505240099145,0.6918987157498856,0.781150427733419,0.8358485675609001,0.787440272060634,2.6005862918019647,2.941729437027037,2.2029382073223385,2.6675672022877692,1.0861167767087492,1.0240463102149537,1.3340139985405888,1.253166915224007,0.8266323232373611,0.817491459178533,1.3224152965544946,1.21478639355884,0.680233879514261,0.9167068828546451,0.8783139219349457,3.385173513117017,0.6519418990258353,0.7269255563967695,1.2603605634180628,0.8706132396158991,1.019957950774932,0.973709797136001,1.0378931757157284,1.1135245031949956,1.0346417350924368,1.132741339285273,1.0001673868765755,1.0497314868049592,0.980207961184408,1.1034450466329722
Night,0.402523576237636,0.3442186725159951,0.503841744891941,0.6304884397873054,0.49186220492709637,0.9160437708079924,0.7432047092403353,0.6612799391431814,0.661137221276499,0.5622437104214714,0.272962916418012,0.34900823772512884,0.341203645522515,0.4215378652920756,0.1925749691073824,0.19173493106885242,1.1033524993042194,0.8329232490316775,1.2456766325028799,1.2372740919800946,0.894870565676605,0.837103099582458,0.85285786306268,1.0707987578724165,1.1804146570825609,0.37299154757724834,0.48964730173983395,0.3955056794125385,0.4089331708345628,0.37474300813860334,0.38976743447357776,0.3638972507710682,0.4147486543454007,0.4034309095668324,0.37484442356512254,0.3089229800052413
PM-Late,0.59179926154375,0.7165192007152708,0.7484247271072995,0.9035389992229758,0.5783118785543374,1.1798306233849418,1.2087054542026257,1.3872594403118073,0.9761471545604014,1.246399248879744,0.5435313244339195,0.4263631143189379,0.6794141555423994,0.5329538928986723,0.2713174060898838,0.33966901481814454,0.9859728571768954,0.8197216924378088,0.8382312234305968,0.8508288559266836,1.6799829457743307,1.7907914489185581,1.2918906053781976,1.9919272626827247,1.5254672489744894,0.6212949564555259,0.6699937569957595,0.6321057065338819,0.5435154437901113,0.6521069195373688,0.5189486645972136,0.6608954192268418,0.5258850118778226,0.5919343652049599,0.5178843864440994,0.5906693632858433
PM-Peak-1,0.9999999999999999,1.0,0.891251298781387,0.8033221255794981,0.95884974358364,1.053782274952233,1.0000000000000002,1.0000000000000002,3.0486482311860224,1.3307367670415116,1.0000000000000002,1.0001635487362395,1.0000000000000002,1.0000000000000002,1.0247972984563885,1.0,0.6935885948653581,0.792533027398232,0.906066368065024,0.8602393739823706,0.9999999999999999,1.0001880493622048,0.7267969127691187,0.8409811859076033,1.0,0.6673406490059887,1.0000000000000002,1.0,1.0001888654284414,0.9999999999999999,1.0,1.000304151065875,1.0000281715930215,1.0,0.9999999999999998,0.9999999999999999
PM-Peak-2,1.0000000000000002,1.0000255050377083,1.0,1.0493281595839885,0.9629165741310347,1.0930004374413873,2.8736688587924784,1.322850358208236,2.813349877772336,3.085733297756658,0.9999999999999998,1.00038960265448,0.9999999999999999,1.000494751866447,1.0,1.0,0.7621772124104637,1.0,0.924578861136985,0.9979927035605591,1.0000000000000002,1.0001437601587841,0.7032318411574762,0.9352105608453981,1.0000000000000002,0.7458633160825725,1.0,1.0,1.000004469982482,0.9999999999999999,1.0,1.0000918268899968,1.0,1.0001291147005689,1.0000483314411035,1.0000550416256153
