Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S1,EB,Lights,75838.0,1289.0,1035.0,801.0,882.0,1353.0,2435.0,3378.0,3807.0,3161.0,3103.0,3715.0,4094.0,4147.0,4342.0,4437.0,3786.0,3544.0,3633.0,4429.0,4578.0,4077.0,3875.0,3463.0,2474.0
S1,EB,Medium A,2196.0,28.0,28.0,28.0,30.0,51.0,99.0,132.0,148.0,135.0,175.0,150.0,147.0,192.0,149.0,128.0,76.0,79.0,88.0,100.0,82.0,59.0,25.0,39.0,28.0
S1,EB,Medium B,709.0,15.0,4.0,17.0,23.0,12.0,42.0,59.0,68.0,43.0,52.0,59.0,70.0,52.0,38.0,37.0,20.0,11.0,16.0,19.0,16.0,10.0,11.0,8.0,7.0
S1,EB,Heavy A,8043.0,260.0,231.0,253.0,233.0,317.0,334.0,298.0,297.0,344.0,414.0,532.0,480.0,463.0,455.0,388.0,323.0,277.0,292.0,329.0,371.0,339.0,297.0,272.0,244.0
S1,EB,Heavy B,459.0,34.0,36.0,25.0,28.0,29.0,32.0,16.0,13.0,9.0,22.0,16.0,15.0,11.0,13.0,9.0,4.0,4.0,2.0,16.0,25.0,23.0,27.0,25.0,25.0
S1,WB,Lights,75101.0,896.0,595.0,469.0,700.0,1612.0,4676.0,5865.0,4763.0,3657.0,3730.0,3660.0,3783.0,3663.0,3558.0,3895.0,3769.0,3372.0,3999.0,4233.0,3857.0,3259.0,3148.0,2322.0,1620.0
S1,WB,Medium A,2203.0,19.0,36.0,39.0,39.0,44.0,70.0,168.0,122.0,149.0,198.0,162.0,150.0,144.0,124.0,152.0,88.0,83.0,65.0,87.0,73.0,55.0,56.0,54.0,26.0
S1,WB,Medium B,602.0,5.0,4.0,2.0,2.0,11.0,46.0,88.0,42.0,34.0,41.0,45.0,41.0,45.0,32.0,37.0,26.0,28.0,16.0,18.0,15.0,7.0,6.0,4.0,7.0
S1,WB,Heavy A,7408.0,215.0,249.0,234.0,303.0,283.0,292.0,286.0,208.0,303.0,433.0,428.0,439.0,410.0,401.0,356.0,295.0,303.0,287.0,287.0,307.0,303.0,302.0,245.0,239.0
S1,WB,Heavy B,446.0,34.0,37.0,35.0,37.0,22.0,20.0,13.0,4.0,6.0,11.0,13.0,9.0,16.0,11.0,12.0,5.0,8.0,7.0,7.0,15.0,23.0,28.0,42.0,31.0
S2,EB,Lights,90526.0,852.0,553.0,432.0,828.0,1425.0,2492.0,3551.0,3966.0,3850.0,4092.0,4671.0,5228.0,5493.0,5803.0,6122.0,6294.0,6480.0,6305.0,5824.0,4711.0,3755.0,3438.0,2605.0,1756.0
S2,EB,Medium A,2133.0,18.0,17.0,18.0,25.0,23.0,54.0,93.0,125.0,128.0,145.0,173.0,171.0,181.0,201.0,158.0,133.0,130.0,97.0,103.0,36.0,28.0,33.0,24.0,19.0
S2,EB,Medium B,490.0,10.0,7.0,7.0,0.0,4.0,19.0,42.0,43.0,33.0,37.0,52.0,31.0,39.0,32.0,22.0,33.0,13.0,22.0,20.0,6.0,1.0,9.0,3.0,5.0
S2,EB,Heavy A,4018.0,121.0,108.0,104.0,97.0,123.0,163.0,171.0,161.0,175.0,251.0,315.0,282.0,256.0,247.0,191.0,171.0,130.0,160.0,170.0,129.0,152.0,122.0,115.0,104.0
S2,EB,Heavy B,230.0,9.0,11.0,14.0,13.0,13.0,13.0,5.0,4.0,6.0,17.0,11.0,12.0,15.0,9.0,10.0,3.0,2.0,3.0,6.0,11.0,9.0,12.0,13.0,9.0
S2,WB,Lights,85796.0,830.0,516.0,365.0,565.0,1379.0,3926.0,5889.0,5263.0,4396.0,4496.0,4548.0,4682.0,4826.0,4929.0,5190.0,4801.0,4497.0,4955.0,4607.0,4242.0,3536.0,3339.0,2360.0,1659.0
S2,WB,Medium A,1829.0,17.0,26.0,30.0,18.0,30.0,38.0,85.0,94.0,126.0,189.0,123.0,149.0,137.0,136.0,154.0,107.0,80.0,86.0,72.0,45.0,27.0,32.0,13.0,15.0
S2,WB,Medium B,498.0,5.0,5.0,3.0,3.0,0.0,31.0,57.0,28.0,30.0,47.0,43.0,31.0,36.0,33.0,40.0,27.0,25.0,24.0,7.0,12.0,6.0,0.0,3.0,2.0
S2,WB,Heavy A,3535.0,95.0,110.0,100.0,133.0,111.0,137.0,141.0,101.0,186.0,181.0,212.0,210.0,225.0,188.0,197.0,155.0,145.0,150.0,132.0,161.0,146.0,121.0,95.0,103.0
S2,WB,Heavy B,191.0,10.0,12.0,14.0,13.0,9.0,11.0,5.0,4.0,0.0,4.0,3.0,6.0,9.0,10.0,14.0,5.0,3.0,4.0,4.0,6.0,8.0,6.0,15.0,16.0
S3,EB,Lights,79296.0,1116.0,859.0,661.0,592.0,1070.0,2991.0,4343.0,4299.0,4042.0,4178.0,4503.0,4817.0,4729.0,4727.0,4940.0,3886.0,3450.0,3563.0,4071.0,4262.0,3845.0,3463.0,2826.0,2063.0
S3,EB,Medium A,2457.0,28.0,20.0,20.0,42.0,58.0,108.0,160.0,221.0,243.0,279.0,181.0,177.0,174.0,153.0,135.0,70.0,64.0,70.0,85.0,45.0,35.0,32.0,27.0,30.0
S3,EB,Medium B,790.0,6.0,2.0,11.0,6.0,20.0,51.0,78.0,85.0,54.0,71.0,58.0,73.0,74.0,53.0,41.0,22.0,15.0,24.0,16.0,14.0,5.0,3.0,5.0,3.0
S3,EB,Heavy A,6253.0,179.0,156.0,183.0,177.0,238.0,251.0,215.0,225.0,302.0,343.0,422.0,405.0,385.0,369.0,306.0,262.0,209.0,230.0,251.0,297.0,254.0,209.0,199.0,186.0
S3,EB,Heavy B,380.0,30.0,29.0,20.0,19.0,24.0,25.0,12.0,13.0,4.0,14.0,10.0,11.0,13.0,11.0,8.0,2.0,5.0,4.0,16.0,21.0,20.0,21.0,26.0,22.0
S3,WB,Lights,54839.5,521.0,358.0,350.5,534.5,1109.0,3032.0,3152.0,2896.5,2517.0,2679.5,2982.5,3059.0,3063.0,3177.5,3405.0,3328.5,2816.0,3240.5,3117.0,2650.0,2205.5,2009.5,1686.0,949.5
S3,WB,Medium A,1665.5,13.0,16.5,18.5,26.5,37.5,57.0,79.0,100.0,121.5,148.0,127.5,108.0,128.0,117.0,114.5,85.0,74.0,71.5,80.0,37.5,37.0,22.5,25.5,20.0
S3,WB,Medium B,389.0,4.5,5.0,1.5,0.5,8.0,18.5,31.0,20.5,21.0,28.0,32.0,31.0,35.0,24.0,24.5,27.5,18.5,19.0,14.5,8.0,3.0,7.0,1.0,5.5
S3,WB,Heavy A,5225.0,157.5,160.5,145.0,193.5,204.0,191.0,161.0,156.0,223.0,353.5,333.5,304.5,315.0,306.5,237.5,222.5,212.5,193.0,199.0,189.5,200.0,206.5,185.5,174.5
