,1NB,2NB,3NB,4NB,5NB,6NB,7NB,8NB,9NB,10NB,11NB,12NB,13NB,14NB,15NB,16NB,17NB,1SB,2SB,3SB,4SB,5SB,6SB,7SB,8SB,9SB,10SB,11SB,12SB,13SB,14SB,15SB,16SB,17SB
0,59.14985577,65.72875367,65.86545556,64.39191571,66.24163766,60.03299158,59.18822324,63.82939753,63.64706398,65.37609471,57.11798252,58.08195088,63.59300857,66.7868716,68.6,68.6,68,57.09235153,66.22809246,60.86831474,58.41299774,64.61617035,63.79580808,63.59116139,66.33059705,67.21360555,68.29032276,57.6741487,60.86398098,64.36884567,67.4767867,67.9,67.9,69.3
1,59.14985577,64.65123311,65.86545556,65.56267782,66.24163766,60.03299158,59.83508907,63.25175593,63.64706398,65.12269899,57.39660683,59.11912857,63.93126926,66.7868716,67.2,67.2,67.3,58.67825019,66.22809246,60.86831474,58.41299774,64.61617035,63.79580808,63.59116139,65.39636329,66.5170915,67.46754779,57.95412029,60.49285915,64.02645819,66.34589084,67.4,67.4,68.6
2,59.72412621,64.65123311,65.86545556,64.39191571,65.65019446,60.03299158,60.49625028,63.25175593,63.9652993,65.37609471,57.11798252,58.42360941,63.59300857,67.15790978,66.9,66.9,67.3,58.67825019,66.22809246,60.86831474,58.41299774,64.05429061,63.79580808,62.86440526,64.78802502,65.49897276,66.6643627,58.23682332,60.86398098,63.68769386,65.61278707,68.4,68.4,69.3
3,59.14985577,64.65123311,65.86545556,64.39191571,66.24163766,60.03299158,60.83234056,63.82939753,64.61141343,66.14825331,57.11798252,58.42360941,64.2731477,67.15790978,66.5,66.5,67.3,59.22664505,66.22809246,60.86831474,58.41299774,64.61617035,63.79580808,63.22569494,64.78802502,65.49897276,66.40086719,58.52229794,61.23968457,64.02645819,65.97730256,67.7,67.7,68
4,60.30965686,65.72875367,65.86545556,65.56267782,68.08168315,61.13959051,60.83234056,65.62740873,66.6305201,67.20662536,56.56877115,57.74426512,64.61870226,67.91249303,66,66,66.7,59.22664505,67.331894,60.86831474,58.41299774,65.18799487,63.49056498,63.96087744,66.01623403,66.1742199,67.1976776,58.23682332,60.49285915,63.02080702,65.25227725,67.2,67.2,66.7
5,60.30965686,66.84280034,65.86545556,66.77680148,69.36624321,65.67965911,58.87000699,66.88343569,68.04819074,69.42833198,53.00137117,56.75436343,64.61870226,67.53309363,66.2,66.2,66.7,60.35477162,68.47311254,64.24988778,59.37058787,65.77003054,65.04670627,65.87587377,67.29191005,67.21360555,68.29032276,56.04952479,57.01625805,62.36774166,65.25227725,67.2,67.2,68
6,53.49204348,66.84280034,53.88991818,63.26223298,63.9375807,61.13959051,61.86339718,63.53926391,64.28673296,69.14261868,45.7832856,55.17785333,49.05746376,50.36843233,66.7,66.7,66.7,59.22664505,67.331894,64.24988778,60.36009767,66.96584927,66.68104563,65.48375548,67.61856981,68.65132973,69.70713444,45.56698008,24.98949345,62.04625845,64.89570743,67.2,67.2,67.3
7,32.37676316,24.19463325,29.639455,51.51353257,41.77739648,33.75901053,21.51241906,25.74334818,58.68376083,68.29941602,39.48424295,53.97833478,29.45852603,27.599141,68.4,68.4,67.3,57.61137291,67.331894,18.65319323,59.37058787,65.18799487,65.04670627,64.33491766,66.01623403,67.56736137,69.13341317,40.74590027,16.90090102,60.1848707,62.83552624,67.7,67.7,68
8,20.10321895,13.27853609,35.92661212,33.70044187,29.52940474,21.64321556,11.48984397,15.61859001,60.91933267,67.74861427,35.98258226,53.68656,25.14451594,40.5651804,69.9,69.9,68.6,53.25421025,66.22809246,13.29308023,57.4858073,63.50209845,62.88875867,62.86440526,63.02907412,66.86353469,68.56905878,27.82878503,17.71576589,60.1848707,63.50756396,68.9,68.9,70.6
9,17.62631805,12.36277498,22.3694,24.86860193,27.23267326,24.79867503,19.48366779,27.03798464,62.71107775,66.67323944,38.07865502,49.90961608,46.94952586,65.34283114,70.2,70.2,70.6,54.63147431,66.22809246,12.99435933,57.4858073,61.90120521,62.59211358,62.86440526,64.78802502,66.86353469,68.29032276,31.08997078,21.61400632,61.72807251,64.89570743,70.2,70.2,71.3
10,22.1280036,16.9988156,22.79958077,42.92794381,40.17935399,37.90654611,38.15268746,53.76399254,64.93939015,66.93886988,38.57804721,49.90961608,60.0953931,67.53309363,68.1,68.1,69.9,54.16453863,66.22809246,16.28870394,56.58759156,62.42579169,63.49056498,63.59116139,65.0907728,66.5170915,67.73959435,40.88544103,29.17890853,62.04625845,65.97730256,70.2,70.2,69.9
11,27.21940265,27.01181658,35.92661212,61.11775051,52.52015557,53.28229373,58.55519412,63.25175593,65.27071357,67.47653149,37.1176795,45.98154444,62.59936781,68.29617944,66.9,66.9,69.3,44.62852831,64.12561333,19.27496633,50.30008139,53.76820015,63.49056498,64.33491766,65.0907728,66.86353469,68.01384372,33.62971487,37.15666255,62.04625845,67.09556192,68.4,68.4,69.9
12,30.15482843,48.68796568,38.24445806,63.26223298,51.78043507,58.70482805,62.93000747,64.41768691,65.60543518,67.20662536,35.98258226,45.14551636,60.70241727,67.91249303,67.4,67.4,69.9,43.11055116,64.12561333,22.67643098,57.4858073,62.95934547,63.49056498,63.96087744,65.39636329,67.21360555,68.85007951,31.17114564,34.44732257,60.48730724,67.09556192,69.4,69.4,68.6
13,31.38563776,45.85727,49.39909167,63.26223298,61.78841832,60.85913367,62.93000747,64.12219294,65.27071357,66.93886988,33.14451944,42.62666781,60.70241727,67.53309363,67.7,67.7,68.6,42.81926365,58.54947304,22.24034577,56.58759156,53.76820015,62.88875867,63.96087744,66.01623403,67.56736137,69.70713444,29.26114897,35.94503225,61.10139157,66.34589084,68.4,68.4,69.3
14,28.21827982,41.08047104,40.8820069,63.26223298,54.06486603,60.58123808,62.93000747,64.12219294,64.93939015,66.93886988,28.08187208,43.18266783,57.50755321,67.91249303,67.7,67.7,68.6,42.81926365,61.21081273,22.67643098,56.58759156,53.37857551,59.77264901,61.45961408,64.48808046,67.21360555,69.41908843,23.68759679,40.82645638,57.04727081,66.71862056,68.2,68.2,68.6
15,22.86834572,39.04678436,32.04265405,61.11775051,54.46534652,60.58123808,62.21489375,63.25175593,64.61141343,66.40970885,27.23681574,42.99572987,55.13338817,67.15790978,67.9,67.9,68.6,38.17621096,39.60699647,20.28943825,22.63503663,33.48292464,56.70738496,62.15407299,63.8964467,67.21360555,69.13341317,13.83377611,44.68841847,52.10811316,63.50756396,68.4,68.4,69.3
