Period,10NB,10SB,11NB,11SB,12NB,12SB,13NB,13SB,14NB,14SB,15NB,15SB,16NB,16SB,17NB,17SB,1NB,1SB,2NB,2SB,3NB,3SB,4NB,4SB,5NB,5SB,6NB,6SB,7NB,7SB,8NB,8SB,9NB,9SB
0,1.0,1.0,1.0,0.9051604300409776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856035179488636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.8945387484660657,0.8092732383885229,1.0313300553882978,1.0739682415519685,0.9245711661700017,1.4,1.1344509710444235,1.2433607475263664,1.0673010062213386,1.3388076480574913,0.9149767772633337,0.6,0.731981421810667,0.6,0.8516096539694505,0.9985408188585774,1.4,0.6667891055580015,1.4,0.6,1.4,1.4,1.0062467683793501,1.0283792662603861,1.0057047423391554,0.899606731345388,1.0534915525176105,0.8800522296251142,1.1459598551672507,0.9506037791773091,1.0789914273656371,0.9197076526914766,0.9995113007601001,0.9855353423617257
11,0.9,0.9,1.0,1.0,0.9832810554198201,1.0,1.0,1.0,1.0,1.0,0.9764028653990547,0.9623585668009749,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.9633675718239756,1.0,0.9879561748416141,0.9,0.9871061615679918,0.9,1.0,0.9420338891879726,1.0,0.9528598003819388
12,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142501739905774,0.9,0.9,0.9,0.9163133901900594,1.0,1.0,1.0,0.9411842236812566,0.9,1.0,1.0,0.9,0.9,0.9389295536219577,0.9,0.9,0.9,0.9,0.9,0.9101753523011399,0.9,0.9532963512249681,0.9206545611129504
13,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.939533829183594,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.9,0.9100481138068638,0.9,0.9,0.9,0.9,0.9057254188569389,0.9,0.976812968307487,0.9
14,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.901415148260817,0.9,0.9,0.9,0.9,0.9,0.9529638920064759,0.9,1.0,0.9
15,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9699857061474316,1.0,0.9,0.9,0.9,0.9,0.9,0.9639052708814573,0.9,1.0,1.0,1.0,0.9343873299221366,1.0,1.0,0.9,1.0,0.9099439591028095,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9424189033090428,0.9
16,0.8263532153658235,0.6,1.4,1.4,1.3825027923444189,1.1587098219139815,1.4,1.1119848230910458,1.377750022570983,0.913468639795087,0.7130743809942559,0.7926566731051085,0.6,0.6341253384840867,0.8551111645169743,0.7649087365082723,1.4,1.4,1.332606357195517,1.1120981507377297,1.4,1.4,0.8404824264584578,1.4,0.7969039539367824,1.4,0.8708327246132231,1.0809365237816722,0.8584161412791507,0.9328551365838814,0.8937181011903219,1.0249282382777507,0.9841274967491184,0.9408689418071764
17,0.8979996293001299,0.6033972913450131,1.4,1.4,1.4,1.2650706928809228,1.4,1.3458828612283391,1.4,1.0794396751242776,0.7774612999565751,0.8646827028397175,0.6219690399652601,0.6917461622717739,0.6,0.8159175671382477,1.4,1.4,1.0982857422237988,1.1688474623000151,1.4,1.4,1.0523782786886808,1.4,0.8178434666692648,1.4,0.8819152210905369,1.2163789128482803,0.8929473481430977,1.0882474131641742,1.002671022769412,0.9985178369202443,0.9654612217844354,0.880222385005066
