Seg/Dir,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10NB,924.3,741,813.8,1276.6,2295.8,3177.3,4333,3971.8,3597.071921,3386.837919,3342.392363,3330.479559,3645.317944,3753.384092,3634.705571,4115.842865,4250.32457,4098.742579,4993.3,3863.6,3672.5,3328,1934.4,1457.3
10SB,1149.2,928.2,915.2,929.5,1193.4,2367.3,2571.1,3287.2,3166.927074,2999.257011,3015.873468,3088.820322,3087.346648,3331.239665,3811.5,4618.6,4711,5068.7,6287.500686,4459.899954,3512.041331,2571.109811,2168.183307,1686.1
1NB,1135.710934,894.7731137,756.8167813,1050.216869,1915.844278,3572.8,6195.710526,4959.463612,5393.7,5736.9,5600.4,5748.6,5561.4,5363.8,5787.6,5437.9,4932.2,5686.2,6021.6,5547.1,4741.1,4602,3467.1,1868.239628
1SB,1346.762258,1104.908273,930.972188,990.6074171,1459.406579,2059.4,2718.1,3033.1,3113.328389,3175.729879,4373.932777,4700.608436,4758.314615,4887.419966,6030.929167,5077.851743,5089.5,5240.3,6360.9,6593.6,5860.4,5505.5,4949.1,2300.925924
2NB,1244.1,869.7,665.6,951.6,1987.7,2900.1,4323.9,3843,3316.6,3441.9,3450.3,3554.6,3663.1,3707.2,4965.810143,4522.038012,6175,6784.7,5632.342978,5216.516744,4348.654688,4085.843164,2903.77533,2333.5
2SB,1313,904.8,747.5,1251.9,2064.4,1918.7,5020.6,5588.7,5449.6,5904.6,5606.368318,6145.318317,6424.455767,6755.126285,6053.396471,6175.339411,6238.132094,6082.986839,4732.940187,3782.178072,3049.395564,2793.540068,2133.417429,2460.9
3NB,940.55,738.4,717.6,1021.8,1796.6,2320.5,4461.6,4129.45,3758.3,4177.55,4536.35,4562.35,4626.05,4720.95,4925.7,4765.8,4064.45,4586.4,4440.15,3762.85,3200.6,2948.4,2516.15,1520.35
3SB,1427.351776,1119.615153,940.0145985,878.0471557,1480.916853,2398.2,5472.939868,5512.780321,6038.5,6350.5,6726.2,7127.9,6987.5,6906.9,7059,5514.6,4865.9,5058.3,5770.7,6030.7,5406.7,4846.4,4007.9,2419.881156
4NB,1102.743567,877.5625585,824.8058651,1271.307636,2498.865819,3876.6,5512.346406,4558.425426,6673.394189,6638.730311,4683.48151,4281.509422,4365.112861,4471.517237,4002.305046,4000.136167,5150.885136,5166.266652,5717.4,4228.9,3564.6,3289,2576.6,1713.949161
4SB,1769.3,1375.4,1201.2,1103.7,1612,3356.6,3905.918627,4561.370935,4362.208366,4271.15048,4095.511887,4526.46885,4946.059915,5062.560369,7155.2,5175.3,4746.3,4771,5535.4,6376.5,5397.6,4845.1,4058.6,3035.5
5NB,1160.9,929.5,893.1,1355.9,2802.8,4215.4,6154.150126,5429.455812,6747.597417,6717.786451,5473.263649,5011.629324,5181.705128,5320.008529,5389.025838,5455.143298,4659.38293,4744.216501,6203.6,4565.6,3922.1,3456.7,2619.5,1775.8
5SB,1810.9,1411.8,1255.8,1066,1535.3,3442.4,3599.319231,4364.69682,4245.204291,4009.158633,4250.163971,4506.350639,4935.440675,5264.952855,6494.971134,5900.258414,6344,7150,7135.7,6853.6,5609.5,5063.5,4144.4,3040.7
6NB,1144,932.75,931.45,1517.1,2832.7,4499.670735,6719.46597,5632.172135,7212.943287,7104.780041,5421.935223,4947.527775,5128.163878,5255.559866,4842.193086,4898.567181,4901.398849,5065.84589,6223.75,4485.65,3798.6,3453.45,2559.05,1735.5
6SB,1753.7,1357.2,1132.95,1092,1607.45,3463.85,3719.239074,4264.170894,4190.052781,3964.615732,3753.843075,3921.40711,4433.499148,4803.774796,5287.989277,5177.755039,6887.646881,7130.113145,8056.75,7129.85,5786.95,4993.95,4072.9,2990.65
7NB,1060.8,949.65,934.05,1530.1,2653.95,5279.530355,6990.845642,5635.945489,6275.1,6911.45,5078.852735,4697.344993,4881.418767,4959.105817,4459.46231,4758.442182,4890.120696,4968.096284,6073.6,4329,3733.6,3471.65,2432.95,1604.85
7SB,1526.85,1225.9,997.1,1060.8,1609.4,3731.65,4202.623492,4274.196556,4151.49605,3981.537151,3619.141463,3855.706019,4367.768831,4768.53204,4843.516954,4874.060967,6476.307231,6514.284013,7772.05,6776.9,5216.25,4350.45,3465.15,2586.35
8NB,1150.5,867.1,901.55,1491.75,2603.25,4228.935246,6835.4,5107.05,5445.05,6149.65,4528.975818,4166.835611,4386.688806,4521.070984,4186.36496,4630.121493,5040.359951,5074.654594,5547.1,4039.1,3623.1,3325.4,2312.7,1569.1
8SB,1311.05,921.7,906.75,1203.15,2063.1,3952.009907,4301.925931,3628.124902,4048.784487,4167.590898,3752.641109,3717.361013,3914.304334,4272.017714,4332.861708,4567.838866,5752.762669,5747.703072,6462.3,5131.75,4172.35,3490.5,2539.55,1892.15
9NB,874.25,720.2,819.65,1314.3,2371.85,3874.649744,5235.408663,4506.185636,4427.231152,4398.069749,3936.523063,3683.599835,3967.452531,3989.901338,3971.326789,4415.221668,4447.623021,4597.372995,4994.6,3710.85,3440.45,3217.5,2030.6,1385.15
9SB,1045.85,874.9,816.4,874.25,1186.9,2537.6,3309.018347,3668.086009,3451.113995,3328.139888,3329.920163,3415.326406,3614.29987,3964.234638,3736.277773,4214.712555,5571.919189,5265.472795,6018.35,4806.75,3721.9,2799.55,2410.2,1771.25
