,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,Night,8,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,1542.3,283.6,1825.9,92.538,2393.1,1188.80484,232.552,1497.238,0.158850097,0.170173804,0.500000112,1.450623854,61.04455754,177.105343,64.98030105,69.99984236,188.8417647,1260.920235,39.5742585,244.0257415,228.4160231,1504.945977,307.5645401,1992.99746,1.950000437,5.657433029,0.664700596,592.1302406,4737.041925,1510.734117,316.594068,1827.328185,14607.2
1,AM-Early,1,OP,AM,1,NB,1NB,3.9,65,6000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.411585366,3.246,0.715,5379,462.2,5841.2,322.74,6765.6,4146.1332,379.004,4789.784,0.17677088,0.170689508,1.949999984,5.849999941,51.02208428,153.0662526,35.93007571,69.84759519,732.9156138,4323.344386,64.69200639,397.5079936,797.6076202,4720.85238,926.9916329,5515.868367,7.604999936,22.81499977,2.266319457,7049.771307,7049.771307,732.9156138,64.69200639,797.6076202,5841.2
2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,65,5600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.429480382,3.246,0.715,5768.28,502.11,6270.39,346.0968,7274.61,4446.190224,411.7302,5141.7198,0.265785174,0.261186146,1.94999996,5.849999224,40.72983815,122.1895008,30.86407713,68.39680585,1181.731444,4240.451756,107.5382241,394.5717759,1289.269668,4635.023532,1504.346116,5424.167084,7.604999843,22.81499697,2.275299628,11440.5517,22881.1034,2363.462887,215.0764482,2578.539335,12540.78
3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.246,0.715,5001.5,782.1,5783.6,300.09,7347.8,3855.1562,641.322,4742.552,0.132933137,0.133725888,1.520128963,4.490795407,58.24073161,172.055935,50.00194624,69.94227735,512.478008,4188.931992,85.7613539,696.3386461,598.2393619,4885.270638,769.7620697,6277.94793,5.928502954,17.51410209,1.945992576,4540.260492,4540.260492,512.478008,85.7613539,598.2393619,5783.6
4,MD,5,OP,MD,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.249,0.708,6404.2,621.9,7026.1,384.252,8269.9,4936.35736,509.958,5761.402,0.130519568,0.124305569,1.949999007,5.821010174,59.23712047,176.8307982,40.03659506,69.87165513,644.2912298,5375.65677,63.3906191,558.5093809,707.6818489,5934.166151,834.4630871,7051.184913,7.604996128,22.70193968,2.296744928,6338.922319,31694.6116,3221.456149,316.9530955,3538.409244,35130.5
5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.299334812,0.299334812,3.399,0.592,8984.2,582.1,9566.3,539.052,10730.5,6925.02136,477.322,7844.366,0.118804691,0.122189682,2.692054943,7.600901371,63.94701495,180.551647,31.68812337,69.48565497,822.7250238,7622.422976,58.32382323,523.7761768,881.048847,8146.199153,997.6964935,9193.751506,10.49901428,29.64351535,3.017011603,10366.72492,10366.72492,822.7250238,58.32382323,881.048847,9566.3
6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7428.75,498.12,7926.87,445.725,8923.11,5726.0805,408.4584,6500.0334,0.193353712,0.187161999,1.949999995,5.849999924,50.82440248,152.4732058,38.51539644,68.72241007,1107.158919,5875.866081,76.44789054,421.6721095,1183.60681,6297.53819,1336.502591,7140.882409,7.604999982,22.8149997,2.201896795,10164.10216,30492.30649,3321.476758,229.3436716,3550.82043,23780.61
7,PM-Late,3,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,4584.2,366.1,4950.3,275.052,5682.5,3533.50136,300.202,4059.246,0.146718415,0.147335481,1.136031346,3.363551939,64.10076558,189.7890011,61.35071912,69.97495292,518.4297202,3790.71828,44.23040594,321.8695941,562.6601261,4112.587874,651.120938,4756.327062,4.43052225,13.11785256,1.311135526,2877.122354,8631.367063,1555.289161,132.6912178,1687.980378,14850.9
8,Night,8,OP,NT,1,SB,1SB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.299334812,0.299334812,3.402,0.708,1981.7,371.8,2353.5,118.902,3097.1,1527.49436,304.876,1929.87,0.147547336,0.147607316,0.521258548,1.561551483,63.18725666,189.2921559,64.96621644,69.99953451,225.3777242,1637.420276,45.0019282,326.7980718,270.3796524,1964.218348,360.3835088,2617.814491,2.032908339,6.090050786,0.694404669,732.236283,5857.890264,1803.021794,360.0154256,2163.037219,18828
9,AM-Early,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,8675.3,745.5,9420.8,520.518,10911.8,6686.92124,611.31,7725.056,0.128051344,0.118291242,1.949999919,5.849999417,60.61977047,181.8593008,38.38800253,69.36078939,856.2692489,7298.512751,72.312619,673.187381,928.5818679,7971.700132,1073.207106,9318.074894,7.604999683,22.81499773,2.253709465,8161.739604,8161.739604,856.2692489,72.312619,928.5818679,9420.8
