,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
48,Night,8,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1997.2,370.0,2367.2,3107.2,1.2,0.38839999999999997,3107.2,0.0,1.0,0.0,1757.536,325.6,2083.136,0.5263675060504074,1.5791025181512222,0.1274821512057525,0.12745281800839553,67.23493101046172,201.70479303138518,69.88250812869408,69.99994233981103,1.3095015193896187,2.828573758515678,2.8333270413730367,-0.004753282857358876,0.0033289289611256713,224.05447010155342,1773.1455298984465,41.49863754353359,328.5013624564664,265.55310764508704,2101.646892354913,16813.175138839302,348.55038273215416,2758.6496172678458,1.7370127699663442,5.211038309899033,0.6908809967188997,605.4364657824086,389.1854757344408,216.25099004796783,4843.491726259269,3113.4838058755263,1730.0079203837427,1792.4357608124274,331.9891003482687,2124.4248611606963,18937.6
49,AM-Early,1,OP,AM,4,NB,4NB,3.3,70,10800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25,0.25,3.246,0.715,8742.2,741.8,9484.0,10967.6,1.2,1.0155185185185185,10967.6,0.0,1.0,0.0,7693.136,652.784,8345.92,1.7999999934706903,5.399999980412071,0.1337512169568376,0.13316825698065962,56.90665637272147,170.7199691181644,46.12058040407909,69.85228920275793,2.8397470452089757,2.8345527721399644,4.293094281668842,-1.4585415095288776,1.0251659971681895,1028.9663022144578,7713.233697785543,86.93010746486291,654.8698925351371,1115.8964096793206,8368.10359032068,8368.10359032068,1289.7566246090464,9677.843375390954,5.939999978453278,17.81999993535983,2.08044572573024,7661.154322387708,6112.059812983028,1549.0945094046804,7661.154322387708,6112.059812983028,1549.0945094046804,1028.9663022144578,86.93010746486291,1115.8964096793206,9484.0
50,AM-Peak,2,Peak,AM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.246,0.715,8432.550000000001,726.915,9159.465,10107.9,1.2,1.148625,10107.9,0.0,1.0,0.0,7420.644000000001,639.6852,8060.3292,1.7999987043696786,5.399996113109036,0.2025887620809784,0.2022047350554217,46.64132644627048,139.92397933881145,42.10351682812412,68.55815511772889,3.368571089613941,2.888059045054407,4.702695045838566,-1.814636000784159,1.3118865320869961,1503.33908180364,6929.210918196361,129.34737638487445,597.5676236151255,1632.6864581885145,7526.778541811486,15053.557083622973,1891.3812109582634,8721.913789041737,5.939995724419939,17.81998717325982,2.0852036299555907,11234.796306340291,8929.827718267019,2304.9685880732727,22469.592612680583,17859.655436534038,4609.937176146545,3006.67816360728,258.6947527697489,3265.372916377029,18318.93
51,AM-Shoulder,1,OP,AM,4,NB,4NB,3.3,70,9600.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2727272727272727,0.2727272727272727,3.246,0.715,7069.7,1091.7,8161.4,10344.8,1.2,1.0775833333333333,10344.8,0.0,1.0,0.0,6221.336,960.696,7182.032,1.799999503861237,5.3999985115837115,0.15981960015436927,0.15950958556508457,52.41895711951566,157.25687135854702,42.91903825739241,69.69744109291695,2.7573822763173577,2.840850351105959,4.613337298300162,-1.7724869471942029,1.2493361088101138,994.2914319459832,6075.4085680540165,153.2402208140345,938.4597791859655,1147.5316527600176,7013.8683472399825,7013.8683472399825,1454.0120943880866,8890.787905611913,5.939998362742082,17.819995088226246,2.280739744487146,8636.82946007242,5906.08947784762,2730.7399822248003,8636.82946007242,5906.08947784762,2730.7399822248003,994.2914319459832,153.2402208140345,1147.5316527600176,8161.4
52,MD,5,OP,MD,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.249,0.708,7241.1,713.8,7954.900000000001,9382.5,1.2,1.0661931818181818,9382.5,0.0,1.0,0.0,6372.168000000001,628.144,7000.312000000001,1.7999999990026938,5.399999997008082,0.15870771841123574,0.158271850549147,52.38704385750082,157.16113157250246,43.8578950046683,69.83817716013394,2.9230661120599577,2.8351255438125222,4.514580555654224,-1.6794550118417013,1.1802063889579562,1011.3122446130873,6229.787755386913,99.4175132913434,614.3824867086565,1110.7297579044307,6844.17024209557,34220.85121047785,1309.5647844871173,8072.935215512883,5.939999996708889,17.819999990126668,2.122223334700279,7778.814815543556,6007.194729673398,1771.6200858701573,38894.07407771778,30035.97364836699,8858.100429350787,5056.561223065436,497.087566456717,5553.648789522153,39774.5
53,PM-Shoulder,1,OP,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.399,0.592,8018.4,513.0,8531.4,9557.4,1.2,1.0860681818181819,9557.4,0.0,1.0,0.0,7056.192,451.44,7507.632,1.799986761131925,5.3999602833957745,0.17021672511262956,0.1697584880297807,52.7037182847711,158.1111548543133,43.205881635544905,69.72496279860214,2.7770623003368473,2.8397290160184863,4.58270940216408,-1.742980386145594,1.2278965815148561,1201.0818940059357,6817.318105994063,76.6357718361642,436.36422816383583,1277.7176658421,7253.682334157899,7253.682334157899,1430.9892095144282,8126.410790485571,5.939956311735352,17.819868935206056,2.0159082881201407,8500.01338708041,7134.373977211609,1365.6394098688015,8500.01338708041,7134.373977211609,1365.6394098688015,1201.0818940059357,76.6357718361642,1277.7176658421,8531.4
54,PM-Peak,3,Peak,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.399,0.592,7632.66,715.6800000000001,8348.34,9314.0,1.2,1.0584090909090909,9314.0,0.0,1.0,0.0,6716.7408,629.7984,7346.5392,1.799999636483743,5.399998909451229,0.18183718201649196,0.1815015226952152,51.30623776426797,153.91871329280391,47.733817674137704,69.53198605512736,3.6805498874388447,2.8476103047454844,4.148002603765692,-1.3003922990202073,0.9236018226359841,1221.3532194071977,6411.306780592802,114.30936859101021,601.3706314089899,1335.662587998208,7012.677412001792,21038.032236005376,1564.2813251802284,8215.418674819772,5.939998800396351,17.819996401189055,2.108096642058897,9291.829195052971,7254.8366581389755,2036.992536913995,27875.487585158913,21764.509974416927,6110.977610741986,3664.059658221593,342.92810577303067,4006.9877639946235,25045.02
55,PM-Late,3,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,3918.5,309.5,4228.0,4847.0,1.2,0.605875,4847.0,0.0,1.0,0.0,3448.28,272.36,3720.64,0.8711738487268533,2.61352154618056,0.1263055171403385,0.12614224936030916,67.53895409227955,202.61686227683865,68.33282018632467,69.99921494348479,2.053586492114063,2.8286031516190446,2.897582734915797,-0.06897958329675236,0.048307914441057934,435.53678864468645,3482.9632113553134,34.356103035773806,275.1438969642262,469.89289168046025,3758.1071083195397,11274.321324958619,538.6050977520079,4308.394902247992,2.874873700798616,8.624621102395848,0.9985651714680567,1548.4216306433154,1252.1132594048945,296.3083712384208,4645.264891929946,3756.3397782146835,888.9251137152625,1306.6103659340592,103.06830910732143,1409.6786750413808,12684.0
56,Night,8,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1901.6,322.5,2224.1,2869.1,1.2,0.3586375,2869.1,0.0,1.0,0.0,1673.408,283.8,1957.2079999999999,0.5000252067775085,1.5000756203325256,0.12360186879082319,0.1235718732693396,68.13469994048856,204.40409982146568,69.92543496713527,69.99997031138287,1.22998934523081,2.8285726282344257,2.8315876775462225,-0.003015049311796858,0.002111374282356027,206.83635604951382,1694.763643950486,35.06969763383858,287.4303023661614,241.9060536833524,1982.1939463166475,15857.55157053318,312.0454489510296,2557.05455104897,1.650083182365778,4.950249547097334,0.6450049007039661,514.9009474478728,341.2971926191229,173.60375482874989,4119.207579582982,2730.377540952983,1388.830038629999,1654.6908483961106,280.55758107070864,1935.2484294668193,17792.8
57,AM-Early,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2903225806451613,0.2903225806451613,3.246,0.715,5163.8,438.1,5601.900000000001,6478.1,1.2,0.7361477272727273,6478.1,0.0,1.0,0.0,4544.144,385.528,4929.6720000000005,1.0351796908012358,3.1055390724037073,0.11761093037685585,0.11736383080677011,60.094500796231465,180.2835023886944,64.65635064402366,69.99708645299398,2.501816926174469,2.8286891645549477,3.062344194000711,-0.23365502944576333,0.16364093580049785,534.4410036064073,4629.358996393593,45.24704296327247,392.85295703672756,579.6880465696798,5022.21195343032,5022.21195343032,670.1821324962248,5807.917867503776,3.416092979644078,10.248278938932234,1.1967797797510102,2289.404477903251,1825.7001604537836,463.7043174494672,2289.404477903251,1825.7001604537836,463.7043174494672,534.4410036064073,45.24704296327247,579.6880465696798,5601.900000000001
