,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1448.2214525949485,5255.005557214111,7051.845734744906,4699.615277135714,4412.80280658741,4398.393164306374,4395.170131701219,3819.835405384179,54.87854740505151,610.3944427858892,694.7392652550939,548.5847228642864,510.09719341259006,563.7068356936257,533.844868298781,490.66459461582104,35.78876696972337,924.210928022148,2793.113593652201,787.1839089760092,767.3384798418001,698.6364329923553,801.9361542930047,547.1349426108584,0.5000013744163435,1.6813703904174055,4.412189289751205,1.4862326110935462,1.4554358472132733,1.2581310537775445,1.5771359311393236,1.184774063165825,1.5000041232490307,5.044111171252217,13.236567869253616,4.458697833280638,4.36630754163982,3.7743931613326334,4.73140779341797,3.554322189497475,0.03454934834901381,0.12165374287939354,0.10420071644976696,0.11939882794602745,0.11529099196231854,0.12742969399835752,0.12297951964395674,0.13132338803953447
2032,NB,10,1115.1702939441343,4770.238677832211,6896.77829326547,5094.96227664912,4366.653411055809,4893.903102116959,5352.559386865975,2872.541513485574,0.7297060558657495,500.36132216779004,650.4117067345304,496.1377233508796,433.7465889441913,520.79689788304,557.260613134024,306.8584865144263,28.795694703293854,3584.0022504718204,14655.069374805145,5956.9250746851685,4097.532554400465,4778.174180588938,7144.0931534345,1421.2966021345078,5.399849930975555,1.2058945506062066,3.764244412443764,1.7799530707600213,1.3384074569296398,1.3908259755335655,2.0178343895344857,0.7323782868194558,16.199549792926664,3.61768365181862,11.292733237331293,5.339859212280064,4.015222370788919,4.172477926600696,6.0535031686034575,2.1971348604583674,0.0007810183744278356,0.1099004449968214,0.09943427817225131,0.09783541635710244,0.09763421528869776,0.10555356509830233,0.10516057351606431,0.10923834591565322
2032,NB,2,1206.6319918415068,4418.631748483005,7078.621119028836,5450.59872335083,5557.991353096298,5742.908179452166,5627.007902825077,4033.064132342134,40.46800815849331,583.0682515169954,751.4388809711647,643.7012766491692,640.2086469037024,711.0918205478338,692.2070971749248,554.6358676578654,21.966621846462175,517.675025802451,2147.087587834562,928.8805658593142,1041.0233037191779,1147.7533335522887,1160.017396191531,490.83027064157693,0.5000158396090904,1.07587542357509,3.5029955934978134,1.6823272369046391,1.8419873359122856,1.8494952772321065,1.998275340118263,1.0855467233839107,1.500047518827271,3.22762627072527,10.50898678049344,5.046981710713918,5.525962007736856,5.548485831696319,5.994826020354789,3.256640170151732,0.03426762104544684,0.14001733858411514,0.11542942147591498,0.12534586909349177,0.12143415664055998,0.12919024943529517,0.1301272004028017,0.14570193322047786
2032,NB,3,986.2599734866092,3464.4785940716124,3816.7257808731215,3247.6938145715167,3741.088187146103,3889.252852281009,3677.30257789661,2696.482840293617,37.540026513390856,467.1214059283875,458.45421912687897,422.9061854284836,465.7118128538972,533.3471477189911,468.20242210339063,382.11715970638335,17.801534957155166,261.0460272190485,388.65011612035244,269.3878195516511,360.9840031631973,358.2786589219576,390.153071138585,207.5450596823079,0.5000134300838901,0.8704435395396815,1.326910903648574,0.8982083657622933,1.0752393961037425,0.9950630007198906,1.2512738606190825,0.8157928293549466,1.5000402902516703,2.6113306186190446,3.980732710945722,2.69462509728688,3.2257181883112276,2.9851890021596716,3.7538215818572476,2.4473784880648397,0.03425288827332528,0.13927651436477873,0.1256831698035032,0.1306089230679124,0.12453097470447189,0.13768164967763633,0.1294100386763395,0.14390494099074955
2032,NB,4,1265.8666128672874,5905.175681548928,7746.41709976904,6009.234647634179,5658.016670399211,5887.555471073976,5989.957784196228,3148.9897836129207,0.3333871327127013,623.7243184510721,751.6529002309597,598.5653523658206,554.88332960079,639.0445289260238,652.4472158037727,364.3102163870793,4.530369668723577,2388.196582644497,6797.736705381771,3185.9409995355636,3110.6325686903024,2895.590748251523,3160.573981722432,663.0836928517974,5.395236418535441,1.9124154297298834,4.650599751265507,2.4412830012515268,2.3885365180415032,2.077289721392574,2.3300001060233435,0.8363593471813603,16.185709255606323,5.737246289189651,13.951799253796523,7.32384900375458,7.16560955412451,6.231869164177722,6.990000318070031,2.5090780415440808,0.0003206278985909044,0.11251568485226056,0.10503620444240955,0.1036243238792952,0.09925117133929717,0.11085393586689131,0.11328782780632358,0.11893159663302627
2032,NB,5,1306.5567600167963,6253.104485931907,7626.6262165013795,6229.03888317757,5871.080130004829,6207.243489064545,6330.937810910345,3301.2613398898484,0.44323998320364266,639.2955140680926,731.5837834986207,593.4611168224305,554.3198699951707,643.7565109354539,661.9571890896552,355.43866011015217,7.353659388563768,3277.81006006497,7793.4695395234485,4596.808801855903,4324.70179461639,4238.47038391868,4586.405543151998,801.4794806646153,5.397001333948329,2.080961959318203,4.3288714782800035,2.775510973232691,2.6304759388589583,2.3872371779964854,2.6242665681596766,0.8296181690082163,16.191004001844988,6.242885877954609,12.98661443484001,8.326532919698073,7.891427816576875,7.161711533989456,7.87279970447903,2.488854507024649,0.0004185474835008897,0.10973256688297316,0.10354920772193418,0.09858318229204124,0.09537027951286954,0.1058024738734976,0.10846531813933978,0.11136979483525422
2032,NB,6,1335.3667195331413,6323.490933006544,7426.190188133805,6014.013929187815,5712.6260765462375,5919.3151519523335,6196.351998065445,3267.714143459227,0.8332804668588115,645.1090669934559,719.2898118661946,580.6860708121851,544.8739234537629,620.3848480476665,646.0780019345561,352.98585654077255,23.84063424950901,6117.945056280498,12466.804179850133,7055.256568485345,6887.731690620248,6404.871505965614,7923.456511450939,1393.3359708924545,5.399090142364115,2.1456107813454364,3.9340231429782984,2.432332133238732,2.3785595736740373,2.0706703950218115,2.548311394281253,0.8130737442041374,16.197270427092345,6.4368323440363096,11.802069428934896,7.296996399716196,7.135678721022112,6.2120111850654345,7.644934182843759,2.439221232612412,0.0007866650957979597,0.10964886917236694,0.10468388257808263,0.10004916369983949,0.09648802169569574,0.10666296692553273,0.10768164041886355,0.11201414447542979
2032,NB,7,1297.6664052883486,5922.327095589128,6001.045846149968,5109.809413937472,5246.961304706627,5661.2939849407985,6211.443771381164,3232.996396897994,0.6335947116513658,607.0729044108722,597.5741538500321,504.69058606252884,508.03869529337334,595.4060150592016,648.2062286188363,348.2036031020061,15.117327075696164,4106.759016549018,5400.891458632219,3561.2537745001405,4279.609559492732,4538.550924807068,6397.882214488125,1113.4158216070673,5.3997141639277615,1.8535067510173584,2.4163696446545617,1.6741521681773088,1.9275560529474878,1.8691243406323095,2.5514565629198214,0.8103799419214879,16.199142491783284,5.560520253052076,7.249108933963685,5.0224565045319265,5.782668158842464,5.607373021896929,7.6543696887594646,2.431139825764464,0.000605130471342524,0.10927934686322247,0.10557748789394877,0.10036350453705571,0.0969975708358307,0.10631421741970332,0.10784782941891845,0.11135943498578711
