,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT lights,AADT mediumA,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
0,2032,1NB,1,NB,Night,8,OP,NT,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,1128.5,39.1,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,1128.5,195.5,1324.0,1715.0,1.2,0.214375,1715.0,0.0,1.0,0.0,925.3699999999999,160.31,1085.6799999999998,5.394443780867818,16.183331342603456,0.00017490712986923925,9.121308679005857e-05,1946625.831134617,5839877.493403851,69.99321127599197,70.0,0.0,0.6,0.6000581947067517,-5.819470675172411e-05,4.073629472621902e-05,0.1618538107670979,1128.338146189233,0.014622369943314291,195.4853776300567,0.17647618071041218,1323.8235238192897,10590.588190554317,0.20572092059704078,1714.794279079403,3.7761106466074725,11.328331939822418,6.288383714118044,0.7768249584963762,0.6111778980316296,0.1656470604647466,6.21459966797101,4.889423184253037,1.3251764837179727,1.2948304861367832,0.11697895954651433,1.4118094456832975,10592.0
1,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,70,6000.0,1,6,70,3600,1,5,0.5,0,5373.5,80.4,3.6,1.8,0.375,0.375,3.246,0.715,5373.5,402.0,5775.5,6579.5,1.2,1.0965833333333332,6579.5,0.0,1.0,0.0,4406.2699999999995,329.64,4735.91,2.864534822578286,8.593604467734858,0.1302082900405195,0.13005756856841774,57.47341799192604,172.42025397577814,37.169394385954305,69.98021988020913,0.8785594033736082,0.6001695918060108,1.1299619133926782,-0.5297923215866673,0.3709733393748748,573.7328821568399,4799.76711784316,42.87217690289322,359.1278230971068,616.6050590597331,5158.894940940267,5158.894940940267,702.3494128655195,5877.150587134481,2.0051743758048,6.0155231274144,3.26287357070775,1408.333045539486,1150.4344738575303,257.8985716819556,1408.333045539486,1150.4344738575303,257.8985716819556,573.7328821568399,42.87217690289322,616.6050590597331,5775.5
2,2032,1NB,1,NB,AM-Peak,2,Peak,AM,0.7,70,5600.0,1,6,70,3600,1,5,0.5,0,6739.9,193.1,3.6,1.8,0.391304347826087,0.391304347826087,3.246,0.715,7076.8949999999995,1013.7750000000001,8090.67,9636.4,1.2,1.7207857142857141,9636.4,0.0,1.0,0.0,5803.053899999999,831.2955000000001,6634.3494,4.197533291033172,12.592599873099516,0.28803852197828295,0.28774492668761614,38.35377756059016,115.06133268177048,17.56153562081534,62.01684612281779,0.9386289031262274,0.6772353421008133,2.3915903999999992,-1.714355057899186,1.2541132799999997,1671.5030683163102,5405.391931683689,239.2010627032452,774.5739372967548,1910.7041310195555,6179.965868980444,12359.931737960887,2389.1062564260455,7729.113743573954,2.93827330372322,8.81481991116966,5.248511731543079,7019.847133014772,4911.332842725264,2108.5142902895086,14039.694266029544,9822.665685450527,4217.028580579017,3343.0061366326204,478.4021254064904,3821.408262039111,16181.34
3,2032,1NB,1,NB,AM-Shoulder,1,OP,AM,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4654.1,179.3,3.6,1.8,0.3103448275862069,0.3103448275862069,3.246,0.715,4654.1,896.5,5550.6,7343.6,1.2,0.91795,7343.6,0.0,1.0,0.0,3816.362,735.13,4551.492,1.6312173108192654,4.8936519324577965,0.12647177405584237,0.12643168398150278,58.191306135384934,174.5739184061548,53.426730070479636,69.97036998032452,0.6845859365435564,0.6002540791453623,0.7861233495779044,-0.1858692704325421,0.13028634470453304,482.6620725793027,4171.437927420698,92.94372384532214,803.5562761546779,575.6057964246248,4974.994203575376,4974.994203575376,761.4932441152691,6582.106755884732,1.1418521175734857,3.4255563527204576,2.158006346684536,869.5126733109233,551.1287096470842,318.38396366383915,869.5126733109233,551.1287096470842,318.38396366383915,482.6620725793027,92.94372384532214,575.6057964246248,5550.6
4,2032,1NB,1,NB,MD,5,OP,MD,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4212.8,166.6,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,4212.8,833.0,5045.8,6711.8,1.2,0.838975,6711.8,0.0,1.0,0.0,3454.496,683.06,4137.556,1.2829912308064464,3.848973692419339,0.12951213995406566,0.1294847082358043,57.302607232994504,171.9078216989835,59.43224151181024,69.97871376314065,0.6181285806652947,0.6001825089577788,0.7066871269133246,-0.10650461795554578,0.07468098883932721,447.39916942276,3765.4008305772404,88.44582480754848,744.5541751924516,535.8449942303084,4509.955005769692,22549.77502884846,712.7366438454054,5999.063356154595,0.8980938615645124,2.6942815846935373,1.7065287047079227,640.1044047496507,401.8064477276421,238.2979570220087,3200.5220237482536,2009.0322386382104,1191.4897851100434,2236.9958471137998,442.2291240377424,2679.2249711515424,25229.0
5,2032,1NB,1,NB,PM-Shoulder,1,OP,PM,0.7,70,9600.0,1,6,70,3600,1,5,0.5,0,4403.6,137.9,3.6,1.8,0.2727272727272727,0.2727272727272727,3.399,0.592,4403.6,689.5,5093.1,6472.1,1.2,0.6741770833333334,6472.1,0.0,1.0,0.0,3610.952,565.39,4176.342,0.8415379256485369,2.5246137769456105,0.12833541767838827,0.12831498207890316,58.59277878402562,175.77833635207685,66.78209404516551,69.9830410956193,0.4637372592539855,0.6001453972629529,0.6289110966121384,-0.028765699349185492,0.020237767628496946,463.4130331366115,3940.186966863389,72.54800771759105,616.9519922824089,535.9610408542026,4557.138959145798,4557.138959145798,681.0570562893846,5791.042943710616,0.5890765479539758,1.7672296438619273,1.0693600816294733,401.19473967864724,272.9857498369965,128.20898984165078,401.19473967864724,272.9857498369965,128.20898984165078,463.4130331366115,72.54800771759105,535.9610408542026,5093.1
6,2032,1NB,1,NB,PM-Peak,3,Peak,PM,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4235.8,85.0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4447.59,446.25,4893.84,5510.8,1.2,0.6888500000000001,5510.8,0.0,1.0,0.0,3647.0238,365.92499999999995,4012.9487999999997,1.2752955215694184,3.825886564708255,0.13747493425689833,0.1374327949976759,57.137984554508485,171.41395366352546,66.65544280274779,69.98633677044745,0.7457456157486662,0.6001171362598734,0.6301060833740137,-0.029988947114140352,0.02107425836180963,501.3743571383435,3946.2156428616568,50.290095509524555,395.9599044904754,551.6644526478681,4342.1755473521325,13026.526642056397,652.2446436669172,5134.095356333083,0.8927068650985928,2.6781205952957783,1.507809084024865,582.2632711252423,447.58033060179287,134.68294052344945,1746.7898133757271,1342.7409918053786,404.0488215703483,1504.1230714150306,150.87028652857367,1654.9933579436042,14681.52
7,2032,1NB,1,NB,PM-Late,3,OP,NT,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,3865.8,74.7,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,3865.8,373.5,4239.3,4986.3,1.2,0.6232875,4986.3,0.0,1.0,0.0,3169.956,306.27,3476.226,0.8857767108477813,2.657330132543344,0.13398168538918132,0.1339510291056265,65.78810473401754,197.3643142020526,68.01621403445517,69.99429012078076,0.4509671260310134,0.6000489458143747,0.6174998211268262,-0.017450875312451486,0.012249874788778379,424.7160474895477,3441.0839525104525,41.025181684180225,332.4748183158198,465.7412291737279,3773.5587708262724,11320.676312478818,547.7915925420883,4438.508407457912,0.6200436975934469,1.8601310927803405,1.0418253843079992,339.65472455039935,263.34250851269314,76.31221603770618,1018.964173651198,790.0275255380794,228.93664811311854,1274.148142468643,123.07554505254068,1397.2236875211838,12717.900000000001
8,2032,1SB,1,SB,Night,8,OP,NT,0.7,70,9600.0,1,6,70,3600,1,5,0.5,0,1500.8,36.8,3.6,1.8,0.2727272727272727,0.2727272727272727,3.402,0.708,1500.8,184.0,1684.8,2052.8,1.2,0.21383333333333335,2052.8,0.0,1.0,0.0,1230.656,150.88,1381.5359999999998,5.396364176762635,16.189092530287905,0.0002326108122900602,8.600256283026759e-05,1977560.056474247,5932680.169422741,69.99331508057584,70.0,0.0,0.6,0.6000573047818907,-5.73047818906991e-05,4.0113347323489366e-05,0.2862638918096363,1500.5137361081904,0.012976066679830773,183.98702393332016,0.29923995848946705,1684.5007600415106,13476.006080332085,0.3251920918491286,2052.474807908151,3.777454923733844,11.332364771201533,5.864373741660278,1.2283984685147995,1.0813489476035232,0.1470495209112763,9.827187748118396,8.650791580828185,1.1763961672902103,2.2901111344770904,0.10380853343864618,2.3939196679157364,13478.4
9,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,70,10400.0,1,6,70,3600,1,5,0.5,0,2798.2,113.8,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,2798.2,569.0,3367.2,4505.2,1.2,0.43319230769230765,4505.2,0.0,1.0,0.0,2294.524,466.58,2761.104,0.5299539358948081,1.5898618076844242,0.11454751808170446,0.11454049573382459,60.70294571261917,182.1088371378575,69.74497831029248,69.99842929940333,0.307954972641102,0.6000134634500722,0.6021938929157561,-0.002180429465683864,0.0015357250410292496,262.83202937890485,2535.367970621095,53.442304499487875,515.5576955005122,316.2743338783927,3050.9256661216073,3050.9256661216073,423.1589428773685,4082.0410571226316,0.37096775512636565,1.112903265379097,0.7090513622682184,156.97832310086338,97.50220791399931,59.47611518686406,156.97832310086338,97.50220791399931,59.47611518686406,262.83202937890485,53.442304499487875,316.2743338783927,3367.2
10,2032,1SB,1,SB,AM-Peak,2,Peak,AM,0.7,70,10400.0,1,6,70,3600,1,5,0.5,0,3881.9,151.7,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,4075.9950000000003,796.4250000000001,4872.42,6157.4,1.2,0.5920576923076922,6157.4,0.0,1.0,0.0,3342.3159,653.0685,3995.3844,1.1781925856098443,3.534577756829533,0.10960359572627858,0.10957975742965524,61.84903690741983,185.54711072225948,68.37515158743216,69.99233539033013,0.6558934815336536,0.6000657038485182,0.614258235995193,-0.014192532146674819,0.009980765196635127,366.32984069311294,3709.6651593068873,71.5630878149488,724.8619121850513,437.89292850806174,4434.527071491939,8869.054142983878,581.0191041379594,5884.250895862041,0.824734809926891,2.4742044297806727,1.5632871782728843,479.1866804151124,302.12497153458276,177.0617088805296,958.3733608302248,604.2499430691655,354.1234177610592,732.6596813862259,143.1261756298976,875.7858570161235,9744.84
11,2032,1SB,1,SB,AM-Shoulder,1,OP,AM,0.7,70,10400.0,1,6,70,3600,1,5,0.5,0,3857.7,175.8,3.6,1.8,0.2571428571428571,0.2571428571428571,3.246,0.715,3857.7,879.0,4736.7,6494.7,1.2,0.6244903846153846,6494.7,0.0,1.0,0.0,3163.314,720.78,3884.0939999999996,0.8142622298319179,2.4427866894957537,0.11419054907960978,0.11417848746771757,60.78766731884828,182.36300195654485,67.77142197737808,69.99037394754565,0.44474931294918035,0.6000825203688287,0.6197302457962219,-0.019647725427393237,0.013811172057355381,361.2205625712167,3496.479437428783,82.29757019698147,796.7024298030185,443.51813276819814,4293.181867231801,4293.181867231801,608.1132731621611,5886.586726837839,0.5699835608823425,1.7099506826470274,1.116445153448104,346.61456885678524,205.8897825182651,140.72478633852012,346.61456885678524,205.8897825182651,140.72478633852012,361.2205625712167,82.29757019698147,443.51813276819814,4736.7
12,2032,1SB,1,SB,MD,5,OP,MD,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4681.7,183.9,3.6,1.8,0.3103448275862069,0.3103448275862069,3.249,0.708,4681.7,919.5,5601.2,7440.2,1.2,0.930025,7440.2,0.0,1.0,0.0,3838.9939999999997,753.99,4592.9839999999995,1.676757847828999,5.030273543486997,0.12668044185645883,0.12664047559478478,57.859997500076354,173.57999250022905,52.42957237704214,69.96810858575475,0.6930172671212396,0.6002734795742506,0.8010746244116032,-0.20080114483735256,0.14075223708812226,486.32545620429426,4195.374543795706,95.48565219371177,824.0143478062882,581.811108398006,5019.388891601994,25096.94445800997,772.7824127854296,6667.417587214571,1.1737304934802992,3.5211914804408977,2.2271300025020953,907.0382827115385,570.8150177026979,336.2232650088406,4535.191413557693,2854.0750885134894,1681.116325044203,2431.6272810214714,477.42826096855885,2909.05554199003,28006.0
13,2032,1SB,1,SB,PM-Shoulder,1,OP,PM,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4725.4,117.2,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4725.4,586.0,5311.4,6483.4,1.2,0.810425,6483.4,0.0,1.0,0.0,3874.8279999999995,480.52,4355.347999999999,1.128666341538791,3.385999024616373,0.1401524605871046,0.14011665244206378,56.72955198371549,170.1886559511465,61.608808734425736,69.97343210106034,0.5715742050458296,0.6002278113118815,0.681720696484288,-0.08149288517240649,0.057204487539001585,543.0666785518092,4182.33332144819,67.32885383146049,518.6711461685395,610.3955323832697,4701.004467616729,4701.004467616729,745.0532400461907,5738.346759953809,0.7900664390771537,2.370199317231461,1.3776583708128158,588.6415602861897,429.0587569048852,159.5828033813045,588.6415602861897,429.0587569048852,159.5828033813045,543.0666785518092,67.32885383146049,610.3955323832697,5311.4
14,2032,1SB,1,SB,PM-Peak,3,Peak,PM,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4123.2,96.5,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,4329.36,506.625,4835.985,5570.7,1.2,0.6963374999999999,5570.7,0.0,1.0,0.0,3550.0751999999993,415.43249999999995,3965.5076999999997,1.2944972772861745,3.8834918318585236,0.13739530489160892,0.13735666487221151,57.15013023966727,171.45039071900183,66.44111450483497,69.98561990700651,0.7541217385286978,0.6001232832660132,0.632138703768186,-0.032015420502172875,0.022497092637730233,487.7636644921394,3841.59633550786,57.062422679525,449.562577320475,544.8260871716644,4291.158912828335,12873.476738485006,658.9509325307145,5190.284067469285,0.906148094100322,2.7184442823009665,1.5656559186701133,597.1071316183368,441.98611495094104,155.12101666739574,1791.3213948550103,1325.958344852823,465.3630500021872,1463.2909934764182,171.18726803857498,1634.4782615149932,14507.954999999998
15,2032,1SB,1,SB,PM-Late,3,OP,NT,0.7,70,8000.0,1,6,70,3600,1,5,0.5,0,4693.2,70.1,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,4693.2,350.5,5043.7,5744.7,1.2,0.7180875,5744.7,0.0,1.0,0.0,3848.4239999999995,287.40999999999997,4135.834,1.0981125540085936,3.294337662025781,0.13245706214537586,0.13240681709657298,66.1237987680946,198.3713963042838,65.4950762990385,69.98905669549085,0.5228025298500185,0.6000938144192178,0.6412695789258372,-0.04117576450661942,0.028888705248086077,509.7509369297559,4183.449063070244,38.05504330172604,312.444956698274,547.805980231482,4495.894019768518,13487.682059305553,623.916066834934,5120.783933165066,0.7686787878060155,2.3060363634180465,1.2506801502049976,479.591045947374,391.8347322821454,87.7563136652286,1438.7731378421222,1175.5041968464361,263.2689409956858,1529.2528107892676,114.1651299051781,1643.4179406944459,15131.099999999999
16,2032,2NB,2,NB,Night,8,OP,NT,0.7,70,9000.0,1,6,70,3600,1,5,0.5,0,1069.6,27.8,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,1069.6,139.0,1208.6,1486.6,1.2,0.16517777777777776,1486.6,0.0,1.0,0.0,984.0319999999999,127.88000000000001,1111.912,5.399951657213607,16.19985497164082,0.28571428403884613,0.28571428403864485,-33719327.31122368,-101157981.93367106,69.99977190471176,69.9989452524219,0.0,0.6000090408297521,0.6000019551088414,7.085720910793292e-06,1.3685761889186548e-06,281.1519983513138,788.4480016486862,36.53714264286191,102.46285735713809,317.6891409941757,890.9108590058242,7127.286872046594,390.76342627989953,1095.8365737201004,3.7799661600495247,11.339898480148575,6.642038833040553,1477.0725279230273,1062.745039598266,414.3274883247614,11816.580223384219,8501.960316786128,3314.6199065980913,2249.2159868105105,292.29714114289527,2541.5131279534057,9668.8
17,2032,2NB,2,NB,AM-Early,1,OP,AM,0.7,70,7200.0,1,6,70,3600,1,5,0.5,0,4739.7,45.9,3.6,1.8,0.3333333333333333,0.3333333333333333,3.246,0.715,4739.7,229.5,4969.2,5428.2,1.2,0.7539166666666667,5428.2,0.0,1.0,0.0,4360.524,211.14000000000001,4571.664,1.0504939312806276,3.151481793841883,0.12533947598798692,0.1252799067161804,58.41445928461375,175.24337785384125,64.33562560895463,69.98888157271065,0.552299723870905,0.6000953159448145,0.6528264799239658,-0.05273116397915134,0.0369785359467761,546.5457931930407,4193.154206806959,26.45159950405433,203.04840049594566,572.997392697095,4396.202607302905,4396.202607302905,625.9005917052037,4802.299408294796,0.7353457518964392,2.206037255689318,1.1474830104835203,460.25334121988925,401.90012724137233,58.35321397851693,460.25334121988925,401.90012724137233,58.35321397851693,546.5457931930407,26.45159950405433,572.997392697095,4969.2
18,2032,2NB,2,NB,AM-Peak,2,Peak,AM,0.7,70,6300.0,1,6,70,3600,1,5,0.5,0,7109.6,102.6,3.6,1.8,0.36363636363636365,0.36363636363636365,3.246,0.715,7465.080000000001,538.65,8003.7300000000005,8648.6,1.2,1.372793650793651,8648.6,0.0,1.0,0.0,6867.873600000001,495.558,7363.431600000001,5.39999998011204,16.19999994033612,0.16556357290987664,0.16524012446472083,51.524493749801415,154.5734812494042,20.874759795903717,69.4196983180107,1.3461384186537018,0.6050155938102549,2.0119991995424886,-1.4069836057322336,0.9883994396797419,1137.069691509417,6328.010308490584,81.88606559948812,456.76393440051186,1218.9557571089051,6784.774242891096,13569.548485782192,1382.7278883078814,7698.302111692119,3.7799999860784275,11.339999958235284,6.125514011330784,5226.711398554045,4298.123418075798,928.587980478247,10453.42279710809,8596.246836151597,1857.175960956494,2274.139383018834,163.77213119897624,2437.9115142178102,16007.460000000001
19,2032,2NB,2,NB,AM-Shoulder,1,OP,AM,0.7,70,9000.0,1,6,70,3600,1,5,0.5,0,5695.9,164.2,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5695.9,821.0,6516.9,8158.9,1.2,0.9065444444444444,8158.9,0.0,1.0,0.0,5240.228,755.32,5995.548,1.6664218848502643,4.999265654550793,0.10895782484346607,0.10888541422082335,62.01849430753998,186.05548292261994,54.07311469422843,69.95770620248084,0.6591786839927953,0.6003627374293555,0.776726109407619,-0.17636337197826346,0.12370827658533326,570.9638445638266,5124.936155436173,82.2433310692723,738.7566689307278,653.2071756330988,5863.692824366901,5863.692824366901,817.6938377716435,7341.206162228356,1.166495319395185,3.4994859581855553,2.086050118860364,953.8360344589079,666.0266522275837,287.8093822313242,953.8360344589079,666.0266522275837,287.8093822313242,570.9638445638266,82.2433310692723,653.2071756330988,6516.9
20,2032,2NB,2,NB,MD,5,OP,MD,0.7,70,9000.0,1,6,70,3600,1,5,0.5,0,5729.7,164.2,3.6,1.8,0.2857142857142857,0.2857142857142857,3.249,0.708,5729.7,821.0,6550.7,8192.7,1.2,0.9103000000000001,8192.7,0.0,1.0,0.0,5271.324,755.32,6026.644,1.6685470293406581,5.005641088021974,0.10936711725050248,0.10929449685309577,61.57473175873829,184.72419527621486,53.79717334412581,69.95600663206459,0.6605657161327217,0.6003773231496772,0.7807101635496252,-0.180332840399948,0.12649711448473772,576.5095099733877,5153.190490026612,82.5523193630803,738.4476806369197,659.061829336468,5891.638170663531,29458.190853317654,824.1664680626286,7368.533531937371,1.1679829205384606,3.5039487616153817,2.0865424923069344,962.6123583776568,673.3532611769142,289.2590972007427,4813.0617918882845,3366.766305884571,1446.2954860037134,2882.5475498669384,412.7615968154015,3295.30914668234,32753.5
