,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,TollHeavies,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,NB,1,1601.6172710295336,5849.187270241454,7715.508109711245,5214.10869413955,4883.5640831324645,4855.746687324401,4850.384300562053,4182.163751264958,81.88272897046656,719.9127297585458,960.5368902887556,663.8913058604505,630.2359168675357,701.7533126755986,670.095699437948,645.7362487350416,99.95862652078435,1260.0494216702923,4257.128033338709,1012.0146483390165,960.2791861791158,866.5598796928801,958.2206193673198,574.1506611999816,1.1637982918710112,2.141555656843272,5.399955891851745,1.7758027287535167,1.6894156688433986,1.4400100401538332,1.709096262052163,1.0529320925672991,3.4913948756130337,6.424666970529817,16.199867675555232,5.32740818626055,5.068247006530195,4.3200301204614995,5.127288786156489,3.1587962777018976,0.060798024801313535,0.13699827286171307,0.1384186916518093,0.1411895443609137,0.1428840809370549,0.15784462586722925,0.15173550407470698,0.16719210733738188
2032,NB,10,861.931037142227,5286.978167785332,7658.161371823709,5632.679018816285,4816.3818928371265,5390.032388689844,5902.588456545416,3140.389505193617,387.8689628577731,616.1218322146682,794.6536281762916,629.3209811837154,559.9181071628736,674.2676113101558,716.2965434545849,420.41049480638264,14701.160471729832,4694.5337371517935,22048.776295725438,8218.049032116243,5202.665335391917,6372.627293856398,9236.080453240134,1446.914113215704,5.399998435623412,1.4284041146718633,5.190803039159317,2.2368604766314446,1.5369072136424586,1.677405395026715,2.3504158102899546,0.6174284884839913,16.199995306870235,4.28521234401559,15.572409117477953,6.710581429894334,4.610721640927376,5.032216185080145,7.051247430869864,1.852285465451974,0.3879310317124969,0.13050482265666796,0.11771486005348117,0.12568924652307426,0.13021685602668873,0.13902559061171244,0.13533891791830413,0.14759223553463455
2032,NB,2,1396.6113278414737,4927.0368121002275,7909.123795719474,6079.904578076698,6192.7560686420775,6389.697418850939,6258.938146478897,4443.676000426115,0.18867215852645913,674.863187899772,860.7912042805262,745.6954219233013,749.2439313579227,838.9025811490606,818.4818535211037,694.4239995738849,0.8207374612577867,646.8542048112778,3259.1469975873956,1289.4648945592412,1469.1938254753254,1651.3162329120003,1530.6642267816283,531.7936018880463,5.394416442085752,1.2395010475842452,4.94885538202379,2.184909190706778,2.4337522882883196,2.486691190755125,2.4203447452164952,0.9979315331228371,16.183249326257254,3.7185031427527355,14.846566146071371,6.554727572120335,7.301256864864959,7.460073572265375,7.261034235649486,2.9937945993685116,0.00018189974112255863,0.15059172092763218,0.12271088089666107,0.1365712491350171,0.134922384469062,0.14507574203181328,0.1445660874615224,0.16894209559208437
2032,NB,3,1146.5146113948795,3841.1022645755097,4231.085367088656,3586.4947009537173,4133.862053922668,4294.180691033755,4057.3311459444312,2943.68028537934,0.08538860512053956,562.1977354244905,557.1246329113449,524.6052990462832,577.6379460773323,659.219308966246,585.5588540555692,504.2197146206597,0.35667848540190183,303.48713030220966,455.29185451509176,304.7993404903183,421.33872102994036,424.96857843011367,451.89413493125755,208.14495172796674,5.397300467869486,0.9226430588098672,1.4051769733656077,0.9251957811951462,1.1501233509879976,1.0801689648338237,1.3077842578419299,0.687382014548121,16.19190140360846,2.7679291764296017,4.215530920096823,2.7755873435854386,3.4503700529639927,3.240506894501471,3.9233527735257896,2.062146043644363,9.156176118243115e-05,0.15959771198228165,0.14544515003517727,0.15951103113992263,0.15325522696983082,0.16635776363018248,0.1576520561215016,0.18280073520233156
2032,NB,4,1417.682000207536,6571.39185991966,8411.654376541424,6668.668604477958,6264.191923462439,6513.020118323289,6634.080941857321,3444.6262651630773,0.4179997924639749,740.9081400803398,1105.9656234585755,732.1313955220418,694.3080765375604,796.6798816767108,805.589058142679,490.17373483692256,5.681518072360774,3519.6221609771164,10709.14901356821,4821.230603774033,4580.965213874876,4299.345517395202,4320.018441374116,680.0387326256471,5.396164732574632,2.5959985547841553,5.39999770047263,3.400735960978247,3.234286270941278,2.8283070762128246,2.8978805546543027,0.7149954915573006,16.188494197723895,7.787995664352466,16.19999310141789,10.20220788293474,9.702858812823834,8.484921228638473,8.693641663962907,2.1449864746719016,0.0003589015807922041,0.12668164542246024,0.14530940041340665,0.12370009416408573,0.12476137888666874,0.13626574707621242,0.1353810472292262,0.15572173167141481
2032,NB,5,1009.6551825280147,6959.096150319918,8354.586665111816,6904.294071466588,6495.392359628947,6860.691746645552,7007.11460218243,3614.1795155673663,454.3448174719853,760.2038496800817,1006.5833348881855,736.9059285334118,701.007640371053,812.408253354449,824.9403978175696,481.32048443263363,7450.779980872958,5014.729368249801,12275.65559962963,7159.570771736046,6546.904989811509,6540.117923313723,6476.103439219926,832.7830783308534,5.399925630116481,2.9156052893740645,5.3999999760754305,3.951975149348466,3.6371635301774807,3.3547781639449346,3.364161318592047,0.7151807089608666,16.199776890349444,8.746815868122194,16.19999992822629,11.855925448045397,10.911490590532441,10.064334491834803,10.092483955776142,2.1455421268826,0.3879310256779678,0.12313906019319439,0.13448617440205798,0.12061284990079786,0.12181854313034789,0.13239217050016777,0.13170389733032173,0.1469106840513295
2032,NB,6,1032.137934429436,7039.164639175008,8232.655761102045,6666.854136602329,6320.555889377345,6540.416448307757,6854.1465224370895,3578.340578111662,464.46206557056394,765.6353608249914,890.3742388979551,719.2458633976717,687.8441106226541,784.0835516922433,809.4884775629109,476.9594218883381,13416.404732083978,9437.772325584665,19471.736804136406,10721.966045825877,10228.547949870432,9574.311695340897,11058.861934314782,1448.2377182031273,5.3999957194866,3.033914891393361,5.3999997507681385,3.381170903820205,3.227240802269931,2.8181185453615947,3.226898789933779,0.7009857853744987,16.1999871584598,9.101744674180082,16.199999252304416,10.143512711460614,9.681722406809794,8.454355636084784,9.680696369801337,2.102957356123496,0.3879310311676046,0.12269367187812745,0.12213710388506993,0.12181941007142841,0.1227682307205166,0.13387798348211294,0.13210883035783713,0.1470266515544538
2032,NB,7,1002.7586230894192,6584.639820575027,6662.8278062098825,5652.432131229098,5799.8424618401805,6250.28695029781,6871.357630720644,3538.96666713111,451.2413769105808,728.3601794249724,727.7021937901175,635.6678687709024,645.5575381598196,757.1130497021899,811.4923692793562,471.83333286888933,10681.296916519792,6076.2344227140375,7390.810534857645,4891.32850735383,6020.589297900468,6595.254427566936,8938.686348282183,1153.6187889671335,5.399994425604781,2.5074757902934954,3.00525241250934,2.092771794581634,2.4723121874253264,2.46989504688611,3.2341768834940345,0.6964030435156021,16.199983276814343,7.522427370880486,9.015757237528021,6.278315383744903,7.416936562275979,7.409685140658329,9.702530650482103,2.0892091305468066,0.387931032434823,0.12454573560841799,0.12314225558156919,0.12640469968408777,0.12524507124154935,0.13510148296748112,0.13209004960708426,0.14705835444772095
