,Unnamed: 0,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours,GPVehDay,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDayLights,RevenuePerDayHeavies
0,0,Night,8,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,1542.3,283.6,1825.9,92.538,2393.1,1188.80484,232.552,1497.238,0.158850097,0.170173804,0.500000112,1.450623854,61.04455754,177.105343,64.98030105,69.99984236,188.84176414806947,1260.9202358519306,39.574258467808,244.02574153219203,228.41602261587747,1504.9459773841227,307.56453955149345,1992.9974604485067,1.9500004368000001,5.6574330306,0.6647005968464943,592.1302395920968,4737.0419167367745,1510.7341131845558,316.594067742464,1827.3281809270197,14607.2,12039.567819072981,368.2415225748181,223.88871701727874,2945.9321805985446,1791.10973613823
1,1,AM-Early,1,OP,AM,1,NB,1NB,3.9,65,6000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.411585366,3.246,0.715,5379.0,462.2,5841.2,322.74,6765.6,4146.1332,379.004,4789.784,0.17677088,0.170689508,1.949999984,5.849999941,51.02208428,153.0662526,35.93007571,69.84759519,732.9156143612161,4323.344385638784,64.692006290032,397.507993709968,797.607620651248,4720.852379348752,926.9916332313121,5515.868366768687,7.6049999376,22.8149997699,2.2663194564034437,7049.771310104563,7049.771310104563,732.9156143612161,64.692006290032,797.607620651248,5841.2,4720.852379348752,5573.823201483114,1475.9481086214494,5573.823201483114,1475.9481086214494
2,2,AM-Peak,2,Peak,AM,1,NB,1NB,3.9,65,5600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.429480382,3.246,0.715,5768.28,502.11,6270.39,346.0968,7274.61,4446.190224,411.7302,5141.7198,0.265785174,0.261186146,1.94999996,5.849999224,40.72983815,122.1895008,30.86407713,68.39680585,1181.731442322939,4240.45175767706,107.53822412980921,394.5717758701908,1289.2696664527482,4635.023533547252,1504.3461147123667,5424.167085287632,7.604999844,22.8149969736,2.2752996283867097,11440.551692583762,22881.103385167524,2363.462884645878,215.07644825961842,2578.5393329054964,12540.78,9270.047067094503,8987.067434515846,2453.4842580679156,17974.13486903169,4906.968516135831
3,3,AM-Shoulder,1,OP,AM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.246,0.715,5001.5,782.1,5783.6,300.09,7347.8,3855.1562,641.322,4742.552,0.132933137,0.133725888,1.520128963,4.490795407,58.24073161,172.055935,50.00194624,69.94227735,512.4780072909994,4188.931992709,85.76135394393599,696.338646056064,598.2393612349354,4885.270638765064,769.7620691228074,6277.9479308771915,5.9285029557,17.5141020873,1.9459925769008701,4540.260489075099,4540.260489075099,512.4780072909994,85.76135394393599,598.2393612349354,5783.6,4885.270638765064,3038.227380955936,1502.0331081191632,3038.227380955936,1502.0331081191632
4,4,MD,5,OP,MD,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.249,0.708,6404.2,621.9,7026.1,384.252,8269.9,4936.35736,509.958,5761.402,0.130519568,0.124305569,1.949999007,5.821010174,59.23712047,176.8307982,40.03659506,69.87165513,644.2912301208205,5375.656769879179,63.39061935610201,558.509380643898,707.6818494769225,5934.166150523077,834.4630881891266,7051.184911810873,7.6049961273,22.701939678600002,2.296744929043772,6338.922326733514,31694.61163366757,3221.4561506041027,316.95309678051,3538.4092473846126,35130.5,29670.830752615384,4899.8323099221925,1439.0900168113214,24499.161549610963,7195.450084056607
5,5,PM-Shoulder,1,OP,PM,1,NB,1NB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.299334812,0.299334812,3.399,0.592,8984.2,582.1,9566.3,539.052,10730.5,6925.02136,477.322,7844.366,0.118804691,0.122189682,2.692054943,7.600901371,63.94701495,180.551647,31.68812337,69.48565497,822.7250228431998,7622.422977156802,58.323823391603995,523.776176608396,881.0488462348038,8146.1991537651975,997.6964930180118,9193.75150698199,10.4990142777,29.6435153469,3.0170116049906532,10366.724915250712,10366.724915250712,822.7250228431998,58.323823391603995,881.0488462348038,9566.3,8146.1991537651975,8637.801761451814,1728.9231537988983,8637.801761451814,1728.9231537988983
6,6,PM-Peak,3,Peak,PM,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.399,0.592,7428.75,498.12,7926.87,445.725,8923.11,5726.0805,408.4584,6500.0334,0.193353712,0.187161999,1.949999995,5.849999924,50.82440248,152.4732058,38.51539644,68.72241007,1107.158919885816,5875.866080114183,76.4478906523416,421.6721093476584,1183.6068105381576,6297.538189461841,1336.5025918428407,7140.882408157158,7.6049999805,22.814999703599998,2.201896795070601,10164.10216671605,30492.30650014815,3321.476759657448,229.3436719570248,3550.820431614473,23780.61,18892.614568385525,8419.943564142031,1744.1586025740187,25259.830692426094,5232.475807722056
7,7,PM-Late,3,OP,NT,1,NB,1NB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.340622372,3.402,0.708,4584.2,366.1,4950.3,275.052,5682.5,3533.50136,300.202,4059.246,0.146718415,0.147335481,1.136031346,3.363551939,64.10076558,189.7890011,61.35071912,69.97495292,518.4297189395444,3790.7182810604554,44.230406067161994,321.86959393283803,562.6601250067064,4112.587874993294,651.1209371410304,4756.32706285897,4.4305222494,13.1178525621,1.3111355269656961,2877.1223500626843,8631.367050188053,1555.2891568186333,132.69121820148598,1687.9803750201193,14850.900000000001,12337.763624979882,2296.91440451184,580.2079455508443,6890.74321353552,1740.623836652533
8,8,Night,8,OP,NT,1,SB,1SB,3.9,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.299334812,0.299334812,3.402,0.708,1981.7,371.8,2353.5,118.902,3097.1,1527.49436,304.876,1929.87,0.147547336,0.147607316,0.521258548,1.561551483,63.18725666,189.2921559,64.96621644,69.99953451,225.37772357302495,1637.420276426975,45.00192807281599,326.798071927184,270.37965164584097,1964.2183483541592,360.38350779147294,2617.814492208527,2.0329083372000003,6.0900507837,0.6944046688362304,732.2362805986236,5857.890244788989,1803.0217885841996,360.01542458252794,2163.0372131667277,18828.0,15713.746786833273,458.1722532707595,274.06402732786404,3665.378026166076,2192.5122186229123
9,9,AM-Early,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.282229965,0.282229965,3.246,0.715,8675.3,745.5,9420.8,520.518,10911.8,6686.92124,611.31,7725.056,0.128051344,0.118291242,1.949999919,5.849999417,60.61977047,181.8593008,38.38800253,69.36078939,856.2692520041466,7298.512747995853,72.31261914702,673.18738085298,928.5818711511665,7971.700128848833,1073.2071094452065,9318.074890554793,7.604999684099999,22.8149977263,2.253709464850624,8161.739632418136,8161.739632418136,856.2692520041466,72.31261914702,928.5818711511665,9420.8,7971.700128848833,6511.9273909960775,1649.812241422059,6511.9273909960775,1649.812241422059
