,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,160,2040,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1539.1,53.3,7.8,398.1,51.7,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.506,0.708,1539.1,53.3,7.8,398.1,51.7,2049.9999999999995,3071.8,1.1,0.383975,3071.8,0.0,1.0,0.0,1231.28,42.64,6.24,318.48,41.36000000000001,1639.9999999999998,0.6915601186689084,2.0746803560067253,2.0746803560067253,2.0746803560067253,2.0746803560067253,0.18870905291331186,0.18869584390541735,0.1886945358315368,0.18870575195031522,62.23791408669943,186.71374226009831,186.71374226009831,186.71374226009831,54.93042192255389,69.99808388822447,0.23141828622963373,0.6000164242648006,0.7646036300106265,-0.16458720574582586,0.0006770864619840298,232.35368267110263,1306.7463173288972,8.045990784126996,45.254009215873,1.1774539035887897,6.62254609641121,60.099007881136394,338.0009921188636,301.6761352399548,1748.3238647600454,10489.943188560272,440.3210403776592,2631.4789596223404,0.48409208306823587,1.4522762492047077,1.4522762492047077,1.4522762492047077,1.009388663421399,213.15592965519383,112.48057825282993,11.685001317107599,1.709988338715369,87.28036174654093,1278.935577931163,674.8834695169796,70.11000790264559,10.259930032292214,523.6821704792455,1394.1220960266157,48.275944704761976,7.064723421532738,360.59404728681835,1810.0568114397288,12299.999999999996
1,161,2040,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,7328.5,109.7,72.1,457.6,31.3,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.35,0.715,7328.5,109.7,72.1,457.6,31.3,7999.200000000001,9340.6,1.1,1.167575,9340.6,0.0,1.0,0.0,5862.8,87.76,57.68,366.08000000000004,25.040000000000003,6399.360000000001,4.199992593711025,12.599977781133076,12.599977781133076,12.599977781133076,12.599977781133076,0.15026592923158952,0.14993932830485748,0.14993405905224172,0.14998803943406014,59.816591249270616,179.4497737478119,179.4497737478119,179.4497737478119,25.172401800325126,69.8044847356677,0.8064442627486884,0.6016805389946448,1.668493945597894,-1.066813406603249,0.6334003073730713,880.979089898963,6447.520910101037,13.158675452034293,96.54132454796571,8.648196526133303,63.45180347386669,54.90762147602074,402.6923785239793,957.6935833531514,7041.506416646849,7041.506416646849,1111.1225702615282,8229.477429738472,2.9399948155977174,8.819984446793152,8.819984446793152,8.819984446793152,4.8728598028861585,3266.6945960625026,2590.0739569529464,116.05931282734132,76.2769588533063,484.2843674289086,3266.6945960625026,2590.0739569529464,116.05931282734132,76.2769588533063,484.2843674289086,880.979089898963,13.158675452034293,8.648196526133303,54.90762147602074,957.6935833531514,7999.200000000001
2,162,2040,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,9192.0,263.3,137.9,448.2,20.4,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.35,0.715,9651.6,276.46500000000003,144.79500000000002,470.61,21.419999999999998,10564.890000000001,11801.400000000001,1.1,1.4751750000000001,11801.400000000001,0.0,1.0,0.0,7721.280000000001,221.17200000000003,115.83600000000001,376.48800000000006,17.136,8451.912000000002,4.199996446381106,12.599989339143317,12.599989339143317,12.599989339143317,12.599989339143317,0.2396068509887204,0.239050570826581,0.23902566742338,0.23908730396195638,47.33797804166326,142.01393412498976,142.01393412498976,142.01393412498976,19.844412589151016,62.41458515358304,0.7769079795206493,0.6729196372394523,2.1164647636363645,-1.4435451263969123,0.9469798800000006,1850.0715864021872,7801.528413597813,52.87129285085658,223.59370714914346,27.687777211654648,117.10722278834537,90.01350089402905,380.59649910597096,2020.6441573587276,8544.245842641272,8544.245842641272,2361.789299271808,10029.680700728191,2.939997512466774,8.81999253740032,8.81999253740032,8.81999253740032,4.909081407489746,6943.654664829761,5439.205861907889,466.32440838726194,244.20598838399667,793.9184061506134,6943.654664829761,5439.205861907889,466.32440838726194,244.20598838399667,793.9184061506134,1850.0715864021872,52.87129285085658,27.687777211654648,90.01350089402905,2020.6441573587276,10564.890000000001
3,163,2040,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,6347.4,244.5,61.1,493.7,11.0,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.35,0.715,6347.4,244.5,61.1,493.7,11.0,7157.7,8778.3,1.1,1.0972875,8778.3,0.0,1.0,0.0,5077.92,195.60000000000002,48.88,394.96000000000004,8.8,5726.16,2.099997946408454,6.299993839225362,6.299993839225362,6.299993839225362,6.299993839225362,0.21008965070981866,0.209982765402969,0.20997228403135382,0.2099970052037459,50.73766887527222,152.21300662581666,152.21300662581666,152.21300662581666,34.779050887862866,69.21520626912088,0.5659874969671367,0.6068030749875486,1.2076235241559479,-0.6008204491683993,0.310791012363709,1066.8184391324023,5280.581560867598,41.07262891282074,203.42737108717927,10.263445243452574,50.83655475654743,82.94041717527149,410.7595828247285,1201.0949304639473,5956.605069536053,17869.815208608157,1469.6479131270369,7308.652086872964,1.4699985624859178,4.409995687457753,4.409995687457753,4.409995687457753,2.569536779510107,2160.3803196571725,1568.221571958102,181.13011637809208,45.26174926208464,365.7668820588942,6481.140958971518,4704.664715874306,543.3903491342762,135.78524778625393,1097.3006461766827,3200.455317397207,123.21788673846223,30.790335730357725,248.8212515258145,3603.2847913918417,21473.1
4,164,2040,1NB,1,NB,MD,4,OP,MD,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5745.6,227.3,64.3,658.3,18.8,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.353,0.708,5745.6,227.3,64.3,658.3,18.8,6714.300000000001,8651.699999999999,1.1,1.0814624999999998,8651.699999999999,0.0,1.0,0.0,4596.4800000000005,181.84000000000003,51.44,526.64,15.040000000000001,5371.440000000001,2.099999530704127,6.299998592112381,6.299998592112381,6.299998592112381,6.299998592112381,0.20364115283938236,0.20354221993910163,0.20353266159633437,0.20356749008143762,51.41810362888051,154.25431088664152,154.25431088664152,154.25431088664152,35.37643874932449,69.38265050481469,0.5796380788885668,0.6053386501440369,1.1872308656507147,-0.5818922155066778,0.29651615141004567,936.0324862031644,4809.567513796836,37.01211727372625,190.28788272627378,10.46972011251544,53.83027988748456,107.20678297648831,551.0932170235117,1090.7211065658944,5623.578893434106,22494.315573736425,1400.0983472913545,7251.601652708645,1.4699996714928887,4.409999014478666,4.409999014478666,4.409999014478666,2.695653228448678,2058.1441105760273,1375.9674472253234,163.22340070090158,46.17145537806056,472.78180727174174,8232.57644230411,5503.869788901294,652.8936028036063,184.68582151224223,1891.127229086967,3744.1299448126574,148.048469094905,41.87888045006176,428.82713190595325,4362.884426263578,26857.200000000004
5,165,2040,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,6005.8,188.1,50.2,510.9,12.5,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.502,0.592,6005.8,188.1,50.2,510.9,12.5,6767.5,8290.900000000001,1.1,1.0363625,8290.900000000001,0.0,1.0,0.0,4804.64,150.48,40.160000000000004,408.72,10.0,5414.0,2.099999268512922,6.299997805538766,6.299997805538766,6.299997805538766,6.299997805538766,0.1914128691515465,0.19131274293381037,0.19130512552654855,0.19133057104143356,55.63872146892357,166.9161644067707,166.9161644067707,166.9161644067707,37.68759515226317,69.62891463340209,0.5906629848336636,0.6031976833350198,1.114425047029775,-0.5112273636947552,0.24555207837538792,919.6699276402865,5086.130072359714,28.78874155667978,159.3112584433202,7.68281384114619,42.51718615885381,78.20063099605473,432.69936900394526,1034.342114034167,5733.157885965834,11466.315771931668,1263.6864868219286,7027.213513178072,1.4699994879590454,4.409998463877136,4.409998463877136,4.409998463877136,2.565631488797772,1857.6184885689997,1351.9143227225534,126.9583060419137,33.8811972377087,344.86466256682405,3715.2369771379995,2703.8286454451068,253.9166120838274,67.7623944754174,689.7293251336481,1839.339855280573,57.57748311335956,15.36562768229238,156.40126199210945,2068.684228068334,13535.0
6,166,2040,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5776.9,116.0,34.5,462.3,12.5,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.502,0.592,6065.745,121.80000000000001,36.225,485.415,13.125,6722.31,7652.799999999999,1.1,0.9565999999999999,7652.799999999999,0.0,1.0,0.0,4852.5960000000005,97.44000000000001,28.980000000000004,388.33200000000005,10.5,5377.848000000001,2.0999992792663735,6.29999783779912,6.29999783779912,6.29999783779912,6.29999783779912,0.18871247382487444,0.18861029791340092,0.18860569287577578,0.1886298630602481,55.96729621815726,167.90188865447175,167.90188865447175,167.90188865447175,43.18483008968427,69.70464778940615,0.8232612302811534,0.6025423172195304,0.9725637431657443,-0.3700214259462139,0.14624916567056648,915.7453956326905,5149.999604367309,18.378187428681787,103.42181257131823,5.465792979539983,30.759207020460018,73.25101198191227,412.16398801808776,1012.8403880228245,5709.469611977174,11418.939223954349,1207.0303728030926,6828.4096271969065,1.4699994954864615,4.409998486459384,4.409998486459384,4.409998486459384,2.502628195827826,1774.3340390573815,1346.145269574105,81.04777874435355,24.10413876707165,323.0368519718513,3548.668078114763,2692.29053914821,162.0955574887071,48.2082775341433,646.0737039437026,1831.490791265381,36.756374857363575,10.931585959079966,146.50202396382454,2025.680776045649,13444.62
7,167,2040,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5272.3,101.9,15.7,452.9,36.0,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.502,0.592,5272.3,101.9,15.7,452.9,36.0,5878.799999999999,7091.8,1.1,0.886475,7091.8,0.0,1.0,0.0,4217.84,81.52000000000001,12.56,362.32,28.8,4703.04,1.7623184854661462,5.286955456398439,5.286955456398439,5.286955456398439,5.286955456398439,0.1571830229948693,0.1570881894735797,0.1570832470822298,0.15710830282185512,60.2113467257974,180.6340401773922,180.6340401773922,180.6340401773922,45.09791298767677,69.93962176984586,0.5967405058154156,0.6005179744639126,0.931306954525295,-0.33078898006138235,0.11736941362225191,662.9728417086795,4609.32715829132,12.805829205886218,89.0941707941138,1.9729655833528061,13.727034416647193,56.923480278414544,395.9765197215854,734.6751167763331,5144.124883223667,25720.624416118335,878.0796669116401,6213.720333088359,1.2336229398263023,3.700868819478907,3.700868819478907,3.700868819478907,2.106313380396484,1083.219220097238,817.858506013659,47.392694015636636,7.301686809335412,210.66633325860687,5416.096100486189,4089.2925300682955,236.96347007818318,36.50843404667706,1053.3316662930342,3314.8642085433976,64.02914602943109,9.86482791676403,284.61740139207274,3673.3755838816655,29393.999999999996
8,168,2040,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,2046.8,50.2,20.4,401.2,47.0,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.506,0.708,2046.8,50.2,20.4,401.2,47.0,2565.6,3603.2,1.1,0.45039999999999997,3603.2,0.0,1.0,0.0,1637.44,40.160000000000004,16.32,320.96000000000004,37.6,2052.48,0.7973248380038269,2.3919745140114808,2.3919745140114808,2.3919745140114808,2.3919745140114808,0.1802890108934665,0.1802684319323145,0.180267461204151,0.18027986233131071,63.64742915793162,190.94228747379486,190.94228747379486,190.94228747379486,54.81303834430571,69.99640609545808,0.27918794594221696,0.6000308064777241,0.7662410490033198,-0.1662102425255957,0.0018232797568693913,295.2124379973978,1751.5875620026022,7.239580226401752,42.960419773598254,2.941964966851744,17.458035033148256,57.86262461385749,343.3373753861425,363.2566078045088,2202.343392195491,13214.060353172947,499.3449474187307,3103.8550525812693,0.5581273866026788,1.6743821598080364,1.6743821598080364,1.6743821598080364,1.0960299709755952,278.69809051606825,164.76614651209297,12.121823975586118,4.925973655276802,96.88414637311236,1672.1885430964094,988.5968790725578,72.7309438535167,29.555841931660808,581.3048782386742,1771.2746279843868,43.43748135841051,17.651789801110464,347.17574768314495,2179.539646827053,15393.599999999999
9,169,2040,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,3816.3,155.2,65.8,523.5,50.2,1.567262605266928,4.2,2.1,0.3879310344827586,0.3879310344827586,3.35,0.715,3816.3,155.2,65.8,523.5,50.2,4611.0,6200.400000000001,1.1,0.77505,6200.400000000001,0.0,1.0,0.0,3053.0400000000004,124.16,52.64,418.8,40.160000000000004,3688.8,1.370389327785953,4.111167983357859,4.111167983357859,4.111167983357859,4.111167983357859,0.15360402995186248,0.15354441411258107,0.15353964111296195,0.15356407526026092,59.16262399188261,177.48787197564786,177.48787197564786,177.48787197564786,49.96625731322566,69.97373669168475,0.5327287108518864,0.6002251985635494,0.8405672599553087,-0.2403420613917593,0.05385162742326155,468.9592476042343,3347.340752395766,19.064074456218066,136.13592554378192,8.082326708186317,57.71767329181368,64.31263471899727,459.1873652810027,560.4182834876359,4050.581716512364,4050.581716512364,743.3363552544392,5457.063644745561,0.9592725294501669,2.877817588350501,2.877817588350501,2.877817588350501,1.8176783988141694,713.0621457371939,449.85972365836096,54.862928775727866,23.25946195561359,185.08003134749143,713.0621457371939,449.85972365836096,54.862928775727866,23.25946195561359,185.08003134749143,468.9592476042343,19.064074456218066,8.082326708186317,64.31263471899727,560.4182834876359,4611.0
