,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TotalVeh_hours
0,320,2050,1NB,1,NB,Night,6,OP,NT,0.7,55,7818.563956451465,1,6,70,3600,1,5,0.5,0,1509.5,52.3,7.7,390.4,50.7,1.5371469295880429,5.15,2.575,0.3940950908680167,0.3940950908680167,3.635,0.708,1509.5,52.3,7.7,390.4,50.7,2010.6000000000001,3012.7999999999997,1.2,0.30128,3012.7999999999997,0.0,1.0,0.0,1207.6000000000001,41.84,6.16,312.32,40.56,1608.4800000000002,0.7854723306278928,2.3564169918836786,2.3564169918836786,2.3564169918836786,2.3564169918836786,0.1909321935617647,0.19091741377005034,0.1909159503008615,0.19092849782439777,70.39801049049393,211.19403147148182,211.19403147148182,211.19403147148182,54.929763158854,69.99815603148446,0.23304556153610648,0.6000158058607834,0.7646127997773847,-0.16459699391660132,0.0006835052987148294,230.56971694518705,1278.930283054813,7.987984592138907,44.31201540786109,1.1760422538533069,6.523957746146693,59.630788440515914,330.76921155948406,299.3645322316952,1711.2354677683047,10267.412806609827,436.9541628047115,218.47708140235574,2575.8458371952884,0.5498306314395249,1.649491894318575,1.649491894318575,1.649491894318575,1.146479852095981,240.25078324504346,126.77429305880473,13.176115836674795,1.9398721651071775,98.36050218445678,1441.5046994702607,760.6457583528284,79.05669502004876,11.639232990643066,590.1630131067407,1383.4183016711222,47.92790755283344,7.056253523119841,357.7847306430955,1796.1871933901712,12063.6
1,321,2050,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,13000.0,1,6,70,3600,1,5,0.5,0,7187.7,107.6,70.7,448.8,30.7,1.5371469295880429,5.15,2.575,0.2710843373493976,0.2710843373493976,3.479,0.715,7187.7,107.6,70.7,448.8,30.7,7845.5,9161.1,1.2,0.9161100000000001,9161.1,0.0,1.0,0.0,5750.16,86.08,56.56,359.04,24.560000000000002,6276.400000000001,1.4761971679023351,4.428591503707006,4.428591503707006,4.428591503707006,4.428591503707006,0.11876247168687268,0.11864107367273709,0.11863911380417176,0.11865917821470588,75.4909531613501,226.47285948405033,226.47285948405033,226.47285948405033,51.51184607240677,69.94511220753711,0.44702741236045346,0.6004708359803616,0.8153464339244103,-0.21487559794404876,0.036197049201632726,682.9032141949878,6504.796785805012,10.212623621749207,97.38737637825079,6.710228276763955,63.989771723236046,42.603391346208,406.196608653792,742.4294574397089,7103.070542560291,7103.070542560291,861.4819439291513,430.74097196457564,8299.61805607085,1.0333380175316345,3.100014052594904,3.100014052594904,3.100014052594904,1.71291318398487,890.2020440790479,705.6698535222298,31.659276741285204,20.801801954087946,132.0711118614449,890.2020440790479,705.6698535222298,31.659276741285204,20.801801954087946,132.0711118614449,682.9032141949878,10.212623621749207,6.710228276763955,42.603391346208,742.4294574397089,7845.5
2,322,2050,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,13000.0,1,6,70,3600,1,5,0.5,0,9015.4,258.2,135.3,439.6,20.0,1.5371469295880429,5.15,2.575,0.2710843373493976,0.2710843373493976,3.479,0.715,9466.17,271.11,142.06500000000003,461.58000000000004,21.0,10361.925000000001,11574.7,1.2,1.15747,11574.7,0.0,1.0,0.0,7572.936000000001,216.88800000000003,113.65200000000003,369.26400000000007,16.8,8289.54,2.574999820599702,7.724999461799106,7.724999461799106,7.724999461799106,7.724999461799106,0.12975112962622778,0.12953261606422817,0.12952283747334967,0.12954704944857934,72.67670644227702,218.03011932683108,218.03011932683108,218.03011932683108,43.98955216218212,69.64206641232632,0.7793990354098667,0.6030837705379489,0.9547721660168993,-0.35168839547895037,0.133795061666375,982.597000587127,8483.572999412872,28.094070032938323,243.01592996706168,14.72052952452114,127.34447047547889,47.83706166758021,413.74293833241984,1073.2486618121668,9288.676338187832,9288.676338187832,1254.551984262246,627.275992131123,10898.883015737754,1.8024998744197913,5.4074996232593735,5.4074996232593735,5.4074996232593735,3.0099931631442,2261.3297940857983,1771.13097016356,151.91867311893643,79.60125785802656,258.6788929452754,2261.3297940857983,1771.13097016356,151.91867311893643,79.60125785802656,258.6788929452754,982.597000587127,28.094070032938323,14.72052952452114,47.83706166758021,1073.2486618121668,10361.925000000001
3,323,2050,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,8403.08020943778,1,6,70,3600,1,5,0.5,0,6225.4,239.8,59.9,484.2,10.8,1.5371469295880429,5.15,2.575,0.3749037681562555,0.3749037681562555,3.479,0.715,6225.4,239.8,59.9,484.2,10.8,7020.099999999999,8609.499999999998,1.2,0.8609499999999998,8609.499999999998,0.0,1.0,0.0,4980.32,191.84000000000003,47.92,387.36,8.64,5616.08,2.5749952007900205,7.724985602370062,7.724985602370062,7.724985602370062,7.724985602370062,0.1686345073839553,0.16848345224899663,0.1684686414573546,0.16850356948091047,64.43014118722866,193.29042356168594,193.29042356168594,193.29042356168594,36.995498377223406,69.76094880317076,0.6334121633084252,0.602056031641746,1.1352732587015955,-0.5332172270598494,0.2601458265456622,839.8538098144602,5385.54619018554,32.32186547944752,207.4781345205525,8.073017298636433,51.82698270136356,65.27154267412548,418.9284573258745,945.5202352666696,6074.579764733331,18223.739294199993,1156.8530861710885,578.4265430855443,7452.646913828912,1.8024966405530143,5.407489921659042,5.407489921659042,5.407489921659042,3.150531351737307,2085.223801436774,1513.8336707462147,174.78016182933177,43.65475967975562,352.9552091814717,6255.671404310322,4541.501012238644,524.3404854879954,130.96427903926687,1058.865627544415,2519.561429443381,96.96559643834254,24.2190518959093,195.81462802237644,2836.5607058000087,21060.3
4,324,2050,1NB,1,NB,MD,4,OP,MD,0.7,55,8258.51108755498,1,6,70,3600,1,5,0.5,0,5635.2,222.9,63.0,645.6,18.4,1.5371469295880429,5.15,2.575,0.37947428364110275,0.37947428364110275,3.482,0.708,5635.2,222.9,63.0,645.6,18.4,6585.099999999999,8484.900000000001,1.2,0.8484900000000002,8484.900000000001,0.0,1.0,0.0,4508.16,178.32000000000002,50.400000000000006,516.48,14.719999999999999,5268.08,2.574995110806764,7.724985332420292,7.724985332420292,7.724985332420292,7.724985332420292,0.17017795561184654,0.17004224017294625,0.1700291285981036,0.17007689800833212,63.91038999078227,191.7311699723468,191.7311699723468,191.7311699723468,36.86558133659689,69.77053823271108,0.6381312752940853,0.6019732836217222,1.1392740457969155,-0.5373007621751933,0.26294637751238636,767.1894523711021,4868.010547628897,30.32193226763978,192.57806773236024,8.569468081344422,54.430531918655575,87.84131628334337,557.7586837166566,893.9221690034298,5691.177830996569,22764.711323986277,1147.387602268085,573.6938011340425,7337.5123977319145,1.8024965775647348,5.407489732694204,5.407489732694204,5.407489732694204,3.305117121476466,2068.16222622843,1382.8563622426748,163.9655374127112,46.33931066452066,475.00101590852347,8272.64890491372,5531.425448970699,655.8621496508448,185.35724265808264,1900.0040636340939,3068.7578094844084,121.28772907055912,34.277872325377686,351.3652651333735,3575.688676013719,26340.399999999998
5,325,2050,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,7000.0,1,6,70,3600,1,5,0.5,0,5890.3,184.5,49.2,501.1,12.3,1.5371469295880429,5.15,2.575,0.4245283018867924,0.4245283018867924,3.632,0.592,5890.3,184.5,49.2,501.1,12.3,6637.400000000001,8131.6,1.2,0.81316,8131.6,0.0,1.0,0.0,4712.240000000001,147.6,39.36000000000001,400.88000000000005,9.840000000000002,5309.920000000001,2.574999986187504,7.724999958562512,7.724999958562512,7.724999958562512,7.724999958562512,0.24139712131624888,0.2412954757772605,0.2412877367397843,0.24131358049664117,57.26489402091346,171.7946820627404,171.7946820627404,171.7946820627404,32.68585747373859,68.93627484338242,0.5646756827956196,0.6092583345331695,1.284959405875916,-0.6757010713427465,0.36492612956768655,1137.5211709512807,4752.77882904872,35.61521222472365,148.88478777527635,9.497085318077911,39.702914681922095,96.73778814949353,404.36221185050647,1279.3712566435759,5358.0287433564245,10716.057486712849,1563.0714280281659,781.5357140140829,6568.528571971834,1.8024999903312529,5.407499970993759,5.407499970993759,5.407499970993759,3.1460054184286883,2817.4362339078266,2050.381899641279,192.5892590721297,51.355488582031555,523.1095866123866,5634.872467815653,4100.763799282558,385.1785181442594,102.71097716406311,1046.2191732247732,2275.0423419025615,71.2304244494473,18.994170636155822,193.47557629898705,2558.7425132871517,13274.800000000001
6,326,2050,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,7000.0,1,6,70,3600,1,5,0.5,0,5665.9,113.7,33.8,453.5,12.3,1.5371469295880429,5.15,2.575,0.4245283018867924,0.4245283018867924,3.632,0.592,5949.195,119.385,35.49,476.175,12.915000000000001,6593.16,7505.799999999999,1.2,0.7505799999999999,7505.799999999999,0.0,1.0,0.0,4759.356,95.50800000000001,28.392000000000003,380.94000000000005,10.332,5274.528,2.5749999966767616,7.724999990030285,7.724999990030285,7.724999990030285,7.724999990030285,0.225505206810586,0.22539570038644297,0.22539076575485756,0.22541668154620384,59.053206391141266,177.15961917342383,177.15961917342383,177.15961917342383,38.35109843291218,69.35020055600168,0.8351108490647395,0.6056218967396375,1.0951446429486462,-0.4895227462090087,0.23205579551859787,1073.2595590652033,4875.935440934796,21.527092552508396,97.85790744749161,6.399294621311917,29.090705378688085,85.87023066821091,390.3047693317891,1187.0561769072344,5406.103823092765,10812.20764618553,1414.6494125912968,707.3247062956484,6466.440587408702,1.802499997673733,5.407499993021199,5.407499993021199,5.407499993021199,3.0687024789442985,2549.905562904961,1934.5503527183407,116.40775282745585,34.604185620084785,464.3432717390792,5099.811125809922,3869.1007054366814,232.8155056549117,69.20837124016957,928.6865434781585,2146.5191181304067,43.05418510501679,12.798589242623834,171.74046133642182,2374.112353814469,13186.32
7,327,2050,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,7000.0,1,6,70,3600,1,5,0.5,0,5171.0,99.9,15.4,444.2,35.4,1.5371469295880429,5.15,2.575,0.4245283018867924,0.4245283018867924,3.632,0.592,5171.0,99.9,15.4,444.2,35.4,5765.899999999999,6955.7,1.2,0.69557,6955.7,0.0,1.0,0.0,4136.8,79.92000000000002,12.32,355.36,28.32,4612.719999999999,2.574980417378734,7.724941252136201,7.724941252136201,7.724941252136201,7.724941252136201,0.1679568128577377,0.16782659603752328,0.16781982096575682,0.1678542145083134,66.81918568298178,200.45755704894532,200.45755704894532,200.45755704894532,38.98327515656551,69.92370420102493,0.6794000359721472,0.6006546775504547,1.0773851050564287,-0.47673042750597405,0.21962411899404558,694.8037434298893,4476.196256570111,13.412701555318863,86.48729844468114,2.067540194298124,13.332459805701877,59.64867366767425,384.55132633232574,769.9326588471806,4995.967341152818,24979.836705764093,920.1904896817631,460.09524484088155,6035.509510318237,1.8024862921651135,5.40745887649534,5.40745887649534,5.40745887649534,3.077506148052606,1658.6307438320812,1252.374223277382,72.52863208309185,11.180138576168291,322.547749895439,8293.153719160406,6261.87111638691,362.64316041545925,55.900692880841454,1612.738749477195,3474.0187171494467,67.06350777659432,10.33770097149062,298.2433683383713,3849.663294235903,28829.499999999993
8,328,2050,1SB,1,SB,Night,6,OP,NT,0.7,55,9280.60600741606,1,6,70,3600,1,5,0.5,0,2007.5,49.2,20.0,393.5,46.1,1.5371469295880429,5.15,2.575,0.34936244439191033,0.34936244439191033,3.635,0.708,2007.5,49.2,20.0,393.5,46.1,2516.2999999999997,3533.9,1.2,0.35339,3533.9,0.0,1.0,0.0,1606.0,39.36000000000001,16.0,314.8,36.88,2013.04,0.808942001045391,2.4268260031361732,2.4268260031361732,2.4268260031361732,2.4268260031361732,0.17206907009514333,0.17204893952154998,0.17204799134251111,0.17206012328566947,74.05757377655218,222.17272132965653,222.17272132965653,222.17272132965653,54.92851928357176,69.99741737628783,0.22465285892190492,0.6000221375914339,0.7646301146982043,-0.16460797710677044,0.0006956257432884561,276.3429265728002,1731.1570734271997,6.771846259568209,42.428153740431796,2.752767861480178,17.247232138519824,54.16452681032875,339.33547318967123,340.03206750417735,2176.2679324958226,13057.607594974936,467.4103493669316,233.7051746834658,3066.489650633069,0.5662594007317737,1.6987782021953213,1.6987782021953213,1.6987782021953213,1.1119770735198848,264.6755043283477,156.4817799975784,11.503864814372392,4.6763420387863555,92.01351747761056,1588.0530259700863,938.8906799854703,69.02318888623435,28.058052232718133,552.0811048656634,1658.057559436801,40.631077557409256,16.516607168881066,324.9871608619725,2040.192405025064,15097.8
9,329,2050,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,7000.0,1,6,70,3600,1,5,0.5,0,3743.0,152.2,64.6,513.4,49.2,1.5371469295880429,5.15,2.575,0.4245283018867924,0.4245283018867924,3.479,0.715,3743.0,152.2,64.6,513.4,49.2,4522.4,6081.200000000001,1.2,0.6081200000000001,6081.200000000001,0.0,1.0,0.0,2994.4,121.75999999999999,51.68,410.72,39.36000000000001,3617.92,1.9669156987590577,5.900747096277173,5.900747096277173,5.900747096277173,5.900747096277173,0.1549636062548161,0.15487941332222868,0.1548726797068593,0.15490717660251352,67.03941842425158,201.11825527275474,201.11825527275474,201.11825527275474,45.89614078197265,69.97509519468224,0.626499547843914,0.6002135457357948,0.9151096210794483,-0.3148960753436535,0.1060312802101592,464.0230225694213,3278.9769774305787,18.858117366114563,133.34188263388543,8.003820087250489,56.596179912749506,63.623475574184354,449.77652442581564,554.5084355969707,3967.891564403029,3967.891564403029,735.4792616520695,367.7396308260347,5345.720738347931,1.3768409891313402,4.130522967394021,4.130522967394021,4.130522967394021,2.6088434602401906,1012.6379940986233,638.8859173741962,77.89388690254825,33.05996269727776,262.79822712460094,1012.6379940986233,638.8859173741962,77.89388690254825,33.05996269727776,262.79822712460094,464.0230225694213,18.858117366114563,8.003820087250489,63.623475574184354,554.5084355969707,4522.4
