,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,NB,1,1711.2354677683047,7103.070542560291,9288.676338187832,6074.579764733331,5691.177830996569,5358.0287433564245,5406.103823092765,4995.967341152818,299.3645322316952,742.4294574397089,1073.2486618121668,945.5202352666696,893.9221690034298,1279.3712566435759,1187.0561769072344,769.9326588471806,240.25078324504346,890.2020440790479,2261.3297940857983,2085.223801436774,2068.16222622843,2817.4362339078266,2549.905562904961,1658.6307438320812,0.7854723306278928,1.4761971679023351,2.574999820599702,2.5749952007900205,2.574995110806764,2.574999986187504,2.5749999966767616,2.574980417378734,0.1909321935617647,0.11876247168687268,0.12975112962622778,0.1686345073839553,0.17017795561184654,0.24139712131624888,0.225505206810586,0.1679568128577377,1441.5046994702607,890.2020440790479,2261.3297940857983,6255.671404310322,8272.64890491372,5634.872467815653,5099.811125809922,8293.153719160406
2050,NB,10,1342.034752820339,6392.525357388926,9257.431904332741,6910.953398509484,5933.197272925969,6655.234556893553,7063.240220455871,3745.205976319158,159.8652471796609,701.2746426110743,900.3730956672589,614.2466014905153,527.6027270740319,632.3654431064471,890.7197795441285,533.8940236808425,657.4743384346078,8576.455232439754,12361.167091427811,5121.913686019168,3708.7365368782166,4248.852599134476,12526.075198919001,3556.563859627747,0.6020000628103334,2.3144073256662936,2.5749986328963983,1.4361569844696378,1.1693289651263339,1.1959370702397214,2.574998781279645,1.2039982460681105,0.1369023073703225,0.12436660389815106,0.11117528056599911,0.10251112198122163,0.1025766584149782,0.10872284014594331,0.1404783348367423,0.15678846435088295,3944.8460306076468,8576.455232439754,12361.167091427811,15365.741058057505,14834.946147512866,8497.705198268952,25052.150397838002,17782.819298138736
2050,NB,2,1633.2527183244324,5802.530662289414,8082.013542016167,6340.632174991012,6409.214337346439,6992.162162256822,6620.969894381018,5680.788348153454,95.54728167556762,1131.1693377105855,2772.676457983833,2107.6678250089867,2182.8856626535603,1954.837837743178,2139.075105618982,678.8116518465457,118.26023913641572,2242.1096817978855,10911.550516028019,4291.413147436326,4519.229759534492,7944.595014830891,4250.374928486166,514.1006972110232,1.3985364610993352,2.574997121142624,5.149999448939458,2.5749961646481383,2.5749998643090612,5.149976215264462,2.5749998544446813,0.9905657406017775,0.0699023170383121,0.20447623430454437,0.31956650297470535,0.31203997250379906,0.3180125301907907,0.2736398618023875,0.30548196724019067,0.13370694551675177,709.5614348184943,2242.1096817978855,10911.550516028019,12874.239442308977,18076.919038137967,15889.190029661782,8500.749856972332,2570.503486055116
2050,NB,3,1377.0838371731913,4734.400399693676,5055.888918402687,4422.956895808745,4919.295400159658,5163.639598974623,4900.883261075533,3723.9478126783542,23.81616282680861,644.8996003063236,793.4510815973135,599.3431041912557,836.7045998403422,887.6604010253774,771.3217389244676,488.3521873216456,26.873510463946882,811.4000346838967,1183.205019937518,819.8983272358616,1360.5649291301168,1361.317620618669,1169.3011375278902,215.10158119899552,1.5489055011883637,2.1670322684094874,2.57499954555269,2.184420539045701,2.5749997185868794,2.574999637975205,2.5749991967837493,0.7411497995575707,0.02221257764552653,0.15059133657192772,0.17001338510441774,0.14946786377393242,0.18227934106338536,0.18361498931417525,0.17024084123970812,0.14593168260403852,161.2410627836813,811.4000346838967,1183.205019937518,2459.6949817075847,5442.259716520467,2722.635241237338,2338.6022750557804,1075.5079059949776
2050,NB,4,1493.6745645646988,7811.875488151382,9835.361139921286,7618.884146124834,7239.183789250365,6893.3261432959525,6731.440029413034,4178.008949369003,230.6254354353012,1079.6245118486177,1737.7388600787149,1380.2158538751667,1222.016210749635,1994.8738567040477,2314.6249705869673,606.5910506309975,349.61410975925264,5054.408563353113,7996.07686308145,6869.334606673797,6393.4361695541265,19561.078393339354,11005.65809410998,1671.6453982111002,0.6416265957363837,2.5749901798791615,2.57499989691922,2.5749998505815466,2.5749999926955818,5.149990923253227,2.5749997419275528,1.4390094514582101,0.173990598008338,0.1524129687347556,0.18815452601893873,0.19202420746969961,0.18112318831933844,0.2810005809894907,0.3203281529914203,0.15988007318071207,2097.684658555516,5054.408563353113,7996.07686308145,20608.00382002139,25573.744678216506,39122.15678667871,22011.31618821996,8358.2269910555
2050,NB,5,1527.9175053888048,8431.1171571043,10084.820065019185,8051.93725826938,7801.857610768966,6999.913317336264,7378.535996201055,4273.8041720660585,213.58249461119541,752.0828428956996,1051.4799349808154,1038.2627417306207,759.1423892310348,2128.3866826637363,1938.744003798946,598.3958279339411,373.10409442635586,2736.8364315462695,6093.453079529212,6546.968019329372,4886.566943187111,26243.424193277453,23241.19452674586,2134.9399719395406,0.5969282004082808,1.6179971403621687,2.5749981638685715,2.574998476458374,2.5206286456600595,5.149993596634916,5.1499984296787975,1.495158134932627,0.15901257980788158,0.1027725859063603,0.11833948241372402,0.14323631193579045,0.11134612078462323,0.29199628187704824,0.2605991085185629,0.15494397672612636,2238.624566558135,2736.8364315462695,6093.453079529212,19640.904057988115,19546.267772748444,52486.848386554906,46482.38905349172,10674.699859697703
2050,NB,6,1564.8002303868013,7931.319646692566,9123.219980741802,7382.211442994835,7022.757331839654,6864.966822895192,6768.490173288571,4237.209841314502,217.79976961319855,1366.280353307436,1744.7000192581995,1416.588557005165,1326.1426681603461,1860.1331771048094,2360.9448267114285,593.6901586854976,677.8688228778315,14218.71552453664,18167.823478856808,16026.83041620503,15663.137565393992,41404.55307975772,25686.571866171347,3693.464914833181,0.600264348765423,2.5749980220877022,2.574994574367518,2.574992648030415,2.5749996890746636,5.149999992754746,2.574997295964205,1.4516711060697731,0.15731946318328033,0.18437941086508453,0.20108074492273226,0.20188655360243263,0.19936456019216162,0.26706733588890924,0.3238618066657316,0.15472334822500558,4067.212937266989,14218.71552453664,18167.823478856808,48080.491248615086,62652.55026157597,82809.10615951545,51373.143732342694,18467.324574165905
2050,NB,7,1533.1841076119783,7786.082800751148,7690.280084259873,6659.847811553703,6837.251304839171,7018.734568319471,7320.932557114827,4228.349489965524,214.7158923880214,1004.5171992488519,1193.4549157401293,898.9521884462968,910.6486951608305,1404.56543168053,1914.1324428851724,592.9505100344761,539.1921151236098,8555.895197912232,10358.402074039059,8465.665563898083,8794.701552251518,12726.445766096442,33489.220717335375,3008.1642766755313,0.5957371430986949,2.5749999437113553,2.5749998835853374,2.574993422641028,2.574999950337219,2.5749999846288794,5.149999991234205,1.4635690740277172,0.15955339914828476,0.143406924924565,0.16829259338189795,0.149291137559353,0.14762462679673885,0.2088341835471496,0.25962322410557226,0.1550590627722114,3235.152690741659,8555.895197912232,10358.402074039059,25396.99669169425,35178.80620900607,25452.891532192883,66978.44143467075,15040.821383377657
