,,,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,GPVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,MLVeh,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,RevenuePerHour,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,TollLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,CaptureRateLights,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay,RevenueDay
Period,,,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late,Night,AM-Early,AM-Peak,AM-Shoulder,MD,PM-Shoulder,PM-Peak,PM-Late
Year,Direction,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,NB,1,1629.27313,6891.682754,8444.090017,5343.114713,5000.60243,4572.935351,4707.697282,4371.594878,381.3268696,953.8172458,1917.834983,1676.985287,1584.49757,2064.464649,1885.462718,1394.305122,333.6516167,1585.008598,4041.279721,3698.626822,3666.132713,4546.479087,4050.260896,3003.878997,0.856371291,2.045906953,2.574971434,2.574973445,2.574999991,2.574982548,2.574999148,2.574999698,0.243207007,0.152578919,0.231841298,0.299076359,0.301628291,0.389523704,0.35817486,0.304149113,2001.9097,1585.008598,4041.279721,11095.88046,14664.53085,9092.958173,8100.521793,15019.39499
2050,NB,10,1256.327774,5808.486113,8474.670658,6704.985572,5727.210374,6405.741491,6331.203254,3650.137423,245.5722262,1285.313887,1683.134342,820.2144284,733.5896259,881.8585086,1622.756746,628.9625774,1003.764255,17498.57691,23129.50665,10164.52892,6817.480707,8230.660941,22832.79824,6462.836142,0.5983017,2.574999987,2.574999991,2.134823414,1.545973654,1.661374295,2.574999959,1.857332312,0.21029639,0.227862428,0.207699967,0.136906257,0.142628269,0.151624973,0.255837536,0.184719313,6022.58553,17498.57691,23129.50665,30493.58677,27269.92283,16461.32188,45665.59648,32314.18071
2050,NB,2,1374.324035,5043.817038,6837.937171,5344.893564,5388.610554,5339.059393,5606.98995,5414.423108,354.4759652,1889.882962,4016.752829,3103.406436,3203.489446,3607.940607,3153.05505,945.1768921,224.3672318,3746.101111,15807.81503,6318.912171,6632.194435,7332.060767,6265.231962,822.5990492,0.71513769,2.574999812,5.149986279,2.574989317,2.574963992,2.57499993,2.574999569,1.138304366,0.259318531,0.341618594,0.462946829,0.459454704,0.466694267,0.505019033,0.450286076,0.186173191,1346.203391,3746.101111,15807.81503,18956.73651,26528.77774,14664.12153,12530.46392,4112.995246
2050,NB,3,1109.886356,4365.06396,4547.843614,4072.974359,4309.437157,4491.479742,4380.48721,3527.201984,291.0136443,1014.23604,1301.496386,949.3256414,1446.562843,1559.820258,1291.71779,685.0980162,147.0069644,1516.368344,1940.878897,1530.926822,2352.325489,2392.223097,1958.271897,325.146678,0.685305163,2.574995602,2.5749999,2.574999699,2.574970772,2.574991692,2.574999981,0.798585104,0.268384095,0.236831555,0.278866365,0.236743265,0.315129892,0.322645349,0.285092972,0.204723901,882.0417862,1516.368344,1940.878897,4592.780465,9409.301955,4784.446194,3916.543795,1625.73339
2050,NB,4,1423.242416,6874.712991,8630.68202,6601.951171,6293.615101,5781.246039,5661.318252,4108.264714,301.0575836,2016.787009,2942.41798,2397.148829,2167.584899,3106.953961,3384.746748,676.3352859,511.7283259,9443.690603,13540.75285,11932.3569,11342.45635,30469.37758,16094.28331,3166.247338,0.719432859,2.5749898,2.574994296,2.574993149,2.574992602,5.149999964,2.57499984,2.444706432,0.227126564,0.284680613,0.318571323,0.333472744,0.321231582,0.437616103,0.46841885,0.178270409,3070.369955,9443.690603,13540.75285,35797.0707,45369.82539,60938.75516,32188.56663,15831.23669
2050,NB,5,1456.143985,8195.257359,9222.171911,7098.081686,7011.628461,5856.569193,5760.442282,4184.132684,285.356015,987.9426412,1914.128089,1992.118314,1549.371539,3271.730807,3556.837718,688.0673161,565.9271265,5720.832066,10628.52992,12566.01696,10193.57134,40346.45977,21324.83805,4227.366117,0.677689665,2.574998064,2.466959345,2.574998474,2.574999982,5.149999865,2.574999882,2.574918846,0.21244794,0.135013196,0.215410498,0.27476273,0.227165817,0.448813852,0.478018263,0.178172188,3395.562759,5720.832066,10628.52992,37698.05087,40774.28536,80692.91954,42649.67609,21136.83059
2050,NB,6,1491.359246,6883.977466,7967.103005,6370.067034,6062.214647,5264.57513,5681.475129,4167.965133,291.2407544,2413.622534,2900.816995,2428.732966,2286.685353,3460.52487,3447.959871,662.9348671,1028.95894,25125.40227,30213.09529,27486.20958,27016.44859,38532.98671,37515.01029,7226.904848,0.681395922,2.574999995,2.57499998,2.574999995,2.574997644,2.574998353,2.574999661,2.544172483,0.210366492,0.325663063,0.334283598,0.346062305,0.343688821,0.496676859,0.472957218,0.172787988,6173.75364,25125.40227,30213.09529,82458.62873,108065.7943,77065.97342,75030.02057,36134.52424
2050,NB,7,1461.107543,6869.328759,6830.515199,5863.345893,6017.864231,6006.721126,5715.940939,4159.370216,286.7924569,1921.271241,2053.219801,1695.454107,1730.035769,2416.578874,3519.124061,661.9297838,817.6583059,16370.67512,17825.35214,15973.34104,16715.36045,21900.30212,30796.82332,5907.437126,0.676361603,2.574998783,2.574998974,2.574999991,2.574998836,2.574999857,2.574997946,2.574987332,0.21311259,0.274218719,0.289481622,0.281481531,0.280361599,0.359255589,0.477197396,0.173112689,4905.949835,16370.67512,17825.35214,47920.02311,66861.44179,43800.60424,61593.64665,29537.18563
