,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,6,OP,NT,0.7,55,6254.8511651611725,1,6,70,3600,1,5,0.5,0,982.0,34.0,5.0,254.0,33.0,1.0,3.6,1.8,0.45662790077524257,0.45662790077524257,3.286,0.708,982.0,34.0,5.0,254.0,33.0,1308.0,1960.0,1.0,0.245,1960.0,0.0,1.0,0.0,785.6,27.200000000000003,4.0,203.20000000000002,26.400000000000002,1046.4,1.0942631054460483,3.282789316338145,3.282789316338145,3.282789316338145,3.282789316338145,0.05611697990661163,0.05610445080173337,0.05610447298318988,0.05611511159152424,82.31337597514438,246.9401279254332,246.9401279254332,246.9401279254332,54.95993420768721,69.99999952882882,0.31000833202427297,0.6000000040386101,0.7641930545492809,-0.1641930505106708,0.0003896836390420391,44.0854994146341,937.9145005853659,1.5260410618071478,32.47395893819285,0.22441789193275952,4.7755821080672405,11.402590675397727,242.59740932460227,57.238549043771734,1250.7614509562281,7504.568705737369,83.54464830204701,0.023206846750568614,501.2678898122821,350.88752286859744,1876.455351697953,11258.732110187717,7881.112477131402,1960.0,11759.999999999998,8232.0,0.31335677672347867,0.7659841738122338,2.2979525214367014,2.2979525214367014,2.2979525214367014,1.5971723221789722,63.993878406077116,33.76879484621822,3.5067699057956765,0.5157016606223939,26.202611993440826,383.9632704364627,202.61276907730934,21.040619434774058,3.094209963734363,157.21567196064495,264.51299648780457,9.156246370842887,1.346507351596557,68.41554405238637,343.43129426263044,185.15909754146318,6.4093724595900206,0.94255514611759,47.890880836670455,7848.0,-0.21485807746252214,399.86945928930146
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,4676.0,70.0,46.0,292.0,20.0,1.0,3.6,1.8,0.3214285714285714,0.3214285714285714,3.13,0.715,4676.0,70.0,46.0,292.0,20.0,5104.0,5960.0,1.0,0.745,5960.0,0.0,1.0,0.0,3740.8,56.0,36.800000000000004,233.60000000000002,16.0,4083.2000000000003,0.7524931964072252,2.257479589221676,2.257479589221676,2.257479589221676,2.257479589221676,0.1423339085673978,0.14229134991385717,0.14229066338117632,0.14229769972281683,49.161681706971585,147.48504512091475,147.48504512091475,147.48504512091475,54.06550299399021,69.98416498102013,0.3605029170195162,0.6001357594448758,0.7768354620629095,-0.1766997026180337,0.009239368898582087,532.4426851689217,4143.557314831079,7.968315595176001,62.031684404824,5.236296412427289,40.763703587572714,33.24074265525002,258.75925734475,578.8880398317749,4525.111960168225,4525.111960168225,671.7787491574816,0.18660520809930042,671.7787491574816,470.24512441023705,5288.221250842518,5288.221250842518,3701.7548755897624,5960.0,5960.0,4171.999999999999,0.573076923076923,0.5267452374850576,1.5802357124551731,1.5802357124551731,1.5802357124551731,0.8732412892462971,353.8562567623726,280.46164864648546,12.591816871610616,8.274582591918504,52.528208652358074,353.8562567623726,280.46164864648546,12.591816871610616,8.274582591918504,52.528208652358074,532.4426851689217,7.968315595176001,5.236296412427289,33.24074265525002,578.8880398317749,372.70987961824517,5.5778209166232005,3.665407488699102,23.26851985867501,5104.0,-0.2274609119269638,255.51594663422833
2,2,2025,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,5865.0,168.0,88.0,286.0,13.0,1.0,3.6,1.8,0.3214285714285714,0.3214285714285714,3.13,0.715,6158.25,176.4,92.4,300.3,13.65,6740.999999999999,7530.0,1.0,0.94125,7530.0,0.0,1.0,0.0,4926.6,141.12,73.92,240.24,10.920000000000002,5392.799999999999,1.4933262479522016,4.479978743856605,4.479978743856605,4.479978743856605,4.479978743856605,0.12363177993767385,0.12352988595830408,0.12352532880752497,0.12353662240675564,52.334754831912385,157.00426449573717,157.00426449573717,157.00426449573717,51.167665535907055,69.9670580452558,0.7580835828271547,0.6002824925529059,0.8208308813800852,-0.2205483888271793,0.040036162420605134,609.084327040944,5549.165672959056,17.43253750643587,158.96746249356414,9.130992305452246,83.26900769454775,29.678438166998976,270.621561833001,665.326295019831,6075.673704980168,6075.673704980168,777.8102309776052,0.21605839749377923,777.8102309776052,544.4671616843236,7128.689769022394,7128.689769022394,4990.082838315676,7906.499999999999,7906.499999999999,5534.549999999999,0.7602403846153846,1.045328373566541,3.135985120699623,3.135985120699623,3.135985120699623,1.7457966753140304,813.0671036912358,636.6931289505812,54.668178236221,28.634656007120988,93.07114049731258,813.0671036912358,636.6931289505812,54.668178236221,28.634656007120988,93.07114049731258,609.084327040944,17.43253750643587,9.130992305452246,29.678438166998976,665.326295019831,426.3590289286608,12.202776254505109,6.391694613816572,20.77490671689928,6740.999999999999,-0.26868919509505457,406.2581248205894
3,3,2025,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6722.4641675502235,1,6,70,3600,1,5,0.5,0,4050.0,156.0,39.0,315.0,7.0,1.0,3.6,1.8,0.4359424190733675,0.4359424190733675,3.13,0.715,4050.0,156.0,39.0,315.0,7.0,4567.0,5601.0,1.0,0.700125,5601.0,0.0,1.0,0.0,3240.0,124.80000000000001,31.200000000000003,252.0,5.6000000000000005,3653.6000000000004,1.2485666444361414,3.7456999333084244,3.7456999333084244,3.7456999333084244,3.7456999333084244,0.1583577436627111,0.15829907686364497,0.15829335217227777,0.15830692746076486,46.80901834984032,140.427055049521,140.427055049521,140.427055049521,47.871849687881806,69.97957922243566,0.5954873349359585,0.6001750863133894,0.877342326938159,-0.2771672406247695,0.07959417431125673,513.079089467184,3536.920910532816,19.755724792582896,136.2442752074171,4.938752587775067,34.06124741222493,39.89334572011274,275.10665427988727,577.6669125676547,3989.333087432345,11967.999262297035,706.8425587685961,0.1963451552134989,2120.527676305788,1484.3693734140516,4894.157441231404,14682.472323694212,10277.730626585948,5601.0,16803.0,11762.099999999999,0.8331766239880304,0.8739966511052989,2.621989953315897,2.621989953315897,2.621989953315897,1.527766300173894,617.7780292224534,448.42940594647484,51.79931192662614,12.949359667059113,104.59995168229335,1853.33408766736,1345.2882178394245,155.39793577987842,38.84807900117734,313.79985504688005,1539.2372684015518,59.26717437774869,14.8162577633252,119.68003716033823,1733.000737702964,1077.4660878810862,41.48702206442408,10.371380434327639,83.77602601223676,13701.0,-0.31591686860937934,270.28446254074976
4,4,2025,1NB,1,NB,MD,4,OP,MD,0.7,55,6606.808870043984,1,6,70,3600,1,5,0.5,0,3666.0,145.0,41.0,420.0,12.0,1.0,3.6,1.8,0.44088216574791295,0.44088216574791295,3.133,0.708,3666.0,145.0,41.0,420.0,12.0,4284.0,5520.0,1.0,0.69,5520.0,0.0,1.0,0.0,2932.8,116.0,32.800000000000004,336.0,9.600000000000001,3427.2000000000003,1.2402708730776235,3.7208126192328708,3.7208126192328708,3.7208126192328708,3.7208126192328708,0.16047753262379652,0.16042523035111228,0.1604201775758038,0.1604385864186213,46.33327314958387,138.99981944875162,138.99981944875162,138.99981944875162,47.82485376274919,69.97998870994276,0.597403852848179,0.6001715743922753,0.878204462649373,-0.2780328882570977,0.0801976693091066,470.64850767907046,3195.3514923209295,18.609326720729026,126.39067327927097,5.2617818244863654,35.73821817551364,53.907365036656756,366.09263496334324,548.4269812609426,3735.5730187390577,14942.29207495623,703.9839284246868,0.19555109122907968,2815.9357136987473,1971.154999589123,4816.016071575314,19264.064286301254,13484.845000410878,5520.0,22080.0,15456.000000000002,0.8355016935677225,0.8681896111543365,2.6045688334630093,2.6045688334630093,2.6045688334630093,1.592063832330788,611.1915330779311,408.6121448722609,48.46927238854121,13.704672948539317,140.4054428685897,2444.7661323117245,1634.4485794890436,193.87708955416483,54.81869179415727,561.6217714743588,1882.5940307162818,74.4373068829161,21.047127297945462,215.62946014662703,2193.7079250437705,1317.8158215013973,52.10611481804127,14.732989108561823,150.9406221026389,17136.0,-0.31659243386024966,267.6526969566439
5,5,2025,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,3832.0,120.0,32.0,326.0,8.0,1.0,3.6,1.8,0.4891304347826087,0.4891304347826087,3.283,0.592,3832.0,120.0,32.0,326.0,8.0,4318.0,5290.0,1.0,0.66125,5290.0,0.0,1.0,0.0,3065.6000000000004,96.0,25.6,260.8,6.4,3454.4,1.6027004032855787,4.808101209856736,4.808101209856736,4.808101209856736,4.808101209856736,0.17293248247089738,0.17287012344911956,0.17286539075402924,0.17288123814700768,46.58144461875598,139.74433385626793,139.74433385626793,139.74433385626793,42.56624636755536,69.97625966137726,0.6856725466510682,0.600203557652875,0.9866972914955696,-0.3864937338426946,0.15614264950144416,530.1418182627831,3301.858181737217,16.595531851115478,103.40446814888452,4.425354003303148,27.57464599669685,45.0874269087396,280.9125730912604,596.2501310259413,3721.7498689740587,7443.499737948117,728.4667565522577,0.20235187682007158,1456.9335131045154,1019.8534591731608,4561.533243447742,9123.066486895485,6386.146540826839,5290.0,10580.0,7405.999999999999,0.9446428571428571,1.121890282299905,3.365670846899715,3.365670846899715,3.365670846899715,1.9580942690906435,817.2597751545086,594.7609541498186,55.855097740095026,14.894284956128352,151.7494383084666,1634.5195503090172,1189.5219082996373,111.71019548019005,29.788569912256705,303.4988766169332,1060.2836365255662,33.191063702230956,8.850708006606297,90.1748538174792,1192.5002620518826,742.1985455678963,23.233744591561667,6.195495604624408,63.12239767223544,8636.0,-0.3917044641491549,248.80616625022253
6,6,2025,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,3686.0,74.0,22.0,295.0,8.0,1.0,3.6,1.8,0.4891304347826087,0.4891304347826087,3.283,0.592,3870.3,77.7,23.1,309.75,8.4,4289.25,4883.0,1.0,0.610375,4883.0,0.0,1.0,0.0,3096.2400000000002,62.160000000000004,18.48,247.8,6.720000000000001,3431.4,1.7363246731277333,5.2089740193832,5.2089740193832,5.2089740193832,5.2089740193832,0.17537867566639223,0.17530754251977954,0.1753043373243498,0.17532116237705778,46.320350661303415,138.96105198391027,138.96105198391027,138.96105198391027,47.01617227154658,69.9782588238306,0.9543248522751524,0.6001864108356065,0.8933096415723684,-0.29312323073676183,0.0907712945552033,543.0144707453103,3327.28552925469,10.897116843029497,66.80288315697051,3.2396241537539843,19.86037584624602,43.44458403703492,266.30541596296507,600.5957957791287,3688.6542042208716,7377.308408441743,715.7584458467655,0.19882179051299043,1431.516891693531,1002.0618241854717,4411.391554153235,8822.78310830647,6175.948175814528,5127.150000000001,10254.300000000001,7178.01,0.9155625000000001,1.2154272711894132,3.64628181356824,3.64628181356824,3.64628181356824,2.06926032159629,869.9523346663094,659.9945963943359,39.73395896506661,11.812582634629553,158.4111966722775,1739.9046693326188,1319.9891927886717,79.46791793013323,23.625165269259107,316.822393344555,1086.0289414906206,21.794233686058995,6.4792483075079685,86.88916807406984,1201.1915915582574,760.2202590434343,15.255963580241295,4.535473815255577,60.82241765184889,8578.5,-0.32813172174075933,355.41188641313107
7,7,2025,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,3364.0,65.0,10.0,289.0,23.0,1.0,3.6,1.8,0.4891304347826087,0.4891304347826087,3.283,0.592,3364.0,65.0,10.0,289.0,23.0,3751.0,4525.0,1.0,0.565625,4525.0,0.0,1.0,0.0,2691.2000000000003,52.0,8.0,231.20000000000002,18.400000000000002,3000.8,1.0631754047970172,3.1895262143910514,3.1895262143910514,3.1895262143910514,3.1895262143910514,0.19275889244095043,0.1927195685599732,0.19271751859995537,0.19272791058898756,44.558938546300745,133.6768156389022,133.6768156389022,133.6768156389022,49.836233841440794,69.98227308900466,0.5538062107765038,0.6001519834399159,0.8427603123788889,-0.242608328938973,0.05538676411976769,518.7527313370858,2845.2472686629144,10.021417565118606,54.978582434881396,1.541740148799643,8.458259851200356,44.558692928173926,244.4413070718261,574.874581979178,3176.125418020822,15880.62709010411,687.1182832633623,0.19086618979537842,3435.5914163168113,2404.9139914217676,3837.881716736638,19189.408583683187,13432.58600857823,4525.0,22625.0,15837.499999999996,0.8080357142857143,0.744222783357912,2.2326683500737357,2.2326683500737357,2.2326683500737357,1.270759365350435,511.3690812663698,386.0676015902052,22.37450182051331,3.4421944342629347,99.48478342138831,2556.845406331849,1930.338007951026,111.87250910256654,17.210972171314673,497.4239171069416,2593.763656685429,50.10708782559303,7.7087007439982145,222.79346464086962,2874.37290989589,1815.6345596798,35.07496147791512,5.39609052079875,155.95542524860872,18755.0,-0.28787346221152016,262.9362502384131
8,8,2025,1SB,1,SB,Night,6,OP,NT,0.7,55,7424.484805932848,1,6,70,3600,1,5,0.5,0,1306.0,32.0,13.0,256.0,30.0,1.0,3.6,1.8,0.4081823395119849,0.4081823395119849,3.286,0.708,1306.0,32.0,13.0,256.0,30.0,1637.0,2299.0,1.0,0.287375,2299.0,0.0,1.0,0.0,1044.8,25.6,10.4,204.8,24.0,1309.6000000000001,1.2318369220717404,3.6955107662152216,3.6955107662152216,3.6955107662152216,3.6955107662152216,0.040555386696295194,0.04051638515457035,0.04051454780997814,0.04053804578045759,91.94538662008172,275.8361598602452,275.8361598602452,275.8361598602452,54.9599342076819,69.99999978132226,0.3137074719774294,0.6000000018743806,0.7641930545493547,-0.16419305267497408,0.000389683639093754,42.37226802028922,1263.6277319797107,1.037219459957001,30.962780540043,0.4213512972237726,12.578648702776228,8.302191775837715,247.6978082241623,52.133030553307705,1584.8669694466923,9509.201816680154,71.65455561934468,0.019904043227595744,429.92733371606806,300.94913360124764,2227.3454443806554,13364.072666283933,9354.850866398752,2299.0,13794.000000000002,9655.8,0.3096511152077363,0.8622858454502182,2.5868575363506547,2.5868575363506547,2.5868575363506547,1.6931056243948128,61.78670907258632,36.537006953518336,2.683138976839324,1.0899757786744408,21.476587363554216,370.7202544355179,219.22204172111003,16.098833861035946,6.539854672046645,128.8595241813253,254.2336081217353,6.223316759742007,2.5281077833426355,49.81315065502629,312.79818331984626,177.9635256852147,4.3563217318194045,1.7696754483398447,34.8692054585184,9822.0,-0.21485808029464343,450.14215961141974
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,2435.0,99.0,42.0,334.0,32.0,1.0,3.6,1.8,0.4891304347826087,0.4891304347826087,3.13,0.715,2435.0,99.0,42.0,334.0,32.0,2942.0,3956.0,1.0,0.4945,3956.0,0.0,1.0,0.0,1948.0,79.2,33.6,267.2,25.6,2353.6,0.8697591437522679,2.6092774312568037,2.6092774312568037,2.6092774312568037,2.6092774312568037,0.1878857219785454,0.1878597610683681,0.18785768387591492,0.18786832366126768,43.09315772567922,129.27947317703766,129.27947317703766,129.27947317703766,52.48138409393949,69.99239134638397,0.49466960280468575,0.6000652241205338,0.8002837715716825,-0.20021854745114875,0.02565318555472324,366.0013864142064,2068.9986135857935,14.878493076614754,84.12150692338524,6.312018178230741,35.687981821769256,50.19841608229072,283.8015839177093,437.39031375134266,2504.6096862486575,2504.6096862486575,580.168168425615,0.16115782456267083,580.168168425615,406.1177178979305,3375.831831574385,3375.831831574385,2363.0822821020693,3956.0,3956.0,2769.2,0.7064285714285714,0.6088314006265875,1.8264942018797625,1.8264942018797625,1.8264942018797625,1.1536756840231592,353.22459858152916,222.83313672183417,27.175481337145037,11.52886460469811,91.68711591785183,353.22459858152916,222.83313672183417,27.175481337145037,11.52886460469811,91.68711591785183,366.0013864142064,14.878493076614754,6.312018178230741,50.19841608229072,437.39031375134266,256.2009704899445,10.414945153630327,4.418412724761518,35.138891257603504,2942.0,-0.25018444027415204,260.64292888683957
