,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPTransactionsDay_MediumA,GPDay_MediumB,GPDay_HeavyA,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,160,2032,1NB,1,NB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1187.7,41.1,6.0,307.2,39.9,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.402,0.708,1153.8784225783245,39.929614522159746,5.829140806154707,298.452009275121,38.763786360928805,1536.8529735426887,2302.8020754714175,1.2,0.28785025943392717,2302.8020754714175,0.0,1.0,0.0,1084.645717223625,37.53383765083016,5.479392357785424,280.5448887186137,36.43795917927307,1444.6417951301273,0.5000020318191172,1.5000060954573515,1.5000060954573515,1.5000060954573515,1.5000060954573515,0.03466016280017339,0.034643181186501934,0.03464150121343766,0.005597663360394292,108.65025410745423,325.95076232236266,325.95076232236266,325.95076232236266,54.97235162200095,69.99999997407744,0.0,0.6000000002221934,0.7640204350142958,-0.1640204347921025,0.00026884996455259766,0.0016364424798051658,0.0,0.9983635575201949,37.59399713948167,1116.2844254388428,1.3002915383624574,38.62932298379729,0.18981437701112483,5.6393264291435825,1.570395844526078,296.8816134305949,40.65449889938133,1496.1984746433075,8977.190847859845,46.775502419180654,0.012993195116439071,280.6530145150839,196.45711016055873,2256.026573052237,13536.159438313422,9475.311606819394,2302.8020754714175,13816.812452828506,9671.768716979952,0.28785025943392717,0.350001422273382,1.050004266820146,1.050004266820146,1.050004266820146,0.5752831022916941,16.371492374265248,13.157952467760039,1.3653116633907116,0.1993059057654889,1.6489223373490083,98.2289542455915,78.94771480656023,8.19186998034427,1.1958354345929334,9.89353402409405,225.56398283689003,7.801749230174744,1.138886262066749,9.422375067156468,243.92699339628803,6697.706552633057,231.7759379027837,33.83595857486149,1781.2896805835694,157.894787985823,5.46122446112232,0.7972203834467243,6.595662547009527,9221.117841256131,-0.21468069082345087,128.0333475705069
1,161,2032,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,5655.3,84.7,55.6,353.2,24.2,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.246,0.715,5142.980075939965,77.02693268829506,50.56313409054552,321.2032187190769,22.00769505379859,5613.781056491682,6555.383017595113,1.2,0.8194228771993892,6555.383017595113,0.0,1.0,0.0,4834.401271383566,72.40531672699736,47.52934604511278,301.9310255959323,20.687233350570672,5276.95419310218,1.3848640060938957,4.154592018281687,4.154592018281687,4.154592018281687,4.154592018281687,0.1458047124609044,0.14571035184783643,0.14570883079983543,0.038455445706691425,54.61704860787194,163.85114582361584,163.85114582361584,163.85114582361584,48.254688033268614,69.96391172482042,0.5604113183207973,0.6003094876283206,0.8703817538110205,-0.27007226618269986,0.07472177312225979,0.0825467641047175,0.6190985433301982,0.29835469256508423,704.8784872947116,4438.101588645253,10.55020417594482,66.47672851235023,6.9254454409141655,43.63768864963135,11.610892161970034,309.5923265571069,733.9650290735406,4879.81602741814,4879.81602741814,792.1381126311987,0.22003836461977744,792.1381126311987,554.4966788418391,5763.244904963914,5763.244904963914,4034.2714334747398,6555.383017595113,6555.383017595113,4588.7681123165785,0.8194228771993892,0.969404804265727,2.908214412797181,2.908214412797181,2.908214412797181,1.4946264693602773,767.9024920266694,683.3125920070515,30.682255842435733,20.140680246307102,33.76696393087507,767.9024920266694,683.3125920070515,30.682255842435733,20.140680246307102,33.76696393087507,704.8784872947116,10.55020417594482,6.9254454409141655,11.610892161970034,733.9650290735406,4438.101588645253,66.47672851235023,43.63768864963135,309.5923265571069,493.4149411062981,7.385142923161374,4.847811808639915,8.127624513379024,5613.781056491682,-0.31029173693057294,215.3656466769392
2,162,2032,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,7742.256694303475,1,6,70,3600,1,5,0.5,0,7093.3,203.2,106.4,345.9,15.7,1.2094222272955006,3.6,1.8,0.3751739414497079,0.3751739414497079,3.246,0.715,8511.96,243.83999999999997,127.68,415.08,18.84,9317.4,10928.28,1.2,1.366035,10928.28,0.0,1.0,0.0,8001.242399999999,229.20959999999997,120.0192,390.17519999999996,17.7096,8758.356,3.599999844742472,10.799999534227416,10.799999534227416,10.799999534227416,10.799999534227416,0.2558283700386884,0.2556496348094638,0.25564162108173527,0.08526617404809589,41.08572729855521,123.25718189566562,123.25718189566562,123.25718189566562,19.8693663699059,61.6338999253692,0.7506106615990843,0.6814431676537854,2.1138067122066415,-1.4323635445528562,0.9451192439991943,0.3021390693917826,0.23995787643838398,0.4579030541698334,2046.9448014764432,6465.015198523556,58.59735053482326,185.24264946517673,30.681902848933003,96.998097151067,33.26874651245062,381.8112534875494,2169.49280137265,7147.907198627348,7147.907198627348,2414.588801165064,0.6707191114347401,2414.588801165064,1690.2121608155448,8513.691198834935,8513.691198834935,5959.583839184454,10928.279999999999,10928.279999999999,7649.7959999999985,1.4115109368616912,2.5199998913197303,7.55999967395919,7.55999967395919,7.55999967395919,4.006705762660903,6084.763516517798,5158.300677258124,442.9959509381363,231.95517553438106,251.51171278715762,6084.763516517798,5158.300677258124,442.9959509381363,231.95517553438106,251.51171278715762,2046.9448014764432,58.59735053482326,30.681902848933003,33.26874651245062,2169.49280137265,6465.015198523556,185.24264946517673,96.998097151067,381.8112534875494,1432.86136103351,41.01814537437628,21.477331994253102,23.288122558715433,9317.4,-0.6776227628956603,105.55978896152669
3,163,2032,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6581.656619604571,1,6,70,3600,1,5,0.5,0,4898.2,188.7,47.2,381.0,8.5,1.2094222272955006,3.6,1.8,0.41793976244913233,0.41793976244913233,3.246,0.715,5877.839999999999,226.43999999999997,56.64,457.2,10.2,6628.319999999999,8129.279999999999,1.2,1.01616,8129.279999999999,0.0,1.0,0.0,5525.169599999999,212.85359999999997,53.2416,429.768,9.588,6230.620799999999,1.7999989159029368,5.39999674770881,5.39999674770881,5.39999674770881,5.39999674770881,0.27256818325339716,0.2725045717690063,0.2724983173695449,0.09353486554357503,39.59788558339351,118.79365675018053,118.79365675018053,118.79365675018053,31.278741686994202,67.61508964100656,0.4958209956461958,0.6211631194012088,1.3427650133849127,-0.7216018939837039,0.4053900548239844,0.24980701331564,0.3055318219765936,0.44466116470776634,1505.9854400388988,4371.854559961101,58.00357911749135,168.43642088250863,14.508246414062361,42.13175358593764,40.19829209493115,417.0017079050688,1618.6955576653836,5009.624442334615,15028.873327003846,1844.1157929183532,0.5122543869217648,5532.347378755059,3872.643165128541,6285.164207081647,18855.492621244943,13198.84483487146,8129.280000000001,24387.840000000004,17071.488,1.2351419209239165,1.2599992411320557,3.779997723396167,3.779997723396167,3.779997723396167,2.0506675343200684,2323.5844996367646,1897.5405116049376,219.25339701294675,54.841138415626325,151.94945260325386,6970.753498910293,5692.621534814813,657.7601910388403,164.52341524687898,455.8483578097616,4517.956320116697,174.01073735247405,43.52473924218708,120.59487628479344,4856.086672996152,13115.563679883302,505.3092626475259,126.3952607578129,1251.0051237152065,3162.5694240816874,121.80751614673183,30.467317469530954,84.4164133993554,19884.959999999995,-0.5373999819705251,104.76684595513358
4,164,2032,1NB,1,NB,MD,4,OP,MD,0.7,55,6673.512550842082,1,6,70,3600,1,5,0.5,0,4433.7,175.4,49.6,508.0,14.5,1.2094222272955006,3.6,1.8,0.414202944501915,0.414202944501915,3.249,0.708,5320.44,210.48,59.519999999999996,609.6,17.4,6217.44,8011.44,1.2,1.00143,8011.44,0.0,1.0,0.0,5001.213599999999,197.85119999999998,55.94879999999999,573.024,16.355999999999998,5844.393599999999,1.7999936257644231,5.399980877293269,5.399980877293269,5.399980877293269,5.399980877293269,0.26806437312637144,0.2680063002911402,0.2680006803015535,0.09015533610771419,39.93149611693248,119.79448835079744,119.79448835079744,119.79448835079744,32.055626224085614,68.39541484765039,0.5304939096609962,0.6140762519469218,1.3102224148234698,-0.696146162876548,0.3826102358309743,0.23775681995603912,0.3296528246117403,0.4325903554322205,1340.6471885550832,3979.7928114449164,53.02536812016243,157.45463187983756,14.994316462055554,44.525683537944445,51.66117131778682,557.9388286822132,1460.328044455088,4757.111955544911,19028.447822179645,1699.6897562550976,0.4721360434041938,6798.75902502039,4759.131317514273,6311.750243744902,25247.000974979608,17672.900682485724,8011.44,32045.76,22432.032,1.2004832446129279,1.259995538035096,3.7799866141052885,3.7799866141052885,3.7799866141052885,2.0950297699568377,2141.601508925383,1689.2094756587007,200.4351817022193,56.678315514228565,195.27853605023424,8566.406035701531,6756.837902634803,801.7407268088772,226.71326205691426,781.114144200937,5362.588754220333,212.10147248064973,59.97726584822222,206.64468527114727,5841.312177820352,15919.171245779666,629.8185275193503,178.10273415177778,2231.7553147288527,3753.8121279542324,148.4710307364548,41.98408609375555,144.6512796898031,24869.76,-0.5313190760595725,108.59749907938851
5,165,2032,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5739.406719156193,1,6,70,3600,1,5,0.5,0,4634.5,145.1,38.7,394.3,9.7,1.2094222272955006,3.6,1.8,0.45563056379245415,0.45563056379245415,3.399,0.592,5561.4,174.11999999999998,46.440000000000005,473.15999999999997,11.639999999999999,6266.759999999999,7677.48,1.2,0.9596849999999999,7677.48,0.0,1.0,0.0,5227.715999999999,163.67279999999997,43.653600000000004,444.77039999999994,10.941599999999998,5890.754399999999,1.7999953039053511,5.399985911716053,5.399985911716053,5.399985911716053,5.399985911716053,0.3349291425080407,0.33488850535452425,0.33488539757460506,0.0987063231053174,38.531176249364,115.59352874809198,115.59352874809198,115.59352874809198,29.7218888256053,65.66020515197467,0.43966843483814494,0.6396568500325024,1.4130999630083116,-0.7734431129758093,0.4546245195603635,0.2725998006843636,0.26363190401605846,0.46376829529957786,1750.9144371555642,3810.4855628444357,54.81213935918996,119.30786064081002,14.618953191562781,31.821046808437224,43.90165081008126,429.2583491899187,1864.2471805163982,4402.512819483602,8805.025638967203,2090.912667238066,0.5808090742327962,4181.825334476132,2927.2777341332926,5586.567332761933,11173.134665523867,7821.194265866706,7677.48,15354.96,10748.471999999998,1.337678330823842,1.2599967127337457,3.779990138201237,3.779990138201237,3.779990138201237,2.0188486919756006,2634.543087333311,2206.1464350940673,207.18934623144992,55.25949889493281,165.94780711286148,5269.086174666622,4412.292870188135,414.37869246289983,110.51899778986562,331.89561422572297,3501.8288743111284,109.62427871837993,29.237906383125562,87.80330162016251,3728.4943610327964,7620.971125688871,238.61572128162004,63.64209361687445,858.5166983798374,2451.28021201779,76.73699510286595,20.46653446818789,61.462311134113754,12533.519999999999,-0.5473378623046924,97.74449018384271
6,166,2032,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,5600.0,1,6,70,3600,1,5,0.5,0,4457.9,89.5,26.6,356.8,9.7,1.2094222272955006,3.6,1.8,0.4625346901017577,0.4625346901017577,3.399,0.592,5349.48,107.39999999999999,31.92,428.16,11.639999999999999,5928.599999999999,7086.84,1.2,0.8858550000000001,7086.84,0.0,1.0,0.0,5028.511199999999,100.95599999999999,30.0048,402.4704,10.941599999999998,5572.883999999999,1.7999998099354437,5.399999429806331,5.399999429806331,5.399999429806331,5.399999429806331,0.3293973927017984,0.3293531327309336,0.32935112443403775,0.09607848269121744,38.880432521162845,116.64129756348855,116.64129756348855,116.64129756348855,33.740733392420296,67.23383203340781,0.6958535969166058,0.6246855002869779,1.2447862206052436,-0.6201007203182657,0.336804899878216,0.20378340437666465,0.42102539178820564,0.3751912038351296,1656.3784784517911,3693.1015215482084,33.25017486798413,74.14982513201586,9.882114618418415,22.03788538158159,38.66874536012736,389.49125463987264,1738.1795132983211,4190.420486701679,8380.840973403358,1901.7815829913807,0.5282726619420501,3803.5631659827613,2662.4942161879326,5185.058417008619,10370.116834017237,7259.081783812066,7086.839999999999,14173.679999999998,9921.575999999997,1.2655071428571427,1.2599998669548105,3.7799996008644317,3.7799996008644317,3.7799996008644317,1.9694205700465492,2396.2445415462485,2087.036662476068,125.68564772965256,37.35438931331817,146.16784202720976,4792.489083092497,4174.073324952136,251.37129545930512,74.70877862663635,292.3356840544195,3312.7569569035822,66.50034973596826,19.76422923683683,77.33749072025472,3476.3590265966423,7386.203043096417,148.29965026403173,44.07577076316318,778.9825092797453,2318.9298698325074,46.55024481517778,13.83496046578578,54.1362435041783,11857.199999999999,-0.4981584066834854,121.91566553653905
7,167,2032,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,4068.5,78.6,12.1,349.5,27.8,1.2094222272955006,3.6,1.8,0.303951367781155,0.303951367781155,3.399,0.592,3254.8,62.879999999999995,9.68,279.6,22.240000000000002,3629.2,4378.0,1.2,0.54725,4378.0,0.0,1.0,0.0,3059.512,59.10719999999999,9.0992,262.824,20.9056,3411.4479999999994,0.5828146634991799,1.7484439904975395,1.7484439904975395,1.7484439904975395,1.7484439904975395,0.16967088116600496,0.16964998803413187,0.16964889840946623,0.03451524053610426,52.703833839162066,158.11150151748618,158.11150151748618,158.11150151748618,54.87005700534287,69.99233414320173,0.22813621686096688,0.6000657145405317,0.7654448034546479,-0.16537908891411623,0.001265907872798993,0.0032066061632002995,0.5778801244186073,0.41891326941819246,519.1100969779662,2735.689903022034,10.027535772731037,52.85246422726896,1.543669256407415,8.136330743592584,9.071433578661066,270.52856642133895,539.7527355857658,3089.4472644142343,15447.23632207117,581.0380128013649,0.16139944800037911,2905.1900640068243,2033.6330448047768,3796.961987198635,18984.809935993177,13289.366955195223,4378.0,21890.0,15323.0,0.42096153846153844,0.4079702644494259,1.2239107933482776,1.2239107933482776,1.2239107933482776,0.627393714908279,237.0462317377417,211.781483542468,12.272809262931476,1.8893134642769451,11.10262546806527,1185.2311586887085,1058.90741771234,61.36404631465738,9.446567321384725,55.51312734032635,2595.5504848898313,50.13767886365518,7.718346282037075,45.35716789330533,2698.763677928829,13678.44951511017,264.2623211363448,40.68165371796292,1352.6428321066946,1816.8853394228818,35.096375204558626,5.402842397425952,31.75001752531373,18146.0,-0.21605619133831488,148.01276284498974
8,168,2032,1SB,1,SB,Night,6,OP,NT,0.7,55,8000.0,1,6,70,3600,1,5,0.5,0,1579.5,38.7,15.7,309.6,36.3,1.2094222272955006,3.6,1.8,0.36683785766691124,0.36683785766691124,3.402,0.708,1308.2478389524333,32.05393565524481,13.003793017760813,256.43148524195846,30.06609468437691,1639.8031475517741,2302.9137647504567,1.2,0.28786422059380706,2302.9137647504567,0.0,1.0,0.0,1229.7529686152873,30.130699515930118,12.223565436695164,241.04559612744094,28.262129003314293,1541.4149586986675,0.5000003818303895,1.5000011454911686,1.5000011454911686,1.5000011454911686,1.5000011454911686,0.03465829356675111,0.03463839098471066,0.03463745258048027,0.005593293345742797,108.65467379472504,325.9640213841751,325.9640213841751,325.9640213841751,54.97265740496128,69.99999995979405,0.0,0.6000000003446224,0.7640161851846278,-0.16401618484000535,0.00026587508378491596,0.001618406074943632,0.0,0.9983815939250563,42.62113940085229,1265.626699551581,1.0436789504756196,31.010256704769187,0.4233931681779263,12.580399849582887,1.3482387288402211,255.08324651311824,45.436450248346056,1594.366697303428,9566.200183820569,51.06707194333359,0.014185297762037108,306.4024316600015,214.48170216200106,2251.846692807123,13511.080156842738,9457.756109789916,2302.9137647504567,13817.482588502739,9672.237811951916,0.28786422059380706,0.35000026728127265,1.0500008018438178,1.0500008018438178,1.0500008018438178,0.5619619343295028,17.873488829438735,14.917410182130684,1.095863734866915,0.44456316608201707,1.4156517463591218,107.24093297663241,89.50446109278411,6.575182409201489,2.6673789964921024,8.493910478154731,255.72683640511377,6.2620737028537174,2.540359009067558,8.089432373041326,272.61870149007643,7593.760197309486,186.06154022861512,75.48239909749732,1530.4994790787096,179.00878548357963,4.383451591997602,1.7782513063472905,5.662602661128928,9838.818885310644,-0.21467632233520045,128.03624262667415
9,169,2032,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,70,3600,1,5,0.5,0,2944.9,119.7,50.8,403.9,38.7,1.2094222272955006,3.6,1.8,0.303951367781155,0.303951367781155,3.246,0.715,2355.92,95.76,40.64,323.12,30.960000000000004,2846.4,3827.3600000000006,1.2,0.47842000000000007,3827.3600000000006,0.0,1.0,0.0,2214.5648,90.0144,38.2016,303.7328,29.102400000000003,2675.616,0.527850130253508,1.5835503907605242,1.5835503907605242,1.5835503907605242,1.5835503907605242,0.17138921057164047,0.1713744057793528,0.17137322053852405,0.048154618595662106,50.620698956850276,151.86209687055083,151.86209687055083,151.86209687055083,54.93993600460845,69.99675165896251,0.20723594075569413,0.6000278442152858,0.7644712217443604,-0.16444337752907467,0.0005844006755978084,0.001569856652240739,0.556691211634722,0.4417389317130373,379.5525128317429,1976.3674871682572,15.426164311584975,80.33383568841504,6.54673122172448,34.09326877827552,14.626137138992519,308.49386286100747,416.15154550404486,2430.2484544959552,2430.2484544959552,489.3496108486488,0.13593044745795801,489.3496108486488,342.54472759405417,3338.010389151351,3338.010389151351,2336.6072724059454,3827.3599999999997,3827.3599999999997,2679.1519999999996,0.3680153846153846,0.3694950911774556,1.108485273532367,1.108485273532367,1.108485273532367,0.6206951737091461,180.8122790781739,140.24279033539722,17.099675966482508,7.256955149056147,16.212857627238034,180.8122790781739,140.24279033539722,17.099675966482508,7.256955149056147,16.212857627238034,379.5525128317429,15.426164311584975,6.54673122172448,14.626137138992519,416.15154550404486,1976.3674871682572,80.33383568841504,34.09326877827552,308.49386286100747,265.68675898222,10.798315018109482,4.582711855207136,10.238295997294763,2846.4,-0.2151073485197388,134.81665120097395
