,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Max VC,Corridor PCE,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,2025,1NB,1,NB,Night,6,OP,NT,0.7,55,7818.563956451466,1,6,72,3600,2,8,0.2,0.053191489361702135,982.0,34.0,5.0,254.0,33.0,1.0,3.2,1.6,0.1595744680851064,0.1595744680851064,3.286,0.708,982.0,34.0,5.0,254.0,33.0,1308.0,1960.0,1.2,0.245,1.1,1960.0,0.0,1.0,2.5,1.6,0.0,923.0799999999999,31.959999999999997,4.699999999999999,238.76,31.02,1229.52,0.27263687473823045,0.8179106242146914,0.8179106242146914,0.8179106242146914,0.8179106242146914,0.15957446669708233,0.15957446661214209,0.15957446704399686,0.05319148952628951,53.93208367842476,161.79625103527428,161.79625103527428,161.79625103527428,54.99291647358473,71.99999998530889,0.0,0.5833333334523585,0.7637347260928462,-0.1804013926404877,6.885371953776128e-05,0.0003815239405192751,0.0,0.9996184760594806,147.29999871874276,834.7000012812573,5.099999952924061,28.900000047075938,0.7499999951067852,4.250000004893215,12.700000039296881,241.29999996070313,165.8499987060705,1142.1500012939296,6852.900007763577,202.94999868072597,0.05637499963353499,1217.699992084356,852.3899944590491,1757.050001319274,10542.300007915645,7379.610005540951,1960.0,11760.0,8232.0,0.2506854213787829,0.19084581231676132,0.5725374369502839,0.5725374369502839,0.5725374369502839,0.33362468375114823,38.732157357908775,28.11158790973636,2.9199409014937103,0.42940307491116425,7.271225471767542,232.39294414745265,168.66952745841817,17.519645408962262,2.5764184494669857,43.62735283060525,883.7999923124565,30.599999717544364,4.499999970640711,76.20000023578129,995.099992236423,5008.200007687544,173.40000028245564,25.50000002935929,1447.7999997642187,198.0,618.6599946187196,21.419999802281055,3.149999979448497,53.3400001650469,7848.0,3505.7400053812803,121.38000019771894,17.8500000205515,1013.459999834953,138.6,-0.23620949326658816,63.47372695633932
1,2025,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8708.363426651984,1,6,72,3600,2,8,0.2,0.0,4676.0,70.0,46.0,292.0,20.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.13,0.715,4676.0,70.0,46.0,292.0,20.0,5104.0,5960.0,1.2,0.745,1.1,5960.0,0.0,1.0,2.5,1.6,0.0,4395.44,65.8,43.239999999999995,274.47999999999996,18.799999999999997,4797.759999999999,0.9114803316221629,2.734440994866489,2.734440994866489,2.734440994866489,2.734440994866489,0.15060037898745846,0.150677288225578,0.1506785257444446,0.04022051410595478,47.892790811086094,143.6783724332583,143.6783724332583,143.6783724332583,52.57344094707286,71.99951891517807,0.4392135208919591,0.5833372310373321,0.7988824631486945,-0.21554523211136234,0.02467226965863165,0.03631313383655605,0.6464431358626483,0.3172437303007955,661.9549298166344,4014.0450701833656,9.91456556524303,60.08543443475697,6.5153394531897835,39.48466054681022,11.039726711802466,280.9602732881975,689.4245615468697,4414.575438453131,4414.575438453131,744.3638250073402,0.20676772916870562,744.3638250073402,521.0546775051381,5215.63617499266,5215.63617499266,3650.9453224948616,5960.0,5960.0,4172.0,0.6843995488014882,0.638036232135514,1.9141086964065421,1.9141086964065421,1.9141086964065421,0.9841149038017077,474.93109024566246,422.351229263734,18.97755616952453,12.471067907391209,21.1312369050127,474.93109024566246,422.351229263734,18.97755616952453,12.471067907391209,21.1312369050127,661.9549298166344,9.91456556524303,6.5153394531897835,11.039726711802466,689.4245615468697,4014.0450701833656,60.08543443475697,39.48466054681022,280.9602732881975,20.0,463.36845087164403,6.940195895670121,4.560737617232848,7.727808698261725,5104.0,2809.8315491283556,42.05980410432988,27.63926238276715,196.67219130173825,14.0,-0.26980844123404335,177.60622006406615
2,2025,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,6739.387687237572,1,6,72,3600,2,8,0.2,0.0,5865.0,168.0,88.0,286.0,13.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.13,0.715,6158.25,176.4,92.4,300.3,13.65,6740.999999999999,7530.0,1.2,0.94125,1.1,7530.0,0.0,1.0,2.5,1.6,0.0,5788.755,165.816,86.856,282.282,12.831,6336.539999999999,1.599993077960033,4.7999792338801,4.7999792338801,4.7999792338801,4.7999792338801,0.23880449552323268,0.23902909183710777,0.2390391382669916,0.07721588495131038,37.98507061870653,113.9552118561196,113.9552118561196,113.9552118561196,37.91379943983157,71.74782351503127,0.7404519144059893,0.5853836108519855,1.1077760767989804,-0.5223924659469948,0.24089779921383178,0.1601988708484771,0.4924061614200992,0.34739496773142375,1382.3807174825909,4775.869282517409,39.63484789206186,136.76515210793815,20.761983393317823,71.63801660668219,21.796654435825793,278.5033455641742,1464.5742032037963,5276.425796796203,5276.425796796203,1628.9611746462074,0.452489215179502,1628.9611746462074,1140.2728222523451,6277.538825353793,6277.538825353793,4394.277177747655,7906.5,7906.5,5534.549999999999,1.1731777969937234,1.119995154572023,3.3599854637160695,3.3599854637160695,3.3599854637160695,1.7795797563538707,1824.428622589703,1548.2597053542984,133.17251277392535,69.75996239946232,73.23644206201705,1824.428622589703,1548.2597053542984,133.17251277392535,69.75996239946232,73.23644206201705,1382.3807174825909,39.63484789206186,20.761983393317823,21.796654435825793,1464.5742032037963,4775.869282517409,136.76515210793815,71.63801660668219,278.5033455641742,13.65,967.6665022378136,27.744393524443304,14.533388375322476,15.257658105078054,6740.999999999999,3343.1084977621863,95.7356064755567,50.146611624677526,194.95234189492191,9.555,-0.47156864720936686,128.638358427512
3,2025,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,5464.149844877925,1,6,72,3600,2,8,0.2,0.0,4050.0,156.0,39.0,315.0,7.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.13,0.715,4050.0,156.0,39.0,315.0,7.0,4567.0,5601.0,1.2,0.700125,1.1,5601.0,0.0,1.0,2.5,1.6,0.0,3807.0,146.64,36.66,296.09999999999997,6.58,4292.98,1.5999988825697198,4.799996647709159,4.799996647709159,4.799996647709159,4.799996647709159,0.19919227752708207,0.19931416453216222,0.19932610517225788,0.05953021323917742,41.824061244183405,125.4721837325502,125.4721837325502,125.4721837325502,39.43042294898864,71.99736193029602,0.6728357052161125,0.5833547073663913,1.0651673722682518,-0.4818126649018605,0.2110717060423217,0.15454975710377433,0.49266003843758516,0.35279020445864057,758.3250005456015,3291.6749994543984,29.227429086996263,126.77257091300373,7.307295015614973,31.692704984385028,17.626896140120433,297.37310385987956,812.4866207883331,3754.5133792116662,11263.540137634998,920.8098612737964,0.255780517020499,2762.4295838213893,1933.7007086749725,4680.190138726203,14040.570416178609,9828.399291325026,5601.0,16803.0,11762.099999999999,1.0250450955788406,1.1199992177988038,3.3599976533964115,3.3599976533964115,3.3599976533964115,1.8133157044084693,1031.3063243680772,849.3234074483512,98.20409314711746,24.552494105141605,59.22632966746692,3093.9189731042316,2547.9702223450536,294.61227944135237,73.65748231542482,177.67898900240075,2274.9750016368043,87.68228726098879,21.92188504684492,52.880688420361295,2437.4598623649995,9875.024998363195,380.3177127390112,95.07811495315508,892.1193115796386,21.0,1592.4825011457629,61.377601082692145,15.345319532791443,37.016481894252905,13701.0,6912.517498854236,266.2223989173078,66.55468046720856,624.483518105747,14.7,-0.45233517045856414,139.4731977035433
4,2025,1NB,1,NB,MD,4,OP,MD,0.7,55,5524.99136908484,1,6,72,3600,2,8,0.2,0.0,3666.0,145.0,41.0,420.0,12.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.133,0.708,3666.0,145.0,41.0,420.0,12.0,4284.0,5520.0,1.2,0.69,1.1,5520.0,0.0,1.0,2.5,1.6,0.0,3446.04,136.29999999999998,38.54,394.79999999999995,11.28,4026.9599999999996,1.5999943013887095,4.799982904166129,4.799982904166129,4.799982904166129,4.799982904166129,0.1938440623825851,0.19395207905052428,0.19396250511660693,0.05645506978989305,42.27800747017436,126.83402241052308,126.83402241052308,126.83402241052308,40.11650259275053,71.99877524907176,0.6891247775482531,0.5833432562527026,1.0469506882583988,-0.4636074320056962,0.19832002723542455,0.14678931120140118,0.5100652356609704,0.34314545313762845,667.9943927328835,2998.0056072671164,26.435668374586456,118.56433162541354,7.475314947194031,33.52468505280597,22.288461553049775,397.7115384469502,724.1938376077138,3559.8061623922863,14239.224649569145,836.5927273573743,0.23238686871038175,3346.3709094294973,2342.459636600648,4683.407272642626,18733.629090570503,13113.540363399352,5520.0,22080.0,15456.0,0.9990965833697463,1.1199960109720966,3.3599880329162897,3.3599880329162897,3.3599880329162897,1.84832226793969,936.9805174485259,748.1510552125576,88.82352938075411,25.11696876485221,74.88896409036207,3747.9220697941037,2992.6042208502304,355.29411752301644,100.46787505940884,299.55585636144826,2671.977570931534,105.74267349834582,29.901259788776123,89.1538462121991,2896.7753504308553,11992.022429068465,474.2573265016542,134.09874021122388,1590.8461537878009,48.0,1870.3842996520737,74.01987144884207,20.930881852143283,62.40769234853936,17136.0,8394.415700347925,331.9801285511579,93.86911814785671,1113.5923076514605,33.599999999999994,-0.4428168749541649,144.94970533065168
5,2025,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,4761.139852406509,1,6,72,3600,2,8,0.2,0.0,3832.0,120.0,32.0,326.0,8.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.283,0.592,3832.0,120.0,32.0,326.0,8.0,4318.0,5290.0,1.2,0.66125,1.1,5290.0,0.0,1.0,2.5,1.6,0.0,3602.08,112.8,30.08,306.44,7.52,4058.9199999999996,1.5999846903521273,4.799954071056382,4.799954071056382,4.799954071056382,4.799954071056382,0.25435359676226044,0.25448867147278964,0.2544989363305167,0.0638077604680411,39.4072280524564,118.22168415736918,118.22168415736918,118.22168415736918,37.28013320964826,71.99027370921729,0.6521948033610784,0.5834121449467766,1.1266054164508783,-0.5431932715041017,0.2540783369701603,0.17529094492672082,0.4499550993632599,0.37475395571001924,916.202003825403,2915.797996174597,28.70632214213067,91.29367785786933,7.655328004821941,24.34467199517806,19.553250117826515,306.4467498821735,972.1169040901823,3345.8830959098177,6691.766191819635,1083.9467046197403,0.3010963068388168,2167.8934092394807,1517.5253864676363,4206.053295380259,8412.106590760519,5888.474613532363,5290.0,10580.0,7405.999999999999,1.1110784736403363,1.119989283246489,3.359967849739467,3.359967849739467,3.359967849739467,1.7840427681610762,1214.0086927844568,1026.1364255734102,96.45231948182324,25.7216559754119,65.69829175381153,2428.0173855689136,2052.2728511468204,192.90463896364648,51.4433119508238,131.39658350762306,1832.404007650806,57.41264428426134,15.310656009643882,39.10650023565303,1944.2338081803646,5831.595992349194,182.58735571573865,48.68934399035612,612.893499764347,16.0,1282.6828053555641,40.188850998982936,10.717459206750716,27.37455016495712,8636.0,4082.117194644435,127.81114900101704,34.08254079324928,429.0254498350429,11.2,-0.4821504171489892,123.71168885931591
6,2025,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,4358.782672790078,1,6,72,3600,2,8,0.2,0.0,3686.0,74.0,22.0,295.0,8.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.283,0.592,3870.3,77.7,23.1,309.75,8.4,4289.25,4883.0,1.2,0.610375,1.1,4883.0,0.0,1.0,2.5,1.6,0.0,3638.082,73.038,21.714,291.16499999999996,7.896,4031.895,1.59999785440626,4.799993563218781,4.799993563218781,4.799993563218781,4.799993563218781,0.28931780307767563,0.2894650845210093,0.2894717121302401,0.07808674052410729,37.02202219991575,111.06606659974727,111.06606659974727,111.06606659974727,40.37809412971038,71.97760839824788,0.8926381269349983,0.5835148032095824,1.0401679649633642,-0.4566531617537818,0.19357212092890036,0.1254629021093107,0.578559398953011,0.2959776989376784,1052.5618916564363,2817.738108343564,21.141950843245475,56.55804915675453,6.285588757196033,16.81441124280397,22.736125804701697,287.0138741952983,1102.7255570615796,3186.5244429384206,6373.048885876841,1203.052887871866,0.334181357742185,2406.105775743732,1684.2740430206122,3924.097112128134,7848.194224256268,5493.735956979387,5127.15,10254.3,7178.009999999999,1.1762802564134462,1.119998498084382,3.3599954942531465,3.3599954942531465,3.3599954942531465,1.745567631951373,1347.4174275325684,1178.8677377960646,71.0368595730263,21.119549902906904,76.39328026057039,2694.8348550651367,2357.735475592129,142.0737191460526,42.23909980581381,152.78656052114079,2105.1237833128725,42.28390168649095,12.571177514392065,45.47225160940339,2205.451114123159,5635.476216687128,113.11609831350906,33.62882248560794,574.0277483905966,16.8,1473.5866483190107,29.598731180543663,8.799824260074445,31.830576126582372,8578.5,3944.8333516809894,79.18126881945633,23.54017573992556,401.8194238734176,11.76,-0.43901867499819186,147.1574391973569
7,2025,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,72,3600,2,8,0.2,0.0,3364.0,65.0,10.0,289.0,23.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.283,0.592,3364.0,65.0,10.0,289.0,23.0,3751.0,4525.0,1.2,0.565625,1.1,4525.0,0.0,1.0,2.5,1.6,0.0,3162.16,61.099999999999994,9.399999999999999,271.65999999999997,21.619999999999997,3525.9399999999996,0.5433796533283812,1.6301389599851437,1.6301389599851437,1.6301389599851437,1.6301389599851437,0.1722471778071238,0.17228360069661694,0.17228548745381778,0.03528925184442699,46.64385130749446,139.93155392248337,139.93155392248337,139.93155392248337,54.843899386227186,71.99990231071608,0.2318915466253417,0.583334124798513,0.765809879859625,-0.18247575506111202,0.001521461356282972,0.003658337256221147,0.5575806976095493,0.43876096513422946,544.6731357745746,2819.326864225425,10.526528002563294,54.473471997436704,1.6194835820658868,8.380516417934114,9.586678156057035,279.413321843943,566.4058255152607,3184.5941744847387,15922.970872423693,609.8712049966331,0.1694086680546203,3049.3560249831653,2134.5492174882156,3915.1287950033666,19575.643975016832,13702.950782511782,4525.0,22624.999999999996,15837.499999999996,0.43509615384615385,0.3803657573298668,1.1410972719896004,1.1410972719896004,1.1410972719896004,0.5850780288930908,231.97412276222286,207.17500978612944,12.011792387247112,1.8479882975273296,10.939332291318975,1159.8706138111143,1035.8750489306472,60.05896193623556,9.239941487636647,54.696661456594875,2723.365678872873,52.63264001281647,8.097417910329433,47.93339078028517,2832.0291275763043,14096.634321127127,272.36735998718353,41.902582089670574,1397.0666092197148,115.0,1906.3559752110111,36.84284800897153,5.668192537230603,33.553373546199616,18755.0,9867.644024788988,190.65715199102846,29.3318074627694,977.9466264538003,80.5,-0.23827814169041578,125.06837104002572
8,2025,1SB,1,SB,Night,6,OP,NT,0.7,55,9280.60600741606,1,6,72,3600,2,8,0.2,0.053191489361702135,1306.0,32.0,13.0,256.0,30.0,1.0,3.2,1.6,0.1595744680851064,0.1595744680851064,3.286,0.708,1306.0,32.0,13.0,256.0,30.0,1637.0,2299.0,1.2,0.287375,1.1,2299.0,0.0,1.0,2.5,1.6,0.0,1227.6399999999999,30.08,12.219999999999999,240.64,28.2,1538.78,0.27260797915479534,0.8178239374643861,0.8178239374643861,0.8178239374643861,0.8178239374643861,0.15957446745938997,0.1595744674579991,0.15957446745793505,0.05319148944056421,53.93200083876163,161.79600251628491,161.79600251628491,161.79600251628491,54.99371487374689,71.99999991002387,0.0,0.5833333340623066,0.7637236381725163,-0.18039030411020973,6.109217530691213e-05,0.000338551967812152,0.0,0.9996614480321878,195.89999923184547,1110.1000007681546,4.7999999811366125,27.20000001886339,1.949999992335966,11.050000007664034,12.800000018977371,243.19999998102264,215.44999922429542,1421.5500007757046,8529.300004654227,254.54999920919533,0.07070833311366537,1527.299995255172,1069.1099966786203,2044.450000790805,12266.700004744831,8586.69000332138,2299.0000000000005,13794.000000000004,9655.800000000001,0.2477208921661891,0.19082558540835673,0.5724767562250702,0.5724767562250702,0.5724767562250702,0.3220810449204606,48.57465261479143,37.382732034913545,2.747888419081486,1.1163296702514056,7.327702490545003,291.4479156887486,224.29639220948127,16.487330514488917,6.697978021508433,43.96621494327002,1175.399995391073,28.799999886819677,11.699999954015796,76.80000011386423,1292.6999953457725,6660.6000046089275,163.20000011318032,66.3000000459842,1459.1999998861359,180.0,822.779996773751,20.15999992077377,8.189999967811056,53.76000007970496,9822.0,4662.420003226249,114.24000007922622,46.41000003218894,1021.439999920295,125.99999999999999,-0.23619840357679442,63.470900949899686
9,2025,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,72,3600,2,8,0.2,0.0,2435.0,99.0,42.0,334.0,32.0,1.0,3.2,1.6,0.3475306020002317,0.3475306020002317,3.13,0.715,2435.0,99.0,42.0,334.0,32.0,2942.0,3956.0,1.2,0.4945,1.1,3956.0,0.0,1.0,2.5,1.6,0.0,2288.9,93.05999999999999,39.48,313.96,30.08,2765.48,0.4921613456482476,1.4764840369447427,1.4764840369447427,1.4764840369447427,1.4764840369447427,0.17407626547849933,0.17409654274087358,0.17409816237842676,0.049203742334047555,44.73398765680831,134.20196297042492,134.20196297042492,134.20196297042492,54.927814716553875,71.9999751271246,0.210760935402961,0.5833335348497546,0.7646399227191947,-0.1813063878694401,0.0007024913579817631,0.0017885573987981857,0.5366016622262538,0.46160978037494804,398.4431640537371,2036.556835946263,16.201424267465693,82.7985757325343,6.873395450700288,35.126604549299714,15.44800694319757,318.5519930568024,436.9659907151007,2505.0340092848996,2505.0340092848996,514.0116440378278,0.14278101223272993,514.0116440378278,359.8081508264794,3441.988355962172,3441.988355962172,2409.3918491735203,3956.0,3956.0,2769.2,0.3803846153846154,0.3445129419537733,1.0335388258613198,1.0335388258613198,1.0335388258613198,0.5789390199327084,177.08366368596774,137.2688266495229,16.744801014677588,7.103921063797313,15.966114957969932,177.08366368596774,137.2688266495229,16.744801014677588,7.103921063797313,15.966114957969932,398.4431640537371,16.201424267465693,6.873395450700288,15.44800694319757,436.9659907151007,2036.556835946263,82.7985757325343,35.126604549299714,318.5519930568024,32.0,278.91021483761597,11.340996987225985,4.811376815490202,10.813604860238298,2942.0,1425.589785162384,57.959003012774005,24.5886231845098,222.98639513976167,22.4,-0.23711342094810134,114.01019434633245
