,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Max VC,Corridor PCE,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,480,2050,1NB,1,NB,Night,6,OP,NT,0.7,55,8234.489712329321,1,6,72,3600,1,6,0.2,0.053191489361702135,1307.8,45.3,6.7,338.3,43.9,1.331786630815287,5.15,2.575,0.9,0.1595744680851064,0.1595744680851064,4.5698638420304665,0.708,1307.8,45.3,6.7,338.3,43.9,1742.0,2610.3999999999996,1.1,0.3263,1.3,2610.3999999999996,0.0,1.0,2.5,1.6,0.0,1229.3319999999999,42.581999999999994,6.298,318.002,41.266,1637.48,0.9871612938652007,2.961483881595602,2.961483881595602,2.961483881595602,2.961483881595602,0.15957446696848077,0.15957446714607776,0.15957446729118904,0.05319148951170501,0.9871612938652007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.961483881595602,2.961483881595602,2.961483881595602,194.71961481613332,584.1588444483999,584.1588444483999,584.1588444483999,54.97104632775803,71.99998709558638,0.0,0.5833334378829995,0.7640385767733112,-0.1807051388903117,0.00028154919586328915,0.0015556348306082729,0.0,0.9984443651693917,196.16999862729637,1111.6300013727036,6.794999960014282,38.50500003998572,1.0049999949999087,5.695000005000091,16.915000047701216,321.3849999522988,220.88499863001178,1521.1150013699885,9126.690008219932,270.3149986354426,0.07508749962095627,1621.8899918126554,1135.3229942688586,2340.0850013645577,14040.510008187346,9828.35700573114,2610.4,15662.400000000001,10963.68,0.317008107508047,0.6910129057056404,2.0730387171169213,2.0730387171169213,2.0730387171169213,1.2080698347971794,186.7911526628934,0.0,0.0,1120.746915977361,135.55600076371957,14.086297999917539,2.083403900337123,35.06544999891919,1120.7469159773605,813.3360045823174,84.51778799950523,12.50042340202274,210.39269999351515,1177.0199917637783,40.769999760085696,6.0299999699994515,101.4900002862073,1325.3099917800707,6669.780008236222,231.0300002399143,34.17000003000055,1928.3099997137929,263.4,823.9139942346447,28.538999832059986,4.2209999789996155,71.0430002003451,10452.0,4668.846005765355,161.72100016794,23.919000021000386,1349.816999799655,184.37999999999997,-0.23651310860960176,229.43882280794006
1,481,2050,1NB,1,NB,AM-Early,1,OP,AM,0.7,55,8796.923054719633,1,6,72,3600,1,6,0.2,0.05,6227.4,93.2,61.3,388.9,26.6,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.3529135196455755,0.715,6227.4,93.2,61.3,388.9,26.6,6797.4,7937.4,1.1,0.9921749999999999,1.3,7937.4,0.0,1.0,2.5,1.6,0.0,5853.755999999999,87.608,57.62199999999999,365.566,25.004,6389.556,1.3875000000000002,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,0.5,0.5,0.5,0.5,1.3875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1625000000000005,4.1625000000000005,4.1625000000000005,-101.10205510597626,-303.3061653179288,-303.3061653179288,-303.3061653179288,54.314847204179415,33.24869849064104,0.0,1.2632073406368767,0.7732692286165207,0.489938112020356,0.0,-0.0,-0.0,1.0,2926.8779999999997,3300.522,43.804,49.396,28.810999999999996,32.489000000000004,182.783,206.117,3182.276,3615.1240000000003,3615.1240000000003,3693.071999999999,1.025853333333333,3693.071999999999,2585.150399999999,4244.328,4244.328,2971.0296000000003,7937.4,7937.4,5556.179999999999,0.9022927619835789,0.9712500000000001,2.9137500000000003,2.9137500000000003,2.9137500000000003,1.6102114964258287,3586.8961799999997,0.0,0.0,3586.89618,2842.7302575,127.63390500000001,83.94805124999999,532.58396625,3586.8961799999997,2842.7302575,127.63390500000001,83.94805124999999,532.58396625,2926.8779999999997,43.804,28.810999999999996,182.783,3182.276,3300.522,49.396,32.489000000000004,206.117,26.6,2048.8145999999997,30.6628,20.167699999999996,127.94809999999998,6797.4,2310.3653999999997,34.5772,22.7423,144.28189999999998,18.62,0.6335931831878517,-118.94359424232502
2,482,2050,1NB,1,NB,AM-Peak,1,Peak,AM,0.7,55,7097.068636444853,1,6,72,3600,1,6,0.2,0.05,7810.9,223.7,117.2,380.9,17.3,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.3529135196455755,0.715,6854.262978400909,196.3024271554217,102.84597435232645,334.24941664506093,15.181189046887777,7502.841985600605,11031.02,1.1,1.3788775,1.3,8800.0,2231.0200000000004,0.7977503440298358,2.5,1.6,0.0,6443.007199696854,184.5242815260964,96.67521589118685,314.19445164635727,14.27031770407451,7052.671466464568,1.3875000000000002,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,0.5,0.5,0.5,0.5,1.3875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1625000000000005,4.1625000000000005,4.1625000000000005,-46.87001794999771,-140.61005384999314,-140.61005384999314,-140.61005384999314,50.79442751329545,22.29660700662941,0.0,1.8836946799803311,0.8268623558953685,1.0568323240849626,0.0,-0.0,-0.0,1.0,3221.503599848427,3632.759378552482,92.2621407630482,104.0402863923735,48.337607945593426,54.508366406733025,157.09722582317863,177.1521908218823,3519.200574380247,3983.641411220359,3983.641411220359,4114.594523443888,1.1429429231788577,4114.594523443888,2880.216166410721,4685.405476556111,4685.405476556111,3279.783833589278,8800.0,8800.0,6159.999999999999,1.239948554930166,0.9712500000000001,2.9137500000000003,2.9137500000000003,2.9137500000000003,1.6222433989241392,3996.299930894876,0.0,0.0,3996.299930894876,3128.8853713527847,268.8288126483317,140.84370515147285,457.7420417422868,3996.299930894876,3128.8853713527847,268.8288126483317,140.84370515147285,457.7420417422868,3221.503599848427,92.2621407630482,48.337607945593426,157.09722582317863,3519.200574380247,3632.759378552482,104.0402863923735,54.508366406733025,177.1521908218823,15.181189046887777,2255.0525198938985,64.58349853413374,33.836325561915395,109.96805807622503,7502.841985600605,2542.931564986737,72.82820047466144,38.15585648471311,124.0065335753176,10.626832332821444,1.2781236399866953,-55.14119758823261
3,483,2050,1NB,1,NB,AM-Shoulder,3,OP,AM,0.7,55,6033.1852346375235,1,6,72,3600,1,6,0.2,0.05,5393.7,207.8,51.9,419.5,9.3,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.3529135196455755,0.715,5933.070000000001,228.58000000000004,57.09,461.45000000000005,10.230000000000002,6690.42,8205.12,1.1,1.02564,1.3,8205.12,0.0,1.0,2.5,1.6,0.0,5577.0858,214.86520000000002,53.6646,433.76300000000003,9.616200000000001,6288.9947999999995,1.3875000000000002,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,0.5,0.5,0.5,0.5,1.3875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1625000000000005,4.1625000000000005,4.1625000000000005,-86.55108556672648,-259.65325670017944,-259.65325670017944,-259.65325670017944,48.11652230078433,29.06197186757791,0.0,1.4451875527020244,0.8728810394369539,0.5723065132650704,0.0,-0.0,-0.0,1.0,2788.5429,3144.5271000000007,107.43260000000001,121.14740000000003,26.8323,30.257700000000003,216.88150000000002,244.56850000000003,3139.6893,3550.7307000000005,10652.192100000002,3841.9821,1.0672172500000001,11525.9463,8068.162409999999,4363.137900000001,13089.413700000001,9162.58959,8205.12,24615.36,17230.752,1.3599980244089038,0.9712500000000001,2.9137500000000003,2.9137500000000003,2.9137500000000003,1.6978591364916271,3731.5251146250002,0.0,0.0,11194.575343875,2708.372291625,313.03173825000005,78.18261412500001,631.9384706250001,11194.575343875,8125.116874875,939.0952147500002,234.54784237500004,1895.8154118750003,8365.6287,322.29780000000005,80.4969,650.6445000000001,9419.0679,9433.581300000002,363.44220000000007,90.77310000000001,733.7055,30.690000000000005,5855.940089999999,225.60846,56.347829999999995,455.45115000000004,20071.260000000002,6603.506910000001,254.40954000000002,63.54117000000001,513.59385,21.483,0.6556523597238781,-101.82480654909
4,484,2050,1NB,1,NB,MD,4,OP,MD,0.7,55,5561.260459035068,1,6,72,3600,1,6,0.2,0.05,4882.3,193.1,54.6,559.4,16.0,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.3570856412299,0.708,4882.3,193.1,54.6,559.4,16.0,5705.400000000001,7351.6,1.1,0.91895,1.3,7351.6,0.0,1.0,2.5,1.6,0.0,4589.362,181.51399999999998,51.324,525.8359999999999,15.04,5363.076,1.3875000000000002,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,0.5,0.5,0.5,0.5,1.3875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1625000000000005,4.1625000000000005,4.1625000000000005,-300.8755365282602,-902.6266095847806,-902.6266095847806,-902.6266095847806,49.00005138423769,41.10498068046597,0.0,1.0217739871109917,0.8571419582941607,0.16463202881683092,0.0,-0.0,-0.0,1.0,2294.681,2587.619,90.75699999999999,102.343,25.662,28.938000000000002,262.91799999999995,296.482,2674.018,3031.382,12125.528,3432.692,0.9535255555555555,13730.768,9611.5376,3918.9080000000004,15675.632000000001,10972.9424,7351.6,29406.4,20584.48,1.3219305325029809,0.9712500000000001,2.9137500000000003,2.9137500000000003,2.9137500000000003,1.7811623369775373,3334.0021049999996,0.0,0.0,13336.00842,2228.70892125,264.44320875,74.7726525,766.0773224999999,13336.008419999998,8914.835685,1057.772835,299.09061,3064.3092899999997,9178.724,363.02799999999996,102.648,1051.6719999999998,10696.072,10350.476,409.372,115.75200000000001,1185.928,64.0,6425.1068,254.11959999999996,71.85359999999999,736.1703999999999,22821.600000000002,7245.3332,286.5604,81.0264,830.1496000000001,44.8,0.19207090170276228,-353.971219445012
5,485,2050,1NB,1,NB,PM-Shoulder,2,OP,PM,0.7,55,5261.122825893179,1,6,72,3600,1,6,0.2,0.05,5103.4,159.8,42.6,434.2,10.7,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.565691720446142,0.592,5613.74,175.78000000000003,46.86000000000001,477.62,11.77,6325.7699999999995,7749.830000000001,1.1,0.9687287500000001,1.3,7749.830000000001,0.0,1.0,2.5,1.6,0.0,5276.915599999999,165.2332,44.0484,448.96279999999996,11.063799999999999,5946.223799999999,1.3875000000000002,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,0.5,0.5,0.5,0.5,1.3875000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1625000000000005,4.1625000000000005,4.1625000000000005,-196.995644433238,-590.986933299714,-590.986933299714,-590.986933299714,44.643692431817364,35.228151831977954,0.0,1.1922283121839783,0.9407823975166262,0.2514459146673521,0.0,-0.0,-0.0,1.0,2638.4577999999997,2975.2822,82.6166,93.16340000000002,22.0242,24.835800000000006,224.48139999999998,253.13860000000003,2967.5799999999995,3358.19,6716.38,3625.8243999999995,1.0071734444444442,7251.648799999999,5076.154159999999,4124.0056,8248.0112,5773.607840000001,7749.83,15499.66,10849.761999999999,1.473037269127872,0.9712500000000001,2.9137500000000003,2.9137500000000003,2.9137500000000003,1.6952639372822305,3521.5819485,0.0,0.0,7043.163897,2562.60213825,240.72411825000003,64.17301275000001,654.08267925,7043.163897,5125.2042765,481.44823650000006,128.34602550000002,1308.1653585,5276.915599999999,165.2332,44.0484,448.96279999999996,5935.159999999999,5950.5644,186.32680000000005,49.67160000000001,506.27720000000005,23.54,3693.840919999999,115.66324,30.833879999999997,314.27395999999993,12651.539999999999,4165.39508,130.42876000000004,34.770120000000006,354.39404,16.477999999999998,0.26727319232491104,-231.75958168616236
6,486,2050,1NB,1,NB,PM-Peak,2,Peak,PM,0.7,55,4588.898238978693,1,6,72,3600,1,6,0.2,0.05,4909.0,98.6,29.3,392.9,10.7,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.565691720446142,0.592,5399.900000000001,108.46000000000001,32.230000000000004,432.19,11.77,5984.55,7153.85,1.1,0.89423125,1.3,7153.85,0.0,1.0,2.5,1.6,0.0,5075.906,101.9524,30.296200000000002,406.2586,11.063799999999999,5625.477,2.5749077436500265,7.7247232309500795,7.7247232309500795,7.7247232309500795,7.7247232309500795,0.4955866047994012,0.4960135555431448,0.4960327405318376,0.19127577251263453,2.5749077436500265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7247232309500795,7.7247232309500795,7.7247232309500795,96.69550303736392,290.0865091120918,290.0865091120918,290.0865091120918,34.48499706282867,55.38496479485886,0.17306488659955327,0.758328549193168,1.2179209388790044,-0.4595923896858365,0.31799920266984855,0.3345048497637405,0.18204776428784222,0.48344738594841724,2515.5510208209093,2884.348979179091,50.569772420156916,57.89022757984309,15.02790711370066,17.202092886299344,77.70742755490139,354.48257244509864,2658.856127909668,3325.693872090332,6651.387744180664,2945.466342087186,0.8181850950242183,5890.932684174372,4123.65287892206,4208.383657912815,8416.76731582563,5891.73712107794,7153.85,14307.7,10015.39,1.5589471867635407,1.8024354205550184,5.407306261665055,5.407306261665055,5.407306261665055,2.852468779069825,5309.01286503057,0.0,0.0,10618.025730061137,4534.118262140942,273.4462470584913,81.2604962356344,420.1878595955019,10618.02573006114,9068.236524281883,546.8924941169826,162.5209924712688,840.3757191910038,5031.102041641819,101.13954484031383,30.05581422740132,155.41485510980277,5317.712255819336,5768.697958358182,115.78045515968618,34.40418577259869,708.9651448901973,23.54,3521.771429149273,70.79768138821967,21.039069959180924,108.79039857686193,11969.1,4038.0885708507276,81.04631861178032,24.08293004081908,496.2756014231381,16.477999999999998,-0.37735814781939236,235.30878156452187
7,487,2050,1NB,1,NB,PM-Late,5,OP,PM,0.7,55,10400.0,1,6,72,3600,1,6,0.2,0.05,4480.1,86.6,13.3,384.9,30.6,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.565691720446142,0.592,4480.1,86.6,13.3,384.9,30.6,4995.500000000001,6026.3,1.1,0.7532875,1.3,6026.3,0.0,1.0,2.5,1.6,0.0,4211.294,81.404,12.502,361.806,28.764,4695.77,1.7844880733548725,5.353464220064618,5.353464220064618,5.353464220064618,5.353464220064618,0.21578046369672083,0.2160581528282436,0.21607260697673622,0.050001832752167345,1.7844880733548725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353464220064618,5.353464220064618,5.353464220064618,153.0428270414149,459.12848112424473,459.12848112424473,459.12848112424473,54.32716207545544,71.9619179180814,0.22019181336874047,0.5836420319954665,0.7730939440875976,-0.18945191209213108,0.006620306315863737,0.01590410367094739,0.5289715098104876,0.4551243865185649,908.7149720832182,3571.3850279167823,17.58799787283034,69.01200212716965,2.7013397324231563,10.598660267576845,18.090963100730658,366.8090368992693,947.0952727892023,4048.404727210798,20242.02363605399,1023.8558742011706,0.2844044095003252,5119.279371005853,3583.495559704097,5002.44412579883,25012.22062899415,17508.554440295902,6026.300000000001,30131.500000000004,21092.05,0.5794519230769232,1.2491416513484106,3.7474249540452322,3.7474249540452322,3.7474249540452322,1.9291180611276997,1278.9410174424208,0.0,0.0,6394.705087212105,1135.113720833056,65.90970212033888,10.123067922636407,67.79452656638958,6394.705087212104,5675.568604165281,329.5485106016944,50.61533961318204,338.97263283194786,4543.574860416091,87.9399893641517,13.506698662115781,90.4548155036533,4735.4763639460125,17856.925139583913,345.06001063584824,52.993301337884226,1834.0451844963466,153.0,3180.5024022912635,61.557992554906185,9.454689063481046,63.3183708525573,24977.500000000004,12499.847597708738,241.54200744509376,37.095310936518956,1283.8316291474425,107.1,-0.24505677937462242,395.6069814933139
8,488,2050,1SB,1,SB,Night,6,OP,NT,0.7,55,9658.720330941385,1,6,72,3600,1,6,0.2,0.053191489361702135,1739.3,42.6,17.3,340.9,40.0,1.331786630815287,5.15,2.575,0.9,0.1595744680851064,0.1595744680851064,4.5698638420304665,0.708,1739.3,42.6,17.3,340.9,40.0,2180.1,3061.7,1.1,0.38271249999999996,1.3,3061.7,0.0,1.0,2.5,1.6,0.0,1634.9419999999998,40.044,16.262,320.44599999999997,37.599999999999994,2049.294,0.9869757098085012,2.960927129425504,2.960927129425504,2.960927129425504,2.960927129425504,0.15957446165873843,0.15957446237646022,0.15957446490011687,0.053191489648097355,0.9869757098085012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.960927129425504,2.960927129425504,2.960927129425504,194.71817751967308,584.1545325590192,584.1545325590192,584.1545325590192,54.9724170698312,71.99994981198823,0.0,0.5833337399494528,0.7640195254039421,-0.18068578545448932,0.00026821323730497477,0.0014822177970314032,0.0,0.9985177822029686,260.8949894932611,1478.4050105067388,6.389999771402973,36.210000228597025,2.5949999482057007,14.7050000517943,17.045000091774202,323.85499990822575,286.92498930464404,1893.175010695356,11359.050064172136,338.98498892740974,0.09416249692428048,2033.9099335644585,1423.7369534951208,2722.71501107259,16336.29006643554,11435.403046504878,3061.7,18370.199999999997,12859.14,0.31698816148469966,0.6908829968659508,2.0726489905978527,2.0726489905978527,2.0726489905978527,1.1660537162408877,234.19896504274,0.0,0.0,1405.19379025644,180.247912208415,13.244226576118882,5.3785240232500255,35.328302234956105,1405.19379025644,1081.48747325049,79.46535945671329,32.27114413950015,211.96981340973662,1565.3699369595665,38.33999862841784,15.569999689234205,102.27000055064522,1721.5499358278637,8870.430063040432,217.26000137158215,88.2300003107658,1943.1299994493545,240.0,1095.7589558716966,26.837999039892484,10.898999782463942,71.58900038545166,13080.599999999999,6209.301044128302,152.0820009601075,61.76100021753606,1360.190999614548,168.0,-0.2364936751570054,229.42025963850998
9,489,2050,1SB,1,SB,AM-Early,1,OP,AM,0.7,55,10400.0,1,6,72,3600,1,6,0.2,0.05,3242.9,131.8,55.9,444.8,42.6,1.331786630815287,5.15,2.575,0.9,1.0,1.0,4.3529135196455755,0.715,3242.9,131.8,55.9,444.8,42.6,3918.0000000000005,5268.2,1.1,0.658525,1.3,5268.2,0.0,1.0,2.5,1.6,0.0,3048.326,123.89200000000001,52.54599999999999,418.11199999999997,40.044,3682.92,1.9777186029845701,5.93315580895371,5.93315580895371,5.93315580895371,5.93315580895371,0.17592275259322776,0.1760484408549885,0.17605848625252518,0.050002707575240946,1.9777186029845701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93315580895371,5.93315580895371,5.93315580895371,151.13810881516935,453.41432644550804,453.41432644550804,453.41432644550804,54.60376577301248,71.99636255049298,0.2774586952171362,0.5833628048992653,0.7691777188883591,-0.18581491398909378,0.003878948676396873,0.008303387428676924,0.5939359434843303,0.3977606690869928,536.2699007215036,2706.6300992784963,21.810993434406235,109.98900656559377,9.251169218625186,46.64883078137481,20.90673206969914,423.89326793030085,588.2387954442341,3329.7612045557653,3329.7612045557653,692.1765848896952,0.19227127358047089,692.1765848896952,484.5236094227866,4576.023415110305,4576.023415110305,3203.216390577213,5268.2,5268.2,3687.74,0.5065576923076923,1.384403022089199,4.153209066267597,4.153209066267597,4.153209066267597,2.3271680125294547,958.2513559406752,0.0,0.0,958.251355940675,742.4136712143244,90.58561567607902,38.422039872369844,86.83002917790199,958.2513559406752,742.4136712143244,90.58561567607902,38.422039872369844,86.83002917790199,536.2699007215036,21.810993434406235,9.251169218625186,20.90673206969914,588.2387954442341,2706.6300992784963,109.98900656559377,46.64883078137481,423.89326793030085,42.6,375.38893050505254,15.267695404084364,6.47581845303763,14.634712448789395,3918.0000000000005,1894.6410694949473,76.99230459591563,32.65418154696237,296.72528755121056,29.82,-0.24157604858554613,447.026449826451
