,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,179035623.503,,179035623.503,,0.0,,0.0,,94450013.588,,25274.364,,0.819,,0.172,
1,2026.0,202548892.028,0.131,202548892.028,0.131,0.0,,0.0,,98304562.925,0.041,26198.987,0.037,0.894,0.092,0.173,0.006
2,2026.9999999999995,229150226.415,0.131,229150226.415,0.131,0.0,,0.0,,102316418.228,0.041,27157.435,0.037,0.975,0.091,0.174,0.006
3,2027.999999999999,259245191.322,0.131,259245191.322,0.131,0.0,,0.0,,106491999.227,0.041,28150.946,0.037,1.065,0.092,0.175,0.006
4,2029.0,293292615.395,0.131,293292615.395,0.131,0.0,,0.0,,110837987.644,0.041,29180.804,0.037,1.162,0.091,0.176,0.006
5,2030.0,331811586.578,0.131,331811586.578,0.131,0.0,,0.0,,115361337.886,0.041,30248.337,0.037,1.268,0.091,0.177,0.006
6,2031.0000000000007,375389366.143,0.131,375389366.143,0.131,0.0,,0.0,,120069288.173,0.041,31354.924,0.037,1.384,0.091,0.178,0.006
7,2032.0000000000005,424690342.09,0.131,424690342.09,0.131,0.0,,0.0,,124969372.117,0.041,32501.994,0.037,1.511,0.092,0.179,0.006
8,2033.0000000000007,464185188.919,0.093,464056722.24,0.093,0.0,,0.0,,129119539.186,0.033,33558.603,0.033,1.599,0.058,0.182,0.017
9,2034.0000000000002,507352930.494,0.093,507072142.015,0.093,0.0,,0.0,,133407531.118,0.033,34649.562,0.033,1.693,0.059,0.184,0.011
10,2034.9999999999993,554535134.309,0.093,554074846.64,0.093,0.0,,0.0,,137837925.006,0.033,35775.986,0.033,1.792,0.058,0.187,0.016
11,2035.9999999999998,606105132.542,0.093,605434434.752,0.093,0.0,,0.0,,142415449.942,0.033,36939.029,0.033,1.897,0.059,0.19,0.016
12,2036.999999999999,662470976.075,0.093,661554764.679,0.093,0.0,,0.0,,147144992.072,0.033,38139.882,0.033,2.008,0.059,0.192,0.011
13,2038.0000000000005,724078663.22,0.093,722877130.12,0.093,0.0,,0.0,,152031599.806,0.033,39379.773,0.033,2.126,0.059,0.195,0.016
14,2038.999999999999,791415668.709,0.093,789883730.192,0.093,0.0,,0.0,,157080489.212,0.033,40659.973,0.033,2.25,0.058,0.198,0.015
15,2039.9999999999998,865014800.868,0.093,863101461.126,0.093,956669.871,inf,956669.871,inf,162297049.577,0.033,41981.79,0.033,2.382,0.059,0.201,0.015
16,2041.0000000000002,947715943.194,0.096,930629411.52,0.078,1587086.931,0.659,1607210.947,0.68,166393294.084,0.025,43284.479,0.031,2.531,0.063,0.204,0.015
17,2041.9999999999995,1038323862.301,0.096,1003440662.069,0.078,2632930.127,0.659,2700123.737,0.68,170592924.445,0.025,44627.59,0.031,2.69,0.063,0.208,0.02
18,2043.0,1137594498.399,0.096,1081948571.397,0.078,4367952.96,0.659,4536223.58,0.68,174898550.033,0.025,46012.377,0.031,2.858,0.062,0.211,0.014
19,2044.0000000000002,1246356064.591,0.096,1166598838.773,0.078,7246304.359,0.659,7620881.994,0.68,179312846.083,0.025,47440.135,0.031,3.037,0.063,0.214,0.014
20,2044.9999999999993,1365515956.634,0.096,1257872034.407,0.078,12021403.926,0.659,12803126.068,0.68,183838555.347,0.025,48912.195,0.031,3.227,0.063,0.218,0.019
21,2045.9999999999993,1496068323.327,0.096,1356286327.705,0.078,19943152.426,0.659,21509326.249,0.68,188478489.803,0.025,50429.934,0.031,3.429,0.063,0.221,0.014
22,2046.9999999999995,1639102360.679,0.096,1462400428.979,0.078,33085098.142,0.659,36135793.182,0.68,193235532.402,0.025,51994.767,0.031,3.644,0.063,0.225,0.018
23,2048.0,1795811399.046,0.096,1576816761.324,0.078,54887196.149,0.659,60708342.687,0.68,198112638.857,0.025,53608.157,0.031,3.872,0.063,0.229,0.018
24,2049.000000000001,1967502859.07,0.096,1700184880.64,0.078,91056229.853,0.659,101990368.754,0.68,203112839.482,0.025,55271.611,0.031,4.115,0.063,0.232,0.013
25,2049.999999999999,2155609159.462,0.096,1833205163.249,0.078,151059583.597,0.659,171344412.616,0.68,208239241.072,0.025,56986.681,0.031,4.373,0.063,0.236,0.017
