,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,142555216.104,,142555216.104,,0.0,,0.0,,78299923.723,,26803.587,,0.922,,0.173,
1,2026.0,161022540.134,0.13,161022540.134,0.13,0.0,,0.0,,81671672.934,0.043,27860.797,0.039,1.002,0.087,0.175,0.012
2,2026.9999999999995,181882214.765,0.13,181882214.765,0.13,0.0,,0.0,,85188616.32,0.043,28959.706,0.039,1.089,0.087,0.177,0.011
3,2027.999999999999,205444157.199,0.13,205444157.199,0.13,0.0,,0.0,,88857006.227,0.043,30101.959,0.039,1.183,0.086,0.178,0.006
4,2029.0,232058432.879,0.13,232058432.879,0.13,0.0,,0.0,,92683364.242,0.043,31289.266,0.039,1.286,0.087,0.18,0.011
5,2030.0,262120456.501,0.13,262120456.501,0.13,0.0,,0.0,,96674492.783,0.043,32523.404,0.039,1.398,0.087,0.182,0.011
6,2031.0000000000007,296076866.779,0.13,296076866.779,0.13,0.0,,0.0,,100837487.194,0.043,33806.22,0.039,1.519,0.087,0.184,0.011
7,2032.0000000000005,334432162.265,0.13,334432162.265,0.13,0.0,,0.0,,105179748.358,0.043,35139.633,0.039,1.65,0.086,0.185,0.005
8,2033.0000000000007,364299904.817,0.089,364168323.591,0.089,0.0,,0.0,,108850730.652,0.035,36398.603,0.036,1.735,0.052,0.189,0.022
9,2034.0000000000002,396835100.282,0.089,396548486.872,0.089,0.0,,0.0,,112649837.526,0.035,37702.679,0.036,1.825,0.052,0.192,0.016
10,2034.9999999999993,432275975.738,0.089,431807744.534,0.089,0.0,,0.0,,116581540.781,0.035,39053.477,0.036,1.919,0.052,0.196,0.021
11,2035.9999999999998,470882034.041,0.089,470202092.335,0.089,0.0,,0.0,,120650468.295,0.035,40452.671,0.036,2.018,0.052,0.2,0.02
12,2036.999999999999,512935953.946,0.089,512010287.992,0.089,0.0,,0.0,,124861409.468,0.035,41901.995,0.036,2.123,0.052,0.203,0.015
13,2038.0000000000005,558745659.911,0.089,557535875.069,0.089,0.0,,0.0,,129219320.858,0.035,43403.244,0.036,2.232,0.051,0.207,0.02
14,2038.999999999999,608646576.765,0.089,607109386.822,0.089,0.0,,0.0,,133729332.018,0.035,44958.28,0.036,2.347,0.052,0.211,0.019
15,2039.9999999999998,663004085.736,0.089,661090745.994,0.089,956669.871,inf,956669.871,inf,138396751.533,0.035,46569.029,0.036,2.469,0.052,0.215,0.019
16,2041.0000000000002,725340507.59,0.094,708789680.101,0.072,1575798.034,0.647,1597171.299,0.67,141384836.355,0.022,47779.723,0.026,2.632,0.066,0.218,0.014
17,2041.9999999999995,793537872.949,0.094,759930181.54,0.072,2595607.449,0.647,2666495.765,0.67,144437436.064,0.022,49021.893,0.026,2.807,0.066,0.22,0.009
18,2043.0,868147234.595,0.094,814760565.833,0.072,4275407.053,0.647,4451745.199,0.67,147555943.584,0.022,50296.356,0.026,2.993,0.066,0.223,0.014
19,2044.0000000000002,949771455.941,0.094,873547064.93,0.072,7042322.782,0.647,7432239.562,0.67,150741781.911,0.022,51603.953,0.026,3.191,0.066,0.226,0.013
20,2044.9999999999993,1039070082.324,0.094,936575119.916,0.072,11599903.717,0.647,12408209.015,0.67,153996404.766,0.022,52945.545,0.026,3.403,0.066,0.229,0.013
21,2045.9999999999993,1136764670.309,0.094,1004150766.984,0.072,19107014.888,0.647,20715646.969,0.67,157321297.255,0.022,54322.015,0.026,3.629,0.066,0.232,0.013
22,2046.9999999999995,1243644618.053,0.094,1076602123.41,0.072,31472504.156,0.647,34585009.717,0.67,160717976.55,0.022,55734.27,0.026,3.869,0.066,0.234,0.009
23,2048.0,1360573543.856,0.094,1154280980.746,0.072,51840568.693,0.647,57740069.568,0.67,164187992.58,0.022,57183.24,0.026,4.126,0.066,0.237,0.013
24,2049.000000000001,1488496264.422,0.094,1237564512.961,0.072,85390236.161,0.647,96397707.011,0.67,167732928.737,0.022,58669.881,0.026,4.399,0.066,0.24,0.013
25,2049.999999999999,1628446429.23,0.094,1326857107.835,0.072,140652246.213,0.647,160937075.182,0.67,171354402.6,0.022,60195.172,0.026,4.691,0.066,0.243,0.012
