,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,172356833.211,,172356833.211,,0.0,,0.0,,76423458.411,,26300.216,,1.056,,0.168,,193576.156,
1,2026.0,192421954.456,0.116,192421954.455,0.116,0.0,,0.0,,79558726.129,0.041,27278.259,0.037,1.137,0.077,0.169,0.006,198897.684,0.027
2,2026.9999999999995,214822980.133,0.116,214822980.13,0.116,0.0,,0.0,,82822618.015,0.041,28292.673,0.037,1.224,0.077,0.171,0.012,204365.505,0.027
3,2027.999999999999,239831847.274,0.116,239831847.268,0.116,0.0,,0.0,,86220410.866,0.041,29344.811,0.037,1.317,0.076,0.173,0.012,209983.639,0.027
4,2029.0,267752150.776,0.116,267752150.768,0.116,0.0,,0.0,,89757597.962,0.041,30436.075,0.037,1.418,0.077,0.174,0.006,215756.218,0.027
5,2030.0,298922828.891,0.116,298922828.88,0.116,0.0,,0.0,,93439897.942,0.041,31567.921,0.037,1.526,0.076,0.176,0.011,221687.49,0.027
6,2031.0000000000007,333722277.761,0.116,333722277.745,0.116,0.0,,0.0,,97273264.055,0.041,32741.858,0.037,1.643,0.077,0.178,0.011,227781.816,0.027
7,2032.0000000000005,372572944.953,0.116,372572944.933,0.116,0.01,inf,0.01,inf,101263893.778,0.041,33959.45,0.037,1.768,0.076,0.179,0.006,234043.679,0.027
8,2033.0000000000007,401336243.253,0.077,399912371.226,0.073,0.133,12.3,0.133,12.3,104080040.766,0.028,34914.893,0.028,1.852,0.048,0.182,0.017,237416.569,0.014
9,2034.0000000000002,432320119.67,0.077,429257966.351,0.073,1.762,12.248,1.762,12.248,106974504.749,0.028,35897.216,0.028,1.941,0.048,0.184,0.011,240838.067,0.014
10,2034.9999999999993,465696006.812,0.077,460756943.105,0.073,23.322,12.236,23.322,12.236,109949463.72,0.028,36907.177,0.028,2.034,0.048,0.187,0.016,244308.874,0.014
11,2035.9999999999998,501648572.188,0.077,494567316.767,0.073,308.641,12.234,308.641,12.234,113007156.245,0.028,37945.554,0.028,2.131,0.048,0.189,0.011,247829.699,0.014
12,2036.999999999999,540376739.97,0.077,530858697.79,0.073,4084.568,12.234,4084.568,12.234,116149883.142,0.028,39013.144,0.028,2.232,0.047,0.192,0.016,251401.265,0.014
13,2038.0000000000005,582094791.633,0.077,569813142.651,0.073,54055.29,12.234,54055.29,12.234,119380009.215,0.028,40110.771,0.028,2.339,0.048,0.194,0.01,255024.302,0.014
14,2038.999999999999,627033551.564,0.077,611626067.143,0.073,715369.316,12.234,715369.316,12.234,122699965.033,0.028,41239.28,0.028,2.45,0.047,0.197,0.015,258699.551,0.014
15,2039.9999999999998,675441664.208,0.077,656507226.681,0.073,9467218.763,12.234,9467218.763,12.234,126112248.76,0.028,42399.539,0.028,2.567,0.048,0.2,0.015,262427.766,0.014
16,2041.0000000000002,721259165.863,0.068,693236351.31,0.056,11744948.295,0.241,11842091.822,0.251,128250335.964,0.017,43298.691,0.021,2.685,0.046,0.202,0.01,265270.454,0.011
17,2041.9999999999995,770184624.237,0.068,732020333.13,0.056,14570679.509,0.241,14812707.114,0.251,130424671.961,0.017,44216.912,0.021,2.807,0.045,0.204,0.01,268143.933,0.011
18,2043.0,822428862.586,0.068,772974133.718,0.056,18076256.79,0.241,18528507.914,0.251,132635871.308,0.017,45154.604,0.021,2.935,0.046,0.206,0.01,271048.54,0.011
19,2044.0000000000002,878217005.026,0.068,816219146.321,0.056,22425245.119,0.241,23176425.679,0.251,134884558.98,0.017,46112.183,0.021,3.069,0.046,0.208,0.01,273984.609,0.011
20,2044.9999999999993,937789446.606,0.068,861883555.685,0.056,27820561.772,0.241,28990284.038,0.251,137171370.549,0.017,47090.068,0.021,3.209,0.046,0.21,0.01,276952.483,0.011
21,2045.9999999999993,1001402889.186,0.068,910102718.012,0.056,34513944.138,0.241,36262561.806,0.251,139496952.361,0.017,48088.69,0.021,3.356,0.046,0.212,0.01,279952.506,0.011
22,2046.9999999999995,1069331447.586,0.068,961019562.178,0.056,42817695.406,0.241,45359106.761,0.251,141861961.722,0.017,49108.491,0.021,3.509,0.046,0.215,0.014,282985.026,0.011
23,2048.0,1141867830.765,0.068,1014785013.395,0.056,53119256.163,0.241,56737540.419,0.251,144267067.078,0.017,50149.917,0.021,3.669,0.046,0.217,0.009,286050.395,0.011
24,2049.000000000001,1219324603.124,0.068,1071558440.576,0.056,65899281.793,0.241,70970279.678,0.251,146712948.212,0.017,51213.429,0.021,3.837,0.046,0.219,0.009,289148.969,0.011
25,2049.999999999999,1302035531.369,0.068,1131508128.731,0.056,81754069.138,0.241,88773333.501,0.251,149200296.429,0.017,52299.495,0.021,4.012,0.046,0.221,0.009,292281.107,0.011
