,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,127754932.993,,127707989.315,,23471.839,,23471.839,,132923562.887,,35451.107,,0.397,,0.243,,181817.462,
1,2026.0,142904688.404,0.119,142743753.482,0.118,38810.179,0.653,38810.179,0.653,136686304.563,0.028,36470.035,0.029,0.431,0.086,0.244,0.004,186515.082,0.026
2,2026.9999999999995,159850970.052,0.119,159549760.884,0.118,64171.792,0.653,64171.792,0.653,140555560.273,0.028,37518.248,0.029,0.469,0.088,0.245,0.004,191334.074,0.026
3,2027.999999999999,178806818.11,0.119,178334431.995,0.118,106106.671,0.653,106106.671,0.653,144534345.17,0.028,38596.59,0.029,0.51,0.087,0.245,0.0,196277.574,0.026
4,2029.0,200010536.016,0.119,199330725.781,0.118,175445.087,0.653,175445.087,0.653,148625759.758,0.028,39705.924,0.029,0.554,0.086,0.246,0.004,201348.8,0.026
5,2030.0,223728686.3,0.119,222799028.745,0.118,290094.66,0.653,290094.66,0.653,152832992.307,0.028,40847.143,0.029,0.603,0.088,0.247,0.004,206551.05,0.026
6,2031.0000000000007,250259441.68,0.119,249030384.127,0.118,479665.25,0.653,479665.25,0.653,157159321.343,0.028,42021.163,0.029,0.655,0.086,0.247,0.0,211887.712,0.026
7,2032.0000000000005,279936333.538,0.119,278350101.291,0.118,793116.124,0.653,793116.124,0.653,161608118.196,0.028,43228.926,0.029,0.713,0.089,0.248,0.004,217362.257,0.026
8,2033.0000000000007,312837614.129,0.118,310182550.714,0.114,1065220.483,0.343,1097664.669,0.384,165195292.351,0.022,44162.607,0.022,0.779,0.093,0.248,0.0,222259.193,0.023
9,2034.0000000000002,349605824.927,0.118,345655397.004,0.114,1430679.12,0.343,1519156.765,0.384,168862090.095,0.022,45116.455,0.022,0.853,0.095,0.248,0.0,227266.451,0.023
10,2034.9999999999993,390695451.26,0.118,385184960.285,0.114,1921520.263,0.343,2102497.551,0.384,172610278.812,0.022,46090.904,0.022,0.933,0.094,0.248,0.0,232386.518,0.023
11,2035.9999999999998,436614394.703,0.118,429235171.548,0.114,2580760.474,0.343,2909835.28,0.384,176441665.119,0.022,47086.4,0.022,1.02,0.093,0.247,-0.004,237621.934,0.023
12,2036.999999999999,487930251.164,0.118,478323017.487,0.114,3466174.545,0.343,4027182.506,0.384,180358095.729,0.022,48103.397,0.022,1.116,0.094,0.247,0.0,242975.299,0.023
13,2038.0000000000005,545277326.835,0.118,533024608.008,0.114,4655358.797,0.343,5573579.732,0.384,184361458.35,0.022,49142.359,0.022,1.221,0.094,0.247,0.0,248449.269,0.023
14,2038.999999999999,609364478.735,0.118,593981937.635,0.114,6252531.501,0.343,7713777.803,0.384,188453682.589,0.022,50203.762,0.022,1.336,0.094,0.247,0.0,254046.561,0.023
15,2039.9999999999998,680983876.773,0.118,661910420.149,0.114,8397666.403,0.343,10675790.22,0.384,192636740.885,0.022,51288.09,0.022,1.461,0.094,0.247,0.0,259769.955,0.023
16,2041.0000000000002,752099435.487,0.104,730560109.725,0.104,9335708.535,0.112,12147623.757,0.138,195649881.61,0.016,52186.916,0.018,1.586,0.086,0.247,0.0,264456.329,0.018
17,2041.9999999999995,830641635.071,0.104,806329765.591,0.104,10378532.519,0.112,13822373.79,0.138,198710152.581,0.016,53101.493,0.018,1.721,0.085,0.246,-0.004,269227.247,0.018
18,2043.0,917386044.13,0.104,889957831.291,0.104,11537842.773,0.112,15728015.703,0.138,201818290.989,0.016,54032.099,0.018,1.868,0.085,0.246,0.0,274084.235,0.018
19,2044.0000000000002,1013189224.367,0.104,982259337.649,0.104,12826651.129,0.112,17896381.743,0.138,204975045.556,0.016,54979.013,0.018,2.028,0.086,0.246,0.0,279028.846,0.018
20,2044.9999999999993,1118997188.743,0.104,1084133845.981,0.104,14259422.876,0.112,20363692.76,0.138,208181176.715,0.016,55942.522,0.018,2.201,0.085,0.246,0.0,284062.659,0.018
21,2045.9999999999993,1235854742.924,0.104,1196574215.13,0.104,15852239.117,0.112,23171163.243,0.138,211437456.793,0.016,56922.917,0.018,2.389,0.085,0.246,0.0,289187.285,0.018
22,2046.9999999999995,1364915802.268,0.104,1320676277.769,0.104,17622977.256,0.112,26365689.777,0.138,214744670.199,0.016,57920.493,0.018,2.593,0.085,0.246,0.0,294404.362,0.018
23,2048.0,1507454786.21,0.104,1457649520.279,0.104,19591511.651,0.112,30000634.415,0.138,218103613.608,0.016,58935.552,0.018,2.814,0.085,0.246,0.0,299715.557,0.018
24,2049.000000000001,1664879202.579,0.104,1608828870.281,0.104,21779936.681,0.112,34136716.047,0.138,221515096.16,0.016,59968.4,0.018,3.055,0.086,0.246,0.0,305122.568,0.018
25,2049.999999999999,1838743546.099,0.104,1775687706.708,0.104,24212814.728,0.112,38843024.663,0.138,224979939.649,0.016,61019.348,0.018,3.316,0.085,0.246,0.0,310627.125,0.018
