,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,GP Supp Coef,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,480,2050,1NB,1,NB,Night,7,OP,NT,1.3,55,8800.0,2.1,7,60,3600,1.6,6.3,0.2,0.053191489361702135,2656.1,70.3,19.0,471.5,57.0,1.9012586647805254,1.2875,1.2875,0.9,0.1595744680851064,0.1595744680851064,4.366728861968131,0.535,2523.2949999999996,66.785,18.05,447.92499999999995,54.15,3110.2049999999995,4284.025,1.5,0.4868210227272727,4284.025,1.2,0.0,1.0,2.5,1.6,0.0,2371.8972999999996,62.777899999999995,16.967,421.0494999999999,50.900999999999996,2923.5926999999992,1.2874999999593637,3.862499999878091,3.862499999878091,3.862499999878091,3.862499999878091,0.1595744680759851,0.15957446805361847,0.1595744680472734,0.11195042417595248,1.2874999999593637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862499999878091,3.862499999878091,3.862499999878091,123.93697118300926,371.8109135490279,371.8109135490279,371.8109135490279,54.71968955241827,59.99923836357275,0.5582316784482442,1.30001650233207,1.4254466835978767,-0.12543018126580674,0.005085405791241049,1.0,0.0073835585938917606,0.8105029325070402,0.182113508899068,378.4942499783652,2144.8007500216345,10.017749998023254,56.76725000197674,2.7074999993580877,15.342500000641913,47.136670124072694,400.7883298759273,438.3561700998192,2671.8488299001806,18702.941809301265,558.0800103427273,0.15502222509520203,3906.560072399091,5078.528094118818,3725.9449896572723,26081.614927600906,33906.09940588118,4284.025,29988.174999999996,38984.627499999995,0.4868210227272727,1.6737499999471728,5.021249999841519,5.021249999841519,5.021249999841519,1.639142008951226,934.086417281658,0.0,0.0,6538.604920971606,633.504750881294,50.30162717598664,13.59503437134771,236.68500485302974,6538.604920971606,4434.5332561690575,352.11139023190646,95.16524059943397,1656.795033971208,2649.4597498485564,70.12424998616278,18.952499995506614,329.9566908685089,3068.4931906987345,15013.605250151442,397.3707500138372,107.3975000044934,2805.518309131491,379.05,3444.2976748031233,91.16152498201161,24.6382499941586,428.94369812906154,21771.434999999998,19517.686825196877,516.5819750179884,139.61675000584142,3647.1738018709384,492.76500000000004,-0.08799359717139095,800.6446214409403
1,481,2050,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,8800.0,2.1,7,60,3600,1.6,6.3,0.2,0.05,10034.8,287.1,150.2,488.6,22.8,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.66,9533.06,272.745,142.68999999999997,464.17,21.66,10434.325,12236.855,1.5,1.3905517045454545,12236.855,1.2,0.0,1.0,2.5,1.6,0.0,8961.0764,256.3803,134.12859999999998,436.3198,20.3604,9808.2655,10.299999928051896,30.89999978415569,30.89999978415569,30.89999978415569,30.89999978415569,0.280323876737676,0.28366133615660083,0.2838103815415038,0.08877097322469038,5.15,1.931249982012974,3.2187499460389217,5.793749946038922,5.793749946038922,5.793749946038922,9.656249838116764,9.656249838116764,9.656249838116764,15.450000000000001,15.450000000000001,15.450000000000001,93.34771717144855,280.04315151434565,280.04315151434565,280.04315151434565,13.623701316531882,40.906707557991616,0.4820183216621689,1.906777754954316,5.725316357703009,-3.818538602748693,3.0149941776648332,1.0,0.4121349349619562,0.06588954337635647,0.5219755216616874,2512.0036761904976,7021.056323809502,72.72517846223016,200.01982153776984,38.06708914162774,104.62291085837222,38.73253328320226,425.43746671679776,2661.528477077558,7772.796522922441,7772.796522922441,2960.578078851678,0.8223827996810217,2960.578078851678,3848.7515025071816,9276.276921148321,9276.276921148321,12059.159997492818,12236.855,12236.855,15907.911499999998,1.3905517045454545,13.389999906467466,40.1699997194024,40.1699997194024,40.1699997194024,11.45730893424354,39642.1401989136,7432.901269989401,12388.168691012208,19821.070237911987,33635.72898923669,2921.370398421275,1529.1549601376523,1555.8858511179787,39642.1401989136,33635.72898923669,2921.370398421275,1529.1549601376523,1555.8858511179787,2512.0036761904976,72.72517846223016,38.06708914162774,38.73253328320226,2661.528477077558,7021.056323809502,200.01982153776984,104.62291085837222,425.43746671679776,21.66,3265.604779047647,94.5427320008992,49.48721588411606,50.35229326816294,10434.325,9127.373220952353,260.0257679991008,136.0097841158839,553.0687067318371,28.158,-0.66695678704481,210.3946242182121
2,482,2050,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,2.1,7,60,3600,1.6,6.3,0.2,0.05,10415.1,406.9,100.8,821.3,19.0,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.66,8203.299554542558,320.4887700303758,79.39362993133909,646.8848041925476,14.965069133883361,9265.031827830702,15182.055000000002,1.5,1.999656649246271,11388.496374406997,1.2,3793.5586255930048,0.75012877864077,2.5,1.6,0.0,7711.101581270004,301.25944382855323,74.63001213545874,608.0717159409946,14.067164985850358,8709.12991816086,10.299999990741016,30.89999997222305,30.89999997222305,30.89999997222305,30.89999997222305,0.339158765950746,0.3420892260880461,0.34238195637683694,0.11827722721128837,5.15,1.931249997685254,3.218749993055762,5.793749993055762,5.793749993055762,5.793749993055762,9.656249979167285,9.656249979167285,9.656249979167285,15.450000000000001,15.450000000000001,15.450000000000001,83.69589904301525,251.08769712904572,251.08769712904572,251.08769712904572,12.185460031540295,33.566334822009395,0.593843808442813,2.323756835937164,6.401071424312937,-4.077314588375772,3.488022724291784,1.0,0.42749666572141315,0.0727822804308575,0.4997210538477295,2615.287696424381,5588.011858118178,103.05760999102498,217.43116003935083,25.551969559365446,53.841660371973646,71.92103650711103,574.9637676854366,2815.8183124818825,6449.213515348822,19347.640546046467,3216.8795445968854,0.8935776512769126,9650.638633790655,12545.830223927853,8171.616829810111,24514.850489430333,31869.305636259433,11388.496374406997,34165.48912322099,44415.135860187285,1.5,13.389999987963321,40.169999963889964,40.169999963889964,40.169999963889964,11.767044461884497,43074.017063431755,24229.134590920257,40381.89094614655,64611.02565322845,35018.702223643086,4139.824189618059,1026.4226162770274,2889.0680338935786,129222.05119029526,105056.10667092926,12419.472568854177,3079.267848831082,8667.204101680736,7845.8630892731435,309.17282997307495,76.65590867809634,215.7631095213331,8447.454937445647,16764.035574354533,652.2934801180525,161.52498111592092,1724.8913030563097,44.89520740165008,10199.622016055087,401.92467896499744,99.65268128152525,280.492042377733,27795.095483492107,21793.246246660896,847.9815241534682,209.9824754506972,2242.3586939732027,58.36376962214511,-0.6369737686239634,197.04145507149582
3,483,2050,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,2.1,7,60,3600,1.6,6.3,0.2,0.05,9742.0,431.6,119.8,1138.9,34.2,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.66,7555.035458291038,334.7108708477122,92.90630752445765,883.2303308815094,26.522501814160698,8892.405469358879,15661.275000000001,1.5,2.030917006903203,11567.145491494557,1.2,4094.1295085054444,0.7385826180495877,2.5,1.6,0.0,7101.733330793575,314.6282185968495,87.33192907299018,830.2365110286188,24.931151705311056,8358.861141197345,10.299999949810754,30.899999849432263,30.899999849432263,30.899999849432263,30.899999849432263,0.3498708835286585,0.35257287371843515,0.3528728530149449,0.12372297734707693,5.15,1.9312499874526885,3.218749962358065,5.793749962358065,5.793749962358065,5.793749962358065,9.656249887074196,9.656249887074196,9.656249887074196,15.450000000000001,15.450000000000001,15.450000000000001,82.13950542563217,246.41851627689647,246.41851627689647,246.41851627689647,11.797108695813655,33.531366011471896,0.3926479154351019,2.3261802091007655,6.611789550407315,-4.28560934130655,3.635525412557849,1.0,0.4372889642620607,0.04722855179809331,0.515482483939846,2484.689715029671,5070.345743261367,110.92937518360323,223.781495664109,30.81706697128486,62.089240553172786,102.71933304670999,780.5109978347995,2729.1554902312687,6163.249979127609,6163.249979127609,3218.087040634465,0.8939130668429071,3218.087040634465,4183.513152824805,8349.058450860093,8349.058450860093,10853.775986118122,11567.145491494559,11567.145491494559,15037.289138942928,1.5000000000000002,13.38999993475398,40.16999980426194,40.16999980426194,40.16999980426194,12.145257562519024,43090.185264128115,8079.409723901062,13465.682803179308,21545.092737047748,33269.99512213118,4456.032979412241,1237.9215742044398,4126.2355883802575,43090.185264128115,33269.99512213118,4456.032979412241,1237.9215742044398,4126.2355883802575,2484.689715029671,110.92937518360323,30.81706697128486,102.71933304670999,2729.1554902312687,5070.345743261367,223.781495664109,62.089240553172786,780.5109978347995,26.522501814160698,3230.0966295385724,144.2081877386842,40.06218706267032,133.535132960723,8892.405469358879,6591.449466239777,290.91594436334174,80.71601271912462,1014.6642971852393,34.47925235840891,-0.6481769131690736,187.46458953729714
4,484,2050,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,2.1,7,60,3600,1.6,6.3,0.2,0.05,7099.3,251.0,68.4,722.5,20.9,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.163408863221593,0.653,5632.960969898724,199.15670607589198,54.2721860382112,573.2698013539122,16.583167956120086,6476.242831322859,10287.7,1.5,1.8904711140207773,8162.806554171131,1.2,2124.8934458288695,0.7934530122545497,2.5,1.6,0.0,5294.9833117048,187.20730371133845,51.01585487591853,538.8736132726774,15.58817787875288,6087.668261443488,10.299999949887674,30.899999849663022,30.899999849663022,30.899999849663022,30.899999849663022,0.36230386103752643,0.3642851855959851,0.3644525921457784,0.12883569162499703,5.15,1.9312499874719185,3.218749962415755,5.793749962415755,5.793749962415755,5.793749962415755,9.656249887247265,9.656249887247265,9.656249887247265,15.450000000000001,15.450000000000001,15.450000000000001,80.60967103241771,241.82901309725315,241.82901309725315,241.82901309725315,13.138966487292404,53.56151450233384,0.8284429060191337,1.4562695010538078,5.93653999159212,-4.480270490538312,3.1628507213872115,1.0,0.3733490861135773,0.09779102117214782,0.5288598927142749,1918.3928979599175,3714.5680719388065,68.19684737740889,130.9598586984831,18.592860550061356,35.67932548814984,69.42615466444657,503.8436466894656,2074.608760551834,4401.634070771025,22008.170353855126,2387.040485735668,0.663066801593241,11935.20242867834,15515.763157281843,5775.766068435462,28878.830342177313,37542.47944483051,8162.80655417113,40814.03277085565,53058.242602112354,1.4999999999999998,13.389999934853977,40.16999980456193,40.16999980456193,40.16999980456193,11.85115832486765,31962.4719484944,29964.817403117813,49941.362079352686,79906.18026000149,25687.280778707627,2739.467345822255,746.8752046622119,2788.8486193023055,159812.359742472,128436.40389353814,13697.336729111275,3734.3760233110597,13944.243096511527,9591.964489799588,340.9842368870444,92.96430275030679,347.13077332223287,10373.043802759172,18572.840359694033,654.7992934924155,178.39662744074923,2519.2182334473277,82.91583978060044,12469.553836739464,443.27950795315775,120.85359357539882,451.27000531890275,32381.214156614296,24144.692467602243,851.2390815401401,231.915615672974,3274.9837034815264,107.79059171478058,-0.7546938952459998,179.31952943196265
5,485,2050,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,2.1,7,60,3600,1.6,6.3,0.2,0.05,8975.8,220.5,74.1,806.1,20.9,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.541,6788.6414627029435,166.7701422186322,56.043843711567554,609.6753362468909,15.80723796992931,7636.938022849963,12957.630000000001,1.5,2.0824321151247402,9333.531143144004,1.2,3624.098856855997,0.7203115958044799,2.5,1.6,0.0,6381.3229749407665,156.76393368551427,52.6812130888735,573.0948160720774,14.858803691733552,7178.721741478965,11.352383063237488,34.05714918971246,34.05714918971246,34.05714918971246,34.05714918971246,0.3660361804878631,0.3668378557246956,0.3668378557489859,0.09944216569132341,5.15,2.036488306323749,4.165894756913739,6.109464918971247,6.109464918971247,6.109464918971247,12.497684270741216,12.497684270741216,12.497684270741216,15.450000000000001,15.450000000000001,15.450000000000001,94.21458773110908,282.6437631933273,282.6437631933273,282.6437631933273,13.22259045714367,46.70066093471405,0.6234629435052867,1.6702119079008617,5.898995378614296,-4.228783470713434,3.1365694923027343,1.0,0.3926200739889725,0.07804197152626079,0.5293379544847666,2335.795088206766,4452.846374496177,57.50694528816244,109.26319693046976,19.325463247777765,36.718380463789785,56.989789656678035,552.6855465902129,2469.6172863993847,5167.320736450579,5167.320736450579,2737.2616827846205,0.7603504674401723,2737.2616827846205,3558.440187620007,6596.269460359383,6596.269460359383,8575.150298467197,9333.531143144002,9333.531143144002,12133.590486087203,1.4999999999999998,14.758097982208735,44.2742939466262,44.2742939466262,44.2742939466262,12.582695844585102,40396.77611748099,7246.721830840632,14824.087320397328,18325.96696624304,34471.89277811735,2546.0793996606544,855.6212404868343,2523.182699216161,40396.77611748099,34471.89277811735,2546.0793996606544,855.6212404868343,2523.182699216161,2335.795088206766,57.50694528816244,19.325463247777765,56.989789656678035,2469.6172863993847,4452.846374496177,109.26319693046976,36.718380463789785,552.6855465902129,15.80723796992931,3036.533614668796,74.75902887461118,25.123102222111097,74.08672655368144,7636.938022849963,5788.700286845031,142.0421560096107,47.733894602926725,718.4912105672768,20.549409360908104,-0.7168650251946455,209.39494421149317
6,486,2050,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,2.1,7,60,3600,1.6,6.3,0.2,0.05,10726.9,199.6,43.7,781.4,26.6,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.541,8002.592252745228,148.90764467347952,32.60152340797122,582.9480638670185,19.844405552678133,8786.893890246376,14574.840000000002,1.5,2.1111743503118436,10355.497165248671,1.2,4219.342834751331,0.710505032319303,2.5,1.6,0.0,7522.436717580514,139.97318599307076,30.645432003492946,547.9711800349974,18.653741219517443,8259.680256831592,10.299999981794851,30.899999945384554,30.899999945384554,30.899999945384554,30.899999945384554,0.36364310783605036,0.3665514678785458,0.36662715829574116,0.0987790863699296,5.15,1.9312499954487128,3.218749986346138,5.793749986346138,5.793749986346138,5.793749986346138,9.656249959038414,9.656249959038414,9.656249959038414,15.450000000000001,15.450000000000001,15.450000000000001,94.33849685052907,283.01549055158716,283.01549055158716,283.01549055158716,13.695885402864297,37.370021968099756,0.6369422784453274,2.0872345236131595,5.6951411103138625,-3.607906586700703,2.9938715044924313,1.0,0.41359126359538606,0.087991004752286,0.49841773165232794,2735.4822664809953,5267.109986264232,51.30737678939679,97.60026788408274,11.23544765018598,21.36607575778524,54.12809252090925,528.8199713461092,2852.1531834414873,5934.740706804887,17804.222120414663,3085.495017362471,0.857081949267353,9256.485052087413,12033.430567713638,7270.002147886198,21810.006443658596,28353.008376756177,10355.49716524867,31066.49149574601,40386.43894446982,1.4999999999999998,13.389999976333307,40.16999992899992,40.16999992899992,40.16999992899992,11.142668916651317,41314.77820946003,23239.562729129368,38732.60447552548,61972.16742372525,36628.10748344071,2061.0173219872413,451.3279313102532,2174.3254727218255,123944.33462838011,109884.32245032213,6183.051965961724,1353.9837939307595,6522.976418165476,8206.446799442987,153.92213036819038,33.70634295055794,162.38427756272773,8556.459550324462,15801.329958792696,292.8008036522482,64.09822727335572,1586.4599140383277,59.5332166580344,10668.380839275884,200.0987694786475,43.81824583572532,211.09956083154606,26360.681670739126,20541.728946430507,380.64104474792265,83.32769545536243,2062.3978882498263,77.39318165544472,-0.6335060917396425,222.6776052188973
7,487,2050,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,2.1,7,60,3600,1.6,6.3,0.2,0.05,5184.7,97.0,9.5,503.8,55.1,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.541,5184.7,97.0,9.5,503.8,55.1,5850.1,7180.900000000001,1.5,1.0708411651935081,7180.900000000001,1.2,0.0,1.0,2.5,1.6,0.0,4873.6179999999995,91.17999999999999,8.93,473.572,51.794,5499.094,2.5749877778892256,7.724963333667677,7.724963333667677,7.724963333667677,7.724963333667677,0.3316774304648783,0.33237014022603084,0.33240725280876365,0.08396665780819942,2.5749877778892256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.724963333667677,7.724963333667677,7.724963333667677,99.20002578979106,297.6000773693732,297.6000773693732,297.6000773693732,38.47783106906821,58.652653985685355,0.597434507791539,1.329863095692763,2.02714128714763,-0.6972781914548669,0.42627162827606835,1.0,0.24769059279565214,0.3471469775971781,0.4051624296071698,1616.4690953073791,3568.2309046926207,30.30550938580949,66.69449061419051,2.9683967675822593,6.531603232417741,39.76425807154462,464.0357419284554,1689.5072595323156,4160.592740467685,12481.778221403056,1835.5835879821884,0.5098843299950523,5506.750763946566,7158.775993130535,5345.316412017813,16035.949236053439,20846.734006869472,7180.9000000000015,21542.700000000004,28005.51000000001,1.0708411651935084,3.3474841112559934,10.042452333767981,10.042452333767981,10.042452333767981,2.7976235542524934,6144.586895652644,0.0,0.0,18433.760686957932,5411.104612877802,304.34163345754996,29.809983046155793,399.3306662711355,18433.760686957932,16233.313838633405,913.0249003726499,89.42994913846738,1197.9919988134066,4849.407285922138,90.91652815742847,8.905190302746778,119.29277421463385,5068.521778596947,10704.692714077863,200.08347184257156,19.594809697253222,1392.1072257853662,165.3,6304.229471698779,118.19148660465702,11.576747393570813,155.080606479024,17550.300000000003,13916.100528301222,260.10851339534304,25.473252606429188,1809.7393935209761,214.89000000000001,-0.3439711853710996,288.0472229545703
8,488,2050,1SB,1,SB,Night,7,OP,NT,1.3,55,8800.0,2.1,7,60,3600,1.6,6.3,0.2,0.053191489361702135,2580.0,74.1,30.4,475.3,53.2,1.9012586647805254,1.2875,1.2875,0.9,0.1595744680851064,0.1595744680851064,4.366728861968131,0.535,2451.0,70.395,28.88,451.53499999999997,50.54,3052.35,4255.05,1.5,0.4835284090909091,4255.05,1.2,0.0,1.0,2.5,1.6,0.0,2303.94,66.17129999999999,27.147199999999998,424.44289999999995,47.5076,2869.209,1.2874999999211567,3.86249999976347,3.86249999976347,3.86249999976347,3.86249999976347,0.15957446806814088,0.15957446804279013,0.15957446808385534,0.10917822522340842,1.2874999999211567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86249999976347,3.86249999976347,3.86249999976347,124.27435066236973,372.8230519871091,372.8230519871091,372.8230519871091,54.731137029828325,59.99929446154568,0.556867499857759,1.300015286846268,1.4251485394409074,-0.12513325259463937,0.004876704881362525,1.0,0.007099817921368883,0.8107232140349182,0.18217696804371297,367.6499999609125,2083.3500000390877,10.559249997199876,59.83575000280012,4.331999999966038,24.548000000033962,46.33992253067661,405.19507746932334,428.88117248875506,2623.468827511245,18364.281792578713,551.3435175444401,0.15315097709567782,3859.404622811081,5017.226009654405,3703.70648245556,25925.94537718892,33703.7289903456,4255.05,29785.350000000002,38720.955,0.4835284090909091,1.6737499998975038,5.021249999692511,5.021249999692511,5.021249999692511,1.655131594319657,922.8112124334959,0.0,0.0,6459.678487034473,615.3541873968946,53.02063404519303,21.752054998497425,232.68433599291092,6459.678487034472,4307.479311778263,371.14443831635117,152.26438498948198,1628.7903519503764,2573.549999726388,73.91474998039914,30.323999999762265,324.37945771473625,3002.1682074212854,14583.450000273613,418.8502500196008,171.83600000023773,2836.3655422852635,353.78,3345.614999644304,96.08917497451888,39.42119999969095,421.6932950291571,21366.45,18958.485000355697,544.505325025481,223.38680000030905,3687.2752049708424,459.914,-0.08780365634288882,802.5444708863292
9,489,2050,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,8800.0,2.1,7,60,3600,1.6,6.3,0.2,0.05,5779.8,226.2,100.8,509.5,26.6,1.9012586647805254,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.66,5490.8099999999995,214.89,95.75999999999999,484.025,25.27,6310.755,7950.6449999999995,1.5,0.9034823863636363,7950.6449999999995,1.2,0.0,1.0,2.5,1.6,0.0,5161.361399999999,201.99659999999997,90.01439999999998,454.98349999999994,23.7538,5932.1097,2.574999960427621,7.724999881282863,7.724999881282863,7.724999881282863,7.724999881282863,0.2105668765954625,0.21116238764525883,0.21120629774419394,0.05732310430875011,2.574999960427621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.724999881282863,7.724999881282863,7.724999881282863,108.72500353768459,326.17501061305376,326.17501061305376,326.17501061305376,42.95222333832016,59.801693981099966,0.7801100976775555,1.3043108782947106,1.8159711870005038,-0.5116603087057932,0.27845255817307996,1.0,0.17733313322910155,0.4968148570530736,0.3258520097178249,1086.8117489783833,4403.998251021616,42.65408435222428,172.2359156477757,19.011608167664967,76.74839183233502,26.081066629260203,457.9439333707398,1174.5585081275328,5136.196491872467,5136.196491872467,1350.0520264258316,0.37501445178495324,1350.0520264258316,1755.067634353581,6600.592973574167,6600.592973574167,8580.770865646418,7950.644999999999,7950.644999999999,10335.8385,0.9034823863636362,3.3474999485559076,10.042499845667722,10.042499845667722,10.042499845667722,2.9597366930352034,4519.29908900827,0.0,0.0,4519.29908900827,3638.1022737950943,428.35363552431033,190.92407208967063,261.9191075991952,4519.29908900827,3638.1022737950943,428.35363552431033,190.92407208967063,261.9191075991952,1086.8117489783833,42.65408435222428,19.011608167664967,26.081066629260203,1174.5585081275328,4403.998251021616,172.2359156477757,76.74839183233502,457.9439333707398,25.27,1412.8552736718984,55.450309657891566,24.715090617964456,33.905386618038264,6310.755,5725.1977263281005,223.90669034210842,99.77290938203552,595.3271133819618,32.851,-0.2817557417036547,392.54558834432487
