,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
1,2026.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
2,2026.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
3,2027.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
4,2029.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
5,2030.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
6,2031.0000000000007,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
7,2032.0000000000005,414282329.129,inf,411736899.989,inf,1272714.57,inf,1272714.57,inf,121469668.955,inf,31455.465,,1.449,,0.176,,223500.569,
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,32581.823,0.036,1.563,0.079,0.178,0.011,228397.998,0.022
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,33748.514,0.036,1.687,0.079,0.18,0.011,233402.742,0.022
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,34956.982,0.036,1.82,0.079,0.183,0.017,238517.151,0.022
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,36208.723,0.036,1.963,0.079,0.185,0.011,243743.629,0.022
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,37505.286,0.036,2.118,0.079,0.188,0.016,249084.631,0.022
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,38848.277,0.036,2.285,0.079,0.19,0.011,254542.668,0.022
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,40239.358,0.036,2.466,0.079,0.193,0.016,260120.303,0.022
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,41680.25,0.036,2.66,0.079,0.196,0.016,265820.157,0.022
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,43172.738,0.036,2.87,0.079,0.198,0.01,271644.909,0.022
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,44718.669,0.036,3.097,0.079,0.201,0.015,277597.295,0.022
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,46319.956,0.036,3.341,0.079,0.204,0.015,283680.112,0.022
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,47978.583,0.036,3.604,0.079,0.207,0.015,289896.217,0.022
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,49696.601,0.036,3.889,0.079,0.21,0.014,296248.533,0.022
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,51476.139,0.036,4.196,0.079,0.212,0.01,302740.043,0.022
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,53319.398,0.036,4.527,0.079,0.215,0.014,309373.797,0.022
23,2048.0,0.0,,0.0,,0.0,,0.0,,0.0,,55228.661,0.036,4.884,0.079,0.218,0.014,316152.912,0.022
24,2049.000000000001,0.0,,0.0,,0.0,,0.0,,0.0,,57206.291,0.036,5.269,0.079,0.221,0.014,323080.575,0.022
25,2049.999999999999,3061408418.03,inf,2266330501.169,inf,376259111.109,inf,418818805.751,inf,220206593.265,inf,59254.736,0.036,5.685,0.079,0.224,0.014,330160.038,0.022
