,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
1,2026.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
2,2026.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
3,2027.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
4,2029.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
5,2030.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
6,2031.0000000000007,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
7,2032.0000000000005,352817459.021,inf,350272029.881,inf,1272714.57,inf,1272714.57,inf,103524576.073,inf,34695.239,,1.639,,0.18,,237482.857,
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,35912.098,0.035,1.767,0.078,0.183,0.017,242428.397,0.021
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,37171.637,0.035,1.905,0.078,0.186,0.016,247476.927,0.021
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,38475.351,0.035,2.054,0.078,0.188,0.011,252630.592,0.021
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,39824.789,0.035,2.214,0.078,0.191,0.016,257891.581,0.021
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,41221.557,0.035,2.387,0.078,0.193,0.01,263262.129,0.021
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,42667.313,0.035,2.574,0.078,0.196,0.016,268744.518,0.021
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,44163.776,0.035,2.775,0.078,0.199,0.015,274341.077,0.021
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,45712.724,0.035,2.991,0.078,0.202,0.015,280054.183,0.021
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,47315.998,0.035,3.225,0.078,0.205,0.015,285886.264,0.021
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,48975.503,0.035,3.477,0.078,0.207,0.01,291839.797,0.021
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,50693.211,0.035,3.749,0.078,0.21,0.014,297917.311,0.021
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,52471.165,0.035,4.042,0.078,0.213,0.014,304121.388,0.021
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,54311.477,0.035,4.357,0.078,0.216,0.014,310454.664,0.021
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,56216.333,0.035,4.698,0.078,0.219,0.014,316919.83,0.021
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,58187.998,0.035,5.065,0.078,0.222,0.014,323519.631,0.021
23,2048.0,0.0,,0.0,,0.0,,0.0,,0.0,,60228.815,0.035,5.46,0.078,0.226,0.018,330256.872,0.021
24,2049.000000000001,0.0,,0.0,,0.0,,0.0,,0.0,,62341.209,0.035,5.887,0.078,0.229,0.013,337134.415,0.021
25,2049.999999999999,2541274822.925,inf,1815104792.693,inf,351083617.13,inf,375086413.102,inf,185505022.4,inf,64527.691,0.035,6.347,0.078,0.232,0.013,344155.182,0.021
