,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
1,2026.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
2,2026.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
3,2027.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
4,2029.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
5,2030.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
6,2031.0000000000007,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
7,2032.0000000000005,476675294.581,inf,473605654.762,inf,1534819.91,inf,1534819.91,inf,122392895.769,inf,31616.134,,1.659,,0.176,,223500.569,
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,32756.429,0.036,1.776,0.071,0.179,0.017,228397.998,0.022
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,33937.851,0.036,1.902,0.071,0.181,0.011,233402.742,0.022
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,35161.884,0.036,2.037,0.071,0.184,0.017,238517.151,0.022
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,36430.063,0.036,2.181,0.071,0.187,0.016,243743.629,0.022
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,37743.982,0.036,2.336,0.071,0.189,0.011,249084.631,0.022
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,39105.289,0.036,2.501,0.071,0.192,0.016,254542.668,0.022
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,40515.695,0.036,2.679,0.071,0.194,0.01,260120.303,0.022
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,41976.97,0.036,2.868,0.071,0.197,0.015,265820.157,0.022
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,43490.948,0.036,3.072,0.071,0.2,0.015,271644.909,0.022
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,45059.531,0.036,3.289,0.071,0.203,0.015,277597.295,0.022
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,46684.688,0.036,3.522,0.071,0.206,0.015,283680.112,0.022
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,48368.459,0.036,3.772,0.071,0.208,0.01,289896.217,0.022
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,50112.958,0.036,4.039,0.071,0.211,0.014,296248.533,0.022
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,51920.376,0.036,4.325,0.071,0.214,0.014,302740.043,0.022
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,53792.982,0.036,4.632,0.071,0.217,0.014,309373.797,0.022
23,2048.0,0.0,,0.0,,0.0,,0.0,,0.0,,55733.127,0.036,4.96,0.071,0.22,0.014,316152.912,0.022
24,2049.000000000001,0.0,,0.0,,0.0,,0.0,,0.0,,57743.247,0.036,5.311,0.071,0.223,0.014,323080.575,0.022
25,2049.999999999999,3092405183.413,inf,2288558580.749,inf,381132123.309,inf,422714479.355,inf,221415383.703,inf,59825.866,0.036,5.687,0.071,0.226,0.013,330160.038,0.022
