,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
1,2026.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
2,2026.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
3,2027.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
4,2029.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
5,2030.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
6,2031.0000000000007,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,
7,2032.0000000000005,502112660.634,inf,487703929.572,inf,6570258.352,inf,7838472.711,inf,118717675.813,inf,31445.142,,1.757,,0.175,,223500.569,
8,2033.0000000000007,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,32619.384,0.037,1.88,0.07,0.178,0.017,228397.998,0.022
9,2034.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,33837.475,0.037,2.011,0.07,0.181,0.017,233402.742,0.022
10,2034.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,35101.052,0.037,2.152,0.07,0.184,0.017,238517.151,0.022
11,2035.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,36411.815,0.037,2.303,0.07,0.186,0.011,243743.629,0.022
12,2036.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,37771.525,0.037,2.464,0.07,0.189,0.016,249084.631,0.022
13,2038.0000000000005,0.0,,0.0,,0.0,,0.0,,0.0,,39182.01,0.037,2.636,0.07,0.192,0.016,254542.668,0.022
14,2038.999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,40645.166,0.037,2.821,0.07,0.195,0.016,260120.303,0.022
15,2039.9999999999998,0.0,,0.0,,0.0,,0.0,,0.0,,42162.96,0.037,3.018,0.07,0.198,0.015,265820.157,0.022
16,2041.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,43737.432,0.037,3.229,0.07,0.201,0.015,271644.909,0.022
17,2041.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,45370.699,0.037,3.455,0.07,0.204,0.015,277597.295,0.022
18,2043.0,0.0,,0.0,,0.0,,0.0,,0.0,,47064.956,0.037,3.697,0.07,0.207,0.015,283680.112,0.022
19,2044.0000000000002,0.0,,0.0,,0.0,,0.0,,0.0,,48822.482,0.037,3.956,0.07,0.21,0.014,289896.217,0.022
20,2044.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,50645.637,0.037,4.232,0.07,0.214,0.019,296248.533,0.022
21,2045.9999999999993,0.0,,0.0,,0.0,,0.0,,0.0,,52536.874,0.037,4.529,0.07,0.217,0.014,302740.043,0.022
22,2046.9999999999995,0.0,,0.0,,0.0,,0.0,,0.0,,54498.735,0.037,4.845,0.07,0.22,0.014,309373.797,0.022
23,2048.0,0.0,,0.0,,0.0,,0.0,,0.0,,56533.857,0.037,5.184,0.07,0.223,0.014,316152.912,0.022
24,2049.000000000001,0.0,,0.0,,0.0,,0.0,,0.0,,58644.975,0.037,5.547,0.07,0.227,0.018,323080.575,0.022
25,2049.999999999999,3281629738.602,inf,2343641322.241,inf,424092735.895,inf,513895680.465,inf,223295798.837,inf,60834.927,0.037,5.935,0.07,0.23,0.013,330160.038,0.022
