,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,223392423.503,,223392423.302,,0.101,,0.101,,73061815.174,,19136.247,,1.284,,0.131,,181817.462,
1,2026.0,252346664.205,0.13,251405747.611,0.125,1.315,12.02,1.328,12.149,77278617.937,0.058,20152.397,0.053,1.378,0.073,0.134,0.023,187258.586,0.03
2,2026.9999999999995,285053709.239,0.13,282931932.058,0.125,17.189,12.071,17.508,12.184,81738795.785,0.058,21222.504,0.053,1.478,0.073,0.137,0.022,192862.543,0.03
3,2027.999999999999,321999965.432,0.13,318411487.959,0.125,224.604,12.067,230.887,12.188,86456395.246,0.058,22349.436,0.053,1.585,0.072,0.14,0.022,198634.206,0.03
4,2029.0,363734883.56,0.13,358340166.579,0.125,2934.929,12.067,3044.892,12.188,91446273.549,0.058,23536.208,0.053,1.7,0.073,0.144,0.029,204578.593,0.03
5,2030.0,410879129.569,0.13,403275886.202,0.125,38351.043,12.067,40155.509,12.188,96724145.417,0.058,24785.999,0.053,1.824,0.073,0.147,0.021,210700.874,0.03
6,2031.0000000000007,464133814.891,0.13,453846527.853,0.125,501137.385,12.067,529563.861,12.188,102306632.557,0.058,26102.155,0.053,1.956,0.072,0.15,0.02,217006.371,0.03
7,2032.0000000000005,524290923.103,0.13,510758708.596,0.125,6548418.44,12.067,6983796.068,12.188,108211316.006,0.058,27488.199,0.053,2.099,0.073,0.153,0.02,223500.569,0.03
8,2033.0000000000007,600892621.064,0.146,572950433.916,0.122,9567659.856,0.461,10196977.479,0.46,115196942.591,0.065,29379.456,0.069,2.25,0.072,0.16,0.046,228825.851,0.024
9,2034.0000000000002,688686235.329,0.146,642714836.183,0.122,13978965.449,0.461,14888514.6,0.46,122633529.211,0.065,31400.837,0.069,2.413,0.072,0.167,0.044,234278.017,0.024
10,2034.9999999999993,789306964.515,0.146,720973990.414,0.122,20424166.199,0.461,21738585.52,0.46,130550187.777,0.065,33561.293,0.069,2.588,0.073,0.175,0.048,239860.091,0.024
11,2035.9999999999998,904628918.471,0.146,808762246.63,0.122,29841018.382,0.461,31740312.122,0.46,138977909.536,0.065,35870.395,0.069,2.775,0.072,0.182,0.04,245575.166,0.024
12,2036.999999999999,1036800024.485,0.146,907239900.843,0.122,43599644.137,0.461,46343742.682,0.46,147949686.384,0.065,38338.368,0.069,2.976,0.072,0.19,0.044,251426.413,0.024
13,2038.0000000000005,1188282033.464,0.146,1017708530.673,0.122,63701879.893,0.461,67666079.573,0.46,157500640.024,0.065,40976.144,0.069,3.191,0.072,0.199,0.047,257417.076,0.024
14,2038.999999999999,1361896371.245,0.146,1141628198.277,0.122,93072537.225,0.461,98798630.836,0.46,167668159.454,0.065,43795.406,0.069,3.422,0.072,0.207,0.04,263550.477,0.024
15,2039.9999999999998,1560876689.017,0.146,1280636747.969,0.122,135984953.663,0.461,144254987.384,0.46,178492047.338,0.065,46808.64,0.069,3.669,0.072,0.216,0.043,269830.016,0.024
16,2041.0000000000002,1685279013.89,0.08,1364250706.665,0.065,152825523.128,0.124,163765281.029,0.135,182146325.737,0.02,47916.18,0.024,3.87,0.055,0.217,0.005,275330.095,0.02
17,2041.9999999999995,1819596240.141,0.08,1453323898.122,0.065,171751652.592,0.124,185914315.733,0.135,185875418.396,0.02,49049.926,0.024,4.082,0.055,0.218,0.005,280942.284,0.02
18,2043.0,1964618588.284,0.08,1548212760.7,0.065,193021620.763,0.124,211058977.686,0.135,189680856.994,0.02,50210.497,0.024,4.305,0.055,0.219,0.005,286668.869,0.02
19,2044.0000000000002,2121199259.641,0.08,1649297004.949,0.065,216925691.949,0.124,239604421.458,0.135,193564204.565,0.02,51398.528,0.024,4.541,0.055,0.219,0.0,292512.182,0.02
20,2044.9999999999993,2290259455.925,0.08,1756981133.073,0.065,243790077.203,0.124,272010598.23,0.135,197527056.143,0.02,52614.67,0.024,4.789,0.055,0.22,0.005,298474.603,0.02
21,2045.9999999999993,2472793798.89,0.08,1871696057.601,0.065,273981386.015,0.124,308799666.964,0.135,201571039.42,0.02,53859.586,0.024,5.052,0.055,0.221,0.005,304558.558,0.02
22,2046.9999999999995,2669876181.937,0.08,1993900825.737,0.065,307911629.317,0.124,350564407.922,0.135,205697815.409,0.02,55133.959,0.024,5.328,0.055,0.222,0.005,310766.525,0.02
23,2048.0,2882666088.08,0.08,2124084456.303,0.065,346043842.057,0.124,397977774.102,0.135,209909079.131,0.02,56438.484,0.024,5.62,0.055,0.222,0.0,317101.033,0.02
24,2049.000000000001,3112415411.466,0.08,2262767896.614,0.065,388898402.087,0.124,451803734.493,0.135,214206560.307,0.02,57773.876,0.024,5.928,0.055,0.223,0.005,323564.66,0.02
25,2049.999999999999,3360475822.569,0.08,2410506107.114,0.065,437060131.591,0.124,512909583.863,0.135,218592024.074,0.02,59140.865,0.024,6.252,0.055,0.224,0.004,330160.038,0.02
26,2050.999999999999,3643953289.317,0.084,2553407787.959,0.059,486628820.018,0.113,587253798.12,0.145,223304483.284,0.022,60486.738,0.023,6.629,0.06,0.226,0.009,334824.279,0.014
27,2052.0,3951343879.8,0.084,2704781088.241,0.059,541819286.077,0.113,672373912.003,0.145,228118534.819,0.022,61863.24,0.023,7.028,0.06,0.228,0.009,339554.412,0.014
28,2053.0000000000005,4284664817.798,0.084,2865128229.734,0.059,603269117.424,0.113,769831849.518,0.145,233036368.829,0.022,63271.067,0.023,7.451,0.06,0.23,0.009,344351.369,0.014
29,2053.999999999999,4646103492.719,0.084,3034981207.354,0.059,671688213.007,0.113,881415929.369,0.145,238060222.684,0.022,64710.932,0.023,7.9,0.06,0.232,0.009,349216.094,0.014
30,2054.9999999999995,5038031814.155,0.084,3214903554.194,0.059,747866984.173,0.113,1009173679.981,0.145,243192381.982,0.022,66183.564,0.023,8.376,0.06,0.234,0.009,354149.544,0.014
31,2055.999999999999,5463021777.327,0.084,3405492211.196,0.059,832685485.892,0.113,1155449410.923,0.145,248435181.601,0.022,67689.709,0.023,8.88,0.06,0.236,0.009,359152.689,0.014
32,2057.000000000001,5923862341.578,0.084,3607379507.664,0.059,927123583.59,0.113,1322927230.155,0.145,253791006.749,0.022,69230.129,0.023,9.415,0.06,0.238,0.008,364226.515,0.014
33,2058.0,6423577732.677,0.084,3821235259.188,0.059,1032272273.039,0.113,1514680296.463,0.145,259262294.058,0.022,70805.605,0.023,9.982,0.06,0.24,0.008,369372.02,0.014
34,2058.9999999999995,6965447289.033,0.084,4047768989.939,0.059,1149346284.084,0.113,1734227210.837,0.145,264851532.69,0.022,72416.934,0.023,10.583,0.06,0.242,0.008,374590.217,0.014
35,2060.000000000001,7553026982.064,0.084,4287732286.704,0.059,1279698113.802,0.113,1985596581.558,0.145,270561265.467,0.022,74064.933,0.023,11.221,0.06,0.244,0.008,379882.132,0.014
