,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,349038539.32,,349038539.32,,0.0,,0.0,,141948117.736,,22576.529,,0.976,,0.163,
1,2026.0,390795000.167,0.12,390427260.399,0.119,0.0,,0.0,,147975566.578,0.042,23478.949,0.04,1.051,0.077,0.165,0.012
2,2026.9999999999995,437546903.711,0.12,436723824.135,0.119,0.0,,0.0,,154258954.986,0.042,24417.44,0.04,1.131,0.076,0.167,0.012
3,2027.999999999999,489891868.793,0.12,488510198.73,0.119,0.0,,0.0,,160809150.752,0.042,25393.445,0.04,1.218,0.077,0.169,0.012
4,2029.0,548499009.076,0.12,546437361.727,0.119,0.0,,0.0,,167637483.139,0.042,26408.462,0.04,1.311,0.076,0.171,0.012
5,2030.0,614117486.168,0.12,611233483.082,0.119,0.0,,0.0,,174755762.478,0.042,27464.05,0.04,1.412,0.077,0.172,0.006
6,2031.0000000000007,687586085.986,0.12,683713078.585,0.119,0.0,,0.0,,182176300.595,0.042,28561.833,0.04,1.52,0.076,0.174,0.012
7,2032.0000000000005,769843940.76,0.12,764787248.682,0.119,1896259.54,inf,3160432.538,inf,189911932.104,0.042,29703.495,0.04,1.636,0.076,0.176,0.011
8,2033.0000000000007,865092354.785,0.124,847060757.097,0.108,3155269.721,0.664,4947768.381,0.566,197144078.335,0.038,30881.05,0.04,1.768,0.081,0.18,0.023
9,2034.0000000000002,972125313.566,0.124,938185001.711,0.108,5250192.183,0.664,7745905.557,0.566,204651636.113,0.038,32105.287,0.04,1.911,0.081,0.184,0.022
10,2034.9999999999993,1092400851.826,0.124,1039112118.064,0.108,8736025.886,0.664,12126487.795,0.566,212445093.546,0.038,33378.057,0.04,2.066,0.081,0.189,0.027
11,2035.9999999999998,1227557398.638,0.124,1150896669.568,0.108,14536258.028,0.664,18984443.481,0.566,220535338.142,0.038,34701.284,0.04,2.233,0.081,0.193,0.021
12,2036.999999999999,1379436096.586,0.124,1274706666.39,0.108,24187519.615,0.664,29720814.5,0.566,228933672.027,0.038,36076.969,0.04,2.414,0.081,0.198,0.026
13,2038.0000000000005,1550105882.36,0.124,1411835769.712,0.108,40246678.614,0.664,46528981.236,0.566,237651827.726,0.038,37507.192,0.04,2.609,0.081,0.202,0.02
14,2038.999999999999,1741891670.427,0.124,1563716808.89,0.108,66968220.193,0.664,72842757.889,0.566,246701984.56,0.038,38994.113,0.04,2.82,0.081,0.207,0.025
15,2039.9999999999998,1957406023.698,0.124,1731936752.745,0.108,111431369.499,0.664,114037901.453,0.566,256096785.655,0.038,40539.981,0.04,3.048,0.081,0.212,0.024
16,2041.0000000000002,2058307137.37,0.052,1811162841.403,0.046,121048487.307,0.086,124389295.686,0.091,259586150.087,0.014,41140.803,0.015,3.158,0.036,0.212,0.0
17,2041.9999999999995,2164409540.206,0.052,1894013065.362,0.046,131495613.355,0.086,135680301.76,0.091,263123057.732,0.014,41750.529,0.015,3.273,0.036,0.212,0.0
18,2043.0,2275981350.247,0.052,1980653207.848,0.046,142844381.755,0.086,147996209.676,0.091,266708156.375,0.014,42369.292,0.015,3.391,0.036,0.213,0.005
19,2044.0000000000002,2393304506.585,0.052,2071256635.714,0.046,155172609.019,0.086,161430051.335,0.091,270342102.628,0.014,42997.225,0.015,3.514,0.036,0.213,0.0
20,2044.9999999999993,2516675481.819,0.052,2166004646.34,0.046,168564827.639,0.086,176083303.29,0.091,274025562.047,0.014,43634.464,0.015,3.641,0.036,0.213,0.0
21,2045.9999999999993,2646406031.226,0.052,2265086830.417,0.046,183112865.709,0.086,192066653.273,0.091,277759209.258,0.014,44281.148,0.015,3.773,0.036,0.213,0.0
22,2046.9999999999995,2782823980.566,0.052,2368701451.308,0.046,198916476.573,0.086,209500836.309,0.091,281543728.079,0.014,44937.415,0.015,3.909,0.036,0.213,0.0
23,2048.0,2926274054.487,0.052,2477055841.783,0.046,216084022.819,0.086,228517546.729,0.091,285379811.645,0.014,45603.409,0.015,4.051,0.036,0.214,0.005
24,2049.000000000001,3077118747.633,0.052,2590366818.885,0.046,234733219.299,0.086,249260432.955,0.091,289268162.534,0.014,46279.273,0.015,4.197,0.036,0.214,0.0
25,2049.999999999999,3235739240.662,0.052,2708861117.781,0.046,254991940.282,0.086,271886182.599,0.091,293209492.899,0.014,46965.154,0.015,4.349,0.036,0.214,0.0
