,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,178196766.249,,178196766.249,,0.0,,0.0,,76423961.807,,26300.499,,1.092,,0.168,
1,2026.0,199622797.463,0.12,199255257.43,0.118,0.0,,0.0,,79515517.868,0.04,27243.579,0.036,1.181,0.082,0.169,0.006
2,2026.9999999999995,223625052.834,0.12,222802346.246,0.118,0.0,,0.0,,82732135.737,0.04,28220.477,0.036,1.277,0.081,0.17,0.006
3,2027.999999999999,250513292.521,0.12,249132123.954,0.118,0.0,,0.0,,86078874.504,0.04,29232.404,0.036,1.381,0.081,0.171,0.006
4,2029.0,280634521.645,0.12,278573436.195,0.118,0.0,,0.0,,89560997.91,0.04,30280.616,0.036,1.494,0.082,0.173,0.012
5,2030.0,314377468.542,0.12,311493990.103,0.118,0.0,,0.0,,93183982.63,0.04,31366.415,0.036,1.615,0.081,0.174,0.006
6,2031.0000000000007,352177601.486,0.12,348304946.787,0.118,0.0,,0.0,,96953526.887,0.04,32491.149,0.036,1.747,0.082,0.175,0.006
7,2032.0000000000005,394522748.603,0.12,389466056.525,0.118,1896259.54,inf,3160432.538,inf,100875559.409,0.04,33656.213,0.036,1.889,0.081,0.176,0.006
8,2033.0000000000007,445778137.386,0.13,431666804.336,0.108,3027129.194,0.596,4742644.069,0.501,105348030.754,0.044,35284.223,0.048,2.036,0.078,0.182,0.034
9,2034.0000000000002,503692495.49,0.13,478440230.782,0.108,4832414.005,0.596,7116960.257,0.501,110018795.918,0.044,36990.981,0.048,2.194,0.078,0.187,0.027
10,2034.9999999999993,569130939.217,0.13,530281810.257,0.108,7714313.998,0.596,10679933.506,0.501,114896646.559,0.044,38780.299,0.048,2.365,0.078,0.193,0.032
11,2035.9999999999998,643070978.572,0.13,587740704.475,0.108,12314888.666,0.596,16026642.776,0.501,119990764.126,0.044,40656.169,0.048,2.549,0.078,0.199,0.031
12,2036.999999999999,726617119.165,0.13,651425579.786,0.108,19659101.624,0.596,24050082.197,0.501,125310737.144,0.044,42622.778,0.048,2.747,0.078,0.205,0.03
13,2038.0000000000005,821017361.157,0.13,722011054.822,0.108,31383172.611,0.596,36090306.732,0.501,130866579.256,0.044,44684.516,0.048,2.961,0.078,0.211,0.029
14,2038.999999999999,927681841.705,0.13,800244846.782,0.108,50099111.442,0.596,54158244.838,0.501,136668748.078,0.044,46845.983,0.048,3.191,0.078,0.218,0.033
15,2039.9999999999998,1048203899.386,0.13,886955692.054,0.108,79976648.581,0.596,81271558.751,0.501,142728164.879,0.044,49112.004,0.048,3.44,0.078,0.225,0.032
16,2041.0000000000002,1104321502.835,0.054,928394111.994,0.047,86460549.905,0.081,88529181.004,0.089,144703856.861,0.014,49878.385,0.016,3.568,0.037,0.225,0.0
17,2041.9999999999995,1163443469.67,0.054,971768527.905,0.047,93470116.872,0.081,96434915.359,0.089,146706897.045,0.014,50656.725,0.016,3.701,0.037,0.225,0.0
18,2043.0,1225730644.24,0.054,1017169389.193,0.047,101047966.474,0.081,105046638.801,0.089,148737663.996,0.014,51447.212,0.016,3.84,0.038,0.226,0.004
19,2044.0000000000002,1291352482.003,0.054,1064691371.043,0.047,109240170.765,0.081,114427396.782,0.089,150796541.516,0.014,52250.033,0.016,3.983,0.037,0.226,0.0
20,2044.9999999999993,1360487510.541,0.054,1114433571.848,0.047,118096536.972,0.081,124645864.767,0.089,152883918.721,0.014,53065.382,0.016,4.132,0.037,0.227,0.004
21,2045.9999999999993,1433323815.251,0.054,1166499719.863,0.047,127670910.318,0.081,135776851.004,0.089,155000190.114,0.014,53893.455,0.016,4.286,0.037,0.227,0.0
22,2046.9999999999995,1510059551.041,0.054,1220998389.509,0.047,138021501.387,0.081,147901844.18,0.089,157145755.659,0.014,54734.449,0.016,4.446,0.037,0.228,0.004
23,2048.0,1590903481.424,0.054,1278043227.784,0.047,149211240.036,0.081,161109609.997,0.089,159321020.854,0.014,55588.567,0.016,4.612,0.037,0.228,0.0
24,2049.000000000001,1676075546.466,0.054,1337753191.256,0.047,161308158.0,0.081,175496841.012,0.089,161526396.812,0.014,56456.014,0.016,4.785,0.038,0.229,0.004
25,2049.999999999999,1765807461.146,0.054,1400252794.124,0.047,174385802.51,0.081,191168864.512,0.089,163762300.337,0.014,57336.996,0.016,4.963,0.037,0.229,0.0
