,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,132764850.529,,132764850.529,,0.0,,0.0,,50895440.177,,20280.541,,0.969,,0.159,
1,2026.0,148039765.035,0.115,148039765.035,0.115,0.0,,0.0,,53371873.562,0.049,21262.384,0.048,1.031,0.064,0.162,0.019
2,2026.9999999999995,165072095.094,0.115,165072095.094,0.115,0.0,,0.0,,55968803.445,0.049,22291.762,0.048,1.097,0.064,0.165,0.019
3,2027.999999999999,184064035.58,0.115,184064035.58,0.115,0.0,,0.0,,58692092.857,0.049,23370.975,0.048,1.166,0.063,0.168,0.018
4,2029.0,205241044.374,0.115,205241044.374,0.115,0.0,,0.0,,61547890.108,0.049,24502.436,0.048,1.24,0.063,0.171,0.018
5,2030.0,228854518.824,0.115,228854518.824,0.115,0.0,,0.0,,64542642.67,0.049,25688.675,0.048,1.319,0.064,0.175,0.023
6,2031.0000000000007,255184780.151,0.115,255184780.151,0.115,0.0,,0.0,,67683111.727,0.049,26932.343,0.048,1.403,0.064,0.178,0.017
7,2032.0000000000005,284544401.199,0.115,284544401.199,0.115,0.0,,0.0,,70976387.449,0.049,28236.221,0.048,1.492,0.063,0.182,0.022
8,2033.0000000000007,316662075.516,0.113,312695222.419,0.099,0.0,,0.0,,72898454.27,0.027,29028.143,0.028,1.616,0.083,0.184,0.011
9,2034.0000000000002,352405001.284,0.113,343631087.844,0.099,0.0,,0.0,,74872571.371,0.027,29842.275,0.028,1.749,0.082,0.187,0.016
10,2034.9999999999993,392182375.259,0.113,377627530.154,0.099,0.0,,0.0,,76900148.294,0.027,30679.24,0.028,1.893,0.082,0.19,0.016
11,2035.9999999999998,436449581.882,0.113,414987341.293,0.099,0.0,,0.0,,78982632.749,0.027,31539.68,0.028,2.049,0.082,0.193,0.016
12,2036.999999999999,485713406.676,0.113,456043269.311,0.099,0.0,,0.0,,81121511.654,0.027,32424.251,0.028,2.218,0.082,0.196,0.016
13,2038.0000000000005,540537838.087,0.113,501160982.01,0.099,0.0,,0.0,,83318312.191,0.027,33333.632,0.028,2.401,0.083,0.199,0.015
14,2038.999999999999,601550524.215,0.113,550742323.789,0.099,0.0,,0.0,,85574602.898,0.027,34268.517,0.028,2.6,0.083,0.202,0.015
15,2039.9999999999998,669449958.329,0.113,605228894.709,0.099,31454720.918,inf,32766342.702,inf,87891994.792,0.027,35229.622,0.028,2.814,0.082,0.205,0.015
16,2041.0000000000002,700494766.195,0.046,629596162.781,0.04,34425809.936,0.094,35720233.758,0.09,88797644.319,0.01,35582.735,0.01,2.915,0.036,0.204,-0.005
17,2041.9999999999995,732979233.714,0.046,654944487.373,0.04,37677536.317,0.094,38940418.567,0.09,89712625.766,0.01,35939.386,0.01,3.02,0.036,0.204,0.0
18,2043.0,766970123.096,0.046,681313367.041,0.04,41236407.961,0.094,42450903.553,0.09,90637035.29,0.01,36299.612,0.01,3.129,0.036,0.203,-0.005
19,2044.0000000000002,802537292.552,0.046,708743890.602,0.04,45131436.6,0.094,46277859.325,0.09,91570970.039,0.01,36663.449,0.01,3.242,0.036,0.203,0.0
20,2044.9999999999993,839753839.871,0.046,737278801.158,0.04,49394374.299,0.094,50449815.774,0.09,92514528.163,0.01,37030.933,0.01,3.358,0.036,0.202,-0.005
21,2045.9999999999993,878696252.652,0.046,766962562.705,0.04,54059972.299,0.094,54997874.767,0.09,93467808.821,0.01,37402.1,0.01,3.479,0.036,0.202,0.0
22,2046.9999999999995,919444565.496,0.046,797841429.412,0.04,59166264.305,0.094,59955942.008,0.09,94430912.196,0.01,37776.988,0.01,3.604,0.036,0.202,0.0
23,2048.0,962082524.501,0.046,829963517.698,0.04,64754876.537,0.094,65360979.807,0.09,95403939.502,0.01,38155.633,0.01,3.734,0.036,0.201,-0.005
24,2049.000000000001,1006697759.37,0.046,863378881.212,0.04,70871367.063,0.094,71253282.632,0.09,96386992.997,0.01,38538.073,0.01,3.869,0.036,0.201,0.0
25,2049.999999999999,1053381963.513,0.046,898139588.823,0.04,77565597.188,0.094,77676777.503,0.09,97380175.992,0.01,38924.346,0.01,4.008,0.036,0.2,-0.005
