,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,202634623.622,,202634623.622,,0.0,,0.0,,89466554.603,,23771.608,,0.938,,0.163,
1,2026.0,227625850.163,0.123,227625850.151,0.123,0.0,,0.0,,93036753.372,0.04,24644.566,0.037,1.016,0.083,0.164,0.006
2,2026.9999999999995,255699281.477,0.123,255699281.448,0.123,0.0,,0.0,,96749422.356,0.04,25549.582,0.037,1.101,0.084,0.165,0.006
3,2027.999999999999,287235050.417,0.123,287235050.369,0.123,0.0,,0.0,,100610246.886,0.04,26487.832,0.037,1.193,0.084,0.167,0.012
4,2029.0,322660172.181,0.123,322660172.109,0.123,0.0,,0.0,,104625139.168,0.04,27460.537,0.037,1.293,0.084,0.168,0.006
5,2030.0,362454326.381,0.123,362454326.281,0.123,0.0,,0.0,,108800247.338,0.04,28468.963,0.037,1.401,0.084,0.169,0.006
6,2031.0000000000007,407156352.222,0.123,407156352.087,0.123,0.0,,0.0,,113141964.875,0.04,29514.421,0.037,1.518,0.084,0.17,0.006
7,2032.0000000000005,457371544.74,0.123,457371544.562,0.123,0.089,inf,0.089,inf,117656940.393,0.04,30598.27,0.037,1.645,0.084,0.172,0.012
8,2033.0000000000007,512316554.328,0.12,504180540.167,0.102,1.145,11.865,1.146,11.876,122208186.064,0.039,31845.929,0.041,1.77,0.076,0.176,0.023
9,2034.0000000000002,573862223.955,0.12,555780131.285,0.102,14.762,11.893,14.798,11.913,126935484.563,0.039,33144.462,0.041,1.905,0.076,0.18,0.023
10,2034.9999999999993,642801504.853,0.12,612660604.133,0.102,190.322,11.893,191.023,11.909,131845646.026,0.039,34495.942,0.041,2.05,0.076,0.185,0.028
11,2035.9999999999998,720022607.157,0.12,675362422.528,0.102,2453.738,11.893,2465.794,11.908,136945744.02,0.039,35902.53,0.041,2.207,0.077,0.189,0.022
12,2036.999999999999,806520443.563,0.12,744481363.229,0.102,31634.902,11.893,31829.314,11.908,142243125.734,0.039,37366.473,0.041,2.375,0.076,0.194,0.026
13,2038.0000000000005,903409447.73,0.12,820674176.869,0.102,407854.127,11.893,410863.732,11.908,147745422.565,0.039,38890.108,0.041,2.556,0.076,0.199,0.026
14,2038.999999999999,1011937932.587,0.12,904664828.221,0.102,5258274.145,11.893,5303570.271,11.908,153460561.107,0.039,40475.87,0.041,2.751,0.076,0.204,0.025
15,2039.9999999999998,1133504173.53,0.12,997251375.134,0.102,67792490.4,11.893,68460307.995,11.908,159396774.577,0.039,42126.292,0.041,2.961,0.076,0.209,0.025
16,2041.0000000000002,1184271448.729,0.045,1039648958.627,0.043,71908998.08,0.061,72546217.28,0.06,161470525.735,0.013,42791.396,0.016,3.045,0.028,0.209,0.0
17,2041.9999999999995,1237312483.735,0.045,1083849051.628,0.043,76275469.073,0.061,76875985.455,0.06,163571256.384,0.013,43467.002,0.016,3.132,0.029,0.21,0.005
18,2043.0,1292729115.483,0.045,1129928286.819,0.043,80907081.696,0.061,81464166.723,0.06,165699317.528,0.013,44153.273,0.016,3.221,0.028,0.21,0.0
19,2044.0000000000002,1350627741.968,0.045,1177966554.878,0.043,85819935.925,0.061,86326183.926,0.06,167855064.735,0.013,44850.38,0.016,3.313,0.029,0.211,0.005
20,2044.9999999999993,1411119526.533,0.045,1228047142.99,0.043,91031109.364,0.061,91478380.385,0.06,170038858.202,0.013,45558.493,0.016,3.408,0.029,0.211,0.0
21,2045.9999999999993,1474320611.288,0.045,1280256879.247,0.043,96558716.605,0.061,96938074.838,0.06,172251062.809,0.013,46277.786,0.016,3.505,0.028,0.212,0.005
22,2046.9999999999995,1540352340.11,0.045,1334686283.19,0.043,102421972.198,0.061,102723619.654,0.06,174492048.186,0.013,47008.436,0.016,3.605,0.029,0.212,0.0
23,2048.0,1609341491.61,0.045,1391429722.747,0.043,108641257.441,0.061,108854462.527,0.06,176762188.771,0.013,47750.621,0.016,3.708,0.029,0.213,0.005
24,2049.000000000001,1681420522.549,0.045,1450585577.845,0.043,115238191.231,0.061,115351211.843,0.06,179061863.872,0.013,48504.524,0.016,3.814,0.029,0.214,0.005
25,2049.999999999999,1756727822.149,0.045,1512256410.981,0.043,122235705.21,0.061,122235705.958,0.06,181391457.734,0.013,49270.33,0.016,3.923,0.029,0.214,0.0
