,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,167474754.819,,167474754.819,,0.0,,0.0,,75178094.896,,25767.291,,1.047,,0.164,
1,2026.0,188089849.209,0.123,188089849.196,0.123,0.0,,0.0,,78321969.439,0.042,26776.457,0.039,1.132,0.081,0.166,0.012
2,2026.9999999999995,211242532.724,0.123,211242532.696,0.123,0.0,,0.0,,81597317.748,0.042,27825.147,0.039,1.223,0.08,0.168,0.012
3,2027.999999999999,237245166.708,0.123,237245166.66,0.123,0.0,,0.0,,85009637.925,0.042,28914.908,0.039,1.322,0.081,0.17,0.012
4,2029.0,266448562.231,0.123,266448562.159,0.123,0.0,,0.0,,88564658.001,0.042,30047.349,0.039,1.429,0.081,0.171,0.006
5,2030.0,299246713.01,0.123,299246712.909,0.123,0.0,,0.0,,92268345.546,0.042,31224.141,0.039,1.545,0.081,0.173,0.012
6,2031.0000000000007,336082110.924,0.123,336082110.789,0.123,0.0,,0.0,,96126917.69,0.042,32447.023,0.039,1.669,0.08,0.175,0.012
7,2032.0000000000005,377451715.834,0.123,377451715.657,0.123,0.089,inf,0.089,inf,100146851.553,0.042,33717.798,0.039,1.804,0.081,0.177,0.011
8,2033.0000000000007,422291543.679,0.119,413978313.594,0.097,1.145,11.865,1.146,11.876,103999538.67,0.038,35111.872,0.041,1.938,0.074,0.181,0.023
9,2034.0000000000002,472458172.48,0.119,454039648.034,0.097,14.762,11.893,14.798,11.913,108000440.112,0.038,36563.585,0.041,2.082,0.074,0.186,0.028
10,2034.9999999999993,528584405.926,0.119,497977781.001,0.097,190.322,11.893,191.023,11.909,112155257.74,0.038,38075.319,0.041,2.237,0.074,0.191,0.027
11,2035.9999999999998,591378222.376,0.119,546167876.407,0.097,2453.738,11.893,2465.794,11.908,116469912.767,0.038,39649.557,0.041,2.404,0.075,0.196,0.026
12,2036.999999999999,661631705.325,0.119,599021403.363,0.097,31634.902,11.893,31829.314,11.908,120950554.2,0.038,41288.882,0.041,2.583,0.074,0.201,0.026
13,2038.0000000000005,740231034.771,0.119,656989649.496,0.097,407854.127,11.893,410863.732,11.908,125603567.596,0.038,42995.985,0.041,2.775,0.074,0.206,0.025
14,2038.999999999999,828167665.529,0.119,720567574.25,0.097,5258274.145,11.893,5303570.271,11.908,130435584.172,0.038,44773.67,0.041,2.981,0.074,0.211,0.024
15,2039.9999999999998,926550833.47,0.119,790298035.074,0.097,67792490.4,11.893,68460307.995,11.908,135453490.246,0.038,46624.853,0.041,3.203,0.074,0.217,0.028
16,2041.0000000000002,966603757.136,0.043,822296720.736,0.04,71756621.009,0.058,72392489.926,0.057,136944786.434,0.011,47233.075,0.013,3.298,0.03,0.217,0.0
17,2041.9999999999995,1008388087.905,0.043,855591013.674,0.04,75952552.093,0.058,76550526.153,0.057,138452501.28,0.011,47849.232,0.013,3.396,0.03,0.218,0.005
18,2043.0,1051978671.013,0.043,890233372.235,0.04,80393838.065,0.058,80947389.16,0.057,139976815.545,0.011,48473.426,0.013,3.498,0.03,0.218,0.0
19,2044.0000000000002,1097453587.107,0.043,926278378.777,0.04,85094825.923,0.058,85596796.536,0.057,141517911.985,0.011,49105.763,0.013,3.602,0.03,0.218,0.0
20,2044.9999999999993,1144894292.099,0.043,963782825.659,0.04,90070701.6,0.058,90513253.773,0.057,143075975.364,0.011,49746.349,0.013,3.709,0.03,0.218,0.0
21,2045.9999999999993,1194385763.08,0.043,1002805804.733,0.04,95337539.019,0.058,95712099.518,0.057,144651192.484,0.011,50395.291,0.013,3.82,0.03,0.219,0.005
22,2046.9999999999995,1246016650.527,0.043,1043408800.44,0.04,100912352.017,0.058,101209553.433,0.057,146243752.2,0.011,51052.699,0.013,3.933,0.03,0.219,0.0
23,2048.0,1299879437.098,0.043,1085655786.691,0.04,106813149.304,0.058,107022766.795,0.057,147853845.45,0.011,51718.682,0.013,4.051,0.03,0.219,0.0
24,2049.000000000001,1356070603.29,0.043,1129613327.661,0.04,113058992.643,0.058,113169876.004,0.057,149481665.271,0.011,52393.353,0.013,4.171,0.03,0.22,0.005
25,2049.999999999999,1414690800.258,0.043,1175350682.668,0.04,119670058.421,0.058,119670059.169,0.057,151127406.826,0.011,53076.826,0.013,4.296,0.03,0.22,0.0
