,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,Capture factor,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Max VC,Suppressed Demand,PCE ratio,BonusPeak,BonusOffPeak,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,TollHeavyA,TollHeavyB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,CaptureRateHeavyA,baseToll,devTollShare,tdotTollShare,devTollMediumA,devTollMediumB,devTollHeavyA,tdotTollMediumA,tdotTollMediumB,tdotTollHeavyA,baseTollMediumA,baseTollMediumB,baseTollHeavyA,VOT Lights,VOT MediumA,VOT MediumB,VOT HeavyA,Speed GP Real,Speed ML Real,Bonus Seg,Time ML,Time GP,Time Savings,BonusRel,Reliability %,Bonus %,Time Savings %,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh_HeavyA,GPVeh_HeavyA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollHeavyAPerSeg,TollBlend,RevenuePerHour,DevRevenuePerDay,TDOTRevenuePerDay,BaseRevenuePerDay,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerHourHeavyA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,RevenuePerDayHeavyA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay_HeavyA,TransactionsDay,GPDay_Lights,GPDay_MediumA,GPDay_MediumB,GPDay_HeavyA,GPDay_HeavyB,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TransactionsHeavyALength,TotalVeh_hours,GPDayLength_Lights,GPDayLength_MediumA,GPDayLength_MediumB,GPDayLength_HeavyA,GPDayLength_HeavyB,Difference in Travel Time,Implied Min VOT
0,480,2050,1NB,1,NB,Night,7,OP,NT,1.3,55,9467.142407021885,1,6,55,3600,1.6,6.3,0.2,0.053191489361702135,2407.0,63.8,17.2,427.3,51.7,1.7229843509361837,1.2875,2.575,0.9,0.1595744680851064,0.1595744680851064,4.366728861968131,0.708,2286.65,60.60999999999999,16.34,405.935,49.115,2818.65,3882.65,1.15,0.41011847430542453,3882.65,1.35,0.0,1.0,2.5,1.6,0.0,2149.451,56.97339999999999,15.359599999999999,381.5789,46.1681,2649.531,1.219796801440317,3.659390404320951,3.659390404320951,3.659390404320951,3.659390404320951,0.1595744588569762,0.1595744589332853,0.15957445965935685,0.05319148982639155,1.219796801440317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.659390404320951,3.659390404320951,3.659390404320951,158.9093724853962,476.72811745618856,476.72811745618856,476.72811745618856,54.872789078209635,54.99984714515987,0.503337089008796,1.4181857595737737,1.421469571900699,-0.003283812326925206,0.0023014276032166862,0.004522158829255885,0.9890253588562586,0.006452482314485376,342.9974801645863,1943.6525198354138,9.091499478589636,51.51850052141036,2.4509998705838574,13.889000129416143,20.296750177315676,385.6382498226843,374.8367296910755,2443.8132703089245,17106.69289216247,438.51522874405384,0.12180978576223718,3069.606601208377,3990.4885815708903,3444.134771255946,24108.94339879162,31341.626418429107,3882.6499999999996,27178.549999999996,35332.115,0.4101184743054245,1.5857358418724123,4.757207525617236,4.757207525617236,4.757207525617236,1.4270199023604417,695.3693154263257,0.0,0.0,4867.585207984279,543.9033979689063,43.250149738691796,11.659915029628397,96.55585268909911,4867.58520798428,3807.323785782344,302.7510481708426,81.61940520739878,675.8909688236938,2400.982361152104,63.64049635012745,17.156999094087002,142.07725124120972,2623.857107837528,13605.567638847897,360.6295036498725,97.223000905913,2699.46774875879,343.805,3121.2770694977357,82.73264525516569,22.304098822313104,184.70042661357266,19730.55,17687.237930502266,468.81835474483427,126.3899011776869,3509.308073386427,446.9465,-0.002310153092151175,28973.68699551501
1,481,2050,1NB,1,NB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,55,3600,1.6,6.3,0.2,0.05,9093.9,260.2,136.1,442.8,20.7,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.715,8639.205,247.18999999999997,129.295,420.65999999999997,19.665,9456.015000000001,11089.635,1.2,1.0663110576923076,11089.635,1.35,0.0,1.0,2.5,1.6,0.0,8120.8526999999995,232.35859999999997,121.53729999999999,395.4204,18.4851,8888.654100000002,4.691716651749076,14.075149955247227,14.075149955247227,14.075149955247227,14.075149955247227,0.16279484679992373,0.1653894388418726,0.16550563024738207,0.05000000035417983,4.691716651749076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.075149955247227,14.075149955247227,14.075149955247227,128.26422907197548,384.79268721592643,384.79268721592643,384.79268721592643,34.52520998612358,54.555738824054686,1.0069422994342347,1.4297304313218884,2.2592186993605505,-0.8294882680386622,0.5887258168251128,0.24275787765147627,0.41520716187781276,0.34203496047071097,1322.032971181247,7317.1720288187535,38.42965846408313,208.76034153591684,20.11510743506515,109.17989256493485,19.771020140049927,400.88897985995004,1400.348757220445,8055.666242779555,8055.666242779555,1556.9803292988413,0.4324945359163448,1556.9803292988413,2024.0744280884937,9532.65467070116,9532.65467070116,12392.45107191151,11089.635000000002,11089.635000000002,14416.525500000003,1.0663110576923078,6.099231647273799,18.297694941821394,18.297694941821394,18.297694941821394,5.216493748255018,9496.383698642274,0.0,0.0,9496.383698642274,8063.385336568071,703.1741672941777,368.06009956878546,361.7640952112405,9496.383698642274,8063.385336568071,703.1741672941777,368.06009956878546,361.7640952112405,1322.032971181247,38.42965846408313,20.11510743506515,19.771020140049927,1400.348757220445,7317.1720288187535,208.76034153591684,109.17989256493485,400.88897985995004,19.665,1718.6428625356211,49.958556003308075,26.149639665584694,25.702326182064905,9456.015000000001,9512.32363746438,271.3884439966919,141.9338603344153,521.155673817935,25.5645,-0.3671571363469329,441.18031916440674
2,482,2050,1NB,1,NB,AM-Peak,3,Peak,AM,1.3,55,7592.330916271331,1,6,55,3600,1.6,6.3,0.2,0.05,9438.5,368.7,91.3,744.3,17.2,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.715,7383.140557647593,288.4106503792623,71.418205531941,582.2187335971926,13.454470264505861,8338.642617420493,13758.150000000001,1.35,1.8121114782437282,10249.646736966299,1.35,3508.5032630337028,0.7449872793192615,2.5,1.6,0.0,6940.152124188737,271.10601135650654,67.13311320002454,547.285609581361,12.647202048635508,7838.324060375264,7.7249999537991245,23.174999861397374,23.174999861397374,23.174999861397374,23.174999861397374,0.25258378741779414,0.2546736987598772,0.2548824024784784,0.08424941934642724,5.15,1.287499976899562,1.287499976899562,3.8624999306986862,3.8624999306986862,3.8624999306986862,3.8624999306986862,3.8624999306986862,3.8624999306986862,15.450000000000001,15.450000000000001,15.450000000000001,102.57558558086261,307.72675674258784,307.72675674258784,307.72675674258784,22.227372200278033,51.78156104619166,1.5265115769438495,1.5063277047677304,3.5091867494361,-2.0028590446683694,1.463703451877997,0.29314675294910086,0.3057258022765123,0.4011274447743869,1752.9699087832403,5630.170648864352,69.0435706681988,219.36707971106347,17.111049178281903,54.307156353659096,46.10849482388514,536.1102387733074,1885.2330234536062,6453.409593966888,19360.228781900663,2149.759252794338,0.5971553479984272,6449.277758383014,8384.061085897918,8099.88748417196,24299.66245251588,31589.561188270647,10249.646736966297,30748.940210898894,39973.62227416856,1.3499999999999999,10.042499939938862,30.127499819816588,30.127499819816588,30.127499819816588,8.808932329274032,21588.95716707015,10794.478454418084,10794.478454418084,43177.914592374276,17604.200203670323,2080.110162865653,515.5131310355608,1389.1336694986137,64766.87150121045,52812.600611010974,6240.330488596959,1546.5393931066824,4167.401008495841,5258.909726349721,207.13071200459638,51.33314753484571,138.32548447165541,5655.699070360819,16890.511946593055,658.1012391331903,162.9214690609773,1608.3307163199222,40.36341079351759,6836.582644254637,269.2699256059753,66.73309179529942,179.82312981315204,25015.92785226148,21957.665530570972,855.5316108731474,211.7979097792705,2090.829931215899,52.47243403157287,-0.5707473519299632,300.844933646392
3,483,2050,1NB,1,NB,AM-Shoulder,1,OP,AM,1.3,55,7711.430327663038,1,6,55,3600,1.6,6.3,0.2,0.05,8828.6,391.1,108.5,1032.1,31.0,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.715,6648.59740941678,294.5276087740868,81.70863091789418,777.2486448880975,23.34532311939834,7825.4276171162555,14192.535,1.32,1.8404542862933537,10179.08803251521,1.35,4013.4469674847896,0.717214227938505,2.5,1.6,0.0,6249.681564851772,276.85595224764154,76.80611306282053,730.6137261948116,21.944603732234437,7355.90196008928,7.724999979607194,23.174999938821582,23.174999938821582,23.174999938821582,23.174999938821582,0.23607748876424142,0.23787649825025245,0.23807507263817654,0.076105815152434,5.15,1.2874999898035968,1.2874999898035968,3.8624999694107904,3.8624999694107904,3.8624999694107904,3.8624999694107904,3.8624999694107904,3.8624999694107904,15.450000000000001,15.450000000000001,15.450000000000001,106.55786186446433,319.673585593393,319.673585593393,319.673585593393,21.676285145204318,53.49963029618432,1.1398700364219696,1.4579540002085414,3.5984025619471423,-2.1404485617386007,1.526154520635727,0.3175206607663141,0.2371531075383256,0.44532623169536023,1475.409129406381,5173.188280010399,65.85752444040808,228.6700843336787,18.285620946486997,63.42300997140718,55.603953193613364,721.6446916944841,1615.1562279868892,6210.271389129366,6210.271389129366,1894.6504251479064,0.5262917847633073,1894.6504251479064,2463.0455526922783,8284.437607367305,8284.437607367305,10769.768889577497,10179.08803251521,10179.08803251521,13232.814442269775,1.32,10.042499973489353,30.127499920468058,30.127499920468058,30.127499920468058,9.061770150787632,19027.02684431944,3171.1711239771025,3171.1711239771025,12684.684596365236,14816.79614294953,1984.1225623406178,550.900043610996,1675.2080954182961,19027.02684431944,14816.79614294953,1984.1225623406178,550.900043610996,1675.2080954182961,1475.409129406381,65.85752444040808,18.285620946486997,55.603953193613364,1615.1562279868892,5173.188280010399,228.6700843336787,63.42300997140718,721.6446916944841,23.34532311939834,1918.0318682282953,85.61478177253052,23.7713072304331,72.28513915169738,7825.4276171162555,6725.144764013518,297.2711096337823,82.44991296282934,938.1380992028294,30.348920055217842,-0.5948329918319023,281.5064137397135
4,484,2050,1NB,1,NB,MD,5,OP,MD,1.3,55,5441.8710361140875,1,6,55,3600,1.6,6.3,0.2,0.05,6433.6,227.4,62.0,654.7,19.0,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.163408863221593,0.708,4506.428879161238,159.2828163269811,43.42803259574682,458.5860151683137,13.308590634180478,5181.03433388646,9322.9,1.2,1.713179150724098,6530.245243336904,1.35,2792.654756663095,0.7004521386410778,2.5,1.6,0.0,4236.043146411564,149.72584734736222,40.82235064000201,431.0708542582148,12.510075196129648,4870.172273853273,5.15000000018928,15.45000000056784,15.45000000056784,15.45000000056784,15.45000000056784,0.2425666313619104,0.24352581272689433,0.2436084014650425,0.07803944130298912,5.15,9.463985151114684e-11,9.463985151114684e-11,2.8391955453344053e-10,2.8391955453344053e-10,2.8391955453344053e-10,2.8391955453344053e-10,2.8391955453344053e-10,2.8391955453344053e-10,15.450000000000001,15.450000000000001,15.450000000000001,105.13195108835095,315.3958532650528,315.3958532650528,315.3958532650528,30.254598970127347,54.87761252121011,1.2790428955026782,1.4213446324738184,2.578120439706218,-1.1567758072323995,0.8119570350670797,0.2500040337195662,0.39382118679420736,0.3561747794862263,1027.5227163287607,3478.906162832477,36.4621086614893,122.8207076654918,9.944667583456344,33.48336501229048,33.640528628313334,424.94548654000033,1107.5700212020197,4073.46431268444,20367.3215634222,1267.6646309485377,0.3521290641523716,6338.3231547426885,8239.820101165495,5262.580612388367,26312.903061941834,34206.773980524384,6530.245243336904,32651.22621668452,42446.59408168988,1.2,6.695000000246064,20.085000000738194,20.085000000738194,20.085000000738194,5.894410939851653,8487.014704512387,7.798153508528654e-07,7.798153508528654e-07,42435.0735210023,6879.264586073889,732.3414524929287,199.73864842106175,675.6700175245065,42435.073522561936,34396.322930369446,3661.7072624646435,998.6932421053087,3378.3500876225326,5137.613581643804,182.31054330744652,49.72333791728172,168.20264314156668,5537.850106010099,17394.530814162386,614.103538327459,167.41682506145239,2124.727432700002,66.5429531709024,6678.8976561369445,237.0037062996805,64.64033929246624,218.6634360840367,25905.171669432304,22612.890058411103,798.3345998256967,217.64187257988812,2762.1456625100027,86.50583912217311,-0.4486895916174562,347.2582997528588
5,485,2050,1NB,1,NB,PM-Shoulder,1,OP,PM,1.3,55,6222.354095429336,1,6,55,3600,1.6,6.3,0.2,0.05,8134.2,199.9,67.2,730.5,19.0,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.592,5973.740338127193,146.80616330943744,49.351546645293624,536.4777503629016,13.953562295544327,6720.32936074037,11743.199999999999,1.32,1.8872600015846142,8213.507405966724,1.35,3529.692594033275,0.6994266814809187,2.5,1.6,0.0,5615.315917839562,137.9977935108712,46.390453846576,504.2890853411275,13.116348557811666,6317.1095990959475,7.724999915813449,23.174999747440346,23.174999747440346,23.174999747440346,23.174999747440346,0.2557486630159588,0.25751525063173386,0.25760858281708876,0.06456633578537788,5.15,1.2874999579067241,1.2874999579067241,3.8624998737201723,3.8624998737201723,3.8624998737201723,3.8624998737201723,3.8624998737201723,3.8624998737201723,15.450000000000001,15.450000000000001,15.450000000000001,115.34077357268518,346.0223207180556,346.0223207180556,346.0223207180556,23.45656060927182,54.296086868048675,1.216764370868806,1.4365676147077966,3.325295694423694,-1.8887280797158976,1.334979713369313,0.30063913567709005,0.2740168896330472,0.42534397468986285,1436.1095383996994,4537.630799727494,35.53653638257825,111.26962692685919,11.950579071658007,37.40096757363562,32.560098417036315,503.91765194586526,1516.156752270972,5204.172608469398,5204.172608469398,1676.2511800135171,0.46562532778153254,1676.2511800135171,2179.1265340175723,6537.256225953207,6537.256225953207,8498.43309373917,8213.507405966724,8213.507405966724,10677.559627756742,1.32,10.042499890557483,30.12749967167245,30.12749967167245,30.12749967167245,8.54070016513195,16833.7522918326,2805.62532082105,2805.62532082105,11222.501650190497,14422.129882207539,1070.6269881985022,360.04106705767225,980.9543543688842,16833.7522918326,14422.129882207539,1070.6269881985022,360.04106705767225,980.9543543688842,1436.1095383996994,35.53653638257825,11.950579071658007,32.560098417036315,1516.156752270972,4537.630799727494,111.26962692685919,37.40096757363562,503.91765194586526,13.953562295544327,1866.9423999196092,46.197497297351724,15.53575279315541,42.32812794214721,6720.32936074037,5898.920039645743,144.65051500491694,48.621257845726305,655.0929475296249,18.139630984207624,-0.5679880086703786,319.0242152401761
6,486,2050,1NB,1,NB,PM-Peak,3,Peak,PM,1.3,55,6903.664776832447,1,6,55,3600,1.6,6.3,0.2,0.05,9721.1,180.9,39.6,708.1,24.1,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.592,7202.377030637,134.0290712822863,29.339697196122376,524.6323127417741,17.855724808751244,7908.233836665933,13208.160000000003,1.35,1.9132099293587363,9319.947448723804,1.35,3888.2125512761995,0.7056204231871662,2.5,1.6,0.0,6770.234408798779,125.98732700534913,27.579315364355033,493.1543739772676,16.784381320226167,7433.7398064659765,7.725000018363473,23.17500005509042,23.17500005509042,23.17500005509042,23.17500005509042,0.27484615169351806,0.27710558735391,0.2772099776930985,0.07245811828583783,5.15,1.2875000045908682,1.2875000137726045,3.8625000137726047,3.8625000137726047,3.8625000137726047,3.8625000413178134,3.8625000413178134,3.8625000413178134,15.450000000000001,15.450000000000001,15.450000000000001,111.3469201037713,334.0407603113138,334.0407603113138,334.0407603113138,23.777607805876052,52.23512164693413,1.5090456269892079,1.4932481736563181,3.28039728120691,-1.7871491075505919,1.3035508241175642,0.2833962895326024,0.32807154390289545,0.3885321665645021,1860.7728733213848,5341.604157315614,34.9117922489664,99.1172790333199,7.645261396943788,21.69443579917859,35.73303796282316,488.8992747789509,1939.0629649301181,5969.170871735815,17907.512615207444,2095.6431481475847,0.5821230967076624,6286.929444442754,8173.008277775581,7224.3043005762165,21672.91290172865,28174.786772247247,9319.9474487238,27959.842346171405,36347.795050022825,1.3499999999999994,10.042500023872515,30.127500071617543,30.127500071617543,30.127500071617543,8.34879715136368,21045.496365300394,10522.748195157264,10522.74827019967,42090.99263054425,18686.811624751335,1051.805023481032,230.3326132839588,1076.547103784067,63136.48909590118,56060.434874254,3155.4150704430963,690.9978398518764,3229.6413113522012,5582.318619964155,104.73537674689919,22.935784190831363,107.19911388846948,5817.188894790355,16024.812471946843,297.3518370999597,65.08330739753576,1466.6978243368526,53.56717442625373,7257.014205953402,136.15598977096894,29.816519448080772,139.35884805501033,23724.7015099978,20832.256213530898,386.55738822994766,84.6082996167965,1906.7071716379085,69.63732675412984,-0.54479654576871,337.15709499930097
7,487,2050,1NB,1,NB,PM-Late,3,OP,PM,1.3,55,6705.849787444774,1,6,55,3600,1.6,6.3,0.2,0.05,4698.6,87.9,8.6,456.6,50.0,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.362742195326042,0.592,4698.6,87.9,8.6,456.6,50.0,5301.700000000001,6507.900000000001,1.2,0.9704810286959618,6507.900000000001,1.35,0.0,1.0,2.5,1.6,0.0,4416.684,82.626,8.084,429.204,47.0,4983.598,3.3358910137517457,10.007673041255238,10.007673041255238,10.007673041255238,10.007673041255238,0.21309349832656177,0.2140343240343558,0.21408478188053826,0.05000074332173658,3.3358910137517457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.007673041255238,10.007673041255238,10.007673041255238,125.43517933852243,376.3055380155673,376.3055380155673,376.3055380155673,42.75797288378717,54.959387465004454,1.073999113115507,1.4192297912648084,1.8242211858826403,-0.40499139461783185,0.28422755739057554,0.16119818813823278,0.6091130384601801,0.22968877340158722,941.1666445629522,3757.4333554370482,17.684800057662684,70.21519994233732,1.7306613767222712,6.869338623277729,21.460519036662628,435.1394809633374,982.0426250339998,4319.657374966,12958.972124898,1063.794585976095,0.2954984961044708,3191.3837579282854,4148.798885306771,5444.105414023906,16332.316242071716,21232.011114693232,6507.900000000001,19523.7,25380.810000000005,0.9704810286959618,4.336658317877269,13.00997495363181,13.00997495363181,13.00997495363181,3.613593452435481,4613.313639786038,0.0,0.0,13839.940919358114,4081.518157652566,230.0788058101779,22.515861164374694,279.20081515891945,13839.940919358114,12244.554472957698,690.2364174305337,67.54758349312408,837.6024454767584,2823.499933688857,53.05440017298805,5.191984130166814,64.38155710998788,2946.127875102,11272.300066311145,210.64559982701195,20.60801586983319,1305.418442890012,150.0,3670.549913795514,68.97072022488447,6.749579369216859,83.69602424298425,15905.100000000002,14653.990086204489,273.83927977511553,26.790420630783146,1697.0439757570157,195.0,-0.2220078342209795,642.4815503010185
8,488,2050,1SB,1,SB,Night,7,OP,NT,1.3,55,9403.28309904872,1,6,55,3600,1.6,6.3,0.2,0.053191489361702135,2338.1,67.2,27.6,430.7,48.2,1.7229843509361837,1.2875,2.575,0.9,0.1595744680851064,0.1595744680851064,4.366728861968131,0.708,2221.1949999999997,63.839999999999996,26.22,409.16499999999996,45.79,2766.2099999999996,3856.2399999999993,1.15,0.4100950656680872,3856.2399999999993,1.35,0.0,1.0,2.5,1.6,0.0,2087.9232999999995,60.00959999999999,24.6468,384.6150999999999,43.0426,2600.2373999999995,1.2246951329239306,3.674085398771792,3.674085398771792,3.674085398771792,3.674085398771792,0.15957446259215688,0.1595744650251067,0.15957446402654332,0.05319149000483213,1.2246951329239306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.674085398771792,3.674085398771792,3.674085398771792,158.90939744480505,476.7281923344151,476.7281923344151,476.7281923344151,54.87273204181531,54.99985453200947,0.5053779831700107,1.4181855691019079,1.421471049419605,-0.0032854803176971537,0.0023024618664508967,0.004506096692954669,0.9890639631590405,0.006429940148004848,333.1792385311427,1888.015761468857,9.575999816370642,54.264000183629356,3.9329998999694076,22.287000100030593,20.458250247357505,388.70674975264245,367.14648849484024,2399.063511505159,16793.444580536114,435.08098842223535,0.1208558301172876,3045.5669189556475,3959.236994642342,3421.159011577764,23948.113081044346,31132.54700535765,3856.2399999999993,26993.679999999993,35091.78399999999,0.4100950656680872,1.5921036728011098,4.776311018403329,4.776311018403329,4.776311018403329,1.4513050938683645,692.6940396329779,0.0,0.0,4848.858277430845,530.4558893665093,45.737953435159355,18.785230757603074,97.7149660737063,4848.858277430845,3713.1912255655648,320.1656740461155,131.49661530322152,684.0047625159441,2332.2546697179987,67.0319987145945,27.530999299785854,143.20775173150253,2570.0254194638815,13216.110330281997,379.8480012854055,156.00900070021416,2720.9472482684973,320.53,3031.9310706333986,87.14159832897285,35.790299089721614,186.17007725095328,19363.469999999998,17180.943429366598,493.80240167102716,202.8117009102784,3537.2314227490465,416.68899999999996,-0.002311324116687874,29075.267885038636
9,489,2050,1SB,1,SB,AM-Early,1,OP,AM,1.3,55,10400.0,1,6,55,3600,1.6,6.3,0.2,0.05,5237.9,205.0,91.3,461.8,24.1,1.7229843509361837,5.15,2.575,0.9,0.36683785766691124,0.36683785766691124,4.159422196579504,0.715,4976.004999999999,194.75,86.735,438.71,22.895,5719.094999999999,7205.275,1.2,0.6928149038461539,7205.275,1.35,0.0,1.0,2.5,1.6,0.0,4677.444699999999,183.065,81.53089999999999,412.38739999999996,21.5213,5375.949299999999,1.4373154953464105,4.311946486039231,4.311946486039231,4.311946486039231,4.311946486039231,0.17354695272877502,0.1740207080325961,0.1740556574739385,0.050000214454247884,1.4373154953464105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311946486039231,4.311946486039231,4.311946486039231,125.23591578698779,375.7077473609633,375.7077473609633,375.7077473609633,52.65127294192355,54.97038390768171,0.6541315701535725,1.4189458842236695,1.4814456639260574,-0.06249977970238785,0.0442846920209675,0.05819918306851809,0.8596632665806947,0.08213755035078718,811.756274242359,4164.24872575764,31.857100915987203,162.8928990840128,14.19091440394193,72.54408559605807,20.619458438229703,418.0905415617703,878.4237480005179,4840.671251999482,4840.671251999482,1011.7586955168356,0.2810440820880099,1011.7586955168356,1315.2863041718863,6193.516304483164,6193.516304483164,8051.571195828114,7205.275,7205.275,9366.8575,0.6928149038461539,1.8685101439503335,5.605530431851,5.605530431851,5.605530431851,1.6554839892795807,1890.481385803164,0.0,0.0,1890.4813858031641,1516.7748328371767,178.57594865511464,79.54760254708918,115.5830017637835,1890.481385803164,1516.7748328371767,178.57594865511464,79.54760254708918,115.5830017637835,811.756274242359,31.857100915987203,14.19091440394193,20.619458438229703,878.4237480005179,4164.24872575764,162.8928990840128,72.54408559605807,418.0905415617703,22.895,1055.2831565150668,41.41423119078337,18.44818872512451,26.805295969698616,5719.094999999999,5413.523343484932,211.76076880921667,94.30731127487549,543.5177040303014,29.7635,-0.04218837128103226,1793.7760608256472
