,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2025,206378084.9,,206378084.9,,0,,0,,89529670.77,,23774.382,,0.955,,0.163,
1,2026,231366149.1,0.121,231275739.5,0.121,0,,0,,92945259.27,0.038,24628.673,0.036,1.034,0.083,0.164,0.006
2,2027,259379744.6,0.121,259177071.7,0.121,0,,0,,96491153.67,0.038,25513.661,0.036,1.119,0.082,0.165,0.006
3,2028,290785199.9,0.121,290444448,0.121,0,,0,,100172325.2,0.038,26430.45,0.036,1.211,0.082,0.167,0.012
4,2029,325993198.2,0.121,325483951.3,0.121,0,,0,,103993934.7,0.038,27380.182,0.036,1.31,0.082,0.168,0.006
5,2030,365464147.8,0.121,364750654.6,0.121,0,,0,,107961340,0.038,28364.041,0.036,1.418,0.082,0.169,0.006
6,2031,409714202.8,0.121,408754531.5,0.121,0,,0,,112080103.2,0.038,29383.254,0.036,1.534,0.082,0.17,0.006
7,2032,459322012.8,0.121,458067079.4,0.121,627466.699,inf,627466.699,inf,116355998.6,0.038,30439.089,0.036,1.66,0.082,0.171,0.006
8,2033,511435568,0.092,502896241.6,0.098,1107750.048,0.765,1107750.05,0.765,120403839,0.035,31552.066,0.037,1.783,0.074,0.175,0.023
9,2034,569461800,0.092,552112651.6,0.098,1955657.841,0.765,1955657.846,0.765,124592497.2,0.035,32705.737,0.037,1.916,0.075,0.179,0.023
10,2035,634071546.8,0.092,606145671.5,0.098,3452581.741,0.765,3452581.755,0.765,128926872.3,0.035,33901.591,0.037,2.058,0.074,0.183,0.022
11,2036,706011757.9,0.092,665466683.3,0.098,6095299.713,0.765,6095299.748,0.765,133412033.4,0.035,35141.171,0.037,2.211,0.074,0.187,0.022
12,2037,786114129.8,0.092,730593201.3,0.098,10760839.68,0.765,10760839.76,0.765,138053226.1,0.035,36426.074,0.037,2.375,0.074,0.191,0.021
13,2038,875304721.5,0.092,802093386.8,0.098,18997535.17,0.765,18997535.32,0.765,142855878.5,0.035,37757.959,0.037,2.551,0.074,0.195,0.021
14,2039,974614660.1,0.092,880591004.6,0.098,33538864.35,0.765,33538864.68,0.765,147825607.6,0.035,39138.543,0.037,2.74,0.074,0.199,0.021
15,2040,930370093.4,0.092,897470124.7,inf,16449984.34,inf,16449984.37,inf,159760583.3,inf,42421.394,,2.413,,0.213,
16,2041,1130400808,0.058,1005131429,0.04,62566565.99,0.057,62566566.69,0.057,154473679,0.01,41048.351,0.012,3.03,0.03,0.203,0
17,2042,1177492935,0.058,1045014103,0.04,66112744.98,0.057,66112745.71,0.057,155993948.4,0.01,41532.746,0.012,3.119,0.029,0.204,0.005
18,2043,1226546905,0.058,1086479285,0.04,69859916.06,0.057,69859916.83,0.057,157529179.7,0.01,42022.856,0.012,3.211,0.029,0.204,0
19,2044,1277644447,0.058,1129589767,0.04,73819471.18,0.057,73819471.99,0.057,159079520.1,0.01,42518.75,0.012,3.306,0.03,0.204,0
20,2045,1330870697,0.058,1174410832,0.04,78003447.93,0.057,78003448.78,0.057,160645118.3,0.01,43020.496,0.012,3.404,0.03,0.204,0
21,2046,1386314334,0.058,1221010355,0.04,82424566.2,0.057,82424567.09,0.057,162226124.6,0.01,43528.163,0.012,3.504,0.029,0.204,0
22,2047,1444067735,0.058,1269458904,0.04,87096266.81,0.057,87096267.75,0.057,163822690.5,0.01,44041.82,0.012,3.608,0.03,0.204,0
23,2048,1504227123,0.058,1319829846,0.04,92032752.4,0.057,92032753.39,0.057,165434969.2,0.01,44561.539,0.012,3.714,0.029,0.204,0
24,2049,1566892733,0.058,1372199459,0.04,97249030.57,0.057,97249031.61,0.057,167063115.3,0.01,45087.391,0.012,3.824,0.03,0.204,0
25,2050,1632168970,0.058,1426647050,0.04,102760959.6,0.057,102760960.7,0.057,168707285,0.01,45619.449,0.012,3.937,0.03,0.204,0
