,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,124585796.96,,124585796.96,,0.0,,0.0,,49406439.6,,19683.034,,0.937,,0.155,
1,2026.0,138704968.61,0.113,138284114.134,0.11,0.0,,0.0,,51539042.857,0.043,20528.077,0.043,1.001,0.068,0.157,0.013
2,2026.9999999999995,154424250.49,0.113,153488573.245,0.11,0.0,,0.0,,53763698.825,0.043,21409.399,0.043,1.068,0.067,0.16,0.019
3,2027.999999999999,171924981.334,0.113,170364775.913,0.11,0.0,,0.0,,56084380.91,0.043,22328.559,0.043,1.14,0.067,0.162,0.012
4,2029.0,191409050.801,0.113,189096531.801,0.11,0.0,,0.0,,58505234.029,0.043,23287.18,0.043,1.217,0.068,0.165,0.019
5,2030.0,213101228.478,0.113,209887860.608,0.11,0.0,,0.0,,61030582.014,0.043,24286.958,0.043,1.299,0.067,0.167,0.012
6,2031.0000000000007,237251756.847,0.113,232965214.174,0.11,0.0,,0.0,,63664935.331,0.043,25329.658,0.043,1.387,0.068,0.17,0.018
7,2032.0000000000005,264139238.093,0.113,258579942.918,0.11,2779647.584,inf,2779647.591,inf,66412999.138,0.043,26417.124,0.043,1.481,0.068,0.172,0.012
8,2033.0000000000007,290872303.514,0.101,282511888.769,0.093,3575967.114,0.286,3664825.597,0.318,68382964.517,0.03,27220.146,0.03,1.583,0.069,0.175,0.017
9,2034.0000000000002,320310975.235,0.101,308658770.65,0.093,4600418.007,0.286,4831888.294,0.318,70411363.691,0.03,28047.577,0.03,1.691,0.068,0.179,0.023
10,2034.9999999999993,352729082.889,0.101,337225584.078,0.093,5918355.836,0.286,6370601.784,0.318,72499929.944,0.03,28900.16,0.03,1.807,0.069,0.182,0.017
11,2035.9999999999998,388428169.919,0.101,368436297.201,0.093,7613859.381,0.286,8399318.16,0.318,74650447.972,0.03,29778.66,0.03,1.932,0.069,0.185,0.016
12,2036.999999999999,427740298.449,0.101,402535606.74,0.093,9795094.496,0.286,11074078.703,0.318,76864755.411,0.03,30683.865,0.03,2.064,0.068,0.189,0.022
13,2038.0000000000005,471031138.023,0.101,439790856.451,0.093,12601214.626,0.286,14600616.001,0.318,79144744.404,0.03,31616.586,0.03,2.206,0.069,0.192,0.016
14,2038.999999999999,518703366.954,0.101,480494133.138,0.093,16211238.198,0.286,19250178.126,0.318,81492363.22,0.03,32577.659,0.03,2.358,0.069,0.195,0.016
15,2039.9999999999998,571200417.915,0.101,524964556.661,0.093,20855469.231,0.286,25380392.023,0.318,83909617.919,0.03,33567.946,0.03,2.52,0.069,0.199,0.021
16,2041.0000000000002,597164306.306,0.045,546357765.731,0.041,22941609.298,0.1,27376278.08,0.079,84889093.087,0.012,33957.031,0.012,2.604,0.033,0.199,0.0
17,2041.9999999999995,624308382.035,0.045,568622784.885,0.041,25236422.702,0.1,29529118.417,0.079,85880001.647,0.012,34350.625,0.012,2.692,0.034,0.199,0.0
18,2043.0,652686290.462,0.045,591795141.885,0.041,27760782.713,0.1,31851255.746,0.079,86882477.063,0.012,34748.781,0.012,2.782,0.033,0.199,0.0
19,2044.0000000000002,682354115.395,0.045,615911812.309,0.041,30537650.519,0.1,34356003.395,0.079,87896654.352,0.012,35151.552,0.012,2.875,0.033,0.199,0.0
20,2044.9999999999993,713370489.929,0.045,641011278.554,0.041,33592284.082,0.1,37057721.639,0.079,88922670.11,0.012,35558.991,0.012,2.971,0.033,0.199,0.0
21,2045.9999999999993,745796712.322,0.045,667133591.241,0.041,36952467.878,0.1,39971900.028,0.079,89960662.529,0.012,35971.154,0.012,3.07,0.033,0.199,0.0
22,2046.9999999999995,779696867.143,0.045,694320433.122,0.041,40648765.618,0.1,43115246.194,0.079,91010771.411,0.012,36388.093,0.012,3.173,0.034,0.199,0.0
23,2048.0,815137951.924,0.045,722615185.595,0.041,44714798.258,0.1,46505781.638,0.079,92073138.191,0.012,36809.866,0.012,3.279,0.033,0.199,0.0
24,2049.000000000001,852190009.562,0.045,752062997.922,0.041,49187549.802,0.1,50162945.053,0.079,93147905.956,0.012,37236.527,0.012,3.389,0.034,0.199,0.0
25,2049.999999999999,890926266.754,0.045,782710859.276,0.041,54107703.709,0.1,54107703.769,0.079,94235219.462,0.012,37668.133,0.012,3.503,0.034,0.198,-0.005
