,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,167474754.819,,167474754.819,,0.0,,0.0,,75178094.896,,25767.291,,1.047,,0.164,
1,2026.0,188065694.149,0.123,188065694.136,0.123,0.0,,0.0,,78310567.141,0.042,26773.168,0.039,1.132,0.081,0.166,0.012
2,2026.9999999999995,211188279.415,0.123,211188279.386,0.123,0.0,,0.0,,81573561.214,0.042,27818.31,0.039,1.223,0.08,0.168,0.012
3,2027.999999999999,237153775.249,0.123,237153775.201,0.123,0.0,,0.0,,84972515.614,0.042,28904.252,0.039,1.322,0.081,0.169,0.006
4,2029.0,266311716.117,0.123,266311716.045,0.123,0.0,,0.0,,88513095.448,0.042,30032.586,0.039,1.429,0.081,0.171,0.012
5,2030.0,299054611.577,0.123,299054611.476,0.123,0.0,,0.0,,92201201.873,0.042,31204.966,0.039,1.544,0.08,0.173,0.012
6,2031.0000000000007,335823230.046,0.123,335823229.911,0.123,0.0,,0.0,,96042981.932,0.042,32423.113,0.039,1.669,0.081,0.175,0.012
7,2032.0000000000005,377112532.203,0.123,377112532.025,0.123,0.089,inf,0.089,inf,100044838.798,0.042,33688.812,0.039,1.804,0.081,0.177,0.011
8,2033.0000000000007,421840534.6,0.119,413516056.103,0.097,1.145,11.865,1.146,11.876,103869381.386,0.038,35071.17,0.041,1.938,0.074,0.181,0.023
9,2034.0000000000002,471873569.389,0.119,453433694.544,0.097,14.762,11.893,14.798,11.913,107840129.677,0.038,36510.251,0.041,2.083,0.075,0.186,0.028
10,2034.9999999999993,527840847.961,0.119,497204672.741,0.097,190.322,11.893,191.023,11.909,111962672.864,0.038,38008.382,0.041,2.238,0.074,0.191,0.027
11,2035.9999999999998,590446210.279,0.119,545200962.279,0.097,2453.738,11.893,2465.794,11.908,116242813.807,0.038,39567.986,0.041,2.405,0.075,0.195,0.021
12,2036.999999999999,660476976.307,0.119,597830442.002,0.097,31634.902,11.893,31829.314,11.908,120686577.196,0.038,41191.586,0.041,2.584,0.074,0.201,0.031
13,2038.0000000000005,738813847.286,0.119,655540364.218,0.097,407854.127,11.893,410863.732,11.908,125300218.038,0.038,42881.807,0.041,2.777,0.075,0.206,0.025
14,2038.999999999999,826441981.36,0.119,718821155.511,0.097,5258274.145,11.893,5303570.271,11.908,130090230.455,0.038,44641.383,0.041,2.984,0.075,0.211,0.024
15,2039.9999999999998,924463382.843,0.119,788210584.448,0.097,67792490.4,11.893,68460307.995,11.908,135063356.831,0.038,46473.16,0.041,3.206,0.074,0.216,0.024
16,2041.0000000000002,974001447.54,0.054,824077902.545,0.046,73690076.525,0.087,75065244.768,0.096,136714812.473,0.012,47092.392,0.013,3.333,0.04,0.217,0.005
17,2041.9999999999995,1026194046.639,0.054,861577353.644,0.046,80100721.277,0.087,82307414.867,0.096,138386460.902,0.012,47719.876,0.013,3.466,0.04,0.217,0.0
18,2043.0,1081183425.36,0.054,900783207.535,0.046,87069058.03,0.087,90248297.504,0.096,140078549.022,0.012,48355.72,0.013,3.603,0.04,0.217,0.0
19,2044.0000000000002,1139119451.241,0.054,941773113.632,0.046,94643603.02,0.087,98955303.305,0.096,141791326.754,0.012,49000.037,0.013,3.747,0.04,0.217,0.0
20,2044.9999999999993,1200160022.581,0.054,984628254.769,0.046,102877093.14,0.087,108502346.56,0.096,143525047.076,0.012,49652.939,0.013,3.895,0.039,0.217,0.0
21,2045.9999999999993,1264471498.782,0.054,1029433507.982,0.046,111826853.113,0.087,118970472.686,0.096,145279966.058,0.012,50314.54,0.013,4.05,0.04,0.218,0.005
22,2046.9999999999995,1332229153.737,0.054,1076277612.615,0.046,121555194.607,0.087,130448546.228,0.096,147056342.901,0.012,50984.958,0.013,4.211,0.04,0.218,0.0
23,2048.0,1403617653.523,0.054,1125253346.073,0.046,132129850.072,0.087,143034005.235,0.096,148854439.978,0.012,51664.308,0.013,4.378,0.04,0.218,0.0
24,2049.000000000001,1478831559.687,0.054,1176457707.572,0.046,143624444.323,0.087,156833688.418,0.096,150674522.866,0.012,52352.71,0.013,4.552,0.04,0.218,0.0
25,2049.999999999999,1558075859.503,0.054,1229992110.254,0.046,156119007.142,0.087,171964742.107,0.096,152516860.393,0.012,53050.285,0.013,4.733,0.04,0.218,0.0
