,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,206378084.85,,206378084.85,,0.0,,0.0,,89529670.769,,23774.382,,0.955,,0.163,
1,2026.0,230881515.564,0.119,230881515.542,0.119,0.0,,0.0,,92821936.397,0.037,24603.495,0.035,1.033,0.082,0.164,0.006
2,2026.9999999999995,258294257.686,0.119,258294257.637,0.119,0.0,,0.0,,96235268.18,0.037,25461.523,0.035,1.116,0.08,0.165,0.006
3,2027.999999999999,288961736.025,0.119,288961735.944,0.119,0.0,,0.0,,99774118.071,0.037,26349.474,0.035,1.207,0.082,0.166,0.006
4,2029.0,323270387.948,0.119,323270387.826,0.119,0.0,,0.0,,103443101.735,0.037,27268.392,0.035,1.304,0.08,0.167,0.006
5,2030.0,361652532.828,0.119,361652532.658,0.119,0.0,,0.0,,107247004.569,0.037,28219.356,0.035,1.41,0.081,0.168,0.006
6,2031.0000000000007,404591819.656,0.119,404591819.428,0.119,0.0,,0.0,,111190787.941,0.037,29203.484,0.035,1.524,0.081,0.169,0.006
7,2032.0000000000005,452629321.445,0.119,452629321.147,0.119,0.149,inf,0.149,inf,115279595.664,0.037,30221.933,0.035,1.648,0.081,0.171,0.012
8,2033.0000000000007,498003918.975,0.1,493851359.093,0.091,1.636,9.98,1.636,9.98,119285350.371,0.035,31354.849,0.037,1.748,0.061,0.174,0.018
9,2034.0000000000002,547927170.344,0.1,538827586.908,0.091,17.964,9.98,17.964,9.98,123430297.714,0.035,32530.233,0.037,1.853,0.06,0.179,0.029
10,2034.9999999999993,602855063.107,0.1,587899907.67,0.091,197.255,9.981,197.255,9.981,127719274.382,0.035,33749.678,0.037,1.965,0.06,0.183,0.022
11,2035.9999999999998,663289296.068,0.1,641441362.388,0.091,2165.977,9.981,2165.977,9.981,132157285.13,0.035,35014.836,0.037,2.084,0.061,0.187,0.022
12,2036.999999999999,729781861.682,0.1,699858965.81,0.091,23783.733,9.981,23783.733,9.981,136749508.619,0.035,36327.421,0.037,2.21,0.06,0.191,0.021
13,2038.0000000000005,802940087.827,0.1,763596800.496,0.091,261159.718,9.981,261159.719,9.981,141501303.459,0.035,37689.209,0.037,2.344,0.061,0.196,0.026
14,2038.999999999999,883432185.001,0.1,833139392.666,0.091,2867691.12,9.981,2867691.131,9.981,146418214.462,0.035,39102.047,0.037,2.486,0.061,0.2,0.02
15,2039.9999999999998,971993349.601,0.1,909015395.51,0.091,31488976.972,9.981,31488977.119,9.981,151505979.114,0.035,40567.847,0.037,2.636,0.06,0.205,0.025
16,2041.0000000000002,1030061271.136,0.06,954881255.529,0.05,36079516.081,0.146,36187145.401,0.149,153496517.32,0.013,41114.75,0.013,2.757,0.046,0.205,0.0
17,2041.9999999999995,1091598232.364,0.06,1003061352.607,0.05,41339275.067,0.146,41586282.316,0.149,155513207.909,0.013,41669.027,0.013,2.882,0.045,0.205,0.0
18,2043.0,1156811477.424,0.06,1053672455.364,0.05,47365814.421,0.146,47790972.669,0.149,157556394.48,0.013,42230.776,0.013,3.014,0.046,0.205,0.0
19,2044.0000000000002,1225920631.441,0.06,1106837224.171,0.05,54270917.235,0.146,54921405.363,0.149,159626425.146,0.013,42800.098,0.013,3.152,0.046,0.205,0.0
20,2044.9999999999993,1299158440.181,0.06,1162684508.429,0.05,62182662.614,0.146,63115701.536,0.149,161723652.594,0.013,43377.095,0.013,3.295,0.045,0.205,0.0
21,2045.9999999999993,1376771553.888,0.06,1221349658.847,0.05,71247801.341,0.146,72532590.054,0.149,163848434.145,0.013,43961.871,0.013,3.446,0.046,0.206,0.005
22,2046.9999999999995,1459021357.959,0.06,1282974855.477,0.05,81634477.884,0.146,83354482.195,0.149,166001131.815,0.013,44554.53,0.013,3.603,0.046,0.206,0.0
23,2048.0,1546184853.23,0.06,1347709452.294,0.05,93535349.217,0.146,95791005.076,0.149,168182112.375,0.013,45155.179,0.013,3.768,0.046,0.206,0.0
24,2049.000000000001,1638555588.865,0.06,1415710339.178,0.05,107171158.314,0.146,110083062.264,0.149,170391747.416,0.013,45763.925,0.013,3.94,0.046,0.206,0.0
25,2049.999999999999,1736444650.97,0.06,1487142322.141,0.05,122794828.591,0.146,126507500.238,0.149,172630413.409,0.013,46380.878,0.013,4.119,0.045,0.206,0.0
