,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,202634623.622,,202634623.622,,0.0,,0.0,,89466554.603,,23771.608,,0.938,,0.163,
1,2026.0,227601727.383,0.123,227601727.371,0.123,0.0,,0.0,,93025225.348,0.04,24642.289,0.037,1.016,0.083,0.164,0.006
2,2026.9999999999995,255645088.593,0.123,255645088.564,0.123,0.0,,0.0,,96725447.732,0.04,25544.86,0.037,1.101,0.084,0.165,0.006
3,2027.999999999999,287143740.396,0.123,287143740.349,0.123,0.0,,0.0,,100572852.192,0.04,26480.489,0.037,1.193,0.084,0.167,0.012
4,2029.0,322523417.535,0.123,322523417.463,0.123,0.0,,0.0,,104573293.122,0.04,27450.387,0.037,1.293,0.084,0.168,0.006
5,2030.0,362262310.558,0.123,362262310.458,0.123,0.0,,0.0,,108732857.784,0.04,28455.81,0.037,1.401,0.084,0.169,0.006
6,2031.0000000000007,406897529.035,0.123,406897528.9,0.123,0.0,,0.0,,113057875.571,0.04,29498.058,0.037,1.518,0.084,0.17,0.006
7,2032.0000000000005,457032361.108,0.123,457032360.931,0.123,0.089,inf,0.089,inf,117554927.638,0.04,30578.481,0.037,1.645,0.084,0.172,0.012
8,2033.0000000000007,511866146.542,0.12,503721410.865,0.102,1.145,11.865,1.146,11.876,122078066.339,0.038,31818.115,0.041,1.77,0.076,0.176,0.023
9,2034.0000000000002,573278774.703,0.12,555180073.567,0.102,14.762,11.893,14.798,11.913,126775240.993,0.038,33108.003,0.041,1.905,0.076,0.18,0.023
10,2034.9999999999993,642059561.362,0.12,611895598.315,0.102,190.322,11.893,191.023,11.909,131653147.946,0.038,34450.182,0.041,2.051,0.077,0.184,0.022
11,2035.9999999999998,719092522.744,0.12,674405010.31,0.102,2453.738,11.893,2465.794,11.908,136718741.202,0.038,35846.773,0.041,2.207,0.076,0.189,0.027
12,2036.999999999999,805367737.487,0.12,743300195.627,0.102,31634.902,11.893,31829.314,11.908,141979242.331,0.038,37299.981,0.041,2.376,0.077,0.194,0.026
13,2038.0000000000005,901994071.792,0.12,819233505.643,0.102,407854.127,11.893,410863.732,11.908,147442150.766,0.038,38812.1,0.041,2.557,0.076,0.198,0.021
14,2038.999999999999,1010213431.303,0.12,902923933.985,0.102,5258274.145,11.893,5303570.271,11.908,153115254.495,0.038,40385.521,0.041,2.752,0.076,0.203,0.025
15,2039.9999999999998,1131416722.903,0.12,995163924.508,0.102,67792490.4,11.893,68460307.995,11.908,159006641.162,0.038,42022.726,0.041,2.962,0.076,0.208,0.025
16,2041.0000000000002,1191682277.588,0.053,1041423043.717,0.046,73817822.132,0.089,75183467.951,0.098,161240925.499,0.014,42696.288,0.016,3.071,0.037,0.209,0.005
17,2041.9999999999995,1255157911.289,0.053,1089832468.075,0.046,80378679.587,0.089,82566877.342,0.098,163506604.918,0.014,43380.646,0.016,3.184,0.037,0.209,0.0
18,2043.0,1322014610.69,0.053,1140492152.191,0.046,87522659.779,0.089,90675376.115,0.098,165804120.567,0.014,44075.973,0.016,3.3,0.036,0.21,0.005
19,2044.0000000000002,1392432470.176,0.053,1193506696.958,0.046,95301590.101,0.089,99580171.835,0.098,168133919.793,0.014,44782.446,0.016,3.421,0.037,0.21,0.0
20,2044.9999999999993,1466601176.964,0.053,1248985565.526,0.046,103771904.313,0.089,109359465.023,0.098,170496456.231,0.014,45500.242,0.016,3.547,0.037,0.211,0.005
21,2045.9999999999993,1544720522.065,0.053,1307043309.325,0.046,112995051.954,0.089,120099135.9,0.098,172892189.886,0.014,46229.543,0.016,3.677,0.037,0.211,0.0
22,2046.9999999999995,1627000938.476,0.053,1367799804.581,0.046,123037944.138,0.089,131893498.572,0.098,175321587.231,0.014,46970.533,0.016,3.811,0.036,0.212,0.005
23,2048.0,1713664068.024,0.053,1431380499.838,0.046,133973438.979,0.089,144846129.285,0.098,177785121.291,0.014,47723.401,0.016,3.951,0.037,0.212,0.0
24,2049.000000000001,1804943358.414,0.053,1497916674.98,0.046,145880870.145,0.089,159070776.012,0.098,180283271.739,0.014,48488.336,0.016,4.096,0.037,0.213,0.005
25,2049.999999999999,1901084692.077,0.053,1567545712.295,0.046,158846622.409,0.089,174692357.373,0.098,182816524.987,0.014,49265.532,0.016,4.246,0.037,0.213,0.0
