,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,202634623.622,,202634623.622,,0.0,,0.0,,89466554.603,,23771.608,,0.938,,0.163,
1,2026.0,227601727.383,0.123,227601727.371,0.123,0.0,,0.0,,93025225.348,0.04,24642.289,0.037,1.016,0.083,0.164,0.006
2,2026.9999999999995,255645088.593,0.123,255645088.564,0.123,0.0,,0.0,,96725447.732,0.04,25544.86,0.037,1.101,0.084,0.165,0.006
3,2027.999999999999,287143740.396,0.123,287143740.349,0.123,0.0,,0.0,,100572852.192,0.04,26480.489,0.037,1.193,0.084,0.167,0.012
4,2029.0,322523417.535,0.123,322523417.463,0.123,0.0,,0.0,,104573293.122,0.04,27450.387,0.037,1.293,0.084,0.168,0.006
5,2030.0,362262310.558,0.123,362262310.458,0.123,0.0,,0.0,,108732857.784,0.04,28455.81,0.037,1.401,0.084,0.169,0.006
6,2031.0000000000007,406897529.035,0.123,406897528.9,0.123,0.0,,0.0,,113057875.571,0.04,29498.058,0.037,1.518,0.084,0.17,0.006
7,2032.0000000000005,457032361.108,0.123,457032360.931,0.123,0.089,inf,0.089,inf,117554927.638,0.04,30578.481,0.037,1.645,0.084,0.172,0.012
8,2033.0000000000007,508512676.389,0.113,501692612.916,0.098,1.112,11.494,1.119,11.573,121988055.825,0.038,31809.569,0.04,1.759,0.069,0.176,0.023
9,2034.0000000000002,565791755.798,0.113,550716971.861,0.098,13.921,11.519,14.092,11.593,126588362.248,0.038,33090.221,0.04,1.881,0.069,0.18,0.023
10,2034.9999999999993,629522774.539,0.113,604531889.224,0.098,174.292,11.52,177.513,11.597,131362151.387,0.038,34422.432,0.04,2.012,0.07,0.185,0.028
11,2035.9999999999998,700432481.744,0.113,663605488.412,0.098,2182.116,11.52,2236.059,11.597,136315965.47,0.038,35808.278,0.04,2.152,0.07,0.189,0.022
12,2036.999999999999,779329487.867,0.113,728451636.879,0.098,27319.864,11.52,28166.66,11.597,141456593.438,0.038,37249.918,0.04,2.302,0.07,0.194,0.026
13,2038.0000000000005,867113485.58,0.113,799634416.137,0.098,342041.892,11.52,354803.162,11.597,146791080.253,0.038,38749.598,0.04,2.462,0.07,0.199,0.026
14,2038.999999999999,964785509.314,0.113,877773028.571,0.098,4282329.39,11.52,4469301.106,11.597,152326736.551,0.038,40309.656,0.04,2.633,0.069,0.204,0.025
15,2039.9999999999998,1073459350.433,0.113,963547183.735,0.098,53614324.606,11.52,56297842.092,11.597,158071148.656,0.038,41932.521,0.04,2.817,0.07,0.209,0.025
16,2041.0000000000002,1136598790.218,0.059,1011597411.038,0.05,59765499.558,0.115,63047803.982,0.12,160386899.969,0.015,42613.793,0.016,2.935,0.042,0.209,0.0
17,2041.9999999999995,1203452007.199,0.059,1062043809.885,0.05,66622399.213,0.115,70607068.391,0.12,162736577.169,0.015,43306.134,0.016,3.058,0.042,0.209,0.0
18,2043.0,1274237440.77,0.059,1115005872.701,0.05,74265991.412,0.115,79072668.547,0.12,165120677.274,0.015,44009.723,0.016,3.186,0.042,0.21,0.005
19,2044.0000000000002,1349186378.642,0.059,1170609050.761,0.05,82786533.442,0.115,88553271.699,0.12,167539704.582,0.015,44724.743,0.016,3.319,0.042,0.21,0.0
20,2044.9999999999993,1428543712.553,0.059,1228985051.357,0.05,92284637.813,0.115,99170574.013,0.12,169994170.777,0.015,45451.38,0.016,3.458,0.042,0.211,0.005
21,2045.9999999999993,1512568738.449,0.059,1290272149.764,0.05,102872460.318,0.115,111060862.704,0.12,172484595.041,0.015,46189.823,0.016,3.603,0.042,0.211,0.0
22,2046.9999999999995,1601536003.715,0.059,1354615516.778,0.05,114675024.387,0.115,124376765.459,0.12,175011504.162,0.015,46940.263,0.016,3.754,0.042,0.212,0.005
23,2048.0,1695736204.243,0.059,1422167562.58,0.05,127831697.401,0.115,139289209.624,0.12,177575432.645,0.015,47702.895,0.016,3.911,0.042,0.212,0.0
24,2049.000000000001,1795477134.27,0.059,1493088297.753,0.05,142497836.366,0.115,155989616.275,0.12,180176922.827,0.015,48477.918,0.016,4.075,0.042,0.213,0.005
25,2049.999999999999,1901084692.077,0.059,1567545712.295,0.05,158846622.409,0.115,174692357.373,0.12,182816524.987,0.015,49265.532,0.016,4.246,0.042,0.213,0.0
