,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,203765213.129,,203765213.129,,0.0,,0.0,,86534750.226,,22672.89,,0.989,,0.156,
1,2026.0,228723836.429,0.122,227544611.362,0.117,0.0,,0.0,,90047500.452,0.041,23615.365,0.042,1.066,0.078,0.158,0.013
2,2026.9999999999995,256739570.742,0.122,254099065.119,0.117,0.0,,0.0,,93702845.58,0.041,24597.018,0.042,1.148,0.077,0.16,0.013
3,2027.999999999999,288186872.928,0.122,283752423.351,0.117,0.0,,0.0,,97506574.038,0.041,25619.477,0.042,1.238,0.078,0.162,0.012
4,2029.0,323486066.01,0.122,316866328.177,0.117,0.0,,0.0,,101464709.228,0.041,26684.437,0.042,1.334,0.078,0.164,0.012
5,2030.0,363108957.181,0.122,353844625.349,0.117,0.0,,0.0,,105583519.064,0.041,27793.667,0.042,1.437,0.077,0.166,0.012
6,2031.0000000000007,407585143.965,0.122,395138289.413,0.117,0.0,,0.0,,109869525.894,0.041,28949.005,0.042,1.549,0.078,0.168,0.012
7,2032.0000000000005,457509092.783,0.122,441250923.64,0.117,8129084.571,inf,8129084.571,inf,114329516.834,0.041,30152.369,0.042,1.669,0.077,0.17,0.012
8,2033.0000000000007,501190859.393,0.095,480637452.274,0.089,9831996.546,0.209,9831996.546,0.209,118393096.892,0.036,31300.295,0.038,1.762,0.056,0.174,0.024
9,2034.0000000000002,549043246.357,0.095,523539664.514,0.089,11891641.087,0.209,11891641.087,0.209,122601107.568,0.036,32491.923,0.038,1.859,0.055,0.178,0.023
10,2034.9999999999993,601464453.553,0.095,570271374.031,0.089,14382747.906,0.209,14382747.906,0.209,126958682.319,0.036,33728.917,0.038,1.962,0.055,0.183,0.028
11,2035.9999999999998,658890699.936,0.095,621174405.842,0.089,17395701.385,0.209,17395701.385,0.209,131471137.055,0.036,35013.006,0.038,2.071,0.056,0.187,0.022
12,2036.999999999999,721799853.503,0.095,676621096.63,0.089,21039819.974,0.209,21039819.974,0.209,136143976.629,0.036,36345.98,0.038,2.185,0.055,0.191,0.021
13,2038.0000000000005,790715407.834,0.095,737017018.246,0.089,25447322.574,0.209,25447322.574,0.209,140982901.552,0.036,37729.702,0.038,2.306,0.055,0.196,0.026
14,2038.999999999999,866210838.297,0.095,802803944.32,0.089,30778125.81,0.209,30778125.81,0.209,145993814.946,0.036,39166.103,0.038,2.433,0.055,0.201,0.026
15,2039.9999999999998,948914374.185,0.095,874463081.665,0.089,37225646.26,0.209,37225646.26,0.209,151182829.747,0.036,40657.189,0.038,2.568,0.055,0.206,0.025
16,2041.0000000000002,1002872413.749,0.057,917117572.323,0.049,41879706.108,0.125,41879706.108,0.125,153475410.344,0.015,41294.49,0.016,2.672,0.04,0.206,0.0
17,2041.9999999999995,1059898664.854,0.057,961852660.334,0.049,47115630.215,0.125,47115630.215,0.125,155802756.303,0.015,41941.78,0.016,2.781,0.041,0.207,0.005
18,2043.0,1120167594.959,0.057,1008769832.91,0.049,53006164.964,0.125,53006164.964,0.125,158165394.816,0.015,42599.217,0.016,2.893,0.04,0.207,0.0
19,2044.0000000000002,1183863592.25,0.057,1057975527.599,0.049,59633151.702,0.125,59633151.702,0.125,160563861.069,0.015,43266.959,0.016,3.011,0.041,0.208,0.005
20,2044.9999999999993,1251181529.767,0.057,1109581373.751,0.049,67088663.825,0.125,67088663.825,0.125,162998698.366,0.015,43945.168,0.016,3.133,0.041,0.208,0.0
21,2045.9999999999993,1322327361.596,0.057,1163704445.762,0.049,75476286.014,0.125,75476286.014,0.125,165470458.247,0.015,44634.007,0.016,3.26,0.041,0.209,0.005
22,2046.9999999999995,1397518752.975,0.057,1220467528.676,0.049,84912553.414,0.125,84912553.414,0.125,167979700.616,0.015,45333.645,0.016,3.392,0.04,0.209,0.0
23,2048.0,1476985746.222,0.057,1279999396.735,0.049,95528570.735,0.125,95528570.735,0.125,170526993.87,0.015,46044.249,0.016,3.529,0.04,0.21,0.005
24,2049.000000000001,1560971464.532,0.057,1342435105.519,0.049,107471833.784,0.125,107471833.784,0.125,173112915.023,0.015,46765.991,0.016,3.673,0.041,0.21,0.0
25,2049.999999999999,1649732855.796,0.057,1407916298.341,0.049,120908278.727,0.125,120908278.727,0.125,175738049.84,0.015,47499.047,0.016,3.822,0.041,0.211,0.005
