,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,203765213.129,,203765213.129,,0.0,,0.0,,86534750.226,,22672.89,,0.989,,0.156,
1,2026.0,228127692.101,0.12,226982765.234,0.114,0.0,,0.0,,89961516.594,0.04,23595.212,0.041,1.064,0.076,0.157,0.006
2,2026.9999999999995,255402986.134,0.12,252845787.18,0.114,0.0,,0.0,,93523982.526,0.04,24555.055,0.041,1.144,0.075,0.159,0.013
3,2027.999999999999,285939355.829,0.12,281655710.858,0.114,0.0,,0.0,,97227521.707,0.04,25553.944,0.041,1.231,0.076,0.161,0.013
4,2029.0,320126700.356,0.12,313748314.116,0.114,0.0,,0.0,,101077720.623,0.04,26593.467,0.041,1.325,0.076,0.163,0.012
5,2030.0,358401535.82,0.12,349497634.223,0.114,0.0,,0.0,,105080386.983,0.04,27675.277,0.041,1.425,0.075,0.165,0.012
6,2031.0000000000007,401252568.859,0.12,389320327.257,0.114,0.0,,0.0,,109241558.48,0.04,28801.095,0.041,1.533,0.076,0.167,0.012
7,2032.0000000000005,449226936.62,0.12,433680524.197,0.114,7773206.211,inf,7773206.211,inf,113567511.9,0.04,29972.71,0.041,1.649,0.076,0.169,0.012
8,2033.0000000000007,491366925.552,0.094,471713911.955,0.088,9394612.54,0.209,9394612.54,0.209,117450560.96,0.034,31057.044,0.036,1.741,0.056,0.173,0.024
9,2034.0000000000002,537459880.173,0.094,513082793.247,0.088,11354226.607,0.209,11354226.607,0.209,121466377.479,0.034,32180.606,0.036,1.838,0.056,0.177,0.023
10,2034.9999999999993,587876610.684,0.094,558079687.825,0.088,13722594.868,0.209,13722594.868,0.209,125619500.983,0.034,33344.816,0.036,1.94,0.055,0.181,0.023
11,2035.9999999999998,643022711.348,0.094,607022769.155,0.088,16584979.008,0.209,16584979.008,0.209,129914626.209,0.034,34551.144,0.036,2.048,0.056,0.185,0.022
12,2036.999999999999,703341823.428,0.094,660258114.229,0.088,20044425.367,0.209,20044425.367,0.209,134356608.417,0.034,35801.113,0.036,2.162,0.056,0.189,0.022
13,2038.0000000000005,769319204.21,0.094,718162150.675,0.088,24225474.637,0.209,24225474.637,0.209,138950468.874,0.034,37096.304,0.036,2.282,0.056,0.193,0.021
14,2038.999999999999,841485630.815,0.094,781144318.482,0.088,29278645.34,0.209,29278645.34,0.209,143701400.531,0.034,38438.35,0.036,2.409,0.056,0.197,0.021
15,2039.9999999999998,920421670.216,0.094,849649965.156,0.088,35385852.53,0.209,35385852.53,0.209,148614773.898,0.034,39828.949,0.036,2.543,0.056,0.201,0.02
16,2041.0000000000002,972987766.299,0.057,891179518.584,0.049,39892463.268,0.127,39892463.268,0.127,150881973.983,0.015,40454.708,0.016,2.646,0.041,0.202,0.005
17,2041.9999999999995,1028555958.647,0.057,934738971.239,0.049,44973019.211,0.127,44973019.211,0.127,153183761.451,0.015,41090.298,0.016,2.754,0.041,0.202,0.0
18,2043.0,1087297699.633,0.057,980427541.402,0.049,50700615.887,0.127,50700615.887,0.127,155520663.952,0.015,41735.874,0.016,2.866,0.041,0.203,0.005
19,2044.0000000000002,1149394233.428,0.057,1028349296.986,0.049,57157658.001,0.127,57157658.001,0.127,157893217.186,0.015,42391.593,0.016,2.983,0.041,0.203,0.0
20,2044.9999999999993,1215037155.218,0.057,1078613392.582,0.049,64437045.014,0.127,64437045.014,0.127,160301965.025,0.015,43057.614,0.016,3.105,0.041,0.204,0.005
21,2045.9999999999993,1284429002.36,0.057,1131334318.083,0.049,72643507.718,0.127,72643507.718,0.127,162747459.635,0.015,43734.099,0.016,3.231,0.041,0.204,0.0
22,2046.9999999999995,1357783879.299,0.057,1186632159.469,0.049,81895115.029,0.127,81895115.029,0.127,165230261.611,0.015,44421.213,0.016,3.363,0.041,0.205,0.005
23,2048.0,1435328118.173,0.057,1244632872.335,0.049,92324972.682,0.127,92324972.682,0.127,167750940.095,0.015,45119.121,0.016,3.5,0.041,0.206,0.005
24,2049.000000000001,1517300977.149,0.057,1305468568.786,0.049,104083138.265,0.127,104083138.265,0.127,170310072.916,0.015,45827.995,0.016,3.643,0.041,0.206,0.0
25,2049.999999999999,1603955378.641,0.057,1369277818.358,0.049,117338780.142,0.127,117338780.142,0.127,172908246.715,0.015,46548.006,0.016,3.791,0.041,0.207,0.005
