,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,169382187.253,,169382187.253,,0.0,,0.0,,110489336.063,,29525.779,,0.631,,0.203,
1,2026.0,192249839.826,0.135,192249839.826,0.135,0.0,,0.0,,114223769.12,0.034,30520.991,0.034,0.693,0.098,0.204,0.005
2,2026.9999999999995,218204768.237,0.135,218204768.237,0.135,0.0,,0.0,,118084422.416,0.034,31549.748,0.034,0.761,0.098,0.205,0.005
3,2027.999999999999,247663773.995,0.135,247663773.995,0.135,0.0,,0.0,,122075562.071,0.034,32613.181,0.034,0.836,0.099,0.206,0.005
4,2029.0,281099929.416,0.135,281099929.416,0.135,0.0,,0.0,,126201598.4,0.034,33712.459,0.034,0.917,0.097,0.207,0.005
5,2030.0,319050174.529,0.135,319050174.529,0.135,0.0,,0.0,,130467090.78,0.034,34848.79,0.034,1.007,0.098,0.208,0.005
6,2031.0000000000007,362123939.62,0.135,362123939.62,0.135,0.0,,0.0,,134876752.69,0.034,36023.423,0.034,1.106,0.098,0.209,0.005
7,2032.0000000000005,411012931.866,0.135,411012931.866,0.135,0.0,,0.0,,139435456.923,0.034,37237.648,0.034,1.214,0.098,0.21,0.005
8,2033.0000000000007,454220206.31,0.105,449985093.253,0.095,0.0,,0.0,,141648784.959,0.016,37816.749,0.016,1.322,0.089,0.21,0.0
9,2034.0000000000002,501969597.12,0.105,492652586.94,0.095,0.0,,0.0,,143897246.247,0.016,38404.855,0.016,1.438,0.088,0.21,0.0
10,2034.9999999999993,554738589.197,0.105,539365803.573,0.095,0.0,,0.0,,146181398.475,0.016,39002.107,0.016,1.565,0.088,0.21,0.0
11,2035.9999999999998,613054862.505,0.105,590508357.769,0.095,0.0,,0.0,,148501808.181,0.016,39608.648,0.016,1.703,0.088,0.211,0.005
12,2036.999999999999,677501568.776,0.105,646500238.4,0.095,0.0,,0.0,,150859050.899,0.016,40224.621,0.016,1.853,0.088,0.211,0.0
13,2038.0000000000005,748723162.912,0.105,707801257.599,0.095,0.0,,0.0,,153253711.298,0.016,40850.173,0.016,2.017,0.089,0.211,0.0
14,2038.999999999999,827431847.418,0.105,774914826.788,0.095,0.0,,0.0,,155686383.327,0.016,41485.454,0.016,2.195,0.088,0.211,0.0
15,2039.9999999999998,914414694.289,0.105,848392090.759,0.095,33011301.765,inf,33011301.765,inf,158157670.364,0.016,42130.614,0.016,2.388,0.088,0.211,0.0
16,2041.0000000000002,982909828.762,0.075,904312844.131,0.066,38097638.105,0.154,38097638.105,0.154,161503478.326,0.021,43057.022,0.022,2.512,0.052,0.213,0.009
17,2041.9999999999995,1056535658.832,0.075,963919547.303,0.066,43967670.209,0.154,43967670.209,0.154,164920066.485,0.021,44003.8,0.022,2.642,0.052,0.215,0.009
18,2043.0,1135676504.314,0.075,1027455155.262,0.066,50742148.852,0.154,50742148.852,0.154,168408932.187,0.021,44971.397,0.022,2.779,0.052,0.217,0.009
19,2044.0000000000002,1220745472.875,0.075,1095178637.086,0.066,58560429.922,0.154,58560429.922,0.154,171971604.456,0.021,45960.27,0.022,2.922,0.051,0.219,0.009
20,2044.9999999999993,1312186616.422,0.075,1167366031.487,0.066,67583341.073,0.154,67583341.073,0.154,175609644.661,0.021,46970.888,0.022,3.074,0.052,0.222,0.014
21,2045.9999999999993,1410477249.005,0.075,1244311571.942,0.066,77996490.064,0.154,77996490.064,0.154,179324647.202,0.021,48003.728,0.022,3.233,0.052,0.224,0.009
22,2046.9999999999995,1516130438.356,0.075,1326328885.976,0.066,90014082.846,0.154,90014082.846,0.154,183118240.211,0.021,49059.279,0.022,3.4,0.052,0.226,0.009
23,2048.0,1629697684.051,0.075,1413752273.499,0.066,103883329.928,0.154,103883329.928,0.154,186992086.258,0.021,50138.04,0.022,3.576,0.052,0.228,0.009
24,2049.000000000001,1751771796.285,0.075,1506938069.401,0.066,119889531.68,0.154,119889531.68,0.154,190947883.088,0.021,51240.523,0.022,3.762,0.052,0.23,0.009
25,2049.999999999999,1882989990.285,0.075,1606266095.963,0.066,138361947.161,0.154,138361947.161,0.154,194987364.362,0.021,52367.247,0.022,3.956,0.052,0.233,0.013
