,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2024.9999999999995,139960587.547,,139960587.547,,0.0,,0.0,,92525673.774,,31924.999,,0.707,,0.204,
1,2026.0,158838830.52,0.135,158838830.52,0.135,0.0,,0.0,,95648453.387,0.034,32987.455,0.033,0.776,0.098,0.205,0.005
2,2026.9999999999995,180263419.318,0.135,180263419.318,0.135,0.0,,0.0,,98876628.098,0.034,34085.27,0.033,0.852,0.098,0.206,0.005
3,2027.999999999999,204577811.595,0.135,204577811.595,0.135,0.0,,0.0,,102213755.036,0.034,35219.619,0.033,0.936,0.099,0.207,0.005
4,2029.0,232171791.457,0.135,232171791.457,0.135,0.0,,0.0,,105663511.384,0.034,36391.719,0.033,1.028,0.098,0.209,0.01
5,2030.0,263487718.087,0.135,263487718.087,0.135,0.0,,0.0,,109229698.429,0.034,37602.827,0.033,1.129,0.098,0.21,0.005
6,2031.0000000000007,299027617.209,0.135,299027617.209,0.135,0.0,,0.0,,112916245.757,0.034,38854.239,0.033,1.24,0.098,0.211,0.005
7,2032.0000000000005,339361229.065,0.135,339361229.065,0.135,0.0,,0.0,,116727215.575,0.034,40147.299,0.033,1.362,0.098,0.212,0.005
8,2033.0000000000007,374709395.974,0.104,370416609.807,0.092,0.0,,0.0,,118585305.51,0.016,40771.479,0.016,1.481,0.087,0.213,0.005
9,2034.0000000000002,413739459.331,0.104,404313908.217,0.092,0.0,,0.0,,120472972.937,0.016,41405.363,0.016,1.61,0.087,0.213,0.0
10,2034.9999999999993,456834928.739,0.104,441313191.821,0.092,0.0,,0.0,,122390688.676,0.016,42049.102,0.016,1.751,0.088,0.213,0.0
11,2035.9999999999998,504419260.501,0.104,481698327.259,0.092,0.0,,0.0,,124338931.043,0.016,42702.85,0.016,1.904,0.087,0.213,0.0
12,2036.999999999999,556960018.505,0.104,525779158.168,0.092,0.0,,0.0,,126318185.968,0.016,43366.761,0.016,2.07,0.087,0.214,0.005
13,2038.0000000000005,614973468.51,0.104,573893882.374,0.092,0.0,,0.0,,128328947.116,0.016,44040.995,0.016,2.25,0.087,0.214,0.0
14,2038.999999999999,679029650.972,0.104,626411646.62,0.092,0.0,,0.0,,130371716.009,0.016,44725.711,0.016,2.447,0.088,0.214,0.0
15,2039.9999999999998,749757982.269,0.104,683735378.739,0.092,33011301.765,inf,33011301.765,inf,132447002.155,0.016,45421.072,0.016,2.66,0.087,0.215,0.005
16,2041.0000000000002,804600423.554,0.073,725797632.069,0.062,38097638.105,0.154,38097638.105,0.154,135089974.527,0.02,46340.269,0.02,2.798,0.052,0.217,0.009
17,2041.9999999999995,863454417.149,0.073,770447484.652,0.062,43967670.209,0.154,43967670.209,0.154,137785687.263,0.02,47278.067,0.02,2.943,0.052,0.219,0.009
18,2043.0,926613395.505,0.073,817844121.252,0.062,50742148.852,0.154,50742148.852,0.154,140535192.792,0.02,48234.844,0.02,3.096,0.052,0.221,0.009
19,2044.0000000000002,994392254.735,0.073,868156519.414,0.062,58560429.922,0.154,58560429.922,0.154,143339564.547,0.02,49210.984,0.02,3.257,0.052,0.223,0.009
20,2044.9999999999993,1067128924.613,0.073,921564051.896,0.062,67583341.073,0.154,67583341.073,0.154,146199897.381,0.02,50206.877,0.02,3.425,0.052,0.225,0.009
21,2045.9999999999993,1145186053.413,0.073,978257126.17,0.062,77996490.064,0.154,77996490.064,0.154,149117307.993,0.02,51222.925,0.02,3.603,0.052,0.227,0.009
22,2046.9999999999995,1228952815.995,0.073,1038437863.254,0.062,90014082.846,0.154,90014082.846,0.154,152092935.367,0.02,52259.535,0.02,3.79,0.052,0.23,0.013
23,2048.0,1318846854.134,0.073,1102320818.312,0.062,103883329.928,0.154,103883329.928,0.154,155127941.216,0.02,53317.123,0.02,3.986,0.052,0.232,0.009
24,2049.000000000001,1415316358.79,0.073,1170133745.582,0.062,119889531.68,0.154,119889531.68,0.154,158223510.434,0.02,54396.114,0.02,4.193,0.052,0.234,0.009
25,2049.999999999999,1518842304.684,0.073,1242118410.362,0.062,138361947.161,0.154,138361947.161,0.154,161380851.558,0.02,55496.94,0.02,4.411,0.052,0.236,0.009
