,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,131456104.318,,131456104.318,,0.0,,0.0,,51748799.426,,20604.576,,0.945,,0.161,,161769.801,
1,2026.0,148369880.932,0.129,147958366.13,0.126,0.0,,0.0,,54310647.24,0.05,21620.724,0.049,1.016,0.075,0.164,0.019,166431.009,0.029
2,2026.9999999999995,167459865.65,0.129,166532229.306,0.126,0.0,,0.0,,56999320.493,0.05,22686.985,0.049,1.093,0.076,0.168,0.024,171226.524,0.029
3,2027.999999999999,189006059.905,0.129,187437751.059,0.126,0.0,,0.0,,59821097.737,0.05,23805.83,0.049,1.176,0.076,0.171,0.018,176160.216,0.029
4,2029.0,213324491.465,0.129,210967634.723,0.126,0.0,,0.0,,62782568.344,0.05,24979.853,0.049,1.265,0.076,0.174,0.018,181236.068,0.029
5,2030.0,240771849.759,0.129,237451327.97,0.126,0.0,,0.0,,65890647.899,0.05,26211.775,0.049,1.36,0.075,0.178,0.023,186458.173,0.029
6,2031.0000000000007,271750717.596,0.129,267259635.483,0.126,0.0,,0.0,,69152594.344,0.05,27504.451,0.049,1.463,0.076,0.181,0.017,191830.748,0.029
7,2032.0000000000005,306715476.032,0.129,300809910.685,0.126,2952782.674,inf,2952782.674,inf,72576024.928,0.05,28860.877,0.049,1.574,0.076,0.185,0.022,197358.127,0.029
8,2033.0000000000007,333053915.55,0.086,322780480.077,0.073,3969909.778,0.344,3987416.322,0.35,74174619.692,0.022,29510.496,0.023,1.671,0.062,0.186,0.005,200353.285,0.015
9,2034.0000000000002,361654103.986,0.086,346355737.023,0.073,5337400.474,0.344,5384578.102,0.35,75808425.88,0.022,30174.736,0.023,1.775,0.062,0.188,0.011,203393.898,0.015
10,2034.9999999999993,392710263.484,0.086,371652884.771,0.073,7175942.381,0.344,7271295.243,0.35,77478219.077,0.022,30853.928,0.023,1.885,0.062,0.189,0.005,206480.657,0.015
11,2035.9999999999998,426433294.538,0.086,398797686.87,0.073,9647795.646,0.344,9819104.397,0.35,79184791.95,0.022,31548.407,0.023,2.002,0.062,0.19,0.005,209614.261,0.015
12,2036.999999999999,463052208.203,0.086,427925092.39,0.073,12971113.184,0.344,13259647.412,0.35,80928954.625,0.022,32258.519,0.023,2.126,0.062,0.192,0.011,212795.421,0.015
13,2038.0000000000005,502815681.299,0.086,459179906.82,0.073,17439193.718,0.344,17905731.764,0.35,82711535.075,0.022,32984.614,0.023,2.258,0.062,0.193,0.005,216024.86,0.015
14,2038.999999999999,545993745.158,0.086,492717511.959,0.073,23446366.803,0.344,24179770.4,0.35,84533379.507,0.022,33727.052,0.023,2.397,0.062,0.195,0.01,219303.309,0.015
15,2039.9999999999998,592879619.389,0.086,528704638.39,0.073,31522794.296,0.344,32652186.703,0.35,86395352.768,0.022,34486.201,0.023,2.546,0.062,0.196,0.005,222631.513,0.015
16,2041.0000000000002,648664103.059,0.094,566551955.252,0.072,37219429.156,0.181,39786709.522,0.219,88140110.347,0.02,35187.883,0.02,2.73,0.072,0.197,0.005,225748.926,0.014
17,2041.9999999999995,709697390.225,0.094,607108571.957,0.072,43945530.136,0.181,48480129.954,0.219,89920103.375,0.02,35903.842,0.02,2.927,0.072,0.198,0.005,228909.991,0.014
18,2043.0,776473344.704,0.094,650568433.71,0.072,51887136.981,0.181,59073068.08,0.219,91736043.432,0.02,36634.368,0.02,3.139,0.072,0.2,0.01,232115.319,0.014
19,2044.0000000000002,849532298.33,0.094,697139369.282,0.072,61263909.565,0.181,71980569.684,0.219,93588656.471,0.02,37379.758,0.02,3.366,0.072,0.201,0.005,235365.53,0.014
20,2044.9999999999993,929465423.157,0.094,747044084.865,0.072,72335203.55,0.181,87708368.305,0.219,95478683.104,0.02,38140.315,0.02,3.609,0.072,0.202,0.005,238661.252,0.014
21,2045.9999999999993,1016919515.058,0.094,800521229.072,0.072,85407244.002,0.181,106872700.569,0.219,97406878.9,0.02,38916.346,0.02,3.87,0.072,0.203,0.005,242003.123,0.014
22,2046.9999999999995,1112602227.411,0.094,857826534.173,0.072,100841595.377,0.181,130224451.186,0.219,99374014.686,0.02,39708.167,0.02,4.149,0.072,0.205,0.01,245391.789,0.014
23,2048.0,1217287797.226,0.094,919234039.034,0.072,119065162.178,0.181,158678573.635,0.219,101380876.858,0.02,40516.098,0.02,4.449,0.072,0.206,0.005,248827.905,0.014
24,2049.000000000001,1331823310.045,0.094,985037399.586,0.072,140581996.857,0.181,193349939.288,0.219,103428267.691,0.02,41340.469,0.02,4.771,0.072,0.207,0.005,252312.135,0.014
25,2049.999999999999,1457135554.321,0.094,1055551293.122,0.072,165987241.599,0.181,235597019.601,0.219,105517005.663,0.02,42181.613,0.02,5.116,0.072,0.208,0.005,255845.153,0.014
