,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,37544907.972,,37544907.972,,0.0,,0.0,,12078399.111,,16152.444,,1.202,,0.134,,166265.104,
1,2026.0,42688714.006,0.137,42521386.55,0.133,0.0,,0.0,,12865612.15,0.065,17199.841,0.065,1.283,0.067,0.139,0.037,170699.081,0.027
2,2026.9999999999995,48537242.515,0.137,48157484.244,0.133,0.0,,0.0,,13704132.02,0.065,18315.156,0.065,1.37,0.068,0.144,0.036,175251.304,0.027
3,2027.999999999999,55187043.363,0.137,54540631.831,0.133,0.0,,0.0,,14597302.656,0.065,19502.792,0.065,1.463,0.068,0.149,0.035,179924.926,0.027
4,2029.0,62747894.14,0.137,61769848.802,0.133,0.0,,0.0,,15548685.939,0.065,20767.441,0.065,1.562,0.068,0.155,0.04,184723.184,0.027
5,2030.0,71344612.413,0.137,69957279.426,0.133,0.0,,0.0,,16562075.893,0.065,22114.095,0.065,1.668,0.068,0.16,0.032,189649.403,0.027
6,2031.0000000000007,81119116.269,0.137,79229932.396,0.133,0.0,,0.0,,17641513.821,0.065,23548.072,0.065,1.781,0.068,0.166,0.038,194706.995,0.027
7,2032.0000000000005,92232767.153,0.137,89731651.073,0.133,1250558.04,inf,1250558.04,inf,18791304.418,0.065,25075.034,0.065,1.901,0.067,0.172,0.036,199899.463,0.027
8,2033.0000000000007,101628004.11,0.102,96636916.8,0.077,1750711.055,0.4,1763761.602,0.41,19167294.718,0.02,25582.684,0.02,2.054,0.08,0.174,0.012,202530.432,0.013
9,2034.0000000000002,111980281.391,0.102,104073574.674,0.077,2450897.2,0.4,2487573.459,0.41,19550808.111,0.02,26100.612,0.02,2.218,0.08,0.175,0.006,205196.028,0.013
10,2034.9999999999993,123387087.351,0.102,112082517.781,0.077,3431118.497,0.4,3508422.967,0.41,19941995.122,0.02,26629.025,0.02,2.395,0.08,0.176,0.006,207896.707,0.013
11,2035.9999999999998,135955840.938,0.102,120707786.115,0.077,4803373.288,0.4,4948208.331,0.41,20341009.292,0.02,27168.136,0.02,2.587,0.08,0.177,0.006,210632.931,0.013
12,2036.999999999999,149804903.268,0.102,129996808.756,0.077,6724452.962,0.4,6978852.3,0.41,20748007.233,0.02,27718.162,0.02,2.794,0.08,0.179,0.011,213405.168,0.013
13,2038.0000000000005,165064692.244,0.102,140000664.669,0.077,9413856.665,0.4,9842831.215,0.41,21163148.689,0.02,28279.322,0.02,3.017,0.08,0.18,0.006,216213.892,0.013
14,2038.999999999999,181878910.711,0.102,150774363.58,0.077,13178870.878,0.4,13882128.776,0.41,21586596.602,0.02,28851.844,0.02,3.259,0.08,0.181,0.006,219059.582,0.013
15,2039.9999999999998,200405899.722,0.102,162377148.471,0.077,18449679.424,0.4,19579071.827,0.41,22018517.174,0.02,29435.957,0.02,3.519,0.08,0.182,0.006,221942.726,0.013
16,2041.0000000000002,217975571.088,0.088,172775151.794,0.064,20989758.32,0.138,22936686.492,0.171,22540834.246,0.024,30132.569,0.024,3.739,0.063,0.184,0.011,224755.888,0.013
17,2041.9999999999995,237085583.094,0.088,183839002.954,0.064,23879545.233,0.138,26870098.435,0.171,23075541.577,0.024,30845.667,0.024,3.973,0.063,0.186,0.011,227604.707,0.013
18,2043.0,257870978.067,0.088,195611340.267,0.064,27167186.579,0.138,31478051.119,0.171,23622933.084,0.024,31575.64,0.024,4.222,0.063,0.188,0.011,230489.636,0.013
19,2044.0000000000002,280478637.55,0.088,208137532.439,0.064,30907457.383,0.138,36876221.523,0.171,24183309.659,0.024,32322.889,0.024,4.486,0.063,0.19,0.011,233411.132,0.013
20,2044.9999999999993,305068320.258,0.088,221465853.415,0.064,35162673.878,0.138,43200124.07,0.171,24756979.33,0.024,33087.821,0.024,4.766,0.062,0.192,0.011,236369.658,0.013
21,2045.9999999999993,331813791.017,0.088,235647668.414,0.064,40003731.752,0.138,50608512.549,0.171,25344257.431,0.024,33870.856,0.024,5.064,0.063,0.195,0.016,239365.684,0.013
22,2046.9999999999995,360904048.694,0.088,250737631.887,0.064,45511287.328,0.138,59287365.43,0.171,25945466.778,0.024,34672.422,0.024,5.381,0.063,0.197,0.01,242399.685,0.013
23,2048.0,392544661.764,0.088,266793898.142,0.064,51777101.374,0.138,69454554.631,0.171,26560937.844,0.024,35492.957,0.024,5.717,0.062,0.199,0.01,245472.143,0.013
24,2049.000000000001,426959220.982,0.088,283878345.465,0.064,58905567.917,0.138,81365314.921,0.171,27191008.942,0.024,36332.91,0.024,6.075,0.063,0.201,0.01,248583.544,0.013
25,2049.999999999999,464390919.399,0.088,302056814.586,0.064,67015453.54,0.138,95318651.272,0.171,27836026.409,0.024,37192.741,0.024,6.454,0.062,0.203,0.01,251734.384,0.013
