,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,70566117.883,,70566117.883,,0.0,,0.0,,19268292.716,,26237.814,,1.249,,0.176,,177717.243,
1,2026.0,79486487.28,0.126,79246215.529,0.123,0.0,,0.0,,20350052.265,0.056,27680.809,0.055,1.333,0.067,0.181,0.028,182655.971,0.028
2,2026.9999999999995,89534494.026,0.126,88994022.401,0.123,0.0,,0.0,,21492543.905,0.056,29203.164,0.055,1.424,0.068,0.185,0.022,187731.945,0.028
3,2027.999999999999,100852684.461,0.126,99940873.772,0.123,0.0,,0.0,,22699177.256,0.056,30809.244,0.055,1.52,0.067,0.19,0.027,192948.979,0.028
4,2029.0,113601624.419,0.126,112234260.019,0.123,0.0,,0.0,,23973553.358,0.056,32503.654,0.055,1.623,0.068,0.195,0.026,198310.994,0.028
5,2030.0,127962177.107,0.126,126039813.808,0.123,0.0,,0.0,,25319475.42,0.056,34291.25,0.055,1.733,0.068,0.2,0.026,203822.018,0.028
6,2031.0000000000007,144138068.92,0.126,141543541.715,0.123,0.0,,0.0,,26740960.173,0.056,36177.158,0.055,1.85,0.068,0.206,0.03,209486.192,0.028
7,2032.0000000000005,162358779.616,0.126,158954330.349,0.123,1702224.633,inf,1702224.633,inf,28242249.854,0.056,38166.786,0.055,1.975,0.068,0.211,0.024,215307.773,0.028
8,2033.0000000000007,174622283.154,0.076,169406691.01,0.066,2196277.168,0.29,2196277.168,0.29,29026747.38,0.028,39242.823,0.028,2.066,0.046,0.214,0.014,218330.703,0.014
9,2034.0000000000002,187812090.273,0.076,180546367.602,0.066,2833723.179,0.29,2833723.179,0.29,29833036.242,0.028,40349.198,0.028,2.161,0.046,0.217,0.014,221396.074,0.014
10,2034.9999999999993,201998167.793,0.076,192418555.961,0.066,3656181.092,0.29,3656181.093,0.29,30661721.749,0.028,41486.764,0.028,2.261,0.046,0.22,0.014,224504.484,0.014
11,2035.9999999999998,217255767.359,0.076,205071423.867,0.066,4717348.638,0.29,4717348.639,0.29,31513426.021,0.028,42656.402,0.028,2.365,0.046,0.223,0.014,227656.536,0.014
12,2036.999999999999,233665824.628,0.076,218556306.468,0.066,6086508.739,0.29,6086508.741,0.29,32388788.462,0.028,43859.016,0.028,2.474,0.046,0.226,0.013,230852.842,0.014
13,2038.0000000000005,251315388.599,0.076,232927914.559,0.066,7853052.95,0.29,7853052.952,0.29,33288466.234,0.028,45095.535,0.028,2.588,0.046,0.229,0.013,234094.025,0.014
14,2038.999999999999,270298083.373,0.076,248244556.552,0.066,10132317.766,0.29,10132317.769,0.29,34213134.755,0.028,46366.915,0.028,2.707,0.046,0.233,0.017,237380.715,0.014
15,2039.9999999999998,290714604.793,0.076,264568375.045,0.066,13073114.872,0.29,13073114.876,0.29,35163488.205,0.028,47674.139,0.028,2.832,0.046,0.236,0.013,240713.549,0.014
16,2041.0000000000002,319854344.181,0.1,282867320.128,0.069,16006350.078,0.224,16574492.53,0.268,35841876.683,0.019,48615.468,0.02,3.055,0.079,0.237,0.004,243969.256,0.014
17,2041.9999999999995,351914901.436,0.1,302431916.826,0.069,19597719.85,0.224,21013645.579,0.268,36533352.911,0.019,49575.384,0.02,3.296,0.079,0.239,0.008,247268.998,0.014
18,2043.0,387189044.343,0.1,323349704.284,0.069,23994890.868,0.224,26641738.788,0.268,37238169.383,0.019,50554.253,0.02,3.556,0.079,0.24,0.004,250613.369,0.014
19,2044.0000000000002,425998886.23,0.1,345714276.316,0.069,29378662.016,0.224,33777206.482,0.268,37956583.464,0.019,51552.45,0.02,3.837,0.079,0.242,0.008,254002.973,0.014
20,2044.9999999999993,468698827.408,0.1,369625700.18,0.069,35970398.307,0.224,42823769.379,0.268,38688857.485,0.019,52570.357,0.02,4.14,0.079,0.243,0.004,257438.423,0.014
21,2045.9999999999993,515678791.459,0.1,395190964.311,0.069,44041132.767,0.224,54293276.881,0.268,39435258.838,0.019,53608.362,0.02,4.467,0.079,0.245,0.008,260920.338,0.014
22,2046.9999999999995,567367785.901,0.1,422524457.03,0.069,53922710.526,0.224,68834667.225,0.268,40196060.073,0.019,54666.863,0.02,4.819,0.079,0.246,0.004,264449.347,0.014
23,2048.0,624237819.762,0.1,451748478.36,0.069,66021433.323,0.224,87270684.036,0.268,40971538.998,0.019,55746.264,0.02,5.2,0.079,0.248,0.008,268026.086,0.014
24,2049.000000000001,686808213.833,0.1,482993787.234,0.069,80834765.455,0.224,110644426.698,0.268,41761978.781,0.019,56846.977,0.02,5.61,0.079,0.249,0.004,271651.202,0.014
25,2049.999999999999,755650342.955,0.1,516400186.568,0.069,98971788.058,0.224,140278368.328,0.268,42567668.054,0.019,57969.425,0.02,6.053,0.079,0.251,0.008,275325.348,0.014
