,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,22042031.388,,22042031.388,,0.0,,0.0,,18002709.75,,17011.27,,0.486,,0.165,,130287.664,
1,2026.0,24659488.734,0.119,24659488.734,0.119,0.0,,0.0,,18609942.542,0.034,17578.087,0.033,0.526,0.082,0.165,0.0,134400.09,0.032
2,2026.9999999999995,27587765.115,0.119,27587765.115,0.119,0.0,,0.0,,19237657.343,0.034,18163.791,0.033,0.57,0.084,0.165,0.0,138642.322,0.032
3,2027.999999999999,30863769.816,0.119,30863769.816,0.119,0.0,,0.0,,19886545.012,0.034,18769.011,0.033,0.617,0.082,0.165,0.0,143018.457,0.032
4,2029.0,34528795.039,0.119,34528795.039,0.119,0.0,,0.0,,20557319.713,0.034,19394.397,0.033,0.668,0.083,0.166,0.006,147532.72,0.032
5,2030.0,38629036.374,0.119,38629036.374,0.119,0.0,,0.0,,21250719.696,0.034,20040.621,0.033,0.723,0.082,0.166,0.0,152189.473,0.032
6,2031.0000000000007,43216175.065,0.119,43216175.065,0.119,0.0,,0.0,,21967508.115,0.034,20708.377,0.033,0.783,0.083,0.166,0.0,156993.213,0.032
7,2032.0000000000005,48348029.424,0.119,48348029.424,0.119,0.0,,0.0,,22708473.862,0.034,21398.383,0.033,0.848,0.083,0.167,0.006,161948.578,0.032
8,2033.0000000000007,52420762.726,0.084,52420762.726,0.084,0.0,,0.0,,23110294.746,0.018,21774.093,0.018,0.904,0.066,0.166,-0.006,164838.949,0.018
9,2034.0000000000002,56836574.262,0.084,56836574.262,0.084,0.0,,0.0,,23519225.753,0.018,22156.4,0.018,0.963,0.065,0.166,0.0,167780.906,0.018
10,2034.9999999999993,61624364.2,0.084,61624364.2,0.084,0.0,,0.0,,23935392.693,0.018,22545.42,0.018,1.026,0.065,0.166,0.0,170775.369,0.018
11,2035.9999999999998,66815467.194,0.084,66815467.194,0.084,0.0,,0.0,,24358923.605,0.018,22941.27,0.018,1.093,0.065,0.166,0.0,173823.275,0.018
12,2036.999999999999,72443857.464,0.084,72443857.464,0.084,0.0,,0.0,,24789948.794,0.018,23344.07,0.018,1.165,0.066,0.166,0.0,176925.579,0.018
13,2038.0000000000005,78546371.142,0.084,78546371.142,0.084,0.0,,0.0,,25228600.867,0.018,23753.943,0.018,1.241,0.065,0.166,0.0,180083.251,0.018
14,2038.999999999999,85162947.356,0.084,85162947.356,0.084,0.0,,0.0,,25675014.782,0.018,24171.012,0.018,1.322,0.065,0.166,0.0,183297.28,0.018
15,2039.9999999999998,92336889.624,0.084,92336889.624,0.084,0.0,,0.0,,26129327.881,0.018,24595.404,0.018,1.409,0.066,0.166,0.0,186568.671,0.018
16,2041.0000000000002,100200775.036,0.085,100200775.036,0.085,0.0,,0.0,,26653590.247,0.02,25085.438,0.02,1.499,0.064,0.167,0.006,189440.817,0.015
17,2041.9999999999995,108734389.459,0.085,108734389.459,0.085,0.0,,0.0,,27188371.485,0.02,25585.235,0.02,1.595,0.064,0.168,0.006,192357.178,0.015
18,2043.0,117994770.468,0.085,117994770.468,0.085,0.0,,0.0,,27733882.645,0.02,26094.99,0.02,1.697,0.064,0.168,0.0,195318.436,0.015
19,2044.0000000000002,128043813.25,0.085,128043813.25,0.085,0.0,,0.0,,28290339.015,0.02,26614.901,0.02,1.806,0.064,0.169,0.006,198325.281,0.015
20,2044.9999999999993,138948684.307,0.085,138948684.307,0.085,0.0,,0.0,,28857960.201,0.02,27145.17,0.02,1.921,0.064,0.17,0.006,201378.415,0.015
21,2045.9999999999993,150782270.385,0.085,150782270.385,0.085,0.0,,0.0,,29436970.215,0.02,27686.005,0.02,2.044,0.064,0.171,0.006,204478.551,0.015
22,2046.9999999999995,163623665.642,0.085,163623665.642,0.085,0.0,,0.0,,30027597.564,0.02,28237.615,0.02,2.175,0.064,0.171,0.0,207626.412,0.015
23,2048.0,177558700.303,0.085,177558700.303,0.085,0.0,,0.0,,30630075.34,0.02,28800.216,0.02,2.314,0.064,0.172,0.006,210822.733,0.015
24,2049.000000000001,192680514.334,0.085,192680514.334,0.085,0.0,,0.0,,31244641.312,0.02,29374.025,0.02,2.462,0.064,0.173,0.006,214068.26,0.015
25,2049.999999999999,209090179.984,0.085,209090179.984,0.085,0.0,,0.0,,31871538.019,0.02,29959.267,0.02,2.619,0.064,0.174,0.006,217363.751,0.015
