,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,37463782.242,,37463782.242,,0.0,,0.0,,10815465.519,,14295.152,,1.355,,0.12,,162578.203,
1,2026.0,41712054.416,0.113,41378219.804,0.104,0.0,,0.0,,11410509.566,0.055,15084.673,0.055,1.429,0.055,0.124,0.033,166259.429,0.023
2,2026.9999999999995,46442066.965,0.113,45701660.955,0.104,0.0,,0.0,,12038291.678,0.055,15917.8,0.055,1.508,0.055,0.128,0.032,170024.009,0.023
3,2027.999999999999,51708447.694,0.113,50476840.811,0.104,0.0,,0.0,,12700613.035,0.055,16796.94,0.055,1.591,0.055,0.132,0.031,173873.83,0.023
4,2029.0,57572019.026,0.113,55750959.703,0.104,0.0,,0.0,,13399373.912,0.055,17724.635,0.055,1.679,0.055,0.136,0.03,177810.822,0.023
5,2030.0,64100500.451,0.113,61576149.733,0.104,0.0,,0.0,,14136579.136,0.055,18703.567,0.055,1.772,0.055,0.141,0.037,181836.958,0.023
6,2031.0000000000007,71369290.631,0.113,68009990.072,0.104,0.0,,0.0,,14914343.832,0.055,19736.565,0.055,1.869,0.055,0.145,0.028,185954.257,0.023
7,2032.0000000000005,79462338.193,0.113,75116076.105,0.104,2173131.044,inf,2173131.044,inf,15734899.498,0.055,20826.616,0.055,1.972,0.055,0.15,0.034,190164.783,0.023
8,2033.0000000000007,84622209.403,0.065,79677600.645,0.061,2442362.645,0.124,2442362.645,0.124,16053633.918,0.02,21253.296,0.02,2.058,0.044,0.151,0.007,192082.731,0.01
9,2034.0000000000002,90117135.829,0.065,84516129.886,0.061,2744949.645,0.124,2744949.645,0.124,16378824.79,0.02,21688.718,0.02,2.148,0.044,0.153,0.013,194020.022,0.01
10,2034.9999999999993,95968874.216,0.065,89648485.309,0.061,3085024.482,0.124,3085024.482,0.124,16710602.9,0.02,22133.061,0.02,2.241,0.043,0.155,0.013,195976.853,0.01
11,2035.9999999999998,102200594.077,0.065,95092509.903,0.061,3467231.566,0.124,3467231.566,0.124,17049101.682,0.02,22586.506,0.02,2.339,0.044,0.156,0.006,197953.42,0.01
12,2036.999999999999,108836969.435,0.065,100867130.198,0.061,3896790.706,0.124,3896790.706,0.124,17394457.274,0.02,23049.242,0.02,2.441,0.044,0.158,0.013,199949.922,0.01
13,2038.0000000000005,115904276.513,0.065,106992422.061,0.061,4379568.402,0.124,4379568.402,0.124,17746808.57,0.02,23521.458,0.02,2.547,0.043,0.16,0.013,201966.56,0.01
14,2038.999999999999,123430497.779,0.065,113489680.494,0.061,4922157.959,0.124,4922157.959,0.124,18106297.281,0.02,24003.348,0.02,2.658,0.044,0.161,0.006,204003.537,0.01
15,2039.9999999999998,131445432.733,0.065,120381493.665,0.061,5531969.534,0.124,5531969.534,0.124,18473067.984,0.02,24495.11,0.02,2.774,0.044,0.163,0.012,206061.059,0.01
16,2041.0000000000002,140220136.639,0.067,127145794.609,0.056,6334488.779,0.145,6334488.781,0.145,18940411.566,0.025,25131.385,0.026,2.884,0.04,0.166,0.018,208092.662,0.01
17,2041.9999999999995,149580600.179,0.067,134290185.266,0.056,7253428.971,0.145,7253428.976,0.145,19419578.308,0.025,25784.187,0.026,2.999,0.04,0.168,0.012,210144.295,0.01
18,2043.0,159565926.024,0.067,141836023.08,0.056,8305679.224,0.145,8305679.232,0.145,19910867.318,0.025,26453.946,0.026,3.118,0.04,0.171,0.018,212216.155,0.01
19,2044.0000000000002,170217827.16,0.067,149805865.583,0.056,9510578.74,0.145,9510578.752,0.145,20414585.275,0.025,27141.103,0.026,3.242,0.04,0.174,0.018,214308.443,0.01
20,2044.9999999999993,181580801.147,0.067,158223537.828,0.056,10890272.251,0.145,10890272.268,0.145,20931046.613,0.025,27846.109,0.026,3.371,0.04,0.176,0.011,216421.359,0.01
21,2045.9999999999993,193702315.998,0.067,167114203.608,0.056,12470117.007,0.145,12470117.03,0.145,21460573.723,0.025,28569.428,0.026,3.505,0.04,0.179,0.017,218555.106,0.01
22,2046.9999999999995,206633008.48,0.067,176504440.686,0.056,14279148.821,0.145,14279148.852,0.145,22003497.152,0.025,29311.535,0.026,3.644,0.04,0.182,0.017,220709.891,0.01
23,2048.0,220426895.638,0.067,186422320.24,0.056,16350615.71,0.145,16350615.752,0.145,22560155.807,0.025,30072.919,0.026,3.789,0.04,0.185,0.016,222885.92,0.01
24,2049.000000000001,235141600.454,0.067,196897490.787,0.056,18722588.963,0.145,18722589.016,0.145,23130897.171,0.025,30854.08,0.026,3.94,0.04,0.188,0.016,225083.403,0.01
25,2049.999999999999,250838592.559,0.067,207961266.807,0.056,21438662.842,0.145,21438662.91,0.145,23716077.519,0.025,31655.533,0.026,4.096,0.04,0.191,0.016,227302.551,0.01
