,Year,Total Revenue,Var Total Revenue (%),Base Revenues,Var Base Revenues (%),Dev Revenues,Var Dev Revenues (%),TDOT Revenues,Var TDOT Revenues (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,69502310.472,,69502310.472,,0.0,,0.0,,20973269.679,,28638.034,,1.127,,0.172,,198797.469,
1,2026.0,76736585.587,0.104,76736585.587,0.104,0.0,,0.0,,21462813.082,0.023,29301.634,0.023,1.216,0.079,0.172,0.0,202667.734,0.019
2,2026.9999999999995,84723853.46,0.104,84723853.46,0.104,0.0,,0.0,,21963783.065,0.023,29980.611,0.023,1.312,0.079,0.173,0.006,206613.347,0.019
3,2027.999999999999,93542490.72,0.104,93542490.72,0.104,0.0,,0.0,,22476446.34,0.023,30675.322,0.023,1.416,0.079,0.173,0.0,210635.774,0.019
4,2029.0,103279031.969,0.104,103279031.969,0.104,0.0,,0.0,,23001075.842,0.023,31386.13,0.023,1.528,0.079,0.174,0.006,214736.512,0.019
5,2030.0,114029018.924,0.104,114029018.924,0.104,0.0,,0.0,,23537950.879,0.023,32113.41,0.023,1.649,0.079,0.175,0.006,218917.084,0.019
6,2031.0000000000007,125897937.934,0.104,125897937.934,0.104,0.0,,0.0,,24087357.278,0.023,32857.541,0.023,1.779,0.079,0.175,0.0,223179.045,0.019
7,2032.0000000000005,139002255.089,0.104,139002255.089,0.104,0.0,,0.0,,24649587.538,0.023,33618.916,0.023,1.92,0.079,0.176,0.006,227523.98,0.019
8,2033.0000000000007,147277381.231,0.06,146812000.772,0.056,0.0,,0.0,,25219357.094,0.023,34397.867,0.023,1.988,0.035,0.178,0.011,229716.755,0.01
9,2034.0000000000002,156045144.796,0.06,155060531.622,0.056,0.0,,0.0,,25802296.742,0.023,35194.867,0.023,2.059,0.036,0.18,0.011,231930.663,0.01
10,2034.9999999999993,165334873.63,0.06,163772500.48,0.056,0.0,,0.0,,26398710.907,0.023,36010.333,0.023,2.132,0.035,0.183,0.017,234165.908,0.01
11,2035.9999999999998,175177641.534,0.06,172973945.29,0.056,0.0,,0.0,,27008911.048,0.023,36844.694,0.023,2.208,0.036,0.185,0.011,236422.695,0.01
12,2036.999999999999,185606372.205,0.06,182692366.921,0.056,0.0,,0.0,,27633215.825,0.023,37698.386,0.023,2.286,0.035,0.188,0.016,238701.232,0.01
13,2038.0000000000005,196655949.363,0.06,192956811.358,0.056,0.0,,0.0,,28271951.264,0.023,38571.859,0.023,2.368,0.036,0.19,0.011,241001.728,0.01
14,2038.999999999999,208363333.438,0.06,203797956.515,0.056,0.0,,0.0,,28925450.926,0.023,39465.57,0.023,2.452,0.035,0.193,0.016,243324.396,0.01
15,2039.9999999999998,220767685.199,0.06,215248203.924,0.056,2759740.637,inf,2759740.637,inf,29594056.082,0.023,40379.988,0.023,2.539,0.035,0.195,0.01,245669.448,0.01
16,2041.0000000000002,235799858.871,0.068,227036439.157,0.055,3501883.782,0.269,3501883.782,0.269,30115329.426,0.018,41090.865,0.018,2.665,0.05,0.197,0.01,247662.053,0.008
17,2041.9999999999995,251855580.194,0.068,239470266.256,0.055,4443602.364,0.269,4443602.366,0.269,30645784.542,0.018,41814.257,0.018,2.797,0.05,0.199,0.01,249670.82,0.008
18,2043.0,269004542.999,0.068,252585041.564,0.055,5638565.756,0.269,5638565.758,0.269,31185583.159,0.018,42550.383,0.018,2.936,0.05,0.201,0.01,251695.88,0.008
19,2044.0000000000002,287321186.603,0.068,266418057.737,0.055,7154875.971,0.269,7154875.975,0.269,31734889.856,0.018,43299.469,0.018,3.081,0.049,0.203,0.01,253737.364,0.008
20,2044.9999999999993,306885018.932,0.068,281008649.795,0.055,9078948.864,0.269,9078948.87,0.269,32293872.109,0.018,44061.743,0.018,3.234,0.05,0.205,0.01,255795.408,0.008
21,2045.9999999999993,327780961.642,0.068,296398306.971,0.055,11520439.042,0.269,11520439.051,0.269,32862700.344,0.018,44837.435,0.018,3.395,0.05,0.207,0.01,257870.143,0.008
22,2046.9999999999995,350099718.745,0.068,312630790.687,0.055,14618489.177,0.269,14618489.191,0.269,33441547.989,0.018,45626.784,0.018,3.563,0.049,0.209,0.01,259961.707,0.008
23,2048.0,373938170.329,0.068,329752258.993,0.055,18549659.875,0.269,18549659.894,0.269,34030591.528,0.018,46430.029,0.018,3.74,0.05,0.211,0.01,262070.235,0.008
24,2049.000000000001,399399793.094,0.068,347811397.823,0.055,23537992.011,0.269,23537992.038,0.269,34630010.552,0.018,47247.415,0.018,3.925,0.049,0.213,0.009,264195.866,0.008
25,2049.999999999999,426595109.516,0.068,366859559.43,0.055,29867775.023,0.269,29867775.062,0.269,35239987.817,0.018,48079.191,0.018,4.12,0.05,0.215,0.009,266338.737,0.008
